# SN2013DY ocb105030 G750L CCD z=0.004 a2center=895.4 extrsize=25 exptime=64.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5221.7622 5242.6492 3.417499e-14 3.155409e-15 8.482505e+00 528 0
5226.6190 5247.5255 1.770534e-14 1.714576e-15 7.328052e+00 528 0
5231.4760 5252.4019 1.672071e-14 1.215811e-15 9.828922e+00 512 0
5236.3329 5257.2783 1.678537e-14 9.784767e-16 1.283121e+01 512 0
5241.1899 5262.1547 1.561695e-14 8.185125e-16 1.467920e+01 512 0
5246.0470 5267.0312 1.748908e-14 7.348360e-16 1.961893e+01 528 0
5250.9040 5271.9077 1.812673e-14 6.576807e-16 2.361411e+01 528 0
5255.7612 5276.7842 1.895561e-14 6.051830e-16 2.813594e+01 512 0
5260.6183 5281.6608 1.844318e-14 5.704804e-16 3.069057e+01 528 0
5265.4755 5286.5374 1.936189e-14 5.246191e-16 3.577727e+01 528 0
5270.3327 5291.4141 1.842418e-14 4.888832e-16 3.740169e+01 16 0
5275.1900 5296.2908 1.894762e-14 4.632434e-16 4.193453e+01 16 0
5280.0473 5301.1675 1.990034e-14 4.460244e-16 4.743750e+01 16 0
5284.9047 5306.0443 1.909163e-14 4.317916e-16 4.748245e+01 256 0
5289.7620 5310.9211 2.006152e-14 4.261580e-16 5.185138e+01 16 0
5294.6195 5315.7979 1.930322e-14 4.203718e-16 5.034449e+01 16 0
5299.4769 5320.6748 1.997768e-14 4.230762e-16 5.238330e+01 16 0
5304.3344 5325.5518 2.287035e-14 5.112048e-16 5.919919e+01 16 0
5309.1920 5330.4287 2.115826e-14 4.600082e-16 5.388783e+01 16 0
5314.0495 5335.3057 2.028279e-14 4.355902e-16 5.031118e+01 0 0
5318.9071 5340.1828 1.984850e-14 4.392566e-16 4.812412e+01 0 0
5323.7648 5345.0598 2.015497e-14 4.524589e-16 4.773789e+01 16 0
5328.6225 5349.9370 2.027709e-14 4.585701e-16 4.695027e+01 16 0
5333.4802 5354.8141 1.999437e-14 4.649701e-16 4.547652e+01 16 0
5338.3379 5359.6913 2.120118e-14 4.774534e-16 4.744501e+01 0 0
5343.1957 5364.5685 2.089491e-14 4.804749e-16 4.625406e+01 16 0
5348.0536 5369.4458 2.083527e-14 4.869378e-16 4.567473e+01 16 0
5352.9114 5374.3231 2.131534e-14 4.851579e-16 4.659912e+01 16 0
5357.7693 5379.2004 2.110988e-14 4.862139e-16 4.609553e+01 0 0
5362.6273 5384.0778 2.103445e-14 4.798123e-16 4.613412e+01 0 0
5367.4852 5388.9552 2.215765e-14 4.840038e-16 4.897493e+01 0 0
5372.3432 5393.8326 2.211096e-14 4.834301e-16 4.942136e+01 0 0
5377.2013 5398.7101 2.092045e-14 4.694211e-16 4.733460e+01 0 0
5382.0594 5403.5876 2.205310e-14 4.887246e-16 5.076078e+01 16 0
5386.9175 5408.4651 2.196031e-14 4.663962e-16 5.144523e+01 16 0
5391.7756 5413.3427 2.274382e-14 4.977741e-16 5.438321e+01 16 0
5396.6338 5418.2204 2.242974e-14 4.584870e-16 5.477105e+01 16 0
5401.4920 5423.0980 2.208257e-14 4.541465e-16 5.511655e+01 0 0
5406.3503 5427.9757 2.111986e-14 4.461686e-16 5.381061e+01 0 0
5411.2086 5432.8534 2.075179e-14 4.258232e-16 5.397750e+01 0 0
5416.0669 5437.7312 2.036144e-14 4.182783e-16 5.408166e+01 16 0
5420.9253 5442.6090 2.048822e-14 4.205777e-16 5.556019e+01 16 0
5425.7837 5447.4868 2.070761e-14 4.107813e-16 5.735896e+01 16 0
5430.6421 5452.3647 2.000088e-14 4.475241e-16 5.651527e+01 16 0
5435.5006 5457.2426 1.914433e-14 3.882554e-16 5.516293e+01 16 0
5440.3591 5462.1205 1.981372e-14 3.869202e-16 5.824009e+01 0 0
5445.2176 5466.9985 1.872929e-14 3.816813e-16 5.591970e+01 272 0
5450.0762 5471.8765 1.786078e-14 3.803754e-16 5.412394e+01 272 0
5454.9348 5476.7545 1.776136e-14 3.658489e-16 5.447655e+01 0 0
5459.7934 5481.6326 1.783494e-14 3.601359e-16 5.533579e+01 0 0
5464.6521 5486.5107 1.845603e-14 3.606094e-16 5.783111e+01 16 0
5469.5108 5491.3888 1.824257e-14 3.622444e-16 5.767860e+01 16 0
5474.3695 5496.2670 1.864960e-14 3.591890e-16 5.936203e+01 0 0
5479.2283 5501.1452 1.922721e-14 3.620476e-16 6.162114e+01 0 0
5484.0871 5506.0234 2.020585e-14 3.697619e-16 6.507394e+01 16 0
5488.9459 5510.9017 2.076658e-14 3.738200e-16 6.718513e+01 16 0
5493.8048 5515.7800 2.142842e-14 3.759447e-16 6.956059e+01 16 0
5498.6637 5520.6583 2.156054e-14 3.795460e-16 7.019682e+01 16 0
5503.5226 5525.5367 2.274929e-14 3.914945e-16 7.431695e+01 16 0
5508.3816 5530.4151 2.314748e-14 3.861453e-16 7.583468e+01 16 0
5513.2406 5535.2936 2.328206e-14 3.838421e-16 7.638412e+01 0 0
5518.0996 5540.1720 2.406459e-14 3.900141e-16 7.907375e+01 16 0
5522.9587 5545.0505 2.363754e-14 3.915262e-16 7.782301e+01 16 0
5527.8178 5549.9291 2.420420e-14 3.876205e-16 7.989185e+01 0 0
5532.6769 5554.8076 2.353214e-14 3.890980e-16 7.777445e+01 16 0
5537.5361 5559.6862 2.470602e-14 3.921303e-16 8.184521e+01 16 0
5542.3953 5564.5649 2.526695e-14 3.935033e-16 8.399450e+01 16 0
5547.2545 5569.4435 2.490339e-14 3.922221e-16 8.306557e+01 0 0
5552.1138 5574.3222 2.583499e-14 4.043432e-16 8.644613e+01 16 0
5556.9730 5579.2009 2.598992e-14 3.954156e-16 8.721831e+01 0 0
5561.8324 5584.0797 2.578747e-14 3.967206e-16 8.689711e+01 16 0
5566.6917 5588.9585 2.625906e-14 3.955837e-16 8.890655e+01 16 0
5571.5511 5593.8373 2.746006e-14 4.214181e-16 9.348620e+01 16 0
