# SN2013DY ocb101020 G230L MAMA z=0.004 a2center=538.2 extrsize=11 exptime=1418.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1556.4233 1562.6490 0.000000e+00 0.000000e+00 6.864807e-04 2564 0
1557.9609 1564.1927 0.000000e+00 0.000000e+00 -6.251511e-03 2564 0
1559.4985 1565.7365 0.000000e+00 0.000000e+00 -2.651694e-03 2564 0
1561.0361 1567.2802 0.000000e+00 0.000000e+00 -1.836740e-03 2564 0
1562.5737 1568.8240 0.000000e+00 0.000000e+00 -1.580233e-02 2560 0
1564.1113 1570.3677 0.000000e+00 0.000000e+00 -1.680799e-03 512 0
1565.6489 1571.9115 0.000000e+00 0.000000e+00 3.108563e-03 512 0
1567.1866 1573.4553 0.000000e+00 0.000000e+00 1.401182e-03 512 0
1568.7242 1574.9991 0.000000e+00 0.000000e+00 3.332868e-03 512 0
1570.2619 1576.5429 0.000000e+00 0.000000e+00 -2.423570e-03 512 0
1571.7996 1578.0868 0.000000e+00 0.000000e+00 3.794733e-03 512 0
1573.3372 1579.6306 -5.910346e-12 4.449508e-12 -4.418930e-03 0 0
1574.8749 1581.1744 8.502153e-15 5.288116e-14 6.108285e-04 0 0
1576.4126 1582.7183 8.805284e-15 2.698522e-14 1.260262e-03 0 0
1577.9503 1584.2621 -1.078156e-14 1.646013e-14 -2.313645e-03 0 0
1579.4880 1585.8060 -8.707323e-15 1.209718e-14 -2.492433e-03 0 0
1581.0258 1587.3499 -8.429108e-16 1.025350e-14 -3.018330e-04 0 0
1582.5635 1588.8938 -1.493695e-14 7.117769e-15 -6.424513e-03 0 0
1584.1012 1590.4377 -1.316752e-15 7.420070e-15 -6.614430e-04 0 0
1585.6390 1591.9816 -1.024342e-14 5.411944e-15 -5.887694e-03 0 0
1587.1768 1593.5255 -9.479833e-15 4.873852e-15 -6.169542e-03 0 0
1588.7145 1595.0694 -2.235694e-15 4.887872e-15 -1.655715e-03 0 0
1590.2523 1596.6133 -3.263015e-15 4.091668e-15 -2.720131e-03 0 0
1591.7901 1598.1573 6.274581e-16 4.030782e-15 5.905570e-04 0 0
1593.3279 1599.7012 3.300305e-15 3.858058e-15 3.469995e-03 0 0
1594.8657 1601.2452 -2.288856e-15 2.935769e-15 -2.690266e-03 0 0
1596.4035 1602.7891 -8.631863e-16 2.811459e-15 -1.123462e-03 0 0
1597.9413 1604.3331 2.083305e-15 2.806614e-15 3.002057e-03 0 0
1599.4792 1605.8771 1.481460e-15 2.536870e-15 2.344181e-03 0 0
1601.0170 1607.4211 -3.869081e-15 1.763270e-15 -6.722006e-03 0 0
1602.5549 1608.9651 2.329124e-15 2.164390e-15 4.411215e-03 0 0
1604.0927 1610.5091 -6.743357e-16 1.737323e-15 -1.392402e-03 0 0
1605.6306 1612.0531 6.089551e-16 1.709918e-15 1.362209e-03 0 0
1607.1685 1613.5972 9.528720e-16 1.599410e-15 2.309182e-03 0 0
1608.7064 1615.1412 -1.229206e-15 1.310858e-15 -3.209042e-03 0 0
1610.2443 1616.6852 -2.611738e-15 1.056076e-15 -7.341933e-03 0 0
1611.7822 1618.2293 -3.336715e-16 1.208948e-15 -1.005069e-03 0 0
1613.3201 1619.7734 7.671076e-16 1.206413e-15 2.473697e-03 0 0
1614.8580 1621.3174 1.435742e-16 1.089188e-15 4.935846e-04 0 0
1616.3959 1622.8615 -2.326298e-15 7.739275e-16 -8.514185e-03 0 0
1617.9339 1624.4056 -1.547983e-15 7.794378e-16 -6.010684e-03 0 0
1619.4718 1625.9497 5.184238e-16 9.508213e-16 2.131863e-03 0 0
1621.0098 1627.4938 -5.875284e-16 7.821258e-16 -2.551284e-03 0 0
1622.5478 1629.0380 -3.182711e-16 7.787580e-16 -1.456591e-03 0 0
1624.0857 1630.5821 3.406095e-17 7.789061e-16 1.638889e-04 0 0
1625.6237 1632.1262 1.148071e-15 8.248232e-16 5.796166e-03 0 0
1627.1617 1633.6704 3.983314e-16 7.308200e-16 2.105724e-03 0 0
1628.6997 1635.2145 -9.310416e-16 5.678065e-16 -5.143381e-03 0 0
1630.2377 1636.7587 -3.914720e-16 6.036535e-16 -2.256003e-03 0 0
1631.7758 1638.3029 -6.869629e-16 5.421101e-16 -4.121980e-03 0 0
1633.3138 1639.8471 4.825354e-16 6.264120e-16 3.010076e-03 0 0
1634.8518 1641.3913 -3.005436e-16 5.307350e-16 -1.945664e-03 0 0
1636.3899 1642.9355 -4.744880e-16 5.021037e-16 -3.183659e-03 0 0
1637.9280 1644.4797 -3.676324e-16 4.863926e-16 -2.552511e-03 0 0
1639.4660 1646.0239 4.398814e-16 5.543544e-16 3.156768e-03 0 0
1641.0041 1647.5681 1.570027e-16 5.127730e-16 1.162970e-03 0 0
1642.5422 1649.1124 -3.379925e-16 4.426139e-16 -2.581581e-03 0 0
1644.0803 1650.6566 -4.441627e-16 4.144991e-16 -3.493799e-03 0 0
1645.6184 1652.2009 1.055523e-16 4.589259e-16 8.542124e-04 0 0
1647.1565 1653.7451 -8.366113e-16 3.575909e-16 -6.958316e-03 0 0
1648.6946 1655.2894 1.932237e-16 4.485281e-16 1.650364e-03 0 0
1650.2328 1656.8337 -2.686983e-16 3.878660e-16 -2.354488e-03 0 0
1651.7709 1658.3780 1.254546e-16 4.198376e-16 1.126975e-03 0 0
1653.3091 1659.9223 -8.031388e-17 3.897752e-16 -7.389683e-04 0 0
1654.8472 1661.4666 -2.473313e-16 3.585425e-16 -2.329332e-03 0 0
1656.3854 1663.0109 -9.775243e-16 2.656975e-16 -9.415563e-03 0 0
1657.9236 1664.5553 -2.415438e-16 3.443489e-16 -2.378011e-03 0 0
1659.4618 1666.0996 3.235604e-16 3.971102e-16 3.253591e-03 0 0
1661.0000 1667.6440 1.945589e-16 3.765872e-16 1.997124e-03 0 0
1662.5382 1669.1883 -1.210061e-16 3.315209e-16 -1.267176e-03 0 0
1664.0764 1670.7327 1.566424e-18 3.452844e-16 1.672610e-05 0 0
1665.6146 1672.2771 2.401539e-16 3.481596e-16 2.613371e-03 0 0
1667.1528 1673.8214 -3.668636e-16 2.884224e-16 -4.066732e-03 0 0
1668.6911 1675.3658 9.748734e-17 3.227029e-16 1.100335e-03 0 0
1670.2293 1676.9102 -2.169652e-16 2.952993e-16 -2.492466e-03 0 0
1671.7676 1678.4547 1.005794e-16 3.157315e-16 1.175538e-03 0 0
1673.3059 1679.9991 5.061854e-17 3.154646e-16 6.016790e-04 0 0
1674.8441 1681.5435 1.872574e-16 3.162896e-16 2.262869e-03 0 0
1676.3824 1683.0879 -3.918385e-17 2.926792e-16 -4.812139e-04 0 0
1677.9207 1684.6324 -3.159439e-17 2.853964e-16 -3.941867e-04 0 0
1679.4590 1686.1769 -2.144741e-16 2.608040e-16 -2.717565e-03 0 0
1680.9973 1687.7213 -5.193043e-17 2.797201e-16 -6.680398e-04 0 0
1682.5357 1689.2658 -3.393824e-16 2.452835e-16 -4.431015e-03 0 0
1684.0740 1690.8103 -6.025547e-17 2.691551e-16 -7.982118e-04 0 0
1685.6123 1692.3548 -5.395978e-17 2.600717e-16 -7.250446e-04 0 0
1687.1507 1693.8993 -3.383058e-16 2.306505e-16 -4.609591e-03 0 0
1688.6890 1695.4438 -1.202602e-16 2.502730e-16 -1.661137e-03 0 0
1690.2274 1696.9883 2.945150e-16 2.844936e-16 4.123049e-03 0 0
1691.7658 1698.5329 -3.051462e-16 2.217802e-16 -4.328389e-03 0 0
1693.3042 1700.0774 -3.467774e-16 2.136598e-16 -4.983016e-03 0 0
1694.8426 1701.6219 -5.358328e-16 1.894332e-16 -7.797115e-03 0 0
1696.3810 1703.1665 -1.398486e-16 2.296209e-16 -2.060366e-03 0 0
1697.9194 1704.7111 -2.876854e-17 2.395278e-16 -4.290291e-04 0 0
1699.4578 1706.2556 -1.830950e-16 2.146650e-16 -2.763475e-03 0 0
1700.9963 1707.8002 -5.644792e-17 2.263957e-16 -8.620759e-04 0 0
1702.5347 1709.3448 -2.140037e-16 2.139898e-16 -3.306542e-03 0 0
1704.0731 1710.8894 -9.570545e-17 2.189241e-16 -1.495767e-03 0 0
1705.6116 1712.4340 3.380680e-17 2.292001e-16 5.343804e-04 0 0
1707.1501 1713.9787 -4.280941e-16 1.806408e-16 -6.842856e-03 0 0
1708.6886 1715.5233 3.146036e-16 2.473794e-16 5.084694e-03 0 0
1710.2270 1717.0679 -2.417846e-16 1.915890e-16 -3.950733e-03 0 0
1711.7655 1718.6126 3.446994e-17 2.150022e-16 5.693706e-04 0 0
1713.3040 1720.1573 -2.460629e-16 1.911103e-16 -4.108339e-03 0 0
1714.8426 1721.7019 8.100769e-18 2.132887e-16 1.367019e-04 0 0
1716.3811 1723.2466 1.713254e-17 2.101604e-16 2.921947e-04 0 0
1717.9196 1724.7913 -3.009908e-17 1.990081e-16 -5.187673e-04 0 0
1719.4582 1726.3360 1.928691e-16 2.254727e-16 3.359237e-03 0 0
1720.9967 1727.8807 3.217014e-17 2.059235e-16 5.661809e-04 0 0
1722.5353 1729.4254 -1.468081e-17 1.980156e-16 -2.610749e-04 0 0
1724.0738 1730.9701 -2.371295e-16 1.734245e-16 -4.260672e-03 0 0
1725.6124 1732.5149 2.030475e-16 2.151375e-16 3.685958e-03 0 0
1727.1510 1734.0596 2.845340e-16 2.195984e-16 5.218081e-03 0 0
1728.6896 1735.6044 -2.011056e-16 1.712197e-16 -3.725626e-03 0 0
1730.2282 1737.1491 -1.030414e-16 1.763748e-16 -1.928187e-03 0 0
1731.7668 1738.6939 -1.780743e-16 1.688764e-16 -3.365641e-03 0 0
1733.3054 1740.2387 -1.621249e-16 1.809170e-16 -3.094640e-03 0 0
1734.8441 1741.7834 2.588540e-16 2.116661e-16 4.989587e-03 0 0
1736.3827 1743.3282 3.817891e-18 1.774771e-16 7.431017e-05 0 0
1737.9214 1744.8730 3.909996e-17 1.837414e-16 7.683618e-04 0 0
1739.4600 1746.4179 2.404813e-16 2.011453e-16 4.770930e-03 0 0
1740.9987 1747.9627 -1.281947e-16 1.614256e-16 -2.567204e-03 0 0
1742.5374 1749.5075 -1.047696e-16 1.644014e-16 -2.117695e-03 0 0
1744.0761 1751.0524 -1.770563e-16 1.535063e-16 -3.612406e-03 0 0
1745.6148 1752.5972 -2.378757e-17 1.701574e-16 -4.899125e-04 0 0
1747.1535 1754.1421 2.425308e-16 1.946784e-16 5.041382e-03 0 0
1748.6922 1755.6869 1.082548e-16 1.777822e-16 2.270987e-03 0 0
1750.2309 1757.2318 4.312995e-17 1.711220e-16 9.129895e-04 0 0
1751.7696 1758.7767 -1.077526e-16 1.517279e-16 -2.301469e-03 0 0
1753.3084 1760.3216 9.964281e-17 1.734267e-16 2.147096e-03 0 0
1754.8471 1761.8665 -1.233934e-16 1.484005e-16 -2.682236e-03 0 0
1756.3859 1763.4114 -8.807065e-17 1.519992e-16 -1.930983e-03 0 0
1757.9247 1764.9564 1.788730e-16 1.766470e-16 3.955546e-03 0 0
1759.4634 1766.5013 -1.671685e-16 1.393439e-16 -3.728010e-03 0 0
1761.0022 1768.0462 1.118120e-16 1.645433e-16 2.514462e-03 0 0
1762.5410 1769.5912 2.598723e-16 1.805293e-16 5.892521e-03 0 0
1764.0798 1771.1361 1.835067e-16 1.661286e-16 4.195185e-03 0 0
1765.6186 1772.6811 -7.608722e-18 1.528152e-16 -1.753572e-04 0 0
1767.1575 1774.2261 1.067054e-16 1.597362e-16 2.479051e-03 0 0
1768.6963 1775.7711 -6.799716e-17 1.431221e-16 -1.592341e-03 0 0
1770.2351 1777.3161 2.021420e-17 1.491187e-16 4.771150e-04 0 0
1771.7740 1778.8611 1.369158e-16 1.588579e-16 3.256924e-03 0 0
1773.3128 1780.4061 4.548730e-17 1.488958e-16 1.090458e-03 0 0
1774.8517 1781.9511 2.847577e-16 1.728179e-16 6.879151e-03 0 0
1776.3906 1783.4962 4.732334e-17 1.483897e-16 1.152008e-03 0 0
1777.9295 1785.0412 3.497870e-16 1.733246e-16 8.580020e-03 0 0
1779.4684 1786.5862 2.047883e-16 1.597201e-16 5.061476e-03 0 0
1781.0073 1788.1313 1.114495e-16 1.535190e-16 2.775427e-03 0 0
1782.5462 1789.6764 -1.077404e-16 1.273643e-16 -2.703316e-03 0 0
1784.0851 1791.2215 -9.284834e-17 1.260603e-16 -2.347243e-03 0 0
1785.6241 1792.7665 -2.696889e-17 1.351053e-16 -6.869158e-04 0 0
1787.1630 1794.3116 2.659843e-16 1.570436e-16 6.825897e-03 0 0
1788.7019 1795.8568 -1.005371e-16 1.237857e-16 -2.599496e-03 0 0
1790.2409 1797.4019 1.932115e-16 1.490950e-16 5.033482e-03 0 0
1791.7799 1798.9470 1.767416e-16 1.474503e-16 4.639252e-03 0 0
1793.3189 1800.4921 1.070161e-16 1.405359e-16 2.830410e-03 0 0
1794.8578 1802.0373 -2.477058e-17 1.258804e-16 -6.601344e-04 0 0
1796.3968 1803.5824 -7.326149e-17 1.237244e-16 -1.967333e-03 0 0
1797.9358 1805.1276 6.481444e-17 1.323421e-16 1.753808e-03 0 0
1799.4749 1806.6728 3.362347e-16 1.559998e-16 9.167695e-03 0 0
1801.0139 1808.2179 -1.352359e-16 1.124092e-16 -3.715460e-03 0 0
1802.5529 1809.7631 2.697075e-16 1.494578e-16 7.466294e-03 0 0
1804.0920 1811.3083 2.780364e-16 1.479228e-16 7.755200e-03 0 0
1805.6310 1812.8535 -6.565532e-17 1.189193e-16 -1.845098e-03 0 0
1807.1701 1814.3987 -7.191819e-17 1.128638e-16 -2.036226e-03 0 0
1808.7091 1815.9440 9.600168e-17 1.304177e-16 2.738257e-03 0 0
1810.2482 1817.4892 9.794609e-17 1.287898e-16 2.814237e-03 0 0
1811.7873 1819.0345 2.159332e-18 1.185904e-16 6.249326e-05 0 0
1813.3264 1820.5797 -9.345911e-18 1.150851e-16 -2.724171e-04 0 0
1814.8655 1822.1250 5.544802e-17 1.215252e-16 1.627621e-03 0 0
1816.4046 1823.6702 -1.887282e-17 1.152640e-16 -5.578359e-04 0 0
1817.9437 1825.2155 -1.356020e-16 1.020866e-16 -4.035428e-03 0 0
1819.4829 1826.7608 9.385362e-17 1.250498e-16 2.811681e-03 0 0
1821.0220 1828.3061 1.528909e-16 1.302340e-16 4.610457e-03 0 0
1822.5612 1829.8514 2.843138e-16 1.385603e-16 8.628729e-03 0 0
1824.1003 1831.3967 1.419394e-16 1.269077e-16 4.335139e-03 0 0
1825.6395 1832.9421 -5.506831e-17 1.053470e-16 -1.692392e-03 0 0
1827.1787 1834.4874 1.984052e-16 1.301610e-16 6.135121e-03 0 0
1828.7179 1836.0327 1.152856e-16 1.235084e-16 3.586521e-03 0 0
1830.2571 1837.5781 1.330493e-16 1.210776e-16 4.164068e-03 0 0
1831.7963 1839.1235 4.540872e-16 1.457609e-16 1.429613e-02 0 0
1833.3355 1840.6688 1.284230e-16 1.200548e-16 4.067059e-03 0 0
1834.8747 1842.2142 2.775411e-16 1.323385e-16 8.840986e-03 0 0
1836.4139 1843.7596 8.788919e-17 1.198069e-16 2.816008e-03 0 0
1837.9532 1845.3050 -1.007423e-16 9.572339e-17 -3.246561e-03 0 0
1839.4924 1846.8504 1.806882e-17 1.072037e-16 5.856642e-04 0 0
1841.0317 1848.3958 1.741715e-16 1.208975e-16 5.678114e-03 0 0
1842.5710 1849.9412 8.053630e-17 1.105388e-16 2.640730e-03 0 0
1844.1102 1851.4867 2.800962e-16 1.305566e-16 9.233356e-03 0 0
1845.6495 1853.0321 5.490649e-17 1.101942e-16 1.819571e-03 0 0
1847.1888 1854.5776 3.741492e-17 1.060524e-16 1.246511e-03 0 0
1848.7281 1856.1230 -1.614726e-16 8.326757e-17 -5.408173e-03 0 0
1850.2674 1857.6685 2.068497e-17 1.030924e-16 6.964900e-04 0 0
1851.8068 1859.2140 1.437953e-16 1.154610e-16 4.867503e-03 0 0
1853.3461 1860.7595 1.646673e-16 1.145972e-16 5.603711e-03 0 0
1854.8854 1862.3050 7.249619e-17 1.068471e-16 2.480177e-03 0 0
1856.4248 1863.8505 -5.586894e-17 9.202632e-17 -1.921483e-03 0 0
1857.9642 1865.3960 1.466633e-16 1.133444e-16 5.070809e-03 0 0
1859.5035 1866.9415 1.004593e-16 1.091658e-16 3.491639e-03 0 0
1861.0429 1868.4871 2.885716e-16 1.242548e-16 1.008247e-02 0 0
1862.5823 1870.0326 4.129836e-17 9.881297e-17 1.450476e-03 0 0
1864.1217 1871.5782 2.046477e-16 1.136524e-16 7.225025e-03 0 0
1865.6611 1873.1237 7.988703e-17 1.024799e-16 2.834965e-03 0 0
1867.2005 1874.6693 2.393744e-16 1.164514e-16 8.538440e-03 0 0
1868.7399 1876.2149 2.757018e-16 1.207941e-16 9.884353e-03 0 0
1870.2794 1877.7605 -1.416384e-17 9.400524e-17 -5.103741e-04 0 0
1871.8188 1879.3061 -3.325785e-18 9.263231e-17 -1.204433e-04 0 0
1873.3583 1880.8517 6.526436e-17 9.959041e-17 2.375402e-03 0 0
1874.8977 1882.3973 -6.960066e-17 8.540382e-17 -2.545855e-03 0 0
1876.4372 1883.9429 7.844348e-17 9.772146e-17 2.883554e-03 0 0
1877.9767 1885.4886 2.115618e-16 1.101077e-16 7.815400e-03 0 0
1879.5162 1887.0342 2.091162e-16 1.110008e-16 7.763120e-03 0 0
1881.0557 1888.5799 9.250980e-17 9.832556e-17 3.451199e-03 0 0
1882.5952 1890.1255 2.196742e-16 1.105627e-16 8.235447e-03 0 0
1884.1347 1891.6712 -3.415582e-17 8.398813e-17 -1.286773e-03 0 0
1885.6742 1893.2169 1.019863e-16 9.976529e-17 3.861007e-03 0 0
1887.2137 1894.7626 1.563373e-16 1.043718e-16 5.947746e-03 0 0
1888.7533 1896.3083 1.138748e-16 9.815375e-17 4.353535e-03 0 0
1890.2928 1897.8540 1.811370e-16 1.057254e-16 6.959186e-03 0 0
1891.8324 1899.3997 -9.131008e-18 8.506958e-17 -3.525343e-04 0 0
1893.3720 1900.9455 9.633648e-17 9.476358e-17 3.737851e-03 0 0
1894.9115 1902.4912 2.381323e-17 8.792600e-17 9.285255e-04 0 0
1896.4511 1904.0369 7.698585e-17 9.229503e-17 3.016773e-03 0 0
1897.9907 1905.5827 -7.279394e-17 7.637201e-17 -2.866677e-03 0 0
1899.5303 1907.1285 -3.027547e-18 8.116532e-17 -1.198199e-04 0 0
1901.0699 1908.6742 1.254633e-17 8.649637e-17 4.990032e-04 0 0
1902.6096 1910.2200 1.706923e-16 9.943445e-17 6.822526e-03 0 0
1904.1492 1911.7658 1.772714e-16 1.011469e-16 7.120450e-03 0 0
1905.6889 1913.3116 1.656329e-16 9.882557e-17 6.685590e-03 0 0
1907.2285 1914.8574 2.317303e-16 1.036383e-16 9.399203e-03 0 0
1908.7682 1916.4032 2.470432e-16 1.047642e-16 1.006881e-02 0 0
1910.3078 1917.9491 1.103137e-16 9.376428e-17 4.517731e-03 0 0
1911.8475 1919.4949 3.161430e-16 1.092226e-16 1.300871e-02 0 0
1913.3872 1921.0408 -8.935130e-18 7.855722e-17 -3.694003e-04 0 0
1914.9269 1922.5866 2.354920e-16 1.031847e-16 9.781056e-03 0 0
1916.4666 1924.1325 -1.040941e-16 6.711022e-17 -4.343417e-03 0 0
1918.0063 1925.6783 2.149459e-16 1.005477e-16 9.009358e-03 0 0
1919.5460 1927.2242 1.149216e-16 9.012993e-17 4.838445e-03 0 0
1921.0858 1928.7701 1.601565e-16 9.366670e-17 6.772563e-03 0 0
1922.6255 1930.3160 1.164270e-16 9.115563e-17 4.944772e-03 0 0
1924.1653 1931.8619 2.269794e-16 9.839210e-17 9.681281e-03 0 0
1925.7050 1933.4079 1.402368e-16 9.127472e-17 6.006803e-03 0 0
1927.2448 1934.9538 5.334726e-17 8.100266e-17 2.294575e-03 0 0
1928.7846 1936.4997 1.542590e-16 9.205464e-17 6.662410e-03 0 0
1930.3244 1938.0457 7.105937e-17 8.436522e-17 3.081565e-03 0 0
1931.8642 1939.5916 8.133048e-17 8.275893e-17 3.541248e-03 0 0
1933.4040 1941.1376 2.020193e-16 9.678607e-17 8.831448e-03 0 0
1934.9438 1942.6836 1.446202e-16 8.938198e-17 6.347312e-03 0 0
1936.4836 1944.2296 1.460179e-16 8.863161e-17 6.433913e-03 0 0
1938.0235 1945.7755 3.620759e-17 7.871312e-17 1.601639e-03 0 0
1939.5633 1947.3216 1.466363e-16 8.780078e-17 6.511667e-03 0 0
1941.1032 1948.8676 2.137610e-17 7.786675e-17 9.529167e-04 0 0
1942.6430 1950.4136 8.855366e-17 8.395525e-17 3.962948e-03 0 0
1944.1829 1951.9596 8.967916e-17 8.369042e-17 4.029474e-03 0 0
1945.7228 1953.5057 1.078049e-16 8.309524e-17 4.863384e-03 0 0
1947.2627 1955.0517 4.341511e-17 7.906387e-17 1.966446e-03 0 0
1948.8025 1956.5978 2.240218e-16 9.205621e-17 1.018771e-02 0 0
1950.3425 1958.1438 4.181891e-16 1.086835e-16 1.909452e-02 0 0
1951.8824 1959.6899 -1.129608e-18 7.226205e-17 -5.178724e-05 0 0
1953.4223 1961.2360 1.025714e-16 8.003533e-17 4.721637e-03 0 0
1954.9622 1962.7821 8.903459e-17 8.073215e-17 4.115371e-03 0 0
1956.5022 1964.3282 9.388029e-17 7.928237e-17 4.357408e-03 0 0
1958.0421 1965.8743 1.492428e-16 8.607976e-17 6.956122e-03 0 0
1959.5821 1967.4204 1.038261e-16 8.100114e-17 4.859906e-03 0 0
1961.1221 1968.9665 2.726460e-16 9.380871e-17 1.281702e-02 0 0
1962.6620 1970.5127 8.949294e-17 7.949875e-17 4.225516e-03 0 0
1964.2020 1972.0588 1.252516e-16 8.153035e-17 5.940179e-03 0 0
1965.7420 1973.6050 9.283298e-17 7.776741e-17 4.422722e-03 0 0
1967.2820 1975.1512 6.334642e-17 7.491821e-17 3.031822e-03 0 0
1968.8221 1976.6973 6.189345e-17 7.488439e-17 2.976282e-03 0 0
1970.3621 1978.2435 1.394029e-16 8.099890e-17 6.735479e-03 0 0
1971.9021 1979.7897 6.562954e-17 7.459050e-17 3.186509e-03 0 0
1973.4422 1981.3359 2.236621e-16 8.779081e-17 1.091293e-02 0 0
1974.9822 1982.8821 9.364090e-17 7.698123e-17 4.591917e-03 0 0
1976.5223 1984.4284 1.077752e-17 6.678139e-17 5.311723e-04 0 0
1978.0623 1985.9746 -2.901933e-17 6.338575e-17 -1.437578e-03 0 0
1979.6024 1987.5208 9.896316e-17 7.552107e-17 4.927764e-03 0 0
1981.1425 1989.0671 1.304587e-16 7.805277e-17 6.530023e-03 0 0
1982.6826 1990.6133 2.230420e-16 8.602001e-17 1.122262e-02 0 0
1984.2227 1992.1596 1.832299e-16 8.065840e-17 9.268181e-03 0 0
1985.7628 1993.7059 4.011337e-17 6.850431e-17 2.039742e-03 0 0
1987.3030 1995.2522 1.415836e-16 7.802562e-17 7.237731e-03 0 0
