# obs_wvl flux error
1.580000000000000000e+03 -1.672365045925217064e-13 7.747791394997066705e-14
1.581548452037884999e+03 -3.026446267477786055e-14 3.729107582818204329e-14
1.583096904075769999e+03 -6.308961705595185650e-15 1.830316621715785985e-14
1.584645356113654998e+03 -2.084413104309986399e-14 1.154289668702120095e-14
1.586193808151539997e+03 -1.644007077891526615e-14 8.579082079118584594e-15
1.587742260189424996e+03 -9.278209311746679915e-15 7.271464738508049422e-15
1.589290712227309996e+03 -1.434083363362398134e-15 6.566067833133279208e-15
1.590839164265194995e+03 6.683533421682055897e-16 5.882304030394388069e-15
1.592387616303079994e+03 -9.276362772928158419e-16 4.961733700923215346e-15
1.593936068340964994e+03 -9.810718849324777276e-15 3.660772258394735220e-15
1.595484520378849993e+03 -3.552978199709555545e-15 3.875995933876680820e-15
1.597032972416734992e+03 8.662239660645791101e-16 3.507665802692233596e-15
1.598581424454619992e+03 1.017221670386018913e-15 3.178095199455213633e-15
1.600129876492504991e+03 2.343612429280390324e-16 2.779266555244274059e-15
1.601678328530389990e+03 2.876773146932996589e-15 2.696717859623763202e-15
1.603226780568274989e+03 -1.505770136499601913e-17 2.215639746627041289e-15
1.604775232606159989e+03 -1.039311005716443412e-15 2.002803900620869634e-15
1.606323684644044988e+03 4.818480242665912743e-16 1.943206119231717896e-15
1.607872136681929987e+03 -1.460482146229257324e-15 1.595056025711642915e-15
1.609420588719814987e+03 -2.722419580923414787e-15 1.352979417928580689e-15
1.610969040757699986e+03 5.018374491218282580e-16 1.517708540408913575e-15
1.612517492795584985e+03 2.012947869689864157e-15 1.472278769839138401e-15
1.614065944833469985e+03 1.020848574344774965e-15 1.284404538529720548e-15
1.615614396871354984e+03 -9.948074206308406850e-17 1.147971929042445374e-15
1.617162848909239983e+03 1.327505060921570632e-15 1.190612966794345670e-15
1.618711300947124982e+03 1.555180106912582507e-16 9.946940849072300083e-16
1.620259752985009982e+03 -6.365790038643498886e-16 8.878356830943084147e-16
1.621808205022894981e+03 -1.076703232704471694e-15 8.007120833723805364e-16
1.623356657060779980e+03 -1.025432481161262148e-15 7.653393940965820338e-16
1.624905109098664980e+03 -8.758182493669587415e-17 7.807003810138944984e-16
1.626453561136549979e+03 7.742477827219837958e-16 8.069382094480361745e-16
1.628002013174434978e+03 -4.416398587141578479e-16 6.486262647634604841e-16
1.629550465212319978e+03 8.689885335072437731e-17 6.951438205714235191e-16
1.631098917250204977e+03 -6.265947610314318099e-16 5.838859652120809595e-16
1.632647369288089976e+03 -4.823427622341011790e-16 5.760740798751624324e-16
1.634195821325974975e+03 -5.647703188635074666e-16 5.359266824066123970e-16
1.635744273363859975e+03 8.193131757468430086e-17 5.693572838136236459e-16
1.637292725401744974e+03 4.282684197764996758e-16 5.709606496057857880e-16
1.638841177439629973e+03 5.987247329589755746e-16 5.627253945249145506e-16
1.640389629477514973e+03 -1.225055407082356793e-16 4.801446886099781676e-16
1.641938081515399972e+03 -2.934360873887085940e-16 4.601584483123976061e-16
1.643486533553284971e+03 7.681390758153525435e-18 4.741335797507485713e-16
1.645034985591169971e+03 7.982800745990584502e-17 4.610914779611113803e-16
1.646583437629054970e+03 2.294890525446261875e-16 4.614845490859342729e-16
1.648131889666939969e+03 2.947930390617645833e-16 4.507055289296573495e-16
1.649680341704824968e+03 2.981364989930088368e-16 4.333636592243924875e-16
1.651228793742709968e+03 -3.964202477162981614e-16 3.576515424842746219e-16
1.652777245780594967e+03 3.573795698709309467e-16 4.296714556566711114e-16
1.654325697818479966e+03 4.215421435218607370e-16 4.142727015985048260e-16
1.655874149856364966e+03 1.864868038511744016e-16 3.877124503905669528e-16
1.657422601894249965e+03 -4.713318421218559358e-17 3.594089182749649767e-16
1.658971053932134964e+03 6.937317889046244267e-18 3.589286456815705408e-16
1.660519505970019964e+03 4.366470631207942785e-16 3.879526326622479730e-16
1.662067958007904963e+03 3.209044763524330272e-16 3.589948274841442018e-16
1.663616410045789962e+03 4.232848245450586564e-16 3.686492316006732013e-16
1.665164862083674961e+03 -1.515605017521347413e-16 3.110067554793500881e-16
1.666713314121559961e+03 -5.327978532376143236e-16 2.818033375007692916e-16
1.668261766159444960e+03 3.050171523852620492e-16 3.523338576433694482e-16
1.669810218197329959e+03 2.491660074216258733e-16 3.239533278393013626e-16
1.671358670235214959e+03 4.543682011175656899e-16 3.479825548188303226e-16
1.672907122273099958e+03 7.612605764330065235e-16 3.512890129011971192e-16
1.674455574310984957e+03 1.060581207509562102e-16 2.948902480955334815e-16
1.676004026348869957e+03 -5.536135389756692328e-16 2.351979307319699664e-16
1.677552478386754956e+03 -3.359184699612717346e-16 2.668195483213429408e-16
1.679100930424639955e+03 3.447903777093138468e-16 3.103820141771968839e-16
1.680649382462524954e+03 -5.225324408690262936e-17 2.723753605581610457e-16
1.682197834500409954e+03 8.227767016680755058e-17 2.828618589467316406e-16
1.683746286538294953e+03 -3.185687453812114580e-16 2.402681928602970204e-16
1.685294738576179952e+03 -3.126780358673238639e-16 2.416591948434518976e-16
1.686843190614064952e+03 -5.305220173741225717e-16 2.119672111818559815e-16
1.688391642651949951e+03 -4.788996235205222563e-16 2.232691889778209344e-16
1.689940094689834950e+03 -5.259353092534235965e-16 2.120196933929378369e-16
1.691488546727719950e+03 -3.738985112070310850e-16 2.254943783602031116e-16
1.693036998765604949e+03 3.290747429583406103e-17 2.540518004159557824e-16
1.694585450803489948e+03 1.242368710129837035e-16 2.579784124444525990e-16
1.696133902841374947e+03 1.144442837209737739e-16 2.563308215602777946e-16
1.697682354879259947e+03 -2.087655057446206578e-16 2.226804157614087190e-16
1.699230806917144946e+03 -2.387606889789995491e-16 2.221084197821550381e-16
1.700779258955029945e+03 -1.563785465921212690e-17 2.390807465471182925e-16
1.702327710992914945e+03 3.000287628652714833e-16 2.632260643313756550e-16
1.703876163030799944e+03 1.612648608381830469e-16 2.426906528256695260e-16
1.705424615068684943e+03 2.794418729247463466e-16 2.519916368296150371e-16
1.706973067106569943e+03 2.860816923803192962e-16 2.441352969333185815e-16
1.708521519144454942e+03 -2.069711072995254829e-16 1.995840198188327406e-16
1.710069971182339941e+03 2.258464654169088047e-16 2.496790742121776453e-16
1.711618423220224940e+03 1.527239917204796424e-16 2.311426946784640942e-16
1.713166875258109940e+03 1.154083858767297605e-16 2.266130163880146642e-16
1.714715327295994939e+03 -1.926207469962606176e-16 2.015849082814527300e-16
1.716263779333879938e+03 1.029235806075072069e-16 2.243054924569961484e-16
1.717812231371764938e+03 -1.545344374088311561e-16 1.955558986066489757e-16
1.719360683409649937e+03 1.906376824324596281e-16 2.249373198110072702e-16
1.720909135447534936e+03 1.060584258001346932e-16 2.193868642348591302e-16
1.722457587485419936e+03 2.470540080281387430e-17 2.092245038036751347e-16
1.724006039523304935e+03 1.627031566624216925e-16 2.191105599764769788e-16
1.725554491561189934e+03 -4.011306886564021924e-17 1.949826123914237124e-16
1.727102943599074933e+03 1.695713509131656040e-16 2.207851941042374589e-16
1.728651395636959933e+03 3.246982199259544149e-16 2.275853876160886807e-16
1.730199847674844932e+03 3.760607631517614669e-16 2.288295853254373569e-16
1.731748299712729931e+03 2.604938204259448195e-18 1.951219758770838230e-16
1.733296751750614931e+03 -2.004341516576099043e-16 1.787670124778029721e-16
1.734845203788499930e+03 1.161496106407609430e-16 2.068036088217037278e-16
1.736393655826384929e+03 5.214274388888518745e-17 1.978885229283161619e-16
1.737942107864269929e+03 -3.447539877794404571e-17 1.856769605318970057e-16
1.739490559902154928e+03 -2.219549275863677093e-16 1.685725845915624581e-16
1.741039011940039927e+03 2.074625054319361261e-17 2.054682378671130482e-16
1.742587463977924926e+03 1.107259056996144819e-16 2.014226956122202906e-16
1.744135916015809926e+03 -3.315988433507727460e-16 1.474880332242177138e-16
1.745684368053694925e+03 1.112271831836477153e-16 1.915103619199589715e-16
1.747232820091579924e+03 -4.931071845703878462e-17 1.777209402570208028e-16
1.748781272129464924e+03 1.723785085507862191e-16 1.959781438831293698e-16
1.750329724167349923e+03 4.612095633680521090e-17 1.835189334039383239e-16
1.751878176205234922e+03 5.025789047624854804e-17 1.819080794956107013e-16
1.753426628243119922e+03 -1.803185572879909475e-16 1.616111222375860581e-16
1.754975080281004921e+03 -1.135496259101862428e-16 1.693579450673721776e-16
1.756523532318889920e+03 -1.866245827946040509e-16 1.558796916555986395e-16
1.758071984356774919e+03 2.251476724572907700e-16 1.944967987469073099e-16
1.759620436394659919e+03 2.938508896687639814e-16 1.936375629224642983e-16
1.761168888432544918e+03 1.531825026724093527e-17 1.725924007758633340e-16
1.762717340470429917e+03 2.099761468401383601e-17 1.702424105561535610e-16
1.764265792508314917e+03 4.080539041595731309e-18 1.692020536563271242e-16
1.765814244546199916e+03 1.654321020441775313e-16 1.820185889141535531e-16
1.767362696584084915e+03 8.055501340214827779e-17 1.713400494130217452e-16
1.768911148621969915e+03 4.051437272094035925e-17 1.668983943739899163e-16
1.770459600659854914e+03 1.343015146902140331e-16 1.775106517927330293e-16
1.772008052697739913e+03 -7.391374114952133831e-17 1.503126858587951557e-16
1.773556504735624912e+03 7.649398819185733808e-17 1.709315988914327830e-16
1.775104956773509912e+03 6.211407354290925200e-17 1.651976632921186090e-16
1.776653408811394911e+03 -6.060066391739305955e-17 1.537388159513012947e-16
1.778201860849279910e+03 9.910368574113395786e-17 1.674965515906615847e-16
1.779750312887164910e+03 8.332856270697062799e-17 1.643308177906952196e-16
1.781298764925049909e+03 2.642666454890611990e-17 1.595071063035359032e-16
1.782847216962934908e+03 2.809945059441886862e-16 1.816633210779833784e-16
1.784395669000819908e+03 1.557112478014289210e-16 1.695133923550631508e-16
1.785944121038704907e+03 -6.566733704665178330e-17 1.475196503389500307e-16
1.787492573076589906e+03 2.703258523696899507e-17 1.562224140796042661e-16
1.789041025114474905e+03 2.188230347753143885e-16 1.743632298044137690e-16
1.790589477152359905e+03 -1.217322254650214752e-16 1.395999466731535440e-16
1.792137929190244904e+03 1.920096786008994432e-16 1.663121190940486654e-16
1.793686381228129903e+03 1.887981032471516131e-17 1.532605393326576454e-16
1.795234833266014903e+03 2.606289421964288701e-16 1.686325809837693245e-16
1.796783285303899902e+03 1.226470149577533196e-16 1.587286872872937961e-16
1.798331737341784901e+03 2.100347480414040067e-16 1.624379081769715761e-16
1.799880189379669901e+03 4.944234102502108357e-16 1.832641673775719015e-16
1.801428641417554900e+03 -1.920181493784450050e-16 1.225300744938738961e-16
1.802977093455439899e+03 -2.799319553199061594e-16 1.111504833118888925e-16
1.804525545493324898e+03 3.451949020219425500e-16 1.724310292911726430e-16
1.806073997531209898e+03 2.029181007731025693e-16 1.540370453187317042e-16
1.807622449569094897e+03 1.557389677863378036e-16 1.494418050674037408e-16
1.809170901606979896e+03 1.735809898199201604e-16 1.527767190145053216e-16
1.810719353644864896e+03 -3.182365696340441192e-17 1.309477603062234004e-16
1.812267805682749895e+03 3.125079733660368503e-17 1.349601684687623824e-16
1.813816257720634894e+03 -1.551583878054860259e-17 1.336158626315824381e-16
1.815364709758519894e+03 5.781087348461376814e-17 1.343358269400521245e-16
1.816913161796404893e+03 -1.095256783541535947e-17 1.290060298538524237e-16
1.818461613834289892e+03 -3.465666282843770394e-17 1.242364903084866594e-16
1.820010065872174891e+03 9.575307824170355559e-17 1.345976224263594077e-16
1.821558517910059891e+03 7.949672295136045709e-17 1.300292602165602896e-16
1.823106969947944890e+03 1.087782992649658600e-16 1.329752430241577775e-16
1.824655421985829889e+03 1.210896774226722996e-16 1.353044787030390431e-16
