# obs_wvl flux error
1.597000000000000000e+03 1.597737919615052626e-15 4.170087194933953800e-15
1.600096232126209088e+03 2.065815273567985702e-15 2.755641169538797335e-15
1.603192464252418176e+03 4.789682919043169138e-16 2.217065115673792570e-15
1.606288696378627264e+03 -4.474194961308871042e-16 1.709946569734434842e-15
1.609384928504836353e+03 -1.874937062057561829e-16 1.486647306804877562e-15
1.612481160631045441e+03 -1.876444173107706705e-15 1.160425528668292766e-15
1.615577392757254529e+03 -6.777508040554980920e-16 1.044757173084545691e-15
1.618673624883463617e+03 8.997174253377936164e-16 1.012874651720200522e-15
1.621769857009672705e+03 -3.245614138091492682e-16 8.022807113340598966e-16
1.624866089135881793e+03 -1.123685784390707397e-15 6.610304231845564717e-16
1.627962321262090882e+03 1.073306398203067685e-15 7.234046113050132257e-16
1.631058553388299970e+03 1.676585180658512265e-16 5.885363707987687588e-16
1.634154785514509058e+03 -3.058414880425698376e-16 5.166677182141411726e-16
1.637251017640718146e+03 -5.222438175094351559e-16 4.476789299934574880e-16
1.640347249766927234e+03 -1.496856419010238492e-16 4.375481441096916504e-16
1.643443481893136322e+03 -3.832713014169941388e-16 3.933541437226338387e-16
1.646539714019345411e+03 -4.258245595740681645e-16 3.595967917763256310e-16
1.649635946145554499e+03 -4.386477524090515841e-16 3.319235081036487766e-16
1.652732178271763587e+03 -1.835214660416025022e-16 3.303064769372597922e-16
1.655828410397972675e+03 -2.074291059609465371e-16 3.106494694720025534e-16
1.658924642524181763e+03 4.388270230671059586e-16 3.344031813785621800e-16
1.662020874650390851e+03 -1.502383789567394870e-16 2.826568831480765589e-16
1.665117106776599940e+03 -1.542407454185049348e-17 2.758776722961044857e-16
1.668213338902809028e+03 6.615490099643167420e-17 2.682622844409086655e-16
1.671309571029018116e+03 -3.069601062933939988e-16 2.348284083057023484e-16
1.674405803155227204e+03 -7.651482256891285912e-17 2.381684999300387432e-16
1.677502035281436292e+03 9.909489578913302416e-18 2.370072223794895029e-16
1.680598267407645380e+03 -2.708596942680728953e-16 2.062227404321375365e-16
1.683694499533854469e+03 2.731150479927005742e-16 2.371786224699158447e-16
