# SN2014C ocvc02090 G230LB CCD z=0.003 a2center=555.5 extrsize=7 exptime=538.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(556vs189)
# rest_wvl obs_wvl flux error net dq mask
1659.7867 1664.7661 -5.381137e-14 2.404395e-14 -1.296861e-01 16912 0
1661.1536 1666.1370 -1.760773e-14 1.484798e-14 -4.705407e-02 0 0
1662.5204 1667.5080 8.205798e-15 1.545755e-14 3.003929e-03 0 0
1663.8873 1668.8790 -1.413762e-14 1.803520e-14 -4.226269e-02 16 0
1665.2542 1670.2500 -8.119208e-15 1.354154e-14 -3.059354e-02 0 0
1666.6211 1671.6210 -1.677018e-14 1.204895e-14 -4.851157e-02 16384 0
1667.9880 1672.9920 -3.695185e-15 1.296506e-14 -1.161683e-02 0 0
1669.3550 1674.3630 -3.000097e-14 1.123744e-14 -9.332469e-02 16384 0
1670.7219 1675.7341 1.649754e-14 1.218683e-14 3.934650e-02 0 0
1672.0889 1677.1052 -5.783908e-15 1.012280e-14 -1.931849e-02 16384 0
1673.4559 1678.4762 1.049428e-14 1.078646e-14 2.519976e-02 0 0
1674.8229 1679.8473 -4.604123e-15 9.752204e-15 -1.647444e-02 16384 0
1676.1899 1681.2184 -1.224189e-14 9.217890e-15 -4.528617e-02 16384 0
1677.5569 1682.5896 1.018884e-14 9.926387e-15 2.713622e-02 0 0
1678.9239 1683.9607 -1.873909e-14 9.021009e-15 -7.388160e-02 16384 0
1680.2910 1685.3319 -1.194581e-14 9.729031e-15 -4.853674e-02 16400 0
1681.6581 1686.7030 -2.866225e-15 8.124644e-15 -1.198917e-02 16384 0
1683.0252 1688.0742 -9.253483e-15 8.051525e-15 -3.979962e-02 16384 0
1684.3922 1689.4454 1.978061e-14 9.469156e-15 6.387753e-02 16 0
1685.7594 1690.8166 -1.849122e-13 4.010037e-14 -8.382577e-01 16400 0
1687.1265 1692.1879 1.331976e-14 8.691936e-15 4.432133e-02 0 0
1688.4936 1693.5591 -1.114108e-14 7.288849e-15 -5.302897e-02 16400 0
1689.8608 1694.9304 -5.104570e-15 7.185816e-15 -2.486258e-02 16384 0
1691.2280 1696.3016 1.473751e-16 7.269096e-15 -6.607631e-04 0 0
1692.5951 1697.6729 -9.466949e-15 8.692199e-15 -4.817930e-02 16400 0
1693.9623 1699.0442 -1.549965e-14 7.879273e-15 -8.055506e-02 16400 0
1695.3296 1700.4155 2.920373e-14 8.922704e-15 1.173740e-01 16 0
1696.6968 1701.7869 -7.274769e-15 8.089574e-15 -3.935599e-02 16400 0
1698.0640 1703.1582 -2.587742e-15 7.661823e-15 -1.427016e-02 16400 0
1699.4313 1704.5296 -9.610697e-14 2.496352e-14 -5.400441e-01 16400 0
1700.7986 1705.9009 -1.158930e-14 8.920978e-15 -6.631780e-02 16400 0
1702.1658 1707.2723 -2.414013e-14 8.645930e-15 -1.406353e-01 16400 0
1703.5331 1708.6437 -6.595067e-15 5.972655e-15 -3.909349e-02 16384 0
1704.9004 1710.0151 1.307753e-15 5.888692e-15 4.358698e-03 0 0
1706.2678 1711.3866 6.609643e-15 7.003017e-15 2.818055e-02 16 0
1707.6351 1712.7580 2.528137e-14 6.317501e-15 1.194797e-01 0 0
1709.0025 1714.1295 1.681071e-13 1.052607e-14 9.312511e-01 0 0
1710.3698 1715.5009 -3.199270e-15 6.307183e-15 -2.057224e-02 16400 0
1711.7372 1716.8724 2.640312e-15 5.948554e-15 1.106150e-02 16 0
1713.1046 1718.2439 -8.954223e-14 1.720946e-14 -5.934759e-01 16400 0
1714.4720 1719.6154 -2.319435e-15 5.120207e-15 -1.560130e-02 16384 0
1715.8395 1720.9870 6.765067e-15 5.113134e-15 3.235117e-02 0 0
1717.2069 1722.3585 -5.128291e-15 5.100711e-15 -3.550203e-02 16384 0
1718.5743 1723.7301 4.623983e-14 6.285316e-15 2.597466e-01 0 0
1719.9418 1725.1016 2.584591e-12 3.701065e-14 1.796214e+01 0 0
1721.3093 1726.4732 1.084639e-12 2.339482e-14 7.506766e+00 0 0
1722.6768 1727.8448 6.124343e-13 1.740823e-14 4.222234e+00 0 0
1724.0443 1729.2164 4.993246e-14 6.583249e-15 2.992192e-01 0 0
1725.4118 1730.5880 -1.037932e-14 7.018038e-15 -7.796597e-02 16400 0
1726.7793 1731.9597 -3.890334e-14 1.986661e-14 -2.960723e-01 16400 0
1728.1469 1733.3313 -7.383578e-15 5.598056e-15 -5.692526e-02 16400 0
1729.5145 1734.7030 1.616536e-15 4.498060e-15 7.636165e-03 0 0
1730.8820 1736.0747 -9.026998e-15 4.389329e-15 -7.139179e-02 16384 0
1732.2496 1737.4464 4.450763e-15 4.693925e-15 2.444683e-02 0 0
1733.6172 1738.8181 3.340542e-15 4.394955e-15 1.813525e-02 0 0
1734.9848 1740.1898 8.422961e-16 4.214970e-15 3.505982e-03 0 0
1736.3525 1741.5615 -3.227040e-15 4.153526e-15 -2.681332e-02 16384 0
1737.7201 1742.9333 3.749480e-15 4.211174e-15 2.138573e-02 0 0
1739.0878 1744.3050 8.017743e-15 4.355541e-15 4.894018e-02 0 0
1740.4554 1745.6768 1.799489e-14 5.756204e-15 1.173299e-01 16 0
1741.8231 1747.0486 3.218344e-15 4.161692e-15 1.880001e-02 0 0
1743.1908 1748.4204 -3.788757e-15 5.780434e-15 -3.339854e-02 16400 0
