# obs_wvl flux error
2.968000000000000000e+03 4.148441801212871757e-15 2.148509757634787903e-16
2.970747146386679560e+03 8.974506778240666387e-15 2.409803532642291758e-16
2.973494292773359120e+03 7.357123370618249332e-15 1.819517524896857258e-16
2.976241439160038681e+03 2.959188665102546113e-15 1.248840942270677714e-16
2.978988585546718241e+03 1.101385107620630469e-15 9.924605618378091339e-17
2.981735731933397801e+03 2.190915903531727966e-15 1.005514080493111207e-16
2.984482878320077361e+03 3.168242103579182230e-15 1.072957163305791416e-16
2.987230024706756922e+03 2.976265781658646430e-15 1.040002446977884907e-16
2.989977171093436482e+03 1.215099981490870164e-15 8.156826231364612314e-17
2.992724317480116042e+03 -2.298399399073444059e-16 8.105761671176128641e-17
2.995471463866795602e+03 -6.043994993773595926e-17 9.845924043270693556e-17
2.998218610253475163e+03 -1.195351685287893979e-16 7.934119504743537004e-17
3.000965756640154723e+03 -1.423112303483008394e-16 7.135625353025564474e-17
3.003712903026834283e+03 2.688531818640067691e-16 7.394180714207671803e-17
3.006460049413513843e+03 6.209798883867347846e-16 7.841237447285315899e-17
3.009207195800193404e+03 7.611093777117854575e-16 7.473535770163588475e-17
3.011954342186872964e+03 1.110979014918558927e-15 7.539459119170521540e-17
3.014701488573552524e+03 1.484564061094489549e-15 8.584887523305397606e-17
3.017448634960232084e+03 2.077057781041073026e-15 8.792401289184142266e-17
3.020195781346911645e+03 1.170515979146593185e-15 8.844992547441511945e-17
3.022942927733591205e+03 3.449116207321020889e-16 7.094320221195265708e-17
3.025690074120270765e+03 6.917424539296473206e-16 7.257085567764563845e-17
3.028437220506950325e+03 2.798478968890909644e-16 6.206981502602105729e-17
3.031184366893629885e+03 5.438865623713153035e-17 6.469248768662848403e-17
3.033931513280309446e+03 6.127432425952911001e-17 5.871302126270034734e-17
3.036678659666989006e+03 7.398334986374696769e-17 6.133846859074591307e-17
3.039425806053668566e+03 5.117474830433593478e-16 6.610756069606364600e-17
3.042172952440348126e+03 6.187029381356707627e-16 6.227656977611802061e-17
3.044920098827027687e+03 1.065982724188903789e-15 6.032480982900107077e-17
3.047667245213707247e+03 5.345005464000919996e-17 5.747566778100316561e-17
3.050414391600386807e+03 2.629200575531655569e-16 5.958859809708174805e-17
3.053161537987066367e+03 5.819249513939207939e-18 5.249968432511697626e-17
3.055908684373745928e+03 5.668021777956359165e-17 5.547156186266934049e-17
3.058655830760425488e+03 -7.616639269567548998e-17 5.055830845727860265e-17
3.061402977147105048e+03 -7.082270648846428569e-17 5.004839155829370830e-17
3.064150123533784608e+03 1.817802841038708395e-16 5.247703501468240432e-17
3.066897269920464169e+03 1.241214911428272172e-16 4.786304350388282094e-17
3.069644416307143729e+03 -4.020012809411430243e-17 5.131048783306719430e-17
3.072391562693823289e+03 1.788651755214597051e-16 5.125775158378805665e-17
3.075138709080502849e+03 8.233309257672359999e-16 5.136889848022255392e-17
3.077885855467182409e+03 4.247566890512664019e-16 5.052620044874953335e-17
3.080633001853861970e+03 -5.599809273365401421e-17 5.332522539156140139e-17
3.083380148240541530e+03 -3.030324177999280585e-17 5.313428501445203547e-17
3.086127294627221090e+03 5.063044378722658923e-17 4.655798097861555231e-17
3.088874441013900650e+03 -3.387290142632301330e-17 4.387808647901309711e-17
3.091621587400580211e+03 -1.857176344340309747e-16 4.448127825853979927e-17
3.094368733787259771e+03 5.015864840464648969e-17 5.194471815632534036e-17
3.097115880173939331e+03 2.413427423374563861e-16 4.633543848004938845e-17
3.099863026560618891e+03 6.685394706288991515e-16 5.440926117448088787e-17
3.102610172947298452e+03 8.318071985756469613e-16 5.637093254425987595e-17
3.105357319333978012e+03 1.179174817681349370e-15 4.923050340486744000e-17
3.108104465720657572e+03 2.204976257825418998e-17 4.599803961838560070e-17
3.110851612107337132e+03 -5.215324960327743903e-17 4.262230879666366173e-17
3.113598758494016693e+03 6.026575344213246638e-17 4.448669555734783724e-17
3.116345904880696253e+03 9.019607095638795798e-18 4.374382083041764713e-17
3.119093051267375813e+03 -1.595332986833813114e-16 4.810220065957699950e-17
3.121840197654055373e+03 -1.327206473732072464e-16 4.398657326487454338e-17
3.124587344040734934e+03 1.258273158114988770e-16 4.271495853535451228e-17
3.127334490427414494e+03 4.633151682413376418e-16 4.844100520449956370e-17
3.130081636814094054e+03 3.961582964711308002e-16 4.212607384031036614e-17
3.132828783200773614e+03 1.906123661680939507e-16 4.218485689052922271e-17
3.135575929587453174e+03 1.262211232008082539e-16 4.680151245014588534e-17
3.138323075974132735e+03 3.690468903039703619e-16 4.661870744806125475e-17
3.141070222360812295e+03 7.134105951121173310e-16 4.955464847852675161e-17
3.143817368747491855e+03 2.091817360539848895e-16 4.795430869351402997e-17
3.146564515134171415e+03 5.766367208602330091e-17 4.234766326648134256e-17
3.149311661520850976e+03 -2.182288499729757288e-17 3.924984251167291094e-17
3.152058807907530536e+03 1.038193716996257866e-16 3.924763142615721113e-17
3.154805954294210096e+03 3.738213283406053348e-16 4.165615078636133629e-17
3.157553100680889656e+03 1.130208234645464019e-15 4.837442099226268991e-17
3.160300247067569217e+03 1.959239886586126614e-15 4.783201918716295450e-17
3.163047393454248777e+03 5.337133724506308493e-16 4.301820243111888824e-17
3.165794539840928337e+03 7.087127766265347740e-17 3.878961336321947621e-17
3.168541686227607897e+03 -8.872129471681891890e-17 3.500744373650356258e-17
3.171288832614287458e+03 1.674493129294882433e-18 3.720757788974665581e-17
3.174035979000967018e+03 4.526593640789406625e-18 3.823224087140245811e-17
3.176783125387646578e+03 1.930155010356460311e-16 3.957571841272311869e-17
3.179530271774326138e+03 2.919814888284382065e-16 3.892476468138000911e-17
3.182277418161005698e+03 9.340648023865090067e-17 3.914808247979025776e-17
3.185024564547685259e+03 -7.911785829199802803e-17 4.302868200176233915e-17
3.187771710934364819e+03 -8.776649490766789545e-17 3.960133078173704724e-17
3.190518857321044379e+03 -4.370575939890220667e-17 4.142471136297957328e-17
3.193266003707723939e+03 2.451652389083457987e-16 3.863948639989530412e-17
3.196013150094403500e+03 1.534038527746426730e-16 3.795035908903980995e-17
3.198760296481083060e+03 3.029910434549477084e-16 4.074044889468145628e-17
3.201507442867762620e+03 1.244053942623048842e-16 3.497922430572467712e-17
3.204254589254442180e+03 3.895695640026199276e-17 3.490192309985563449e-17
3.207001735641121741e+03 -6.568744398783226198e-17 3.491158449131047277e-17
3.209748882027801301e+03 -3.887614471707790243e-17 3.417323719447091609e-17
3.212496028414480861e+03 2.140193202959721750e-18 3.265526214448467183e-17
3.215243174801160421e+03 4.422910385233874725e-18 3.384537626295598480e-17
3.217990321187839982e+03 -3.263695841243793017e-17 3.164990543973501065e-17
3.220737467574519542e+03 4.256413467435143447e-16 3.872154988685588233e-17
3.223484613961199102e+03 6.244964141662199207e-16 4.386338859830570802e-17
3.226231760347878662e+03 7.943720571187536590e-17 3.956367235488693527e-17
3.228978906734558223e+03 -4.255124197390089751e-17 4.056309293067346906e-17
3.231726053121237783e+03 -1.207136577322643660e-16 4.036241590062054361e-17
3.234473199507917343e+03 1.057550051981017918e-18 3.113802928855611314e-17
3.237220345894596903e+03 2.549577880420900871e-17 3.158483834136680091e-17
3.239967492281276463e+03 5.290354986783780687e-18 3.294852798340983780e-17
3.242714638667956024e+03 5.030880757924034315e-18 3.493273813453494467e-17
3.245461785054635584e+03 6.991237084983883094e-16 4.379496984307828883e-17
3.248208931441315144e+03 1.092187975110284011e-15 4.541586681841604128e-17
3.250956077827994704e+03 2.206670849863618538e-16 3.236437396813602575e-17
3.253703224214674265e+03 3.619690869663340908e-17 3.167119317674374058e-17
3.256450370601353825e+03 2.258848629895491338e-17 3.102803453209194725e-17
3.259197516988033385e+03 -5.482646158406553217e-17 3.078605146135795480e-17
3.261944663374712945e+03 1.070475969948647315e-17 3.960716401679092486e-17
3.264691809761392506e+03 4.248334299200529078e-17 3.946844710329269083e-17
3.267438956148072066e+03 2.822759531316587380e-16 3.852294697263839987e-17
3.270186102534751626e+03 7.582888809350474275e-16 3.400580170201464966e-17
3.272933248921431186e+03 4.295419148050626339e-16 3.477515352646286294e-17
3.275680395308110747e+03 1.454702911731053859e-16 3.041415499826874760e-17
3.278427541694790307e+03 -4.361874534412760147e-17 2.819441432478103667e-17
3.281174688081469867e+03 5.018662903642014611e-17 3.074681535697672424e-17
3.283921834468149427e+03 9.282784378128766852e-17 3.386704785034800318e-17
3.286668980854828988e+03 1.631639380391831291e-16 3.046517811824774928e-17
3.289416127241508548e+03 1.579347879758787243e-16 3.161598989726976645e-17
3.292163273628188108e+03 6.139712932916982747e-17 3.339735480399023286e-17
3.294910420014867668e+03 -2.805093105928721209e-17 3.533818590464860702e-17
3.297657566401547228e+03 5.108261010983247614e-17 3.596731184881112972e-17
3.300404712788226789e+03 8.049317105002559548e-17 3.206658512527906322e-17
3.303151859174906349e+03 6.703491773729430204e-18 3.220221083778258349e-17
3.305899005561585909e+03 -4.228931612074848617e-17 3.428070846174520363e-17
3.308646151948265469e+03 2.609595760799082279e-17 3.224659431586209019e-17
3.311393298334945030e+03 2.307080303820137110e-17 3.559691265847272934e-17
3.314140444721624590e+03 -6.612101528379592009e-17 2.848543863833083182e-17
3.316887591108304150e+03 -5.637498693363930376e-17 2.818897970727237392e-17
3.319634737494983710e+03 1.977848510071635810e-17 3.010091145911589035e-17
3.322381883881663271e+03 2.431394069209872144e-17 2.872688003902145590e-17
3.325129030268342831e+03 -4.712952943234220017e-17 3.344023723563616424e-17
3.327876176655022391e+03 -2.171446222845820378e-17 2.873190985980174341e-17
3.330623323041701951e+03 3.199867968976185984e-16 3.146713023954405601e-17
3.333370469428381512e+03 3.079187134427741436e-16 3.427425502930105955e-17
3.336117615815061072e+03 -3.389494474982655452e-17 3.459661989969559861e-17
3.338864762201740632e+03 -2.543772121246512980e-18 2.793570528766360858e-17
3.341611908588420192e+03 1.080209658636433770e-17 2.674747379703081068e-17
3.344359054975099752e+03 -3.004872156500473061e-17 3.013380771542307358e-17
3.347106201361779313e+03 2.471277948787195748e-16 3.051159354778789283e-17
