# SN2014C ocvc02010 G430L CCD z=0.003 a2center=834.7 extrsize=9 exptime=503.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(835vs258)
# rest_wvl obs_wvl flux error net dq mask
2877.7755 2886.4089 -2.917022e-14 1.748736e-14 -1.595709e-01 16912 0
2880.5123 2889.1538 -8.506013e-15 6.146456e-15 -6.107310e-02 16912 0
2883.2491 2891.8988 1.993711e-15 4.879739e-15 1.587298e-02 512 0
2885.9859 2894.6438 2.844839e-15 4.318572e-15 2.686786e-02 528 0
2888.7227 2897.3888 -1.121213e-14 6.880322e-15 -1.382579e-01 16912 0
2891.4595 2900.1339 6.526147e-15 3.347482e-15 8.182672e-02 528 0
2894.1964 2902.8790 4.025839e-15 2.947833e-15 5.627294e-02 512 0
2896.9333 2905.6241 -4.061391e-15 4.595039e-15 -7.113347e-02 16912 0
2899.6702 2908.3692 2.457278e-15 2.262426e-15 4.257046e-02 512 0
2902.4071 2911.1143 5.317974e-15 2.386464e-15 1.031401e-01 528 0
2905.1441 2913.8595 6.986463e-15 5.191470e-15 1.524692e-01 528 0
2907.8810 2916.6047 -4.068503e-15 2.138747e-15 -1.099517e-01 16912 0
2910.6180 2919.3499 -2.078311e-15 2.415313e-15 -6.305368e-02 16912 0
2913.3551 2922.0951 -2.356814e-16 1.233443e-15 -8.939533e-03 512 0
2916.0921 2924.8404 2.185367e-16 1.131970e-15 5.438885e-03 512 0
2918.8292 2927.5857 4.926317e-16 1.038896e-15 1.676095e-02 512 0
2921.5663 2930.3310 -8.050980e-16 1.138705e-15 -3.928414e-02 16912 0
2924.3034 2933.0763 5.595417e-16 7.978228e-16 2.556926e-02 528 0
2927.0405 2935.8216 -9.665639e-16 1.946753e-15 -6.108608e-02 16912 0
2929.7777 2938.5670 1.394300e-15 6.393120e-16 8.806741e-02 528 0
2932.5149 2941.3124 7.664156e-16 8.531691e-16 5.363312e-02 528 0
2935.2521 2944.0578 -1.786424e-16 5.163958e-16 -1.626721e-02 16912 0
2937.9893 2946.8033 3.905672e-17 4.244968e-16 1.583090e-03 512 0
2940.7265 2949.5487 1.278917e-15 5.364495e-16 1.283263e-01 528 0
2943.4638 2952.2942 2.318922e-16 3.554896e-16 2.363486e-02 512 0
2946.2011 2955.0397 2.289357e-16 3.034632e-16 2.580281e-02 512 0
2948.9384 2957.7852 3.233639e-16 2.818846e-16 4.086233e-02 512 0
2951.6757 2960.5308 1.810176e-16 3.606897e-16 2.387430e-02 528 0
2954.4131 2963.2763 5.715377e-16 2.545770e-16 8.643632e-02 512 0
2957.1505 2966.0219 9.707434e-16 2.444460e-16 1.589584e-01 512 0
2959.8879 2968.7675 1.517862e-14 4.719615e-16 2.830132e+00 0 0
2962.6253 2971.5132 3.619723e-13 2.046065e-15 7.243172e+01 0 0
2965.3627 2974.2588 9.358406e-13 3.240885e-15 1.952251e+02 0 0
