# SN2017CBV oder04010 G230L MAMA z=0.004 a2center=514.2 extrsize=11 exptime=2378.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1571.2700 1577.5551 0.000000e+00 0.000000e+00 -5.046732e-03 2564 0
1572.8075 1579.0988 0.000000e+00 0.000000e+00 3.566139e-04 2564 0
1574.3451 1580.6425 4.657294e-15 4.866772e-14 2.195706e-04 2564 0
1575.8826 1582.1861 1.922104e-14 2.593331e-14 2.273608e-03 2564 0
1577.4202 1583.7298 4.019631e-14 1.776176e-14 7.621810e-03 2048 0
1578.9577 1585.2735 -1.388472e-14 1.152362e-14 -3.625677e-03 0 0
1580.4953 1586.8173 1.276753e-14 1.050296e-14 4.249355e-03 0 0
1582.0329 1588.3610 -1.343912e-14 6.823029e-15 -5.438932e-03 0 0
1583.5704 1589.9047 -3.015264e-15 6.432499e-15 -1.437612e-03 0 0
1585.1080 1591.4485 -1.151645e-15 5.169077e-15 -6.323408e-04 0 0
1586.6456 1592.9922 -1.716938e-15 5.122719e-15 -1.067211e-03 0 0
1588.1832 1594.5360 -4.895109e-16 4.467369e-15 -3.469103e-04 0 0
1589.7209 1596.0797 1.086014e-15 4.019619e-15 8.672122e-04 0 0
1591.2585 1597.6235 7.952463e-16 3.567005e-15 7.180289e-04 0 0
1592.7961 1599.1673 2.573067e-15 3.328298e-15 2.600196e-03 0 0
1594.3338 1600.7111 -1.391033e-15 2.716251e-15 -1.573452e-03 0 0
1595.8714 1602.2549 -5.152660e-16 2.473761e-15 -6.467554e-04 0 0
1597.4091 1603.7987 -5.750338e-15 1.839099e-15 -7.999234e-03 0 0
1598.9468 1605.3426 1.752718e-15 2.216317e-15 2.682829e-03 0 0
1600.4845 1606.8864 -1.801628e-15 1.733502e-15 -3.029840e-03 0 0
1602.0221 1608.4302 9.066856e-16 1.788285e-15 1.665448e-03 0 0
1603.5598 1609.9741 9.088356e-17 1.595410e-15 1.820693e-04 0 0
1605.0976 1611.5179 -6.283536e-17 1.457987e-15 -1.366265e-04 0 0
1606.6353 1613.0618 -1.035451e-15 1.270823e-15 -2.439602e-03 0 0
1608.1730 1614.6057 -1.252104e-15 1.161017e-15 -3.183648e-03 0 0
1609.7107 1616.1496 8.606658e-16 1.197269e-15 2.356940e-03 0 0
1611.2485 1617.6935 1.628614e-15 1.178087e-15 4.786686e-03 0 0
1612.7862 1619.2374 -7.079600e-16 9.776893e-16 -2.228252e-03 0 0
1614.3240 1620.7813 2.370933e-16 9.698631e-16 7.966644e-04 0 0
1615.8618 1622.3252 -1.909898e-15 7.514576e-16 -6.835165e-03 0 0
1617.3996 1623.8691 -4.576737e-16 7.872848e-16 -1.739758e-03 0 0
1618.9373 1625.4131 -1.527068e-15 6.959931e-16 -6.151076e-03 0 0
1620.4751 1626.9570 -1.075755e-15 6.571798e-16 -4.580320e-03 0 0
1622.0129 1628.5010 -7.830072e-16 6.431484e-16 -3.515867e-03 0 0
1623.5508 1630.0450 1.358901e-16 6.828117e-16 6.420542e-04 0 0
1625.0886 1631.5889 1.058696e-15 7.064642e-16 5.251991e-03 0 0
1626.6264 1633.1329 -1.308405e-16 5.959090e-16 -6.801201e-04 0 0
1628.1643 1634.6769 1.199766e-16 5.683052e-16 6.521618e-04 0 0
1629.7021 1636.2209 3.982238e-16 5.901889e-16 2.259446e-03 0 0
1631.2400 1637.7649 -1.010356e-15 4.650532e-16 -5.972695e-03 0 0
1632.7779 1639.3090 -3.829997e-16 4.834311e-16 -2.354969e-03 0 0
1634.3157 1640.8530 -8.719159e-16 4.328002e-16 -5.567317e-03 0 0
1635.8536 1642.3970 -7.243526e-16 4.280125e-16 -4.795605e-03 0 0
1637.3915 1643.9411 -6.137134e-16 4.099858e-16 -4.206904e-03 0 0
