ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.2155,0.0000,0.2155,no,822.80,yes
Al III,1862.790,0.2780,0.0000,0.1870,0.0000,0.1870,no,410.97,yes
Zn II,2026.137,0.5010,0.0000,0.0000,0.0000,0.0000,no,805.58,yes
Cr II,2056.254,0.1050,0.0542,0.1571,0.0873,0.1797,no,3.60,no
Cr II,2062.234,0.0780,0.3455,0.2697,0.1866,0.3280,no,2.68,no
Zn II,2062.664,0.2460,0.0000,0.1673,0.0000,0.1673,no,402.69,yes
Cr II,2066.161,0.0510,0.7092,0.3431,0.1327,0.3678,yes,1.76,no
Fe II,2249.877,0.0018,1.0741,0.4392,0.2610,0.5109,yes,3.25,no
Fe II,2260.780,0.0024,0.7428,0.3809,0.1986,0.4295,no,4.38,no
Fe II,2344.214,0.1140,0.3023,0.1529,0.1472,0.2123,no,212.08,yes
Fe II,2374.461,0.0313,1.6609,0.1604,0.1637,0.2292,yes,58.98,yes
Fe II,2382.765,0.3200,0.2411,0.1686,0.1359,0.2166,no,605.11,yes
Mn II,2576.877,0.3610,1.6906,0.1725,0.1672,0.2402,yes,15.22,yes
Fe II,2586.650,0.0691,2.5433,0.1766,0.0635,0.1876,yes,141.85,yes
Mn II,2594.499,0.2800,2.7383,0.2958,0.2159,0.3662,yes,11.89,yes
Fe II,2600.173,0.2390,1.1727,0.3180,0.0811,0.3281,yes,493.18,yes
Mn II,2606.462,0.1980,1.0209,0.1980,0.2456,0.3155,yes,8.45,yes
Mg II,2796.352,0.6150,4.0594,0.7139,1.0883,1.3015,yes,12.19,yes
Mg II,2803.531,0.3060,0.8678,0.3731,0.1947,0.4208,yes,6.08,yes
Mg I,2852.964,1.8300,0.0405,0.0334,0.0483,0.0587,no,4143.36,yes
