# obs_wvl flux error
2.966000000000000000e+03 1.921777319257352706e-14 8.700568909474485213e-16
2.968746660637777950e+03 1.731484641142408087e-14 6.078109610945526260e-16
2.971493321275555900e+03 1.788601417023199113e-14 6.064682512877318987e-16
2.974239981913333850e+03 2.023827801583729927e-14 5.943136142912370014e-16
2.976986642551111800e+03 2.049622912804367220e-14 5.844521687986324515e-16
2.979733303188889749e+03 2.008265829044766982e-14 5.807114709007500320e-16
2.982479963826667699e+03 2.017808363492484763e-14 5.819304762386465014e-16
2.985226624464445649e+03 1.962739958814819347e-14 5.541498539808254029e-16
2.987973285102223599e+03 1.973780971898969282e-14 5.463913015470089434e-16
2.990719945740001549e+03 2.013465577797249775e-14 5.448714273607794176e-16
2.993466606377779499e+03 1.843829442908631377e-14 5.314267188852374211e-16
2.996213267015557449e+03 2.005149316900837795e-14 5.376581412663832441e-16
2.998959927653335399e+03 2.073215358580809018e-14 5.578325219712963236e-16
3.001706588291113349e+03 2.159653692653379985e-14 8.058278058270983954e-16
3.004453248928891298e+03 2.114959119388214502e-14 6.093363986432189149e-16
3.007199909566669248e+03 2.017047793137076407e-14 5.127599598006627191e-16
3.009946570204447198e+03 2.095816908067211076e-14 5.222239835000103797e-16
3.012693230842225148e+03 2.192953841170848385e-14 6.190497172800144247e-16
3.015439891480003098e+03 2.114806060696175964e-14 5.322203065592023567e-16
3.018186552117781048e+03 2.052341687732982957e-14 4.932046274329724240e-16
3.020933212755558998e+03 2.148142689918213015e-14 4.981362170466082447e-16
3.023679873393336948e+03 2.152722981306974116e-14 5.014465783454471978e-16
3.026426534031114898e+03 2.042315025128578856e-14 4.764233651006111665e-16
3.029173194668892847e+03 1.983663883250562560e-14 4.638192698027397539e-16
3.031919855306670797e+03 2.108861413881813034e-14 4.745540435009291517e-16
3.034666515944448747e+03 2.107558033410069692e-14 4.774576770027118436e-16
3.037413176582226697e+03 2.075579424683841234e-14 4.738354662276268714e-16
3.040159837220004647e+03 2.052977278998874472e-14 4.538093025527176017e-16
3.042906497857782597e+03 1.969433107297804190e-14 4.357534728181139745e-16
3.045653158495560547e+03 2.021573647074006873e-14 4.364703096228339299e-16
3.048399819133338497e+03 1.904778699295546184e-14 4.803310454934279272e-16
3.051146479771116446e+03 1.932936397637395259e-14 4.384683105416268804e-16
3.053893140408894396e+03 1.977612677494372852e-14 4.338193471961108467e-16
3.056639801046672346e+03 1.933210561422024106e-14 4.140270333612956780e-16
3.059386461684450296e+03 1.989266740456032950e-14 4.116269017140083897e-16
3.062133122322228246e+03 1.936681078740242490e-14 4.018179232722274958e-16
3.064879782960006196e+03 1.883756531819247807e-14 3.963900600329988968e-16
3.067626443597784146e+03 1.897309495320018142e-14 3.927548635139103828e-16
3.070373104235562096e+03 1.884821667898331511e-14 3.889164323329001484e-16
3.073119764873340046e+03 1.856735329704749248e-14 3.927613910177735906e-16
3.075866425511117995e+03 1.854613449734339638e-14 3.946140700448614089e-16
3.078613086148895945e+03 1.862224317260361853e-14 3.894484120295252667e-16
3.081359746786673895e+03 1.822186974783043969e-14 4.270039076292615380e-16
3.084106407424451845e+03 1.783481381643418077e-14 3.881102555586540003e-16
3.086853068062229795e+03 1.804337124188214022e-14 3.700030038387537531e-16
3.089599728700007745e+03 1.844495645320355201e-14 3.797436293014951448e-16
3.092346389337785695e+03 1.757857538543451978e-14 3.709342183679113001e-16
3.095093049975563645e+03 1.745944650944718440e-14 3.644309558630853337e-16
3.097839710613341595e+03 1.831298364283746223e-14 3.665175716205666029e-16
3.100586371251119544e+03 1.829527886078343942e-14 3.658720421426333331e-16
3.103333031888897494e+03 1.827416277187737281e-14 3.645439546517295767e-16
3.106079692526675444e+03 1.897130201176527278e-14 4.321473142877730087e-16
