# SN2017ERP odai06030 G230L MAMA z=0.006 a2center=515.4 extrsize=11 exptime=2959.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1569.3370 1578.7530 0.000000e+00 0.000000e+00 -1.811379e-03 2564 0
1570.8713 1580.2965 -7.355171e-14 9.884980e-14 -2.543133e-03 2564 0
1572.4056 1581.8400 1.091695e-14 2.268682e-14 1.031114e-03 2564 0
1573.9399 1583.3835 -6.496751e-15 1.659238e-14 -1.003799e-03 2564 0
1575.4742 1584.9270 2.638846e-14 1.412168e-14 5.666859e-03 2048 0
1577.0085 1586.4705 -1.728047e-14 1.003409e-14 -4.755072e-03 0 0
1578.5428 1588.0140 1.643955e-14 9.748821e-15 5.520009e-03 0 0
1580.0771 1589.5576 -1.265071e-14 6.820891e-15 -5.016833e-03 0 0
1581.6114 1591.1011 9.630793e-15 6.657668e-15 4.406704e-03 0 0
1583.1458 1592.6447 -9.830093e-15 4.858088e-15 -5.099471e-03 0 0
1584.6801 1594.1882 2.669854e-15 5.226536e-15 1.578111e-03 0 0
1586.2145 1595.7318 5.918387e-15 4.721613e-15 3.947292e-03 0 0
1587.7489 1597.2754 8.910486e-15 4.336582e-15 6.717361e-03 0 0
1589.2833 1598.8190 -1.940676e-16 3.448711e-15 -1.639526e-04 0 0
1590.8176 1600.3626 2.142202e-16 3.111181e-15 2.025680e-04 0 0
1592.3520 1601.9062 9.469573e-17 2.795379e-15 9.947596e-05 0 0
1593.8864 1603.4498 -1.332115e-15 2.408499e-15 -1.551032e-03 0 0
1595.4209 1604.9934 3.726623e-16 2.275086e-15 4.779068e-04 0 0
1596.9553 1606.5370 -1.789688e-15 1.996021e-15 -2.521973e-03 0 0
1598.4897 1608.0807 1.858577e-16 1.875889e-15 2.863100e-04 0 0
1600.0242 1609.6243 1.452049e-16 1.749126e-15 2.439949e-04 0 0
1601.5586 1611.1680 4.948772e-16 1.634402e-15 9.032558e-04 0 0
1603.0931 1612.7116 -1.934032e-15 1.354215e-15 -3.825751e-03 0 0
1604.6275 1614.2553 -1.165918e-15 1.283264e-15 -2.490677e-03 0 0
1606.1620 1615.7990 -1.457096e-15 1.187429e-15 -3.353296e-03 0 0
1607.6965 1617.3427 2.507225e-17 1.166797e-15 6.196578e-05 0 0
1609.2310 1618.8864 -4.039199e-16 1.078826e-15 -1.069346e-03 0 0
1610.7655 1620.4301 -9.019267e-16 9.939167e-16 -2.550592e-03 0 0
1612.3000 1621.9738 1.153397e-15 1.037209e-15 3.475151e-03 0 0
1613.8346 1623.5176 -3.125157e-16 8.924260e-16 -1.000655e-03 0 0
1615.3691 1625.0613 -2.678211e-16 8.320019e-16 -9.090187e-04 0 0
1616.9036 1626.6050 -5.070404e-16 7.935613e-16 -1.819967e-03 0 0
1618.4382 1628.1488 5.960949e-16 7.968597e-16 2.257275e-03 0 0
1619.9727 1629.6926 7.495750e-17 7.291756e-16 2.988048e-04 0 0
1621.5073 1631.2363 8.012988e-17 7.117095e-16 3.355085e-04 0 0
1623.0419 1632.7801 7.695330e-16 7.101119e-16 3.377527e-03 0 0
1624.5765 1634.3239 1.490184e-16 6.414255e-16 6.842196e-04 0 0
1626.1111 1635.8677 1.256443e-16 5.988450e-16 6.023853e-04 0 0
1627.6457 1637.4115 5.044443e-16 6.199410e-16 2.520771e-03 0 0
1629.1803 1638.9554 -2.287702e-16 5.491058e-16 -1.189489e-03 0 0
1630.7149 1640.4992 5.931149e-16 5.692251e-16 3.203673e-03 0 0
1632.2495 1642.0430 6.659632e-16 5.598425e-16 3.730984e-03 0 0
1633.7842 1643.5869 7.127820e-16 5.393488e-16 4.136113e-03 0 0
1635.3188 1645.1307 -8.215351e-16 4.273537e-16 -4.930642e-03 0 0
1636.8535 1646.6746 9.247363e-17 4.787191e-16 5.733550e-04 0 0
1638.3881 1648.2185 2.951866e-16 4.636920e-16 1.888343e-03 0 0
1639.9228 1649.7623 -3.235038e-16 4.181432e-16 -2.133081e-03 0 0
1641.4575 1651.3062 -2.116804e-16 4.160909e-16 -1.436629e-03 0 0
1642.9922 1652.8501 8.072975e-16 4.612445e-16 5.634338e-03 0 0
1644.5269 1654.3941 5.668004e-17 4.077793e-16 4.063910e-04 0 0
1646.0616 1655.9380 -1.383035e-17 3.904372e-16 -1.017918e-04 0 0
1647.5963 1657.4819 -8.752672e-17 3.778131e-16 -6.606425e-04 0 0
1649.1310 1659.0258 7.174928e-17 3.763672e-16 5.549982e-04 0 0
1650.6658 1660.5698 -8.542790e-16 3.195178e-16 -6.765929e-03 0 0
1652.2005 1662.1137 1.214642e-16 3.579984e-16 9.843940e-04 0 0
1653.7353 1663.6577 2.345971e-16 3.678290e-16 1.943873e-03 0 0
1655.2701 1665.2017 -5.928462e-17 3.377956e-16 -5.019795e-04 0 0
1656.8048 1666.7457 4.786416e-16 3.574321e-16 4.138243e-03 0 0
1658.3396 1668.2896 -5.129772e-16 2.915117e-16 -4.526583e-03 0 0
1659.8744 1669.8336 1.909484e-16 3.292356e-16 1.718509e-03 0 0
1661.4092 1671.3777 -1.962853e-16 3.082799e-16 -1.801023e-03 0 0
1662.9440 1672.9217 -4.648761e-16 2.814007e-16 -4.346097e-03 0 0
1664.4788 1674.4657 5.807132e-17 3.033001e-16 5.529803e-04 0 0
1666.0137 1676.0097 -5.187761e-16 2.634157e-16 -5.029056e-03 0 0
1667.5485 1677.5538 2.283380e-16 3.030239e-16 2.252757e-03 0 0
1669.0833 1679.0978 -3.648334e-16 2.633615e-16 -3.661423e-03 0 0
1670.6182 1680.6419 1.261106e-16 2.937535e-16 1.287094e-03 0 0
1672.1531 1682.1860 1.071855e-16 2.797084e-16 1.111969e-03 0 0
1673.6879 1683.7301 -3.285183e-16 2.566042e-16 -3.463465e-03 0 0
1675.2228 1685.2741 4.273717e-16 2.921410e-16 4.576714e-03 0 0
1676.7577 1686.8182 3.875383e-16 2.931561e-16 4.214709e-03 0 0
1678.2926 1688.3624 -2.417369e-16 2.426062e-16 -2.668762e-03 0 0
1679.8275 1689.9065 1.596675e-16 2.690765e-16 1.789022e-03 0 0
1681.3624 1691.4506 -6.199308e-17 2.425637e-16 -7.046814e-04 0 0
1682.8973 1692.9947 4.049371e-17 2.558798e-16 4.668880e-04 0 0
1684.4323 1694.5389 -2.923145e-16 2.307790e-16 -3.417302e-03 0 0
1685.9672 1696.0830 -1.017905e-16 2.340370e-16 -1.206361e-03 0 0
1687.5022 1697.6272 1.342976e-16 2.447398e-16 1.612956e-03 0 0
1689.0371 1699.1714 -2.768672e-16 2.211215e-16 -3.369322e-03 0 0
1690.5721 1700.7155 9.139763e-17 2.358679e-16 1.126593e-03 0 0
1692.1071 1702.2597 1.989033e-16 2.379959e-16 2.482790e-03 0 0
1693.6421 1703.8039 6.257347e-17 2.301203e-16 7.907471e-04 0 0
1695.1771 1705.3481 -3.364127e-16 2.028738e-16 -4.303363e-03 0 0
1696.7121 1706.8924 2.092044e-16 2.337001e-16 2.708265e-03 0 0
1698.2471 1708.4366 -9.355030e-17 2.111381e-16 -1.225440e-03 0 0
1699.7821 1709.9808 1.842303e-16 2.261376e-16 2.441444e-03 0 0
1701.3172 1711.5251 -3.746212e-16 1.930519e-16 -5.021836e-03 0 0
1702.8522 1713.0693 -2.173671e-16 1.928976e-16 -2.946980e-03 0 0
1704.3872 1714.6136 -1.312523e-16 2.013870e-16 -1.799505e-03 0 0
1705.9223 1716.1578 -2.726011e-16 1.880097e-16 -3.779031e-03 0 0
1707.4574 1717.7021 1.810759e-16 2.184144e-16 2.537896e-03 0 0
1708.9924 1719.2464 -1.190630e-16 1.894312e-16 -1.686981e-03 0 0
1710.5275 1720.7907 2.380693e-17 2.032672e-16 3.409697e-04 0 0
1712.0626 1722.3350 -2.516819e-16 1.790141e-16 -3.643482e-03 0 0
1713.5977 1723.8793 -1.586972e-16 1.848385e-16 -2.321938e-03 0 0
1715.1329 1725.4236 1.519168e-16 2.031483e-16 2.246418e-03 0 0
1716.6680 1726.9680 -1.844463e-16 1.789241e-16 -2.756311e-03 0 0
1718.2031 1728.5123 2.490984e-16 2.015117e-16 3.761719e-03 0 0
1719.7382 1730.0567 3.017063e-16 2.048754e-16 4.603921e-03 0 0
1721.2734 1731.6010 4.254589e-16 2.037148e-16 6.560050e-03 0 0
1722.8086 1733.1454 -2.528704e-16 1.656404e-16 -3.939338e-03 0 0
1724.3437 1734.6898 2.985286e-17 1.808412e-16 4.698490e-04 0 0
1725.8789 1736.2342 2.111932e-16 1.918222e-16 3.357893e-03 0 0
1727.4141 1737.7786 8.285075e-17 1.813086e-16 1.330651e-03 0 0
1728.9493 1739.3230 -4.083941e-17 1.695417e-16 -6.625114e-04 0 0
