# obs_wvl flux error
1.579000000000000000e+03 -2.043579069745691732e-14 4.255962529252845081e-14
1.582096505526320470e+03 -2.514391701597431884e-14 1.328124507059841835e-14
1.585193011052640941e+03 -1.287533155905668390e-14 4.977038660655636060e-15
1.588289516578961411e+03 -5.147876321989763795e-15 3.194423171452943115e-15
1.591386022105281882e+03 1.127961756313273124e-15 2.516786127102602569e-15
1.594482527631602352e+03 -5.411792817473623855e-16 1.865474668024081188e-15
1.597579033157922822e+03 2.244616388362814679e-15 1.550379160873907914e-15
1.600675538684243293e+03 -1.497058966257854592e-15 1.141000644701851879e-15
1.603772044210563763e+03 -7.987476764600555515e-16 9.505998062542244883e-16
1.606868549736884233e+03 -1.176198669991647842e-16 7.936680003225369256e-16
1.609965055263204704e+03 -8.948245544615034123e-16 6.360491253233645484e-16
1.613061560789525174e+03 9.133753284992422363e-17 5.766227914186030247e-16
1.616158066315845645e+03 -3.805329483306933653e-16 4.880219656658837332e-16
1.619254571842166115e+03 -4.528428680425694140e-16 4.130127164981793721e-16
1.622351077368486585e+03 -4.824500235616542089e-16 3.596504695750885051e-16
1.625447582894807056e+03 -4.021720750555988243e-16 3.168963191106185965e-16
1.628544088421127526e+03 -3.874418175597617442e-16 2.839336635186331529e-16
1.631640593947447996e+03 -3.428034703049250966e-16 2.575203904620781550e-16
1.634737099473768467e+03 -2.394206914991085942e-16 2.357541323111087653e-16
1.637833605000088937e+03 -2.602742564946727629e-16 2.166768576565507792e-16
1.640930110526409408e+03 1.480929211262973389e-16 2.116621856921924581e-16
1.644026616052729878e+03 -3.839062764511625781e-16 1.820244698843432847e-16
1.647123121579050348e+03 4.460686195183695982e-17 1.812471282634362745e-16
1.650219627105370819e+03 1.585010416207892249e-16 1.743655565588073398e-16
1.653316132631691289e+03 -2.542354302165342326e-16 1.512389603467367931e-16
1.656412638158011760e+03 -4.945423053607732826e-17 1.502525376823597553e-16
1.659509143684332230e+03 -7.029865294306052525e-18 1.426153952136825291e-16
1.662605649210652700e+03 -3.896438522575803848e-16 1.255699829353190267e-16
1.665702154736973171e+03 -1.076276989531526799e-16 1.295285150120190627e-16
1.668798660263293641e+03 -8.954235424805203290e-17 1.253761820619878914e-16
1.671895165789614111e+03 -1.124397132773953409e-16 1.194143943883086499e-16
1.674991671315934582e+03 6.329228931085224307e-17 1.185468864105090275e-16
1.678088176842255052e+03 1.593146252762254598e-18 1.141835624337655503e-16
1.681184682368575523e+03 -1.777488105586948074e-16 1.036711956110352002e-16
1.684281187894895993e+03 -2.645610833551593947e-17 1.035688176448401161e-16
1.687377693421216463e+03 6.787714972929401198e-17 1.034426469631127209e-16
1.690474198947536934e+03 9.047182390001624383e-18 9.974743572955117419e-17
1.693570704473857404e+03 4.846005439048975049e-20 9.632932451382056473e-17
1.696667210000177874e+03 -3.380580888494024534e-17 9.341627102033924835e-17
1.699763715526498345e+03 -3.108215131954905393e-18 9.212952912822683422e-17
1.702860221052818815e+03 -8.314338528706251495e-17 8.768400671446858839e-17
1.705956726579139286e+03 -1.335312510350826797e-16 8.314799861968330492e-17
1.709053232105459756e+03 -7.041628733762012766e-20 8.616703079065751892e-17
1.712149737631780226e+03 -5.278281183335403315e-17 8.211460438809699060e-17
1.715246243158100697e+03 1.394143764987310053e-18 8.277136791264793774e-17
1.718342748684421167e+03 1.155378381921312936e-16 8.250975954248606888e-17
1.721439254210741638e+03 2.055065127212435817e-17 7.883659696350142887e-17
1.724535759737062108e+03 4.706721026575177292e-17 7.706956091722257023e-17
1.727632265263382578e+03 3.303821328841817363e-17 7.744185197698986069e-17
1.730728770789703049e+03 -9.384856763614173023e-18 7.318072153593014775e-17
1.733825276316023519e+03 4.694194707964483447e-17 7.232426477404925159e-17
1.736921781842343989e+03 1.575449143900953413e-16 7.393632408947886606e-17
1.740018287368664460e+03 8.648968128849484377e-17 7.135806812574086873e-17
1.743114792894984930e+03 -1.730695428194933971e-17 6.806956688743466042e-17
1.746211298421305401e+03 -1.221433711889545986e-16 6.384344308165527518e-17
1.749307803947625871e+03 -7.749475889822493926e-17 6.296558989295613168e-17
1.752404309473946341e+03 1.683531489511844927e-16 6.794696120178237311e-17
1.755500815000266812e+03 5.781005365388489236e-18 6.311752566204123983e-17
1.758597320526587282e+03 2.639087767415976921e-17 6.294646057996585483e-17
1.761693826052907752e+03 -1.002653107677198709e-16 5.789389417546953242e-17
1.764790331579228223e+03 1.796676178496525543e-17 5.952844650215083333e-17
1.767886837105548693e+03 -6.181410244182470165e-17 5.682088494637775213e-17
1.770983342631869164e+03 -1.283379897129400719e-16 5.461356985526758454e-17
1.774079848158189634e+03 7.662767820373700686e-17 5.983672753914444868e-17
1.777176353684510104e+03 6.075715927105440561e-17 5.726905357221090688e-17
1.780272859210830575e+03 -7.010075719424176619e-18 5.488105104924404490e-17
1.783369364737151045e+03 -1.765409608246142495e-17 5.407435297812080028e-17
1.786465870263471515e+03 -5.412312488230103146e-17 5.191314082100580121e-17
1.789562375789791986e+03 -1.628407630421671127e-17 5.321075929877826099e-17
1.792658881316112456e+03 -1.817915966019517969e-17 5.127176795991137569e-17
1.795755386842432927e+03 -3.045238423867241983e-17 4.960387496031925476e-17
1.798851892368753397e+03 6.939615487577943469e-17 5.235934351173406358e-17
1.801948397895073867e+03 8.272900731591200736e-17 5.122638143148630812e-17
1.805044903421394338e+03 -2.552537571900692351e-17 4.824383601549488286e-17
1.808141408947714808e+03 -2.149960844149688165e-17 4.777136298929206008e-17
1.811237914474035279e+03 -1.652435599515778800e-17 4.695211845605083889e-17
1.814334420000355749e+03 -7.246076097818862864e-18 4.698659124364940246e-17
1.817430925526676219e+03 7.545473427755357423e-17 4.839576253569842117e-17
1.820527431052996690e+03 3.045646094137043102e-17 4.672755155246870949e-17
1.823623936579317160e+03 -1.066104811414305606e-16 4.165827317820376682e-17
1.826720442105637630e+03 2.461134193648184943e-17 4.554084485801484079e-17
1.829816947631958101e+03 5.198908119136346403e-17 4.464765914761646903e-17
1.832913453158278571e+03 -3.192620629679559951e-17 4.317492479516172250e-17
1.836009958684599042e+03 -7.817633876472040462e-17 4.106145471591940315e-17
1.839106464210919512e+03 1.634296333659560951e-17 4.250799288095938658e-17
1.842202969737239982e+03 -1.290910417796406787e-17 4.162496287786998095e-17
1.845299475263560453e+03 3.844450211555621077e-17 4.333303947287897792e-17
1.848395980789880923e+03 -5.691453292445540511e-17 3.989217506734492233e-17
1.851492486316201393e+03 3.608282843056508816e-17 4.207928677049479802e-17
1.854588991842521864e+03 2.112473400228821983e-18 3.989724073766080294e-17
1.857685497368842334e+03 1.649847648137744572e-17 3.962407347783317337e-17
1.860782002895162805e+03 6.964411674126965608e-17 4.105580740892358506e-17
1.863878508421483275e+03 8.342128054764424919e-18 3.945755718707637580e-17
1.866975013947803745e+03 -4.722051410310596159e-17 3.753527690138688154e-17
1.870071519474124216e+03 7.905427135364468014e-17 4.065438188299337822e-17
1.873168025000444686e+03 -2.999218887863118645e-17 3.681427546251356269e-17
