# obs_wvl flux error
1.130000000000000000e+03 4.535980546554985952e-17 1.538269006937749081e-16
1.130079942193789066e+03 8.132604291501261489e-17 1.441534569360669841e-16
1.130159884387578131e+03 3.622230735471525023e-17 1.274917052051346902e-16
1.130239826581367197e+03 2.059951076521195555e-17 1.211776199622560511e-16
1.130319768775156263e+03 1.519660211843302225e-16 1.643379834516188277e-16
1.130399710968945328e+03 2.766880346581136734e-16 1.909126114099143606e-16
1.130479653162734394e+03 2.018215161582189346e-16 1.689071851964558554e-16
1.130559595356523459e+03 8.595216773375615150e-17 1.380416806501790486e-16
1.130639537550312525e+03 8.262080261511935920e-18 1.197028691883663356e-16
1.130719479744101591e+03 5.456066993063847627e-17 1.389537697306949973e-16
1.130799421937890656e+03 2.497612818074471592e-17 1.244362273930289776e-16
1.130879364131679722e+03 5.800523511407535121e-17 1.388151192445968271e-16
1.130959306325468788e+03 6.186189716473993256e-17 1.332240191357949052e-16
1.131039248519257853e+03 4.368277967650563991e-17 1.237580947928383827e-16
1.131119190713046919e+03 3.992381434285936682e-17 1.256253928615118525e-16
1.131199132906835985e+03 1.190599326154055613e-16 1.503370230586710338e-16
1.131279075100625050e+03 1.678718812887888684e-16 1.592735000786237287e-16
1.131359017294414116e+03 9.363310958346403738e-17 1.378969477169627219e-16
1.131438959488203182e+03 8.599979805751469150e-17 1.360264765729829329e-16
1.131518901681992247e+03 1.027124579235866140e-16 1.389301770655726123e-16
1.131598843875781313e+03 1.056490971703340449e-16 1.425750206216130757e-16
1.131678786069570378e+03 1.058507588647036008e-16 1.475420856211526479e-16
1.131758728263359444e+03 1.050961613071360962e-16 1.412364740765188691e-16
1.131838670457148510e+03 1.463411775724191937e-16 1.530397335645268860e-16
1.131918612650937575e+03 1.259836770102418518e-16 1.504612008508052605e-16
1.131998554844726641e+03 2.173855661766148181e-17 1.212087636055899168e-16
1.132078497038515707e+03 1.786419605209659574e-17 1.194900671519913322e-16
1.132158439232304772e+03 -9.092687020053823695e-18 1.156368012411988767e-16
1.132238381426093838e+03 1.492064872659202969e-17 1.153106616155669427e-16
1.132318323619882904e+03 2.909690599689525987e-16 1.932299847566153471e-16
1.132398265813671969e+03 1.572695405417529123e-16 1.503964127678845105e-16
1.132478208007461035e+03 4.888156867718956807e-17 1.197367913133845892e-16
1.132558150201250101e+03 7.871620097413056519e-17 1.391716108506550003e-16
1.132638092395039166e+03 5.356251652823790806e-17 1.268173250396779742e-16
1.132718034588828232e+03 3.607606347099672792e-17 1.211632703669888744e-16
1.132797976782617297e+03 7.821309814553821765e-17 1.306619898891681724e-16
1.132877918976406363e+03 5.281712755915579219e-17 1.232889954066643651e-16
1.132957861170195429e+03 8.093092764717182199e-17 1.390335142526494450e-16
1.133037803363984494e+03 9.667364169388486868e-17 1.343765306852437147e-16
1.133117745557773560e+03 9.795722837522886020e-17 1.373606727505399848e-16
1.133197687751562626e+03 7.025519275606614822e-18 1.137154609973042658e-16
1.133277629945351691e+03 6.332311540146889659e-17 1.356599503630080063e-16
1.133357572139140757e+03 1.863606432618160098e-16 1.634828433900392454e-16
1.133437514332929823e+03 3.957587032302311925e-17 1.167787638280757550e-16
1.133517456526718888e+03 1.138967086208642960e-16 1.443082140265472926e-16
1.133597398720507954e+03 2.037868231920782078e-16 1.679813624905512670e-16
1.133677340914297019e+03 8.521237105366102580e-17 1.284839200075482683e-16
1.133757283108086085e+03 3.812905142000893699e-17 1.161886151932918498e-16
1.133837225301875151e+03 8.134476378978338855e-17 1.347000844627932514e-16
1.133917167495664216e+03 9.706800682123956714e-17 1.315210263821198324e-16
1.133997109689453282e+03 9.840794592705212227e-17 1.305972922153596943e-16
1.134077051883242348e+03 9.820841252316790775e-17 1.303029756961334849e-16
1.134156994077031413e+03 2.260647311041029342e-18 1.112766322789881885e-16
1.134236936270820479e+03 2.147156671902955147e-17 1.147065037729956974e-16
1.134316878464609545e+03 3.341716557925329172e-17 1.145841997719636215e-16
1.134396820658398610e+03 1.310156868112929684e-16 1.445774384958947059e-16
1.134476762852187676e+03 1.096965646154081490e-16 1.386414708128872687e-16
1.134556705045976742e+03 1.461164644905230012e-16 1.462777248028327196e-16
1.134636647239765807e+03 1.592215054101363300e-16 1.473196430934164113e-16
1.134716589433554873e+03 1.246468728975682400e-17 1.108952108937026885e-16
1.134796531627343938e+03 -2.623371901571518241e-17 1.089959252679898326e-16
1.134876473821133004e+03 -2.812287433850553962e-17 1.088131371743773622e-16
1.134956416014922070e+03 1.213726380713848037e-16 1.437000786380988812e-16
1.135036358208711135e+03 1.075096875467184655e-16 1.291203150496360730e-16
1.135116300402500201e+03 1.472891153339643971e-16 1.450822743453955959e-16
1.135196242596289267e+03 7.393637608251688743e-18 1.098276814358455592e-16
1.135276184790078332e+03 1.253705907703711359e-16 1.439599732265651574e-16
1.135356126983867398e+03 1.076101127044559259e-16 1.285616462129856227e-16
1.135436069177656464e+03 9.729348178488966469e-17 1.347272036402725619e-16
1.135516011371445529e+03 1.478579682540210573e-16 1.448592057483372155e-16
1.135595953565234595e+03 1.060582123513072561e-16 1.345579824824935542e-16
1.135675895759023661e+03 -5.634832685404207256e-18 1.082203330581587806e-16
1.135755837952812726e+03 -2.638792311183985576e-17 1.068140068146953161e-16
1.135835780146601792e+03 -2.635362787265708060e-17 1.066368286150885370e-16
1.135915722340390857e+03 -2.519507894523234436e-17 1.064729449052111341e-16
1.135995664534179923e+03 2.204185100452606847e-17 1.106521611164698240e-16
1.136075606727968989e+03 -1.377706225132165709e-17 1.063332356254481873e-16
1.136155548921758054e+03 7.108806581882734301e-17 1.231758479341850684e-16
1.136235491115547120e+03 4.000263615702925685e-17 1.107001319698517159e-16
1.136315433309336186e+03 -1.259361472387362851e-17 1.058214203589345863e-16
1.136395375503125251e+03 7.381046240350312063e-17 1.238785961270107519e-16
1.136475317696914317e+03 9.374126139219808520e-17 1.304711489813975980e-16
1.136555259890703383e+03 9.008994607600645775e-17 1.234210456721336265e-16
1.136635202084492448e+03 4.339676004674164601e-17 1.112562597724377288e-16
1.136715144278281514e+03 3.343727942696471210e-17 1.102167448373084465e-16
1.136795086472070579e+03 3.376878558048469741e-17 1.096770037490335951e-16
1.136875028665859645e+03 3.442288694699432861e-17 1.100464831947984135e-16
1.136954970859648711e+03 3.404572603290492315e-17 1.097256759107950366e-16
1.137034913053437776e+03 3.876531523036984077e-17 1.119771787309317404e-16
1.137114855247226842e+03 8.388740329855179537e-17 1.289410409407960982e-16
