# obs_wvl flux error
1.580000000000000000e+03 7.647508792679377776e-14 5.174848518988730349e-14
1.583096491188749496e+03 1.304617746828333353e-14 1.324873216411993162e-14
1.586192982377498993e+03 4.443164389243591452e-15 6.759708925105225113e-15
1.589289473566248489e+03 9.871959222630197670e-16 4.530274337023616917e-15
1.592385964754997985e+03 -4.540666846878700111e-15 3.125425527645456092e-15
1.595482455943747482e+03 -2.649611323600847342e-15 2.426455140976471431e-15
1.598578947132496978e+03 -1.760952823597683909e-16 2.017182097344538580e-15
1.601675438321246475e+03 7.638429753349539494e-16 1.657176592369983754e-15
1.604771929509995971e+03 7.692903889664335070e-16 1.357288817305942809e-15
1.607868420698745467e+03 1.081980895687273487e-15 1.155822866862783987e-15
1.610964911887494964e+03 -4.064017138024629421e-16 8.862620400918760225e-16
1.614061403076244460e+03 1.181432993717457519e-15 8.502105355483753436e-16
1.617157894264993956e+03 9.608566027044311768e-17 6.778707532369665495e-16
1.620254385453743453e+03 1.394930558596372954e-15 6.542988292360338841e-16
1.623350876642492949e+03 5.159083963344165265e-16 5.419471194954566805e-16
1.626447367831242445e+03 8.231965125463219933e-16 4.925230917431325316e-16
1.629543859019991942e+03 -2.718225840395165626e-16 3.929574989138962426e-16
1.632640350208741438e+03 5.842781999177338662e-16 4.009731765410980119e-16
1.635736841397490934e+03 6.770037346122114349e-16 3.692618495224822018e-16
1.638833332586240431e+03 1.423878868588047529e-16 3.166981819608662580e-16
1.641929823774989927e+03 1.133176758741054956e-16 2.887372825348483548e-16
1.645026314963739424e+03 8.128851931271252496e-16 3.078018112558917669e-16
1.648122806152488920e+03 2.868714406023494390e-16 2.621788446240249614e-16
1.651219297341238416e+03 1.914487061249733080e-16 2.449526235777171539e-16
1.654315788529987913e+03 -7.574923440839255663e-17 2.150121053537140949e-16
1.657412279718737409e+03 3.076677244501264609e-18 2.114027219973228641e-16
1.660508770907486905e+03 3.644209239542404217e-16 2.178711597736094842e-16
1.663605262096236402e+03 4.785238045765079498e-17 1.962754500742123975e-16
1.666701753284985898e+03 7.046899249395895073e-17 1.829952030669854843e-16
1.669798244473735394e+03 2.186318778163222992e-16 1.831589971909638738e-16
1.672894735662484891e+03 4.810761300172581331e-16 1.923310482037180089e-16
1.675991226851234387e+03 1.407136764997341849e-16 1.680494096159285454e-16
1.679087718039983884e+03 4.077191970476744966e-16 1.753623457062078319e-16
1.682184209228733380e+03 3.270387674841722063e-16 1.672738678114485206e-16
1.685280700417482876e+03 2.280843192208108369e-16 1.577655394158794498e-16
1.688377191606232373e+03 3.842668080844414197e-16 1.581419482503805280e-16
1.691473682794981869e+03 2.247365687146529236e-16 1.483232179188196895e-16
1.694570173983731365e+03 2.803978400066472132e-16 1.457716916226097132e-16
1.697666665172480862e+03 3.302112298365818634e-16 1.448044470118354371e-16
1.700763156361230358e+03 3.882235682669002739e-16 1.423680471114056790e-16
1.703859647549979854e+03 6.690811220552239639e-16 1.519846749515612069e-16
1.706956138738729351e+03 4.105859153290347985e-16 1.377575880145832717e-16
1.710052629927478847e+03 3.661845883448702549e-16 1.312396631591989200e-16
1.713149121116228343e+03 2.182415595865121840e-16 1.223979107584277447e-16
1.716245612304977840e+03 2.370702819140794032e-16 1.213989990480220045e-16
1.719342103493727336e+03 7.916540647430153105e-17 1.120449584718138834e-16
1.722438594682476833e+03 1.759387094627682609e-16 1.160145087947620015e-16
1.725535085871226329e+03 1.911291057784766114e-16 1.118748995183531713e-16
1.728631577059975825e+03 2.999219226894432201e-16 1.144212462730153285e-16
1.731728068248725322e+03 4.343596407792207168e-16 1.168880718465904211e-16
1.734824559437474818e+03 1.604451453031015461e-16 1.011750976642130769e-16
1.737921050626224314e+03 2.116505318277123253e-16 1.026813572728152588e-16
1.741017541814973811e+03 2.922070105162761481e-16 1.043749379924602438e-16
1.744114033003723307e+03 3.671485371210219296e-16 1.071547239902439902e-16
1.747210524192472803e+03 3.038257227657337417e-16 1.039023445543227951e-16
1.750307015381222300e+03 1.714994277502745340e-16 9.337405604188010142e-17
1.753403506569971796e+03 3.602235502014116861e-16 1.008687485125958641e-16
1.756499997758721292e+03 1.658356946005165579e-16 9.185183205875786975e-17
1.759596488947470789e+03 3.315399958558750930e-16 9.661064065907025075e-17
1.762692980136220285e+03 2.664548118163629752e-16 9.091840229005562581e-17
1.765789471324969782e+03 2.452961254792159110e-16 8.792471326325696652e-17
1.768885962513719278e+03 3.067349805598381143e-16 9.175638163999205918e-17
1.771982453702468774e+03 6.157875331150913587e-17 7.938568100831714820e-17
1.775078944891218271e+03 2.975110399021797062e-16 8.831666920962994856e-17
1.778175436079967767e+03 3.204128722179057951e-16 8.754390107656805608e-17
1.781271927268717263e+03 2.099786231787082523e-16 8.156648967235230828e-17
1.784368418457466760e+03 2.503258927309650300e-16 8.281322530972319208e-17
1.787464909646216256e+03 2.227932863543606449e-16 7.994746302277444707e-17
1.790561400834965752e+03 2.363411603562167473e-16 7.932277985294856686e-17
1.793657892023715249e+03 2.912892471028695068e-16 8.188896018692899812e-17
1.796754383212464745e+03 8.204227720842337159e-17 6.871385331898149587e-17
1.799850874401214242e+03 3.779634512714166390e-16 8.172085011692693005e-17
1.802947365589963738e+03 1.885427790090548171e-16 7.292386736834476365e-17
1.806043856778713234e+03 7.817223229362929202e-17 6.581455879392730892e-17
1.809140347967462731e+03 2.848578014329211748e-16 7.410293749155541632e-17
1.812236839156212227e+03 7.972204143373950397e-17 6.267162418400017834e-17
1.815333330344961723e+03 1.365741817364255182e-16 6.559879310997104493e-17
1.818429821533711220e+03 2.413444064123411534e-16 7.001346731769041841e-17
1.821526312722460716e+03 3.080128592948385458e-16 7.155935781008686510e-17
1.824622803911210212e+03 2.428905616797392613e-16 6.614299868401138186e-17
1.827719295099959709e+03 1.473917682749080434e-16 6.138244609977972179e-17
1.830815786288709205e+03 2.069780837088334787e-16 6.473101649199195305e-17
1.833912277477458701e+03 2.234692922768753174e-16 6.510327720790420967e-17
1.837008768666208198e+03 2.380013880402910989e-16 6.432727323425108469e-17
1.840105259854957694e+03 2.793605013245367316e-16 6.550216486963885848e-17
1.843201751043707191e+03 2.237897063865656647e-16 6.323312761435530856e-17
