# SN2021FXY oeck02010 G430L CCD z=0.009 a2center=894.1 extrsize=13 exptime=722.0 mode=adaptive_es13@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2862.8571 2888.6228 3.976787e-15 9.075828e-15 2.236053e-02 16896 0
2865.5774 2891.3676 -4.339556e-15 7.082454e-15 -3.048353e-02 16896 0
2868.2978 2894.1125 2.964962e-15 6.220849e-15 2.434665e-02 512 0
2871.0183 2896.8574 9.889824e-15 4.947546e-15 9.014504e-02 512 0
2873.7387 2899.6024 4.784011e-15 4.350584e-15 5.031914e-02 512 0
2876.4592 2902.3473 1.090028e-14 4.664892e-15 1.272576e-01 528 0
2879.1797 2905.0923 2.323164e-15 3.435945e-15 3.150652e-02 512 0
2881.9002 2907.8373 9.416265e-15 3.252455e-15 1.355902e-01 512 0
2884.6207 2910.5823 -1.194625e-14 4.564794e-15 -2.089118e-01 16912 0
2887.3413 2913.3274 5.699462e-15 2.654106e-15 9.903047e-02 512 0
2890.0619 2916.0724 3.553024e-15 2.338878e-15 7.067239e-02 512 0
2892.7825 2918.8175 -1.093601e-16 2.147823e-15 -2.660842e-03 16912 0
2895.5031 2921.5626 1.621523e-15 1.962326e-15 4.051835e-02 528 0
2898.2238 2924.3078 3.602978e-15 1.684997e-15 1.006898e-01 512 0
2900.9444 2927.0529 3.318961e-15 1.601214e-15 1.043230e-01 528 0
2903.6651 2929.7981 3.692861e-15 1.793401e-15 1.317991e-01 528 0
2906.3858 2932.5433 -2.014703e-15 2.187642e-15 -8.936246e-02 16912 0
2909.1066 2935.2885 1.695723e-14 3.384455e-15 8.070509e-01 528 0
2911.8273 2938.0338 -1.544308e-14 2.445602e-15 -8.885184e-01 16912 0
2914.5481 2940.7790 3.901825e-15 8.202289e-16 2.335173e-01 512 0
2917.2689 2943.5243 3.347340e-15 7.130145e-16 2.252187e-01 512 0
2919.9897 2946.2696 3.236243e-15 9.164656e-16 2.430993e-01 528 0
2922.7105 2949.0149 4.365954e-15 6.574609e-16 3.668621e-01 528 0
2925.4314 2951.7603 3.758287e-15 5.412726e-16 3.479174e-01 512 0
