# SN2021FXY oeck04020 G230L MAMA z=0.009 a2center=527.5 extrsize=11 exptime=756.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1557.3169 1571.3327 0.000000e+00 0.000000e+00 -5.307064e-03 2564 0
1558.8468 1572.8764 0.000000e+00 0.000000e+00 -8.512410e-03 2564 0
1560.3767 1574.4200 0.000000e+00 0.000000e+00 3.395923e-04 2564 0
1561.9066 1575.9637 0.000000e+00 0.000000e+00 -2.664186e-03 2564 0
1563.4365 1577.5074 0.000000e+00 0.000000e+00 1.001042e-02 2560 0
1564.9664 1579.0511 0.000000e+00 0.000000e+00 1.136749e-02 512 0
1566.4963 1580.5948 2.967422e-13 1.756909e-13 1.199128e-02 0 0
1568.0262 1582.1385 1.866849e-14 5.947738e-14 1.864325e-03 0 0
1569.5562 1583.6822 2.466194e-14 3.742736e-14 3.933605e-03 0 0
1571.0861 1585.2259 -5.278197e-14 2.293517e-14 -1.157607e-02 0 0
1572.6161 1586.7696 4.058706e-14 2.460275e-14 1.133669e-02 0 0
1574.1461 1588.3134 3.313983e-14 2.002755e-14 1.125094e-02 0 0
1575.6761 1589.8571 -9.065834e-15 1.278927e-14 -3.625082e-03 0 0
1577.2060 1591.4009 1.695105e-16 1.222175e-14 7.804891e-05 0 0
1578.7360 1592.9447 1.645725e-14 1.258157e-14 8.577619e-03 0 0
1580.2660 1594.4884 2.162527e-14 1.173754e-14 1.285577e-02 0 0
1581.7961 1596.0322 -1.929272e-15 7.994084e-15 -1.292260e-03 0 0
1583.3261 1597.5760 -7.368541e-15 6.352786e-15 -5.582524e-03 0 0
1584.8561 1599.1198 -2.663567e-15 6.398419e-15 -2.258520e-03 0 0
1586.3862 1600.6636 -1.033783e-15 5.682816e-15 -9.814453e-04 0 0
1587.9162 1602.2075 6.496917e-16 5.392132e-15 6.844584e-04 0 0
1589.4463 1603.7513 -1.437954e-15 4.591669e-15 -1.679324e-03 0 0
1590.9763 1605.2951 1.386639e-15 4.517763e-15 1.781976e-03 0 0
1592.5064 1606.8390 -1.462604e-15 3.761285e-15 -2.065566e-03 0 0
1594.0365 1608.3828 -2.087694e-15 3.340198e-15 -3.220571e-03 0 0
1595.5666 1609.9267 6.003309e-15 3.907176e-15 1.010261e-02 0 0
1597.0967 1611.4706 -2.830046e-15 2.739738e-15 -5.169616e-03 0 0
1598.6268 1613.0145 3.130794e-15 3.133137e-15 6.198332e-03 0 0
1600.1570 1614.5584 2.995686e-15 2.988242e-15 6.401199e-03 0 0
1601.6871 1616.1023 6.428302e-15 3.040884e-15 1.479731e-02 0 0
1603.2172 1617.6462 -3.986717e-15 1.674884e-15 -9.850556e-03 0 0
1604.7474 1619.1901 1.143701e-15 2.250942e-15 3.026809e-03 0 0
1606.2775 1620.7340 4.768535e-16 2.064802e-15 1.347472e-03 0 0
1607.8077 1622.2780 -3.460570e-15 1.372796e-15 -1.041718e-02 0 0
1609.3379 1623.8219 3.665279e-16 1.804393e-15 1.172116e-03 0 0
1610.8681 1625.3659 1.485887e-15 1.797280e-15 5.036070e-03 0 0
1612.3983 1626.9099 2.132334e-15 1.790036e-15 7.640509e-03 0 0
1613.9285 1628.4538 7.823021e-16 1.534398e-15 2.956697e-03 0 0
1615.4587 1629.9978 -2.840010e-16 1.415189e-15 -1.129654e-03 0 0
1616.9889 1631.5418 -6.325435e-16 1.253959e-15 -2.642195e-03 0 0
1618.5191 1633.0858 5.529059e-16 1.304736e-15 2.420448e-03 0 0
1620.0494 1634.6298 -6.987905e-16 1.138693e-15 -3.199538e-03 0 0
1621.5796 1636.1738 6.926351e-16 1.236803e-15 3.310877e-03 0 0
1623.1099 1637.7179 -3.633680e-16 1.083234e-15 -1.810036e-03 0 0
1624.6402 1639.2619 -7.219638e-16 9.893864e-16 -3.741380e-03 0 0
1626.1704 1640.8060 -8.936159e-16 9.083922e-16 -4.809874e-03 0 0
1627.7007 1642.3500 4.946365e-16 1.055506e-15 2.761074e-03 0 0
1629.2310 1643.8941 9.386675e-16 1.073433e-15 5.426135e-03 0 0
1630.7613 1645.4382 1.204873e-15 1.063998e-15 7.203036e-03 0 0
1632.2916 1646.9823 3.034491e-16 9.313903e-16 1.873794e-03 0 0
