# SN2021HIZ oeax04010 G230L MAMA z=0.003 a2center=528.4 extrsize=11 exptime=1160.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1563.5507 1568.2413 0.000000e+00 0.000000e+00 -6.324640e-03 2564 0
1565.0896 1569.7849 0.000000e+00 0.000000e+00 -1.298523e-02 2564 0
1566.6286 1571.3284 0.000000e+00 0.000000e+00 -5.072234e-04 2564 0
1568.1675 1572.8720 0.000000e+00 0.000000e+00 -2.455752e-03 2564 0
1569.7065 1574.4156 0.000000e+00 0.000000e+00 -2.037729e-03 2560 0
1571.2455 1575.9592 0.000000e+00 0.000000e+00 -7.511606e-03 512 0
1572.7844 1577.5028 0.000000e+00 0.000000e+00 -1.152227e-02 512 0
1574.3234 1579.0464 0.000000e+00 0.000000e+00 -9.816382e-04 512 0
1575.8624 1580.5900 -1.495666e-13 7.301695e-14 -7.729585e-03 0 0
1577.4014 1582.1336 2.703290e-16 3.294731e-14 3.305450e-05 0 0
1578.9405 1583.6773 8.038283e-15 2.401895e-14 1.551823e-03 0 0
1580.4795 1585.2209 -3.190814e-14 1.329498e-14 -8.424294e-03 0 0
1582.0185 1586.7646 -3.113601e-14 9.724384e-15 -1.043567e-02 0 0
1583.5576 1588.3082 -4.291889e-15 1.049727e-14 -1.744632e-03 0 0
1585.0966 1589.8519 -1.654191e-14 7.662311e-15 -7.907212e-03 0 0
1586.6357 1591.3956 -1.163100e-14 6.875358e-15 -6.394221e-03 0 0
1588.1748 1592.9393 3.831153e-16 7.070304e-15 2.381838e-04 0 0
1589.7138 1594.4830 -9.423637e-15 5.224358e-15 -6.684353e-03 0 0
1591.2529 1596.0267 -5.198350e-15 5.101578e-15 -4.150719e-03 0 0
1592.7920 1597.5704 -4.832111e-15 4.285499e-15 -4.364571e-03 0 0
1594.3311 1599.1141 -6.502732e-15 3.690501e-15 -6.568147e-03 0 0
1595.8703 1600.6579 -2.382301e-16 3.868311e-15 -2.693977e-04 0 0
1597.4094 1602.2016 -2.093444e-15 3.316652e-15 -2.625025e-03 0 0
1598.9485 1603.7454 -2.244318e-15 2.912558e-15 -3.119200e-03 0 0
1600.4877 1605.2891 -7.478993e-16 2.803740e-15 -1.143035e-03 0 0
