# obs_wvl flux error
1.663000000000000000e+03 -8.398020769659319765e-16 4.010653779263574591e-15
1.665745861512221381e+03 1.378594416446291921e-14 2.768860224289889255e-15
1.668491723024442763e+03 2.093741411963093104e-15 2.417402162040230763e-15
1.671237584536664144e+03 1.201271976402250443e-14 2.194402612397630155e-15
1.673983446048885526e+03 -6.058100138719219185e-15 3.699412826846157943e-15
1.676729307561106907e+03 6.574422703809172213e-15 1.909933069390479221e-15
1.679475169073328289e+03 -2.489132749608120899e-15 1.942498216057399251e-15
1.682221030585549670e+03 7.572899099901240745e-15 1.870189468515278798e-15
1.684966892097771051e+03 2.762556757944727139e-14 3.613301366186277506e-15
1.687712753609992433e+03 -3.933252577304623938e-14 5.004522384263303983e-15
1.690458615122213814e+03 3.714836869701280467e-15 1.418359774649643677e-15
1.693204476634435196e+03 4.974847968828189270e-15 1.474911998429179119e-15
1.695950338146656577e+03 1.660070138238424362e-14 1.370355422607148099e-15
1.698696199658877958e+03 -1.439516135980675072e-15 1.580597345616028158e-15
1.701442061171099340e+03 5.012100292872771369e-15 1.174096398543181916e-15
1.704187922683320721e+03 3.500141945934048939e-15 1.133787674519180260e-15
1.706933784195542103e+03 2.497500148369900614e-15 1.078997455846600441e-15
1.709679645707763484e+03 4.560622348006353558e-15 1.136229630504961889e-15
1.712425507219984866e+03 -2.481841846150134920e-15 1.245829417203631937e-15
1.715171368732206247e+03 4.223671948780092779e-15 1.081083564121640021e-15
1.717917230244427628e+03 4.998533262730727809e-15 9.612748997933683816e-16
1.720663091756649010e+03 5.320172879622979019e-15 1.824579121964597657e-15
1.723408953268870391e+03 7.138768972076296915e-15 1.040643343874769864e-15
1.726154814781091773e+03 -9.483661061201179341e-15 1.774320595747129668e-15
1.728900676293313154e+03 1.546915331010576329e-15 9.315941901050422061e-16
1.731646537805534535e+03 4.443609646020649247e-15 8.569701267851365912e-16
1.734392399317755917e+03 6.045330288606126078e-15 8.350740587197914965e-16
1.737138260829977298e+03 8.991461559896492069e-16 1.089724168768749966e-15
1.739884122342198680e+03 1.233314425396256182e-15 1.229593525894199360e-15
1.742629983854420061e+03 3.890714948807079376e-15 1.033143475086903704e-15
1.745375845366641443e+03 4.998640211828835435e-15 7.679868735132523430e-16
1.748121706878862824e+03 7.595292896170291994e-16 1.117228511812380995e-15
1.750867568391084205e+03 6.616961340757422332e-15 7.455404824238914823e-16
1.753613429903305587e+03 7.111284481688398837e-15 7.100333702882376531e-16
1.756359291415526968e+03 6.200131342497777964e-15 7.695276390313842533e-16
1.759105152927748350e+03 3.138149670705115809e-15 7.814186499625047818e-16
1.761851014439969731e+03 8.222255974950895333e-15 7.507979093853630429e-16
1.764596875952191112e+03 5.051871923430818630e-15 7.848635036102538407e-16
1.767342737464412494e+03 6.309779810112937059e-15 7.257444676540754010e-16
1.770088598976633875e+03 4.885057205480380254e-15 8.821406374862202331e-16
1.772834460488855257e+03 -1.841865003141129151e-15 1.475110904316327639e-15
1.775580322001076638e+03 6.508267595505961960e-15 7.160051510140547190e-16
1.778326183513298020e+03 1.039795877909095147e-14 6.240159233664216853e-16
1.781072045025519401e+03 6.738960809612542295e-15 6.683523199473231031e-16
1.783817906537740782e+03 4.639977557373315407e-15 5.961719407795187489e-16
1.786563768049962164e+03 5.092184822707370395e-15 5.906069110857905271e-16
1.789309629562183545e+03 -3.490803303333747131e-15 8.789196602050702630e-16
1.792055491074404927e+03 -3.768396102953829086e-15 8.794539858384085632e-16
1.794801352586626308e+03 -1.526436623241529080e-15 5.627574396426490323e-16
1.797547214098847689e+03 -6.603553718502063965e-14 7.674846550220392445e-16
1.800293075611069071e+03 -8.972263982436335029e-15 1.779629261205311052e-15
1.803038937123290452e+03 2.929247986795548383e-15 5.416958732635416849e-16
1.805784798635511834e+03 5.294660587183858693e-15 5.190928517866794282e-16
1.808530660147733215e+03 8.666851746775061372e-16 5.708754238621107967e-16
1.811276521659954597e+03 4.000390858871635598e-15 5.808529950335948396e-16
1.814022383172175978e+03 4.722952139466798233e-15 4.872088363713410019e-16
1.816768244684397359e+03 3.657570948973652339e-15 5.143466179185548875e-16
1.819514106196618741e+03 5.314442604021643618e-15 4.707912989074170624e-16
1.822259967708840122e+03 5.398797461021846782e-15 5.521009715381696665e-16
1.825005829221061504e+03 -1.662376745990765121e-15 9.644353298844259624e-16
1.827751690733282885e+03 5.226344581707409364e-15 4.683664885468383375e-16
1.830497552245504266e+03 5.220250318818137580e-15 5.057834329392465083e-16
1.833243413757725648e+03 4.692383874978586400e-15 4.438118760644386305e-16
1.835989275269947029e+03 2.925358220809747670e-16 6.656526200290384637e-16
1.838735136782168411e+03 2.999624116181228552e-15 5.766900751464060714e-16
1.841480998294389792e+03 4.949112665728038924e-15 4.171851509337373959e-16
1.844226859806611174e+03 5.014610600711355656e-15 4.250990412985378425e-16
1.846972721318832555e+03 4.630688554997398118e-15 4.417007338466456911e-16
1.849718582831053936e+03 3.855758218429024220e-15 4.036998213769474068e-16
1.852464444343275318e+03 6.655722280595018444e-15 4.202914785236610170e-16
1.855210305855496699e+03 2.952340968789688174e-15 5.069460355759591876e-16
1.857956167367718081e+03 4.255420345544388147e-15 3.800454945026357770e-16
1.860702028879939462e+03 4.452241016641969560e-15 3.919163342687774984e-16
1.863447890392160843e+03 4.675204784835670657e-15 3.654022535896091162e-16
1.866193751904382225e+03 4.513859537515009687e-15 3.894120855402649202e-16
1.868939613416603606e+03 8.354489664165657969e-16 5.305686289925497920e-16
1.871685474928824988e+03 4.653094037302493394e-15 3.638820291712916968e-16
1.874431336441046369e+03 5.426670179254678153e-15 3.545185112130289114e-16
1.877177197953267751e+03 4.594384316452574090e-15 3.480502494006443001e-16
1.879923059465489132e+03 5.575492322028258200e-15 3.886239984955016015e-16
1.882668920977710513e+03 5.590530166182248205e-15 3.560049375657383578e-16
1.885414782489931895e+03 6.638288423368860793e-15 3.440644039888333185e-16
1.888160644002153276e+03 6.397887791267326264e-15 3.396679262055481159e-16
1.890906505514374658e+03 8.037388438952321442e-15 3.645801850690337760e-16
1.893652367026596039e+03 1.883570142988692557e-15 9.675553223324021050e-16
1.896398228538817420e+03 5.387188187718767509e-15 3.823854422208245114e-16
1.899144090051038802e+03 6.963124097784709252e-15 3.669537085591482185e-16
1.901889951563260183e+03 7.158649574459675002e-15 3.203952121945841819e-16
1.904635813075481565e+03 7.633650428898311989e-15 3.266604358067146395e-16
1.907381674587702946e+03 4.325081701351217908e-15 3.622499434265094713e-16
1.910127536099924328e+03 7.739062891777188689e-15 3.232996150248983414e-16
1.912873397612145709e+03 4.885717688201283205e-15 5.365341490173011848e-16
1.915619259124367090e+03 6.167119291949618495e-15 4.522626650337889736e-16
1.918365120636588472e+03 5.810051521523625215e-15 3.730105569485843231e-16
1.921110982148809853e+03 5.520258009810169157e-15 4.021978988942773263e-16
1.923856843661031235e+03 6.897415004138302859e-15 3.898939230279524033e-16
1.926602705173252616e+03 7.166790084116905548e-15 3.068368212673720510e-16
1.929348566685473997e+03 4.365538564860761906e-15 4.093496192607359188e-16
1.932094428197695379e+03 6.426483958206695451e-15 4.838341759268847943e-16
1.934840289709916760e+03 6.415751401574317006e-15 3.344495901684916827e-16
1.937586151222138142e+03 8.959321073237906024e-15 4.299828667996520632e-16
1.940332012734359523e+03 5.615173609379300801e-15 2.835777202438464030e-16
1.943077874246580905e+03 4.265047119869272218e-15 4.413331827719809322e-16
1.945823735758802286e+03 5.652016613963370215e-15 2.664711810707673051e-16
1.948569597271023667e+03 5.144885581402334242e-15 2.550703085065256891e-16
1.951315458783245049e+03 4.506138026360246913e-15 2.599618702387295702e-16
1.954061320295466430e+03 5.848721758964395815e-15 2.578310443087968700e-16
1.956807181807687812e+03 5.779740986849941280e-15 2.577794591433302566e-16
1.959553043319909193e+03 5.633582194664996733e-15 2.478482250801534926e-16
1.962298904832130575e+03 6.159639317284882132e-15 2.535738021979991000e-16
1.965044766344351956e+03 4.785985774338438629e-15 2.545955541823743637e-16
1.967790627856573337e+03 4.949348777972872092e-15 2.903239706547005413e-16
1.970536489368794719e+03 6.014347881827247968e-15 2.447268284458899439e-16
1.973282350881016100e+03 6.103000465161040319e-15 2.361854254703405983e-16
1.976028212393237482e+03 5.918642618711611652e-15 2.445876113279271637e-16
1.978774073905458863e+03 6.731107589257634827e-15 2.437034725046678989e-16
1.981519935417680244e+03 5.843229704393359796e-15 2.418284225520372245e-16
1.984265796929901626e+03 5.980130278520043651e-15 2.407441095250252640e-16
1.987011658442123007e+03 5.545941341201580409e-15 2.983620396142255289e-16
1.989757519954344389e+03 5.173515172020843700e-15 2.195859171672126718e-16
1.992503381466565770e+03 6.225219437335048706e-15 2.403765948414064618e-16
1.995249242978787152e+03 5.988655898453256480e-15 2.248307007137426798e-16
1.997995104491008533e+03 3.521499160644883420e-15 3.316809833983193675e-16
2.000740966003229914e+03 4.784804749313207343e-15 2.149740250826015372e-16
2.003486827515451296e+03 5.083778020386008089e-15 2.033773873775489826e-16
2.006232689027672677e+03 4.853359256412431566e-15 2.443666189763994138e-16
2.008978550539894059e+03 3.820889571182376800e-15 2.345158916317358690e-16
2.011724412052115440e+03 4.785669271844018033e-15 2.021946496888989353e-16
2.014470273564336821e+03 5.054517127149928049e-15 2.154514303572708089e-16
2.017216135076558203e+03 4.906493601694524423e-15 2.090966421990279684e-16
2.019961996588779584e+03 4.850886482870448751e-15 1.989203799777988574e-16
2.022707858101000966e+03 5.615003110429474179e-15 2.130578912979975170e-16
2.025453719613222347e+03 1.882584759062961282e-15 3.963322435122576002e-16
2.028199581125443729e+03 6.102898580377155274e-15 1.999595319602896537e-16
2.030945442637665110e+03 5.876219287533747855e-15 2.193871568193340750e-16
2.033691304149886491e+03 4.999893273814055190e-15 2.431409418070954160e-16
2.036437165662107873e+03 5.787381388126648944e-15 2.081077136140335228e-16
2.039183027174329254e+03 6.147654025196489949e-15 1.829456733622326706e-16
2.041928888686550636e+03 6.754108094848948876e-15 1.803212855711471577e-16
2.044674750198772017e+03 5.757687864322797895e-15 2.760843510967639634e-16
2.047420611710993398e+03 7.251866494743863057e-15 1.943497541651278826e-16
2.050166473223214780e+03 6.174122024543553899e-15 1.952823821120226810e-16
2.052912334735436161e+03 6.905403803763558210e-15 1.813310412540925759e-16
2.055658196247657543e+03 4.710737141473695734e-15 3.046889667269167225e-16
2.058404057759878924e+03 4.498091968966477168e-15 2.486253814143446274e-16
2.061149919272100306e+03 6.707961411565302759e-15 2.143229561538905959e-16
2.063895780784321687e+03 6.494066763382737348e-15 1.742422124086588492e-16
2.066641642296543068e+03 7.359630806488737406e-15 1.759108881627255428e-16
2.069387503808764450e+03 1.747785528437249156e-14 3.967122767660421133e-16
2.072133365320985831e+03 7.253611872304666999e-15 1.669387766315216367e-16
2.074879226833207213e+03 6.812142387797635894e-15 1.695865054082607361e-16
2.077625088345428594e+03 7.548531581661501328e-15 1.599536086638213902e-16
2.080370949857649975e+03 7.009389372976347156e-15 1.636272968712402909e-16
2.083116811369871357e+03 7.360754250412477589e-15 1.562792037393526878e-16
2.085862672882092738e+03 7.135603424385719141e-15 1.665334212967312242e-16
2.088608534394314120e+03 5.816599356722901413e-15 1.677359372968581918e-16
2.091354395906535501e+03 5.925899859425812146e-15 1.606535330541393980e-16
2.094100257418756883e+03 6.292640133455842255e-15 1.506431049157574221e-16
2.096846118930978264e+03 5.950908751052247881e-15 1.869390234508915941e-16
2.099591980443199645e+03 5.218955575995132959e-15 1.836851189570020065e-16
