# SN2021YJA oec803050 G230LB CCD z=0.005307 a2center=893.5 extrsize=7 exptime=2340.0 mode=adaptive_es7@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
1653.6902 1662.4664 7.873639e-16 9.978296e-15 1.679013e-03 512 0
1655.0534 1663.8368 1.715392e-14 8.720303e-15 3.454799e-02 0 0
1656.4166 1665.2072 -3.540157e-14 9.117777e-15 -8.453122e-02 16400 0
1657.7798 1666.5777 5.574114e-14 9.086167e-15 1.238462e-01 16 0
1659.1431 1667.9482 4.949522e-15 8.441431e-15 9.807822e-03 0 0
1660.5063 1669.3186 -2.812717e-15 7.486257e-15 -8.074502e-03 0 0
1661.8696 1670.6891 8.934731e-15 7.556636e-15 2.061311e-02 0 0
1663.2329 1672.0597 1.098691e-14 7.671029e-15 2.672400e-02 0 0
1664.5962 1673.4302 -5.033905e-14 1.620129e-14 -1.495519e-01 16400 0
1665.9595 1674.8007 2.093195e-15 6.673297e-15 5.890465e-03 0 0
1667.3228 1676.1713 -1.567582e-14 6.167983e-15 -5.003615e-02 16384 0
1668.6862 1677.5419 1.190948e-14 6.388346e-15 3.387308e-02 0 0
1670.0495 1678.9125 -1.226422e-14 6.797249e-15 -4.197684e-02 16400 0
1671.4129 1680.2831 -1.530044e-14 5.922819e-15 -5.418151e-02 16384 0
1672.7763 1681.6537 -1.081513e-14 6.316008e-15 -3.958107e-02 16400 0
1674.1397 1683.0243 1.566176e-14 5.807782e-15 5.176000e-02 0 0
1675.5031 1684.3950 -6.492590e-14 1.347400e-14 -2.530994e-01 16400 0
1676.8665 1685.7656 2.953894e-14 8.648787e-15 1.060146e-01 16 0
1678.2299 1687.1363 -1.196148e-13 2.150900e-14 -4.943641e-01 16400 0
1679.5934 1688.5070 5.671257e-15 4.806528e-15 2.010502e-02 0 0
1680.9569 1689.8777 -3.644674e-15 4.459794e-15 -1.589852e-02 16384 0
1682.3203 1691.2484 -4.832829e-16 4.689010e-15 -3.329279e-03 0 0
1683.6838 1692.6192 -1.058850e-14 5.211427e-15 -4.855464e-02 16400 0
1685.0474 1693.9899 3.987454e-15 4.579758e-15 1.528589e-02 0 0
1686.4109 1695.3607 1.994172e-14 4.625491e-15 8.507668e-02 0 0
1687.7744 1696.7314 1.327646e-15 4.223721e-15 4.383847e-03 0 0
1689.1380 1698.1022 -1.606768e-14 6.092982e-15 -8.061025e-02 16400 0
1690.5015 1699.4730 3.422742e-15 3.896544e-15 1.421146e-02 0 0
1691.8651 1700.8439 1.019290e-15 3.771739e-15 3.313688e-03 0 0
1693.2287 1702.2147 -1.105117e-15 3.935051e-15 -6.658006e-03 0 0
1694.5923 1703.5855 8.698481e-15 3.724945e-15 4.092802e-02 0 0
1695.9560 1704.9564 -1.454462e-15 3.744560e-15 -8.576928e-03 0 0
1697.3196 1706.3273 -6.933046e-15 3.416521e-15 -3.907042e-02 16384 0
1698.6833 1707.6982 3.212952e-16 3.463560e-15 1.998851e-04 0 0
1700.0469 1709.0691 8.275255e-15 3.505169e-15 4.186046e-02 0 0
1701.4106 1710.4400 -4.581526e-15 4.053370e-15 -2.719460e-02 16400 0
1702.7743 1711.8109 -1.010770e-14 4.300629e-15 -6.099017e-02 16400 0
1704.1380 1713.1819 -2.797154e-15 3.611282e-15 -1.715354e-02 16400 0
1705.5017 1714.5528 6.562780e-15 3.362418e-15 3.516349e-02 0 0
1706.8655 1715.9238 -3.721808e-15 3.543305e-15 -2.354993e-02 16400 0
1708.2292 1717.2948 -7.706466e-16 3.024077e-15 -5.852725e-03 0 0
1709.5930 1718.6658 -4.299035e-15 3.005973e-15 -2.803289e-02 16384 0
1710.9568 1720.0368 4.870334e-15 3.630248e-15 2.735762e-02 16 0
1712.3206 1721.4078 6.172709e-15 8.789072e-15 3.565147e-02 16 0
1713.6844 1722.7789 9.320681e-16 3.100081e-15 4.182563e-03 0 0
1715.0482 1724.1499 4.294749e-15 2.998469e-15 2.504001e-02 0 0
1716.4120 1725.5210 4.500210e-16 2.994021e-15 1.331402e-03 0 0
1717.7759 1726.8921 -3.766641e-14 8.796878e-15 -2.673239e-01 16400 0
1719.1397 1728.2632 1.033290e-15 2.764437e-15 5.141005e-03 0 0
1720.5036 1729.6343 1.128775e-16 2.663785e-15 -7.468099e-04 0 0
1721.8675 1731.0054 1.342819e-16 2.770487e-15 -5.989252e-04 0 0
1723.2314 1732.3766 7.600595e-16 2.663900e-15 3.578437e-03 0 0
1724.5953 1733.7477 6.699317e-15 2.660572e-15 4.406938e-02 0 0
1725.9592 1735.1189 2.953688e-15 2.698074e-15 1.875863e-02 0 0
1727.3232 1736.4901 -9.737387e-16 2.661145e-15 -8.210523e-03 0 0
1728.6871 1737.8612 -1.686246e-14 4.530975e-15 -1.327500e-01 16400 0
1730.0511 1739.2325 -9.447733e-15 4.685563e-15 -7.530420e-02 16400 0
1731.4150 1740.6037 1.311223e-15 2.625265e-15 7.927769e-03 0 0
1732.7790 1741.9749 -1.674609e-14 4.572898e-15 -1.367689e-01 16400 0
