# SN2021YJA oec803070 G430L CCD z=0.005307 a2center=893.1 extrsize=13 exptime=200.0 mode=adaptive_es13@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2871.5614 2886.8008 -1.418788e-13 3.240897e-14 -8.070221e-01 16896 0
2874.2918 2889.5457 1.880902e-14 2.374623e-14 9.718671e-02 512 0
2877.0223 2892.2906 2.936128e-14 1.927166e-14 2.093833e-01 528 0
2879.7528 2895.0356 1.080124e-14 1.632723e-14 7.833557e-02 528 0
2882.4832 2897.7806 5.307243e-15 1.361511e-14 3.319436e-02 512 0
2885.2138 2900.5256 2.453625e-14 1.203787e-14 2.793477e-01 512 0
2887.9443 2903.2706 7.171320e-15 1.054997e-14 7.644115e-02 512 0
2890.6748 2906.0157 1.320913e-14 9.752815e-15 1.810065e-01 512 0
2893.4054 2908.7607 -1.246693e-14 1.046033e-14 -2.477082e-01 16912 0
2896.1360 2911.5058 1.331709e-15 7.613724e-15 2.423550e-02 512 0
2898.8666 2914.2509 -1.297239e-14 6.726190e-15 -3.200049e-01 16896 0
2901.5973 2916.9961 -4.895797e-15 6.196498e-15 -1.338405e-01 16912 0
2904.3279 2919.7412 7.031963e-15 5.691291e-15 1.602705e-01 528 0
2907.0586 2922.4864 -6.359744e-16 4.972489e-15 -4.175477e-02 512 0
2909.7893 2925.2316 -6.815024e-15 4.385179e-15 -2.638535e-01 16912 0
2912.5201 2927.9768 1.532742e-14 4.141274e-15 5.580782e-01 512 0
2915.2508 2930.7221 2.553598e-15 4.664775e-15 8.309431e-02 528 0
2917.9816 2933.4673 1.577812e-14 5.783588e-15 7.590533e-01 528 0
2920.7124 2936.2126 -7.122926e-15 4.922505e-15 -4.575412e-01 16912 0
2923.4432 2938.9579 3.732246e-15 2.381048e-15 2.083978e-01 528 0
2926.1741 2941.7033 6.769321e-15 2.108570e-15 4.612756e-01 512 0
2928.9049 2944.4486 3.488427e-15 1.897711e-15 2.520224e-01 512 0
2931.6358 2947.1940 -1.177969e-16 1.703608e-15 -3.409081e-02 528 0
2934.3667 2949.9394 7.565699e-15 1.593713e-15 7.370296e-01 528 0
2937.0976 2952.6848 1.290595e-14 1.523935e-15 1.441890e+00 512 0
2939.8286 2955.4302 2.669530e-15 1.278030e-15 2.924287e-01 512 0
2942.5595 2958.1757 2.373818e-15 1.274254e-15 2.817922e-01 528 0
2945.2905 2960.9212 6.115875e-15 1.122358e-15 8.547394e-01 512 0
2948.0215 2963.6667 6.963119e-15 1.066259e-15 1.054121e+00 512 0
2950.7526 2966.4122 4.846142e-15 9.901771e-16 7.626063e-01 528 0
2953.4836 2969.1577 6.456881e-15 9.590010e-16 1.093166e+00 0 0
2956.2147 2971.9033 6.785677e-15 9.280330e-16 1.205957e+00 0 0
2958.9458 2974.6489 5.247377e-15 8.804632e-16 9.559969e-01 0 0
