ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.4079,0.6130,0.4667,0.7704,yes,5313967.32,yes
Al III,1862.790,0.2780,2.0402,0.4555,0.3227,0.5582,yes,2654228.74,yes
Zn II,2026.137,0.5010,0.0137,0.0736,0.2227,0.2345,no,890.32,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,189.37,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,141.08,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,445.04,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,92.42,yes
Fe II,2249.877,0.0018,0.1691,0.0828,0.1500,0.1713,yes,3.59,no
Fe II,2260.780,0.0024,0.2851,0.0754,0.1644,0.1809,yes,4.84,no
Fe II,2344.214,0.1140,0.3174,0.0545,0.0793,0.0962,yes,234.39,yes
Fe II,2374.461,0.0313,0.5396,0.0869,0.1665,0.1878,yes,65.19,yes
Fe II,2382.765,0.3200,0.5954,0.0486,0.1314,0.1401,yes,668.76,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,815.91,yes
Fe II,2586.650,0.0691,0.4749,0.0609,0.0905,0.1090,yes,156.77,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,637.16,yes
Fe II,2600.173,0.2390,0.0541,0.0224,0.0452,0.0504,yes,545.05,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,452.64,yes
Mg II,2796.352,0.6150,0.3083,0.0266,0.1230,0.1258,yes,5.69,yes
Mg II,2803.531,0.3060,0.2808,0.0251,0.1272,0.1297,yes,2.84,no
Mg I,2852.964,1.8300,0.1854,0.0296,0.1156,0.1193,yes,1.37,no
