# obs_wvl flux error
2.971000000000000000e+03 1.714442207245759582e-14 5.117343021566244764e-16
2.976493451310942874e+03 1.677629068871326943e-14 3.212194480252000454e-16
2.981986902621885747e+03 1.751675338103712637e-14 3.442480086957895638e-16
2.987480353932828621e+03 1.726325453306148062e-14 3.856710383204920325e-16
2.992973805243771494e+03 1.579104239540486302e-14 2.990753624604868124e-16
2.998467256554714368e+03 1.555573846344971960e-14 2.913397431928387974e-16
3.003960707865657241e+03 1.534173980767629180e-14 3.121053892970342134e-16
3.009454159176600115e+03 1.413022982451023658e-14 3.693173365430699519e-16
3.014947610487542988e+03 1.370400319502563526e-14 2.799668900040558390e-16
3.020441061798485862e+03 1.445899853219809577e-14 3.290779529124650836e-16
3.025934513109428735e+03 1.478852532329191633e-14 3.362648867517707787e-16
3.031427964420371609e+03 1.360582575466317653e-14 2.626282873203222881e-16
3.036921415731314482e+03 1.302129269381421202e-14 2.375105829322409320e-16
3.042414867042257356e+03 1.269505909248976829e-14 2.593046163819680972e-16
3.047908318353200229e+03 1.277588075954078701e-14 2.328073022059059718e-16
3.053401769664143103e+03 1.213619485913409224e-14 2.422850818449030204e-16
3.058895220975085977e+03 1.335026130633588771e-14 2.393173759591742401e-16
3.064388672286028850e+03 1.309071227517738924e-14 2.135436088191901577e-16
3.069882123596971724e+03 1.279393624980233953e-14 2.087449262877195235e-16
3.075375574907914597e+03 1.320993471370131210e-14 2.038749567163463088e-16
3.080869026218857471e+03 1.327280856887413207e-14 2.134398947611506105e-16
3.086362477529800344e+03 1.480152352016692703e-14 2.687061171468623639e-16
3.091855928840743218e+03 1.469761900715168613e-14 2.053210388274295937e-16
3.097349380151686091e+03 1.570330646131179977e-14 2.322181503800443833e-16
3.102842831462628965e+03 1.645459927940464404e-14 2.156862478745652542e-16
3.108336282773571838e+03 1.659159978030366815e-14 2.871958098373713228e-16
3.113829734084514712e+03 1.715487164730543094e-14 2.738889622443762193e-16
3.119323185395457585e+03 1.958836485180886217e-14 2.247037145720670236e-16
3.124816636706400459e+03 2.015873673752908221e-14 2.564335194591390809e-16
3.130310088017343332e+03 2.186509421879815671e-14 2.953900155177104804e-16
3.135803539328286206e+03 2.204135091224244888e-14 2.438105018244858048e-16
3.141296990639229080e+03 2.213532176828314739e-14 2.501339516212827714e-16
3.146790441950171953e+03 2.345105788661185590e-14 3.162103686588600868e-16
3.152283893261114827e+03 2.259511308858429828e-14 2.391476952359001977e-16
3.157777344572057700e+03 2.274819146285975479e-14 2.447484621306931046e-16
3.163270795883000574e+03 2.245615241282486970e-14 3.281645051850288726e-16
3.168764247193943447e+03 2.227008488882738182e-14 2.371271100404971580e-16
3.174257698504886321e+03 2.214436234088710362e-14 2.380761148538299164e-16
3.179751149815829194e+03 2.235035902758146049e-14 2.249347760666572048e-16
3.185244601126772068e+03 2.222127127805092709e-14 2.315470099846741894e-16
3.190738052437714941e+03 2.229829147211110560e-14 2.235240727104177383e-16
3.196231503748657815e+03 2.169550850379136891e-14 2.281829799433552984e-16
3.201724955059600688e+03 2.148491057011390025e-14 2.226079814686204256e-16
3.207218406370543562e+03 2.176998922494416079e-14 2.078003418967753041e-16
3.212711857681486435e+03 2.091723911640039537e-14 2.797667922228259742e-16
3.218205308992429309e+03 2.038878548395165331e-14 2.075633071832601049e-16
3.223698760303372183e+03 1.984161110245059717e-14 1.941609990607720259e-16
3.229192211614315056e+03 1.965161159290562593e-14 1.899644491972564956e-16
3.234685662925257930e+03 1.841916909517286866e-14 2.090737008050190324e-16
3.240179114236200803e+03 1.891494666386664042e-14 1.884361452619416976e-16
3.245672565547143677e+03 1.875404741692298097e-14 1.796806574120542097e-16
3.251166016858086550e+03 1.768072413389766463e-14 1.831041334722555130e-16
3.256659468169029424e+03 1.717361643099904643e-14 2.094244303123628862e-16
3.262152919479972297e+03 1.790769806418959356e-14 1.738683621193585423e-16
3.267646370790915171e+03 1.737544663388670996e-14 1.952204295740286613e-16
3.273139822101858044e+03 1.762416123099634570e-14 1.815882028135860263e-16
3.278633273412800918e+03 1.793013318880106587e-14 1.918195654969868899e-16
3.284126724723743791e+03 1.773544311417125068e-14 1.884654928947895389e-16
3.289620176034686665e+03 1.837446514325701642e-14 1.718069694596164536e-16
3.295113627345629538e+03 1.794899775486272557e-14 1.794567589194365033e-16
3.300607078656572412e+03 1.819083296602822977e-14 1.896486949866531869e-16
3.306100529967515286e+03 1.904022588679641901e-14 1.778699842226292945e-16
3.311593981278458159e+03 1.908997849224822805e-14 1.826247201323337199e-16
3.317087432589401033e+03 1.974815784838224173e-14 1.850530934538415540e-16
3.322580883900343906e+03 2.055507544768986930e-14 1.862423865792066780e-16
3.328074335211286780e+03 2.107608294675247123e-14 2.195091589760801101e-16
3.333567786522229653e+03 2.207225177763420550e-14 1.847229927373570550e-16
3.339061237833172527e+03 2.300615052061871310e-14 1.873571718310387222e-16
3.344554689144115400e+03 2.448826921557872569e-14 1.967295713674529057e-16
3.350048140455058274e+03 4.950263303648059780e-14 3.172587621763087045e-16
3.355541591766001147e+03 2.633886324734845785e-14 2.173860247909838771e-16
3.361035043076944021e+03 2.650195580654725087e-14 2.240047105695559281e-16
3.366528494387886894e+03 2.717250368152518348e-14 2.352948056627412217e-16
3.372021945698829768e+03 2.744744664685977167e-14 2.033747334147865992e-16
3.377515397009772641e+03 2.609556450009143287e-14 2.118896202632669661e-16
3.383008848320715515e+03 2.660968743299050934e-14 1.895884201585130730e-16
3.388502299631658389e+03 2.694932769094517927e-14 1.966430717411395395e-16
3.393995750942601262e+03 2.702805449367160896e-14 2.121011108999510909e-16
3.399489202253544136e+03 2.741688126580818847e-14 1.985313204109849724e-16
3.404982653564487009e+03 2.849522571193053961e-14 2.065620527050149141e-16
3.410476104875429883e+03 2.915222258552939878e-14 2.002738851281082390e-16
3.415969556186372756e+03 3.001185034910086214e-14 2.217098715001032283e-16
3.421463007497315630e+03 3.003974029163210750e-14 2.366055703852447806e-16
3.426956458808258503e+03 3.059030423603539427e-14 2.408423464961429990e-16
3.432449910119201377e+03 3.198115862051245297e-14 2.049660441306039919e-16
3.437943361430144250e+03 3.275279603581187510e-14 2.087185101234087980e-16
3.443436812741087124e+03 3.307252573617520573e-14 2.180351996898616923e-16
3.448930264052029997e+03 3.324286978539868298e-14 2.323009982760747182e-16
3.454423715362972871e+03 3.458497451139288063e-14 2.490350907766353325e-16
3.459917166673915744e+03 3.662512193945680485e-14 2.227086499621265123e-16
3.465410617984858618e+03 3.763016655611214132e-14 2.438866069199503540e-16
3.470904069295801492e+03 3.782322392871134384e-14 2.217503813517885809e-16
3.476397520606744365e+03 3.867407087999455998e-14 2.107830289760408372e-16
3.481890971917687239e+03 3.819240932836508205e-14 2.299220294770952424e-16
3.487384423228630112e+03 3.761258369973801183e-14 2.316814918898844518e-16
3.492877874539572986e+03 3.890090994959834248e-14 2.138969491306305311e-16
3.498371325850515859e+03 3.957604869559875102e-14 2.314319974661504035e-16
3.503864777161458733e+03 4.014467043843809792e-14 2.273061448537166350e-16
3.509358228472401606e+03 4.174963279454480146e-14 2.406615109311429387e-16
3.514851679783344480e+03 4.142889027915890796e-14 2.264764681730399814e-16
3.520345131094287353e+03 4.066125585490244229e-14 2.499775776987403051e-16
3.525838582405230227e+03 4.071540486419863921e-14 2.256173127724580087e-16
3.531332033716173100e+03 3.924647217002070535e-14 2.216250661505880840e-16
3.536825485027115974e+03 3.887469065741932092e-14 2.561018287999932970e-16
3.542318936338058847e+03 3.851456875231518450e-14 2.254488253367928332e-16
3.547812387649001721e+03 3.773680724275676521e-14 2.179646296466091489e-16
3.553305838959944595e+03 3.732746916578513831e-14 2.046562306959780753e-16
3.558799290270887468e+03 3.571580838352255300e-14 2.054635580512767478e-16
3.564292741581830342e+03 3.442176283837848510e-14 2.184826705054933805e-16
3.569786192892773215e+03 3.330320870642346133e-14 2.204763785747029499e-16
3.575279644203716089e+03 3.166177942775431892e-14 1.962013871022338834e-16
3.580773095514658962e+03 3.087341906948487702e-14 1.845519455554252597e-16
3.586266546825601836e+03 2.934146864361793555e-14 2.015325853585516495e-16
3.591759998136544709e+03 2.845067528545969324e-14 2.016215167849561213e-16
3.597253449447487583e+03 2.716345080708732981e-14 1.882392827240044831e-16
3.602746900758430456e+03 2.560663863846538485e-14 1.699784978455057947e-16
3.608240352069373330e+03 2.408163010911811502e-14 2.054142467968612502e-16
3.613733803380316203e+03 2.251432200182773847e-14 1.725495979478643029e-16
3.619227254691259077e+03 2.069037220617594843e-14 1.646512673856410205e-16
3.624720706002201950e+03 1.953565541305428567e-14 1.566558566321078755e-16
3.630214157313144824e+03 1.802603581302325786e-14 1.436210453440170036e-16
3.635707608624087698e+03 1.664528069380578651e-14 1.436277693763620040e-16
3.641201059935030571e+03 1.472308680402327480e-14 1.558348661104393597e-16
3.646694511245973445e+03 1.374024185022643371e-14 1.271128014739357420e-16
3.652187962556916318e+03 1.234306157041622703e-14 1.753170149024001340e-16
3.657681413867859192e+03 1.086654240788316396e-14 1.310904046840388997e-16
3.663174865178802065e+03 1.018641393305742516e-14 1.179390983568247376e-16
3.668668316489744939e+03 9.508859392398164535e-15 1.176004657114046428e-16
3.674161767800687812e+03 9.103445473150189877e-15 1.178765246698175981e-16
3.679655219111630686e+03 8.897557805559553798e-15 1.082797038878391060e-16
3.685148670422573559e+03 8.398032022440742092e-15 1.204850430415588211e-16
3.690642121733516433e+03 7.863263998146590207e-15 9.603228582562517582e-17
3.696135573044459306e+03 7.913038236206312701e-15 1.145874113146343341e-16
3.701629024355402180e+03 1.371547852645629051e-14 1.653502510198681659e-16
3.707122475666345053e+03 7.818461375533383757e-15 1.078308526774477903e-16
3.712615926977287927e+03 8.069084462167974111e-15 9.445056295640818104e-17
3.718109378288230801e+03 8.591448265370130306e-15 9.613531285519322721e-17
3.723602829599173674e+03 9.131483952095721710e-15 9.789314233071001867e-17
