# obs_wvl flux error
1.579000000000000000e+03 -1.346723774164892973e-11 1.057176221563871366e-11
1.580548232693764476e+03 1.323847225390780662e-13 4.383366969779132184e-14
1.582096465387528951e+03 1.297787167395597818e-14 1.545327180358852591e-14
1.583644698081293427e+03 4.202150030030578468e-15 9.827908537314238100e-15
1.585192930775057903e+03 -1.333194134873586381e-14 6.782804521466837616e-15
1.586741163468822378e+03 -2.650108079813695445e-15 5.890009940674704494e-15
1.588289396162586854e+03 2.537208808830840968e-15 4.831120774531959514e-15
1.589837628856351330e+03 -3.037950470045253702e-15 3.986287779169900544e-15
1.591385861550115806e+03 3.771678073400568083e-15 3.749189017144593182e-15
1.592934094243880281e+03 3.602346018153953246e-15 3.258629457960101505e-15
1.594482326937644757e+03 -3.829082759056276022e-15 2.648087873264902403e-15
1.596030559631409233e+03 -2.625201975413937977e-15 2.371667832930476797e-15
1.597578792325173708e+03 5.935646306579528693e-16 2.224625179797054194e-15
1.599127025018938184e+03 -1.014262812496507244e-15 1.933962478500200214e-15
1.600675257712702660e+03 -2.527035902799170752e-16 1.736761738282998216e-15
1.602223490406467135e+03 1.220312186151027247e-15 1.649763749752485154e-15
1.603771723100231611e+03 7.685500039265932526e-16 1.477387026385442561e-15
1.605319955793996087e+03 4.130105684659676985e-16 1.333676410291627544e-15
1.606868188487760563e+03 9.797210012440542467e-16 1.209855187365907826e-15
1.608416421181525038e+03 -1.109081425994280096e-15 1.063123366517588514e-15
1.609964653875289514e+03 -2.209513877841078188e-15 9.256475665224575762e-16
1.611512886569053990e+03 -1.281341888511508895e-15 9.164609576287895609e-16
1.613061119262818465e+03 7.393578013722296085e-16 8.831616644532987180e-16
1.614609351956582941e+03 9.845404870889069621e-16 8.253498152245068796e-16
1.616157584650347417e+03 -1.151015847909829484e-15 6.973468522633231470e-16
1.617705817344111892e+03 -8.621071445428429193e-16 6.669623926905860908e-16
1.619254050037876368e+03 -1.195135520059634037e-16 6.621059459300121471e-16
1.620802282731640844e+03 -1.816712662659144015e-16 6.122859601095124057e-16
1.622350515425405320e+03 -7.181330070161153307e-16 5.416908395681303854e-16
1.623898748119169795e+03 -1.848461533385640860e-16 5.484957628117362468e-16
1.625446980812934271e+03 -2.840258048436225925e-16 5.032267094169836659e-16
1.626995213506698747e+03 -1.602037527283303259e-16 4.798430421164845894e-16
1.628543446200463222e+03 -1.877236484917541605e-17 4.532705379017810282e-16
1.630091678894227698e+03 -5.520300692244758790e-16 4.267199662146664921e-16
1.631639911587992174e+03 -4.222780662297117634e-16 4.034880413500332649e-16
1.633188144281756649e+03 -4.684398866693425775e-16 3.819484999628202440e-16
1.634736376975521125e+03 -4.587763695935034218e-16 3.701711361119608299e-16
1.636284609669285601e+03 -7.313833354566241037e-16 3.350379575757884211e-16
1.637832842363050077e+03 -4.372887532978715011e-16 3.401654137184858460e-16
1.639381075056814552e+03 6.814506881230567238e-17 3.448623546462496418e-16
1.640929307750579028e+03 -6.212682598444914095e-16 3.018964173560135962e-16
1.642477540444343504e+03 -3.252895874473807409e-16 3.014145311443031143e-16
