# SN2022HRS-HV oedc15020 G230L MAMA z=0.0047 a2center=531.5 extrsize=11 exptime=818.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1563.2437 1570.5910 0.000000e+00 0.000000e+00 -4.235482e-03 2564 0
1564.7801 1572.1345 0.000000e+00 0.000000e+00 -1.030473e-02 2564 0
1566.3164 1573.6781 0.000000e+00 0.000000e+00 -6.012445e-03 2564 0
1567.8528 1575.2217 0.000000e+00 0.000000e+00 -3.051089e-03 2564 0
1569.3891 1576.7653 0.000000e+00 0.000000e+00 3.232716e-03 2560 0
1570.9255 1578.3089 0.000000e+00 0.000000e+00 -6.568516e-03 512 0
1572.4619 1579.8525 -2.943402e-13 2.952565e-13 -4.847621e-03 0 0
1573.9983 1581.3961 6.468904e-14 6.494852e-14 4.934698e-03 0 0
1575.5347 1582.9397 2.613766e-14 3.982132e-14 3.562033e-03 0 0
1577.0711 1584.4833 -5.082094e-14 1.940113e-14 -9.984219e-03 0 0
1578.6075 1586.0270 -3.890131e-15 1.964714e-14 -9.990660e-04 0 0
1580.1439 1587.5706 -9.694529e-15 1.449148e-14 -3.076710e-03 0 0
1581.6804 1589.1143 -1.695451e-14 1.110307e-14 -6.410396e-03 0 0
1583.2168 1590.6580 -8.104086e-15 1.072638e-14 -3.557863e-03 0 0
1584.7533 1592.2016 1.025546e-14 1.134081e-14 5.129314e-03 0 0
1586.2898 1593.7453 -1.028690e-14 7.606944e-15 -5.844017e-03 0 0
1587.8262 1595.2890 2.855515e-15 8.189514e-15 1.838646e-03 0 0
1589.3627 1596.8327 -1.068395e-16 7.022962e-15 -7.760036e-05 0 0
1590.8992 1598.3764 -1.496611e-14 4.211477e-15 -1.223004e-02 0 0
1592.4357 1599.9202 -2.775478e-15 5.157045e-15 -2.536362e-03 0 0
1593.9722 1601.4639 -2.189383e-15 4.767185e-15 -2.230131e-03 0 0
1595.5087 1603.0076 -4.239901e-15 3.993484e-15 -4.785075e-03 0 0
1597.0453 1604.5514 -1.147657e-15 3.996357e-15 -1.430593e-03 0 0
1598.5818 1606.0951 -4.133764e-15 3.127970e-15 -5.660792e-03 0 0
1600.1183 1607.6389 3.908484e-15 3.819711e-15 5.864990e-03 0 0
1601.6549 1609.1827 2.446689e-15 3.359120e-15 4.003960e-03 0 0
1603.1915 1610.7265 3.649258e-15 3.303244e-15 6.500036e-03 0 0
1604.7280 1612.2703 -2.533030e-15 2.283548e-15 -4.889355e-03 0 0
1606.2646 1613.8141 -3.986362e-15 1.910790e-15 -8.324290e-03 0 0
1607.8012 1615.3579 -1.662046e-16 2.191784e-15 -3.739323e-04 0 0
1609.3378 1616.9017 2.924705e-16 2.104134e-15 7.077167e-04 0 0
1610.8744 1618.4455 -2.777783e-15 1.603279e-15 -7.202081e-03 0 0
1612.4110 1619.9894 -5.391968e-16 1.737702e-15 -1.495233e-03 0 0
1613.9477 1621.5332 1.240763e-15 1.810245e-15 3.667353e-03 0 0
1615.4843 1623.0771 1.266339e-15 1.775617e-15 3.981994e-03 0 0
1617.0210 1624.6210 -7.653403e-16 1.413371e-15 -2.552375e-03 0 0
1618.5576 1626.1648 1.580600e-15 1.614718e-15 5.579549e-03 0 0
1620.0943 1627.7087 -1.337251e-15 1.140397e-15 -4.982966e-03 0 0
1621.6309 1629.2526 7.311496e-17 1.344295e-15 2.870220e-04 0 0
1623.1676 1630.7965 1.800766e-16 1.223169e-15 7.429591e-04 0 0
1624.7043 1632.3404 2.962616e-16 1.184207e-15 1.282099e-03 0 0
1626.2410 1633.8843 -1.030329e-15 9.932715e-16 -4.667346e-03 0 0
1627.7777 1635.4283 -7.702167e-16 9.435556e-16 -3.645133e-03 0 0
1629.3144 1636.9722 3.781078e-16 1.075685e-15 1.866220e-03 0 0
1630.8512 1638.5162 4.241603e-16 1.025133e-15 2.179269e-03 0 0
1632.3879 1640.0601 4.193833e-18 9.221966e-16 2.239668e-05 0 0
1633.9247 1641.6041 -1.890595e-15 6.201861e-16 -1.047604e-02 0 0
1635.4614 1643.1481 -1.312850e-15 6.882013e-16 -7.538748e-03 0 0
1636.9982 1644.6921 -4.736780e-17 8.080778e-16 -2.814142e-04 0 0
1638.5349 1646.2361 8.656950e-16 8.988663e-16 5.315614e-03 0 0
1640.0717 1647.7801 -1.738352e-15 5.400199e-16 -1.101594e-02 0 0
1641.6085 1649.3241 -2.849782e-16 7.263092e-16 -1.862124e-03 0 0
1643.1453 1650.8681 1.274659e-16 7.556760e-16 8.575603e-04 0 0
1644.6821 1652.4121 8.767745e-16 8.459691e-16 6.068065e-03 0 0
1646.2189 1653.9562 -8.429127e-16 5.802066e-16 -5.994188e-03 0 0
1647.7558 1655.5002 1.297199e-16 6.916676e-16 9.472267e-04 0 0
1649.2926 1657.0443 2.127304e-15 9.059751e-16 1.593301e-02 0 0
1650.8294 1658.5883 -2.913730e-17 6.414102e-16 -2.237095e-04 0 0
1652.3663 1660.1324 1.693919e-16 6.364682e-16 1.331840e-03 0 0
1653.9032 1661.6765 3.812517e-16 6.846810e-16 3.068085e-03 0 0
1655.4400 1663.2206 1.562361e-16 6.302430e-16 1.285669e-03 0 0
1656.9769 1664.7647 -3.592788e-16 5.441441e-16 -3.021793e-03 0 0
1658.5138 1666.3088 -8.583724e-16 4.495273e-16 -7.372838e-03 0 0
1660.0507 1667.8529 2.831661e-16 6.082041e-16 2.482781e-03 0 0
1661.5876 1669.3971 9.075934e-17 5.628597e-16 8.117314e-04 0 0
1663.1245 1670.9412 -2.760354e-16 5.095274e-16 -2.517322e-03 0 0
1664.6615 1672.4854 4.169294e-16 5.802984e-16 3.874562e-03 0 0
1666.1984 1674.0295 1.301304e-18 5.301534e-16 1.231884e-05 0 0
1667.7353 1675.5737 3.760344e-17 5.202734e-16 3.624321e-04 0 0
1669.2723 1677.1179 1.105671e-16 5.018279e-16 1.084657e-03 0 0
1670.8093 1678.6621 5.937015e-16 5.794622e-16 5.925172e-03 0 0
1672.3462 1680.2062 -5.016588e-16 4.161976e-16 -5.091862e-03 0 0
1673.8832 1681.7505 -3.485224e-16 4.412154e-16 -3.596204e-03 0 0
1675.4202 1683.2947 3.864989e-16 4.980483e-16 4.053059e-03 0 0
1676.9572 1684.8389 -6.762566e-16 3.757614e-16 -7.204271e-03 0 0
1678.4942 1686.3831 -2.259698e-16 4.128247e-16 -2.444865e-03 0 0
1680.0312 1687.9274 2.232547e-16 4.801598e-16 2.452258e-03 0 0
