# obs_wvl flux error
2.968000000000000000e+03 3.575025923490120206e-15 2.515405522157944096e-16
2.973493463943933421e+03 3.498596467798624418e-15 1.695781621939485898e-16
2.978986927887866841e+03 3.647460057803601698e-15 1.757484663264875601e-16
2.984480391831800262e+03 3.979011670417591052e-15 2.043586053766570331e-16
2.989973855775733682e+03 4.074887810526248947e-15 1.705445386158823334e-16
2.995467319719667103e+03 3.974727259265532140e-15 1.755727663665450589e-16
3.000960783663600523e+03 3.859422577788298522e-15 1.811279461562995915e-16
3.006454247607533944e+03 3.598868443413148236e-15 2.314487680598900034e-16
3.011947711551467364e+03 3.767613263238993363e-15 1.524453122256352106e-16
3.017441175495400785e+03 4.076680374749124623e-15 2.116849425109242373e-16
3.022934639439334205e+03 4.340948672477746536e-15 2.248312560688084295e-16
3.028428103383267626e+03 3.436132021418749098e-15 1.587790828911272761e-16
3.033921567327201046e+03 3.320079450780857323e-15 1.304854603678505784e-16
3.039415031271134467e+03 3.187357964520298968e-15 1.814260092803011930e-16
3.044908495215067887e+03 3.374808560806616951e-15 1.463244103644764170e-16
3.050401959159001308e+03 3.665839321599942986e-15 1.347083350006153143e-16
3.055895423102934728e+03 3.276800885529872108e-15 1.384070932257044011e-16
3.061388887046868149e+03 3.578293407117803784e-15 1.107010338378827809e-16
3.066882350990801569e+03 3.301648910426141198e-15 1.785438897749574862e-16
3.072375814934734990e+03 3.352454673030601079e-15 1.057781038866444634e-16
3.077869278878668410e+03 3.463544955063241171e-15 1.229965379156053618e-16
3.083362742822601831e+03 3.404276364222301510e-15 1.711147980349876256e-16
3.088856206766535252e+03 3.483475956336275838e-15 1.037317366761316730e-16
3.094349670710468672e+03 3.386903459121128528e-15 1.149796653432410544e-16
3.099843134654402093e+03 3.545256376412140111e-15 1.088635996021760163e-16
3.105336598598335513e+03 3.533563666851992481e-15 1.585915602549415968e-16
3.110830062542268934e+03 3.315193931609485905e-15 1.354246502841187474e-16
3.116323526486202354e+03 3.598328836287555548e-15 1.029956188485947545e-16
3.121816990430135775e+03 3.545356172242326066e-15 1.190886916486102493e-16
3.127310454374069195e+03 3.342028602945824592e-15 9.969678636913899736e-17
3.132803918318002616e+03 3.507698655654252075e-15 9.662280241786534920e-17
3.138297382261936036e+03 3.335422266402804584e-15 1.203004278850059554e-16
3.143790846205869457e+03 4.135226851028666456e-15 1.707666218788930077e-16
3.149284310149802877e+03 3.484241651237755982e-15 1.037826640790158959e-16
3.154777774093736298e+03 3.374657276062164124e-15 9.525600826991293243e-17
3.160271238037669718e+03 3.318986812995360966e-15 2.142495582191377658e-16
3.165764701981603139e+03 3.359432632106995966e-15 9.427639507214597305e-17
3.171258165925536559e+03 3.479696312361178225e-15 9.367530207395106151e-17
3.176751629869469980e+03 3.424516780277580498e-15 9.658393206364712760e-17
3.182245093813403400e+03 3.298238597097024195e-15 9.169316487239603088e-17
3.187738557757336821e+03 3.557233945193769976e-15 9.278239789553881516e-17
3.193232021701270241e+03 3.629251288172744249e-15 9.094043766556171380e-17
3.198725485645203662e+03 3.562195715199486518e-15 8.783358619973901873e-17
3.204218949589137083e+03 3.557593575637766864e-15 8.573087330900576801e-17
3.209712413533070503e+03 3.587150420200910887e-15 1.207154729161001599e-16
3.215205877477003924e+03 3.442327908744776409e-15 8.985507162013445594e-17
3.220699341420937344e+03 3.597134196757990897e-15 8.212740785614359517e-17
3.226192805364870765e+03 3.685943140740829849e-15 8.572712753577004893e-17
3.231686269308804185e+03 3.553149423188213561e-15 1.026878989302875969e-16
3.237179733252737606e+03 3.666354203467081682e-15 9.089821263377039459e-17
3.242673197196671026e+03 3.679005457421357105e-15 7.987269811350643124e-17
3.248166661140604447e+03 3.624064503399748265e-15 8.172249966303256024e-17
3.253660125084537867e+03 3.693943950269815975e-15 8.024924142239916447e-17
3.259153589028471288e+03 3.679222782627004781e-15 7.814005997728569953e-17
3.264647052972404708e+03 3.145910684807534258e-15 1.049379914825732806e-16
3.270140516916338129e+03 3.578892545834391982e-15 8.484542627465959302e-17
3.275633980860271549e+03 3.589499672095370474e-15 7.752310818035945585e-17
3.281127444804204970e+03 3.618747269679662895e-15 7.852092468676331296e-17
3.286620908748138390e+03 3.769122704781877894e-15 7.766275674048713414e-17
3.292114372692071811e+03 3.437507221726561155e-15 7.630595895472857360e-17
3.297607836636005231e+03 3.352252076103143102e-15 8.617712145054093101e-17
3.303101300579938652e+03 3.414230641142444286e-15 7.421861217277182337e-17
3.308594764523872072e+03 3.503115335221093323e-15 8.688308842995250405e-17
3.314088228467805493e+03 3.551620188482132103e-15 7.431181111404996757e-17
3.319581692411738914e+03 3.464184694410164521e-15 7.139329566202964680e-17
3.325075156355672334e+03 3.509398059668090467e-15 1.053627457171859392e-16
3.330568620299605755e+03 3.524746391476492608e-15 7.073321284135891668e-17
3.336062084243539175e+03 3.520095393927746916e-15 6.992467453379158086e-17
3.341555548187472596e+03 3.408161800597158848e-15 6.965344535980353013e-17
3.347049012131406016e+03 3.235414809674328253e-14 2.337883423190243148e-16
3.352542476075339437e+03 3.385040457412640946e-15 8.342556352953570354e-17
3.358035940019272857e+03 3.577897991517641756e-15 7.405071917531692975e-17
3.363529403963206278e+03 3.554868211858613529e-15 7.350386064727457856e-17
3.369022867907139698e+03 3.619259773316009560e-15 7.810594590484336868e-17
3.374516331851073119e+03 3.359341300725395898e-15 7.351104539715790917e-17
3.380009795795006539e+03 3.517913909563694534e-15 6.865892621473100168e-17
3.385503259738939960e+03 3.428429094252335919e-15 6.963527366855272121e-17
3.390996723682873380e+03 3.381035804059893335e-15 9.275212462426138755e-17
3.396490187626806801e+03 3.400704467403232606e-15 7.157503560634166758e-17
3.401983651570740221e+03 3.542701643450550431e-15 7.877514779704173426e-17
3.407477115514673642e+03 3.471326134944357549e-15 7.309822838106052061e-17
3.412970579458607062e+03 3.599268991956023996e-15 7.655523287549757009e-17
3.418464043402540483e+03 3.437545206163672084e-15 8.782589517739592322e-17
3.423957507346473903e+03 3.566689720658158912e-15 6.786914404701535088e-17
3.429450971290407324e+03 3.586587465773898809e-15 6.865300709012603436e-17
3.434944435234340745e+03 3.589029969490999206e-15 7.655148221020897421e-17
3.440437899178274165e+03 3.315698591786163786e-15 6.827715957164610342e-17
3.445931363122207586e+03 3.412937637298215917e-15 7.517957680387224371e-17
3.451424827066141006e+03 3.429295399319558531e-15 6.583067095275461432e-17
3.456918291010074427e+03 3.356546350306525264e-15 6.147017164086251824e-17
3.462411754954007847e+03 3.357150663309103087e-15 6.129578567213607807e-17
3.467905218897941268e+03 3.340919093482037980e-15 6.136267192303960747e-17
3.473398682841874688e+03 3.496198263594587706e-15 6.222524306457209208e-17
3.478892146785808109e+03 3.471136440806244329e-15 6.049628658033058604e-17
3.484385610729741529e+03 3.491707491830923433e-15 6.813312035783137668e-17
3.489879074673674950e+03 3.461515905711376460e-15 6.729172574144192391e-17
3.495372538617608370e+03 3.401894104491713446e-15 6.246045482653256862e-17
3.500866002561541791e+03 3.412864869131399767e-15 6.104909880694628174e-17
3.506359466505475211e+03 3.454581856859358447e-15 5.998294319063678018e-17
3.511852930449408632e+03 3.490181047449803257e-15 6.053655817148150587e-17
3.517346394393342052e+03 3.419833708732171467e-15 6.411481595697715191e-17
3.522839858337275473e+03 3.360322892569371653e-15 6.076069023502301149e-17
3.528333322281208893e+03 3.261251141163580567e-15 5.882274807879497269e-17
3.533826786225142314e+03 3.381660464624753979e-15 6.451067096516737542e-17
3.539320250169075734e+03 3.285540026750585821e-15 5.835064606399745381e-17
3.544813714113009155e+03 3.358567525581675774e-15 6.330782900623256929e-17
3.550307178056942575e+03 3.412415202717333957e-15 5.821892807482850372e-17
3.555800642000875996e+03 3.401006555280528254e-15 7.044581310158979374e-17
3.561294105944809417e+03 3.407072640232017679e-15 6.291412370349586596e-17
3.566787569888742837e+03 3.492595760158482913e-15 6.386845613824593098e-17
3.572281033832676258e+03 3.370061952697660363e-15 6.538784447394860531e-17
3.577774497776609678e+03 3.328857161665307398e-15 7.251523412386510843e-17
3.583267961720543099e+03 3.578915680223893095e-15 5.983679231096144046e-17
3.588761425664476519e+03 3.589847208664150295e-15 5.903717844222188381e-17
3.594254889608409940e+03 3.524168505009017573e-15 6.209867551468556050e-17
3.599748353552343360e+03 3.392433835328065838e-15 6.126929896150985251e-17
3.605241817496276781e+03 3.491042530613902563e-15 7.450988869022408675e-17
3.610735281440210201e+03 3.371985404021574864e-15 7.015665283783862031e-17
3.616228745384143622e+03 3.288332532299254096e-15 5.795725056374386465e-17
3.621722209328077042e+03 3.462496848403698477e-15 6.219337199989936368e-17
3.627215673272010463e+03 3.339256299248833262e-15 5.710417628651683321e-17
3.632709137215943883e+03 3.320522733183716068e-15 6.361988937406873154e-17
3.638202601159877304e+03 3.349378572135612000e-15 5.625356067966092580e-17
3.643696065103810724e+03 3.397672370316572065e-15 5.697955003797737683e-17
3.649189529047744145e+03 3.262071361817619859e-15 9.978071917111798437e-17
3.654682992991677565e+03 3.160521496997037331e-15 6.207026947230937407e-17
3.660176456935610986e+03 3.313103114436031868e-15 6.338926252864128653e-17
3.665669920879544406e+03 3.337909498203917478e-15 5.500814652401772585e-17
3.671163384823477827e+03 3.242311590960885567e-15 6.103784392232578523e-17
3.676656848767411248e+03 3.164610067087895070e-15 6.461212853038140997e-17
3.682150312711344668e+03 3.135179194951917294e-15 7.225258329017531421e-17
3.687643776655278089e+03 3.261600329666056963e-15 5.479065665856923526e-17
3.693137240599211509e+03 3.294298375716726875e-15 5.923786006006693152e-17
3.698630704543144930e+03 8.529449732185143755e-15 9.539301303250341644e-17
3.704124168487078350e+03 3.273434616707201083e-15 6.164942820226621922e-17
3.709617632431011771e+03 3.297785422235135933e-15 5.270815909146502738e-17
3.715111096374945191e+03 3.323806499294005487e-15 5.169209131346807009e-17
3.720604560318878612e+03 3.423618368728316090e-15 5.303522005509535738e-17
3.726098024262812032e+03 3.365128945029133923e-15 5.904537327504818544e-17
3.731591488206745453e+03 3.319567988068954083e-15 5.202486934085137366e-17
3.737084952150678873e+03 3.224065475158320413e-15 5.267278761758038179e-17
3.742578416094612294e+03 3.352988040507450986e-15 5.185140631092535490e-17
3.748071880038545714e+03 3.521947617567251184e-15 5.115351333534738044e-17
3.753565343982479135e+03 3.226548854149810039e-15 5.370140124882150005e-17
3.759058807926412555e+03 3.218021339760527006e-15 5.906562591677239872e-17
3.764552271870345976e+03 3.294748036664658327e-15 5.192010623774354250e-17
3.770045735814279396e+03 3.248727131964290831e-15 4.828799788908945248e-17
3.775539199758212817e+03 3.226974629058343057e-15 5.037367248442342127e-17
3.781032663702146237e+03 3.249747190684420174e-15 6.283876886885886952e-17
3.786526127646079658e+03 3.274174233317739663e-15 5.835333551497169501e-17
3.792019591590013079e+03 3.203985840248645194e-15 5.245129593599083656e-17
3.797513055533946499e+03 3.179691519063810965e-15 4.878936361075997715e-17
3.803006519477879920e+03 3.246097541161515327e-15 5.215271023278391023e-17
3.808499983421813340e+03 3.222125586274900754e-15 4.644335545403402402e-17
3.813993447365746761e+03 3.228729451965675329e-15 5.462109130891098740e-17
3.819486911309680181e+03 3.168664169537432218e-15 5.100374986741657856e-17
3.824980375253613602e+03 3.165316946413494071e-15 4.441153550492836706e-17
3.830473839197547022e+03 3.299333962789600687e-15 4.556571339034029428e-17
3.835967303141480443e+03 3.130637536962760455e-15 5.737258195138810032e-17
3.841460767085413863e+03 3.115432505200850064e-15 4.625216578315074601e-17
