# obs_wvl flux error
1.589000000000000000e+03 -6.548119426328082535e-15 2.438946649374575428e-15
1.592095980541382232e+03 1.429365633539339221e-15 1.501077682119786350e-15
1.595191961082764465e+03 3.093851646766943975e-15 1.140912803105570576e-15
1.598287941624146697e+03 1.298149487510573986e-15 9.066668653197250993e-16
1.601383922165528929e+03 4.316023897998886344e-16 7.188903499686503408e-16
1.604479902706911162e+03 3.726906828832544362e-16 5.890038843508322569e-16
1.607575883248293394e+03 1.152116180485803591e-15 5.005451680749026986e-16
1.610671863789675626e+03 4.988472632264809504e-16 4.114036556007865771e-16
1.613767844331057859e+03 1.123623211348201071e-15 3.566647547091200083e-16
1.616863824872440091e+03 8.659067809451379888e-16 3.127685790762386157e-16
1.619959805413822323e+03 4.907400581233221443e-16 2.677320202107030666e-16
1.623055785955204556e+03 1.238614303709928666e-15 2.471053869443856201e-16
1.626151766496586788e+03 6.963392942648466380e-16 2.134832809222692119e-16
1.629247747037969020e+03 7.632951860328987511e-16 1.943661239634380017e-16
1.632343727579351253e+03 6.445905371929874545e-16 1.767383929237437172e-16
1.635439708120733485e+03 8.154234472863431530e-16 1.648023245805572690e-16
1.638535688662115717e+03 9.011831752694890873e-16 1.520497107741628770e-16
1.641631669203497950e+03 9.425123299909616065e-16 1.433800035860954599e-16
1.644727649744880182e+03 8.130110501672996286e-16 1.330267044012916896e-16
1.647823630286262414e+03 9.196645699817528628e-16 1.262411064374886495e-16
1.650919610827644647e+03 7.697984100898360673e-16 1.164159680508285984e-16
1.654015591369026879e+03 1.046704735177987889e-15 1.170054403374994800e-16
1.657111571910409111e+03 9.635337226177138442e-16 1.104605785447994859e-16
1.660207552451791344e+03 7.216506454674793512e-16 1.006695123520414887e-16
1.663303532993173576e+03 7.669721527480438258e-16 9.790680850115231639e-17
1.666399513534555808e+03 7.129632402328832380e-16 9.436766984606569483e-17
1.669495494075938041e+03 6.710510634895466601e-16 8.948782758636170363e-17
1.672591474617320273e+03 6.514248251639882686e-16 8.581671275575955966e-17
1.675687455158702505e+03 7.322519406404491134e-16 8.546433305086538745e-17
1.678783435700084738e+03 9.090460199097219462e-16 8.519272219558490013e-17
1.681879416241466970e+03 8.249690417407845343e-16 8.177414930511194082e-17
1.684975396782849202e+03 6.383566980073760923e-16 7.610953537432419079e-17
1.688071377324231435e+03 6.163317752815754931e-16 7.410638924483951060e-17
1.691167357865613667e+03 7.980572993218971262e-16 7.546269574542530469e-17
1.694263338406995899e+03 8.132517185634651985e-16 7.290635785121191958e-17
1.697359318948378132e+03 8.099338558489132619e-16 7.134525862586436126e-17
1.700455299489760364e+03 8.179126442534734427e-16 6.936962492185896356e-17
1.703551280031142596e+03 7.578041497555495082e-16 6.824043737953192520e-17
1.706647260572524829e+03 7.955534071149397926e-16 6.632261861229814899e-17
1.709743241113907061e+03 7.356786984750501171e-16 6.469227986090066759e-17
1.712839221655289293e+03 7.688230017696743381e-16 6.408280497621179913e-17
1.715935202196671526e+03 6.873241305940957233e-16 6.184337746459193476e-17
1.719031182738053758e+03 8.625461210266483249e-16 6.343143596256370354e-17
1.722127163279435990e+03 8.266336846556791863e-16 6.192261935200684944e-17
1.725223143820818223e+03 7.512406097942362274e-16 5.954510886543626636e-17
1.728319124362200455e+03 7.948830541012545699e-16 5.871101208335215425e-17
1.731415104903582687e+03 8.490510387580417187e-16 5.886354060965357389e-17
1.734511085444964920e+03 7.838656423191230206e-16 5.683764215627648665e-17
1.737607065986347152e+03 7.492663426448208726e-16 5.475178728930483031e-17
1.740703046527729384e+03 7.479553492984644967e-16 5.431247609554371500e-17
