ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0577,0.1375,0.0974,0.1685,no,45.39,yes
Al III,1862.790,0.2780,0.0107,0.0968,0.0146,0.0979,no,22.67,yes
Zn II,2026.137,0.5010,0.3751,0.1689,0.1170,0.2055,yes,1.25,no
Cr II,2056.254,0.1050,0.4385,0.1486,0.1016,0.1800,yes,1.40,no
Cr II,2062.234,0.0780,0.0000,0.1037,0.0000,0.1037,no,1.04,no
Zn II,2062.664,0.2460,0.3610,0.1707,0.0606,0.1811,yes,0.62,no
Cr II,2066.161,0.0510,0.3670,0.1126,0.0517,0.1239,yes,0.68,no
Fe II,2249.877,0.0018,0.1308,0.0787,0.0449,0.0906,no,0.18,no
Fe II,2260.780,0.0024,0.1455,0.0671,0.0446,0.0806,yes,0.24,no
Fe II,2344.214,0.1140,1.3334,0.0858,0.0761,0.1147,yes,11.70,yes
Fe II,2374.461,0.0313,0.8812,0.0516,0.0862,0.1005,yes,3.25,no
Fe II,2382.765,0.3200,1.5747,0.0632,0.0961,0.1150,yes,33.38,yes
Mn II,2576.877,0.3610,0.2594,0.0455,0.1018,0.1115,yes,0.46,no
Fe II,2586.650,0.0691,1.3868,0.0547,0.1260,0.1374,yes,7.83,yes
Mn II,2594.499,0.2800,0.2057,0.0507,0.0497,0.0710,yes,0.36,no
Fe II,2600.173,0.2390,1.5381,0.0408,0.0938,0.1022,yes,27.21,yes
Mn II,2606.462,0.1980,0.2083,0.0392,0.0699,0.0802,yes,0.25,no
Mg II,2796.352,0.6150,1.9037,0.0408,0.0869,0.0960,yes,166.97,yes
Mg II,2803.531,0.3060,2.1692,0.0409,0.0942,0.1027,yes,83.29,yes
Mg I,2852.964,1.8300,1.1095,0.0544,0.0346,0.0645,yes,3.21,no
