# obs_wvl flux error
2.968000000000000000e+03 1.988730022133532171e-14 1.335875036993425507e-15
2.970746768931127917e+03 2.072513183396968815e-14 1.005052647835651784e-15
2.973493537862255835e+03 2.082842258128169827e-14 8.714836635087123416e-16
2.976240306793383752e+03 1.866353438496398670e-14 8.379876112100986968e-16
2.978987075724511669e+03 1.964743825437284763e-14 8.321269566406559802e-16
2.981733844655639587e+03 2.169209161395980163e-14 9.775891992792743143e-16
2.984480613586767504e+03 2.026689966314290201e-14 8.615284479156166951e-16
2.987227382517895421e+03 1.847878827309214796e-14 7.750166889984647820e-16
2.989974151449023339e+03 1.760061360458530015e-14 7.477197698551557617e-16
2.992720920380151256e+03 1.829751121010334706e-14 7.542142422104547262e-16
2.995467689311279173e+03 1.789062616640172071e-14 7.329937522263955459e-16
2.998214458242407090e+03 1.705982972172745177e-14 7.204043765194845806e-16
3.000961227173535008e+03 1.865391466918787892e-14 7.713582585760295395e-16
3.003707996104662925e+03 1.811520294133447661e-14 9.646879776847909355e-16
3.006454765035790842e+03 1.855137488790459044e-14 7.741421864415386757e-16
3.009201533966918760e+03 1.674613793324135764e-14 6.904274237806783370e-16
3.011948302898046677e+03 1.611812270295227289e-14 6.782570338295910783e-16
3.014695071829174594e+03 1.728088282899024578e-14 8.508246073878471000e-16
3.017441840760302512e+03 1.565755418767353858e-14 6.886256560604487575e-16
3.020188609691430429e+03 1.574517993358140406e-14 8.704968340175869664e-16
3.022935378622558346e+03 1.687859813356463023e-14 6.958824828357554972e-16
3.025682147553686264e+03 1.711893086657110773e-14 6.992842587456934286e-16
3.028428916484814181e+03 1.290938898920764592e-14 5.988662009995031363e-16
3.031175685415942098e+03 1.375040841177601187e-14 6.051170263932535931e-16
3.033922454347070016e+03 1.578491915547824089e-14 6.057850798033847290e-16
3.036669223278197933e+03 1.650262487852667588e-14 6.330752012271719437e-16
3.039415992209325850e+03 1.565631299912285061e-14 7.021616101744873161e-16
3.042162761140453767e+03 1.528407659321121794e-14 6.058952909745200139e-16
3.044909530071581685e+03 1.603996138833064349e-14 5.997991156176231304e-16
3.047656299002709602e+03 1.538172544858170067e-14 5.651782263845211659e-16
3.050403067933837519e+03 1.459513408591377883e-14 5.757108447784037324e-16
3.053149836864965437e+03 1.527546753982303735e-14 5.598091973011935086e-16
3.055896605796093354e+03 1.620879492795769152e-14 5.963477113928938059e-16
3.058643374727221271e+03 1.524876661555325349e-14 5.386914168977136960e-16
3.061390143658349189e+03 1.582890597503430540e-14 5.352222270643319827e-16
3.064136912589477106e+03 1.631095063961626137e-14 5.334376103058098016e-16
3.066883681520605023e+03 1.516077676039895614e-14 5.879373968547258013e-16
3.069630450451732941e+03 1.464319343684135418e-14 5.195036583187052812e-16
3.072377219382860858e+03 1.451538104341302507e-14 5.109089008109018308e-16
3.075123988313988775e+03 1.551238965855558984e-14 5.307094241488700678e-16
3.077870757245116693e+03 1.609346284990786468e-14 5.344399236095106539e-16
3.080617526176244610e+03 2.381455436133386795e-14 9.765703233744280085e-16
3.083364295107372527e+03 1.894093605251298544e-14 6.749133536445497515e-16
3.086111064038500444e+03 1.655575916396821411e-14 5.283434687729136375e-16
3.088857832969628362e+03 1.600191184515303920e-14 4.932492046196819962e-16
3.091604601900756279e+03 1.560637718000325159e-14 5.047430630023281201e-16
3.094351370831884196e+03 1.654466818496758672e-14 5.243021107985651512e-16
3.097098139763012114e+03 1.663688390676886986e-14 4.990840383664440727e-16
3.099844908694140031e+03 1.679343574636134611e-14 5.062006426863405857e-16
3.102591677625267948e+03 1.598768429011378718e-14 4.897754259402472358e-16
3.105338446556395866e+03 1.501233395114698956e-14 6.578945952943609700e-16
3.108085215487523783e+03 1.713769128332069340e-14 6.258592572983995087e-16
3.110831984418651700e+03 1.753674998855323229e-14 5.110018254786351296e-16
3.113578753349779618e+03 1.763976912428103931e-14 5.439293487234700794e-16
3.116325522280907535e+03 1.698240385745499283e-14 5.753944163563369329e-16
3.119072291212035452e+03 1.755706683365772331e-14 5.875420459260804046e-16
3.121819060143163370e+03 1.819423489468341881e-14 5.439394472190420811e-16
3.124565829074291287e+03 1.758273349881637673e-14 5.265833507664670746e-16
3.127312598005419204e+03 1.881043141144665770e-14 5.340369305701273844e-16
3.130059366936547121e+03 2.031689298882623625e-14 5.144988447002699219e-16
3.132806135867675039e+03 1.957226699858627702e-14 4.952060065466046437e-16
3.135552904798802956e+03 1.834151808084910330e-14 5.003999936122225903e-16
3.138299673729930873e+03 1.827674945475212839e-14 5.254582273096150140e-16
3.141046442661058791e+03 1.948673167232514614e-14 5.278988902907567371e-16
3.143793211592186708e+03 2.249218901724150579e-14 6.359829309861748350e-16
3.146539980523314625e+03 2.014677167238940948e-14 5.192941310258403903e-16
3.149286749454442543e+03 1.984619817940669303e-14 4.880484129337427465e-16
3.152033518385570460e+03 2.047742976430609228e-14 4.926953749806228581e-16
3.154780287316698377e+03 2.126684301810865640e-14 4.919945435804704425e-16
3.157527056247826295e+03 2.089870777396760624e-14 5.002356560884127027e-16
3.160273825178954212e+03 1.733832529053209488e-14 6.432236831619349163e-16
3.163020594110082129e+03 2.040001112395540670e-14 5.164591690833745576e-16
3.165767363041210047e+03 2.079866489828386557e-14 4.872393221517601428e-16
3.168514131972337964e+03 2.115099427716433316e-14 4.788419587875500247e-16
3.171260900903465881e+03 2.278682582578969030e-14 4.911654361019993257e-16
3.174007669834593798e+03 2.323566592442611385e-14 4.898053981565192389e-16
3.176754438765721716e+03 2.205971132818842139e-14 4.939399483454285481e-16
3.179501207696849633e+03 2.243801315779423580e-14 4.930160730563073624e-16
3.182247976627977550e+03 2.323875852508282333e-14 4.809210202542414356e-16
3.184994745559105468e+03 2.390818361785717733e-14 4.947777967387099092e-16
3.187741514490233385e+03 4.830883940518468298e-14 6.517765460368375986e-16
3.190488283421361302e+03 3.246867490565829240e-14 4.977573724536343120e-16
3.193235052352489220e+03 2.324511145722743012e-14 4.735473091706449561e-16
3.195981821283617137e+03 2.256747414036096925e-14 4.684554150906210481e-16
3.198728590214745054e+03 2.178998865282062102e-14 4.615938793285351699e-16
3.201475359145872972e+03 2.174649622840262307e-14 4.543835941476962810e-16
3.204222128077000889e+03 2.254596203884540155e-14 4.596440377010783503e-16
3.206968897008128806e+03 2.180965861335686243e-14 4.586694679108284190e-16
3.209715665939256724e+03 2.013281045592656582e-14 4.956601437279249361e-16
3.212462434870384641e+03 1.988323752786417693e-14 4.633171276168558665e-16
3.215209203801512558e+03 2.048141712861651186e-14 4.495514736547538306e-16
3.217955972732640475e+03 1.952103409805222517e-14 4.257412517713189395e-16
3.220702741663768393e+03 1.868819480325782553e-14 4.248590320079326195e-16
3.223449510594896310e+03 1.972799023019413441e-14 4.383475669776900746e-16
3.226196279526024227e+03 1.969741029544568498e-14 4.218217734778885397e-16
3.228943048457152145e+03 1.727481501817254952e-14 3.980660906247595863e-16
3.231689817388280062e+03 1.758251861011670590e-14 4.427897328968495848e-16
3.234436586319407979e+03 1.730551074499029436e-14 4.040674804272943355e-16
3.237183355250535897e+03 1.738873894456321207e-14 4.131832164426091695e-16
3.239930124181663814e+03 1.699233116720211265e-14 3.984694208275167168e-16
3.242676893112791731e+03 1.586626411097421012e-14 3.828142986046346953e-16
3.245423662043919649e+03 1.569870353187431796e-14 3.966163641490398041e-16
3.248170430975047566e+03 1.562065652390111196e-14 3.838414898671035804e-16
3.250917199906175483e+03 1.519453841617158828e-14 3.761438661860980546e-16
3.253663968837303401e+03 1.536673906641891886e-14 3.794647790898920949e-16
3.256410737768431318e+03 1.520670268796179590e-14 3.804465447377015601e-16
3.259157506699559235e+03 1.544419960103443296e-14 3.898130409711726879e-16
3.261904275630687152e+03 1.415279798371911739e-14 3.755950624905219160e-16
3.264651044561815070e+03 1.335997279614366404e-14 3.963593831312764319e-16
3.267397813492942987e+03 1.462031653007312102e-14 3.758282296867021741e-16
3.270144582424070904e+03 1.433353216537226783e-14 3.768483552231045076e-16
3.272891351355198822e+03 1.356476267076534996e-14 3.607458837581827519e-16
3.275638120286326739e+03 1.340475425958047822e-14 3.523179850085675636e-16
3.278384889217454656e+03 1.369372713718121133e-14 3.554378022393975955e-16
3.281131658148582574e+03 1.358156258831565898e-14 3.542704597137358394e-16
3.283878427079710491e+03 1.279927077707455042e-14 3.470324082298763959e-16
3.286625196010838408e+03 1.350858595165346312e-14 3.510404183503485250e-16
3.289371964941966326e+03 1.340698334403386250e-14 3.523101208446909854e-16
3.292118733873094243e+03 1.368975357170704273e-14 3.599157414956663892e-16
3.294865502804222160e+03 1.347103460983652896e-14 3.443836889863113340e-16
3.297612271735350078e+03 1.344927005543324726e-14 3.636752954350184645e-16
3.300359040666477995e+03 1.305333418309991992e-14 3.420971454585635117e-16
3.303105809597605912e+03 1.359965504299916623e-14 3.441816177262229319e-16
3.305852578528733829e+03 1.359010823430055074e-14 3.451391501753040513e-16
3.308599347459861747e+03 1.361939414216359762e-14 3.414698038854612135e-16
3.311346116390989664e+03 1.407336507532246528e-14 3.437590097343911934e-16
3.314092885322117581e+03 1.302701411372627313e-14 3.422658243995695665e-16
3.316839654253245499e+03 1.375546290160600321e-14 3.534283624942761782e-16
3.319586423184373416e+03 1.566030912399459048e-14 3.686590766057113625e-16
3.322333192115501333e+03 1.535305783353034093e-14 3.589818365872469435e-16
3.325079961046629251e+03 1.507025686075832591e-14 4.189945364230783035e-16
3.327826729977757168e+03 1.424743687160289121e-14 3.529398170821877647e-16
3.330573498908885085e+03 1.567018209243313869e-14 3.482293769185749549e-16
3.333320267840013003e+03 1.515156788957824714e-14 3.388018741603794559e-16
3.336067036771140920e+03 1.501374267569194421e-14 3.388487890244245880e-16
3.338813805702268837e+03 1.627686046547656734e-14 3.472656493692452251e-16
3.341560574633396755e+03 1.618998926866652723e-14 3.440503928555341549e-16
3.344307343564524672e+03 1.782012770816211574e-14 3.636945000058920786e-16
3.347054112495652589e+03 4.273730162296154100e-14 6.456879323377224605e-16
3.349800881426780506e+03 2.770893104008440753e-14 4.509600152458548441e-16
3.352547650357908424e+03 1.750426450512921793e-14 3.740330127543033501e-16
3.355294419289036341e+03 1.776536339107991567e-14 3.575755424571001153e-16
3.358041188220164258e+03 1.766736679569242775e-14 3.483857328984878169e-16
3.360787957151292176e+03 1.819145802698476569e-14 3.574774668264244652e-16
3.363534726082420093e+03 1.768262406612680284e-14 3.456865764985445592e-16
3.366281495013548010e+03 1.756238766637515320e-14 3.430139472294178062e-16
3.369028263944675928e+03 1.789319023277846427e-14 3.451739436045727288e-16
3.371775032875803845e+03 1.753077512720169239e-14 3.400141550915182369e-16
3.374521801806931762e+03 1.679072231752628957e-14 3.419380111542454047e-16
3.377268570738059680e+03 1.673745235359324507e-14 3.363356913632322514e-16
3.380015339669187597e+03 1.794118318057406552e-14 3.415738247322634667e-16
3.382762108600315514e+03 1.804033663415652923e-14 3.397331271762516120e-16
3.385508877531443432e+03 1.768655818873822125e-14 3.383946921910389834e-16
3.388255646462571349e+03 1.704987562773251012e-14 3.598677517897152405e-16
3.391002415393699266e+03 1.785136885102681194e-14 3.608587502772336170e-16
3.393749184324827183e+03 1.770589171260401481e-14 3.472591717308973956e-16
