# SN2023BEE oevi01040 G750L CCD z=0.006698 a2center=894.4 extrsize=25 exptime=200.0 mode=adaptive_es25@0.98 flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5207.8028 5242.6847 2.924242e-14 1.735766e-15 7.797817e+00 512 0
5212.6463 5247.5606 1.711993e-14 6.754531e-16 7.478190e+00 512 0
5217.4898 5252.4366 1.508130e-14 5.069882e-16 9.214430e+00 512 0
5222.3334 5257.3126 1.554717e-14 4.197852e-16 1.225408e+01 528 0
5227.1770 5262.1886 1.579096e-14 3.664099e-16 1.525422e+01 512 0
5232.0206 5267.0647 1.657691e-14 3.304341e-16 1.898400e+01 512 0
5236.8643 5271.9408 1.733394e-14 3.042071e-16 2.296787e+01 512 0
5241.7080 5276.8170 1.755508e-14 2.826120e-16 2.641591e+01 512 0
5246.5518 5281.6932 1.855504e-14 2.793457e-16 3.128295e+01 528 0
5251.3955 5286.5694 1.901041e-14 2.602538e-16 3.549216e+01 528 0
5256.2394 5291.4457 1.958698e-14 2.481867e-16 4.015094e+01 16 0
5261.0832 5296.3220 1.966536e-14 2.360818e-16 4.387666e+01 16 0
5265.9271 5301.1983 1.948614e-14 2.247880e-16 4.661031e+01 16 0
5270.7711 5306.0747 1.962872e-14 2.326037e-16 4.900289e+01 16 0
5275.6151 5310.9511 1.931143e-14 2.126691e-16 4.990372e+01 16 0
5280.4591 5315.8276 1.961903e-14 2.179207e-16 5.119226e+01 16 0
5285.3031 5320.7041 1.886779e-14 2.185285e-16 4.934749e+01 16 0
5290.1472 5325.5806 1.987744e-14 2.452725e-16 5.125000e+01 16 0
5294.9914 5330.4572 1.962650e-14 2.377678e-16 4.979747e+01 16 0
5299.8355 5335.3338 1.938553e-14 2.194306e-16 4.793394e+01 16 0
5304.6797 5340.2105 1.921360e-14 2.197232e-16 4.646679e+01 0 0
5309.5240 5345.0872 1.894394e-14 2.246638e-16 4.473995e+01 16 0
5314.3682 5349.9639 1.917048e-14 2.277384e-16 4.426982e+01 16 0
5319.2126 5354.8406 1.885117e-14 2.291913e-16 4.279026e+01 16 0
5324.0569 5359.7174 2.352302e-14 3.104617e-16 5.260733e+01 16 0
5328.9013 5364.5943 1.913714e-14 2.330016e-16 4.228941e+01 16 0
5333.7457 5369.4711 1.901535e-14 2.358229e-16 4.161209e+01 16 0
5338.5902 5374.3481 1.882159e-14 2.316555e-16 4.108731e+01 16 0
5343.4347 5379.2250 1.899283e-14 2.394817e-16 4.142318e+01 16 0
5348.2792 5384.1020 1.884661e-14 2.360874e-16 4.131203e+01 16 0
5353.1238 5388.9790 1.805080e-14 2.279564e-16 3.982201e+01 16 0
5357.9684 5393.8560 1.821742e-14 2.277408e-16 4.066819e+01 16 0
5362.8130 5398.7331 1.796819e-14 2.276623e-16 4.062944e+01 0 0
5367.6577 5403.6103 1.892392e-14 2.262288e-16 4.353714e+01 16 0
5372.5024 5408.4874 1.825577e-14 2.206933e-16 4.272523e+01 16 0
