# SN2023BEE oevi01020 G230L MAMA z=0.006698 a2center=517.4 extrsize=11 exptime=1420.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1562.1570 1572.6203 0.000000e+00 0.000000e+00 -2.275806e-03 2564 0
1563.6903 1574.1639 0.000000e+00 0.000000e+00 -4.308281e-03 2564 0
1565.2235 1575.7074 0.000000e+00 0.000000e+00 6.077452e-04 2564 0
1566.7568 1577.2510 0.000000e+00 0.000000e+00 4.740693e-03 2564 0
1568.2901 1578.7945 0.000000e+00 0.000000e+00 2.603745e-03 2560 0
1569.8234 1580.3381 -9.021915e-14 9.590669e-14 -3.575125e-03 0 0
1571.3567 1581.8817 -6.129399e-14 3.349501e-14 -6.831424e-03 0 0
1572.8900 1583.4253 -1.455201e-14 2.007868e-14 -2.669810e-03 0 0
1574.4234 1584.9689 1.541784e-14 1.690312e-14 3.941836e-03 0 0
1575.9567 1586.5125 5.854967e-15 1.208733e-14 1.920751e-03 0 0
1577.4900 1588.0561 -8.215988e-15 9.873535e-15 -3.291574e-03 0 0
1579.0234 1589.5997 1.269771e-14 9.641964e-15 6.011009e-03 0 0
1580.5568 1591.1433 -4.601576e-15 7.056221e-15 -2.514213e-03 0 0
1582.0901 1592.6870 -1.260100e-14 5.382715e-15 -7.807314e-03 0 0
1583.6235 1594.2306 8.786295e-15 6.558722e-15 6.199876e-03 0 0
1585.1569 1595.7743 8.335426e-16 5.360196e-15 6.637778e-04 0 0
1586.6903 1597.3180 -2.088492e-15 4.406876e-15 -1.879170e-03 0 0
1588.2237 1598.8616 -4.619220e-15 3.738777e-15 -4.658252e-03 0 0
1589.7571 1600.4053 4.792831e-15 4.083822e-15 5.408400e-03 0 0
1591.2906 1601.9490 -1.930842e-17 3.233186e-15 -2.420649e-05 0 0
1592.8240 1603.4927 -4.033391e-16 2.997508e-15 -5.603275e-04 0 0
1594.3574 1605.0364 -1.322943e-15 2.552044e-15 -2.024290e-03 0 0
1595.8909 1606.5802 -3.650817e-15 2.099721e-15 -6.137004e-03 0 0
1597.4244 1608.1239 -2.727052e-15 1.985693e-15 -5.011270e-03 0 0
1598.9578 1609.6676 3.877124e-17 2.052607e-15 7.769768e-05 0 0
1600.4913 1611.2114 1.813478e-15 2.031939e-15 3.947359e-03 0 0
