# obs_wvl flux error
2.968000000000000000e+03 1.205444283925936510e-13 6.039999196187457016e-15
2.973493426934851414e+03 1.350736370169525520e-13 4.446665351236000857e-15
2.978986853869702827e+03 1.390473832730604497e-13 4.306985603183894879e-15
2.984480280804554241e+03 1.274635045800570415e-13 4.142584091127616326e-15
2.989973707739405654e+03 1.313151778368093791e-13 4.025802319813419838e-15
2.995467134674257068e+03 1.310774188760721978e-13 3.918651381481753364e-15
3.000960561609108481e+03 1.245791155383573542e-13 3.860800406545650540e-15
3.006453988543959895e+03 1.235938049175829648e-13 3.786043168869124216e-15
3.011947415478811308e+03 1.340862774373801749e-13 3.746357787729308064e-15
3.017440842413662722e+03 1.294712893926651880e-13 3.654271518678058290e-15
3.022934269348514135e+03 1.354553640975624161e-13 3.566521081647943864e-15
3.028427696283365549e+03 1.231717574240106663e-13 3.340723220677081870e-15
3.033921123218216962e+03 1.192744053095721817e-13 3.240979225848085625e-15
3.039414550153068376e+03 1.214500907045798128e-13 3.282149246126673661e-15
3.044907977087919789e+03 1.154846056244564374e-13 3.050961057084643027e-15
3.050401404022771203e+03 1.146264357218837408e-13 2.978836621192069724e-15
3.055894830957622617e+03 1.180636615603478633e-13 2.960624475051857308e-15
3.061388257892474030e+03 1.209282366672304284e-13 2.862666498240395136e-15
3.066881684827325444e+03 1.234774553093196361e-13 2.829262453346897894e-15
3.072375111762176857e+03 1.213781971754271143e-13 2.765476248525025753e-15
3.077868538697028271e+03 1.219018328249592448e-13 2.819206467099875309e-15
3.083361965631879684e+03 1.234182403349323740e-13 2.832389296698218725e-15
3.088855392566731098e+03 1.193834039056840782e-13 2.649577406285577851e-15
3.094348819501582511e+03 1.184635782322251072e-13 2.649221010620255593e-15
3.099842246436433925e+03 1.215725153505088623e-13 2.626944314096194623e-15
3.105335673371285338e+03 1.154990781347878686e-13 2.644373509157158303e-15
3.110829100306136752e+03 1.205452504097792985e-13 2.589746056827575601e-15
3.116322527240988165e+03 1.136960087586469994e-13 2.500657465822689977e-15
3.121815954175839579e+03 1.176012131757864079e-13 2.543530621675309844e-15
3.127309381110690993e+03 1.148262708763386669e-13 2.501305138400302990e-15
3.132802808045542406e+03 1.181919663150833757e-13 2.478156649208292325e-15
3.138296234980393820e+03 1.102391613228953074e-13 2.442063325436269938e-15
3.143789661915245233e+03 1.111062670327739419e-13 2.493817264093350390e-15
3.149283088850096647e+03 1.128694474961184174e-13 2.612852578709463964e-15
3.154776515784948060e+03 1.131965732141911895e-13 2.400800962490370874e-15
3.160269942719799474e+03 1.175317345657277822e-13 2.500511041834701030e-15
3.165763369654650887e+03 1.204677249106372460e-13 2.374234000094258225e-15
3.171256796589502301e+03 1.166349406391052908e-13 2.327785801371197110e-15
3.176750223524353714e+03 1.205512850849862354e-13 2.320044966473896297e-15
3.182243650459205128e+03 1.239605812093952125e-13 2.309148120311422175e-15
3.187737077394056541e+03 1.278362360577199903e-13 2.458850832254612546e-15
3.193230504328907955e+03 1.292981980357134100e-13 2.285562286170520479e-15
3.198723931263759368e+03 1.279637185837255574e-13 2.265800340365083837e-15
3.204217358198610782e+03 1.318070843669573588e-13 2.414779937612210904e-15
3.209710785133462196e+03 1.356617376892790259e-13 2.297312006828409465e-15
3.215204212068313609e+03 1.388907763869084188e-13 2.265786618368797661e-15
3.220697639003165023e+03 1.375221452316169480e-13 2.218329200401957806e-15
3.226191065938016436e+03 1.431384664279803106e-13 2.230308162347241111e-15
3.231684492872867850e+03 1.331953379714729940e-13 2.176185891951295094e-15
3.237177919807719263e+03 1.384134874076221986e-13 2.172011842745381525e-15
3.242671346742570677e+03 1.386217092695025098e-13 2.148909434657328830e-15
3.248164773677422090e+03 1.352625832326561764e-13 2.142111916458167242e-15
3.253658200612273504e+03 1.322216858718242927e-13 2.117366121809289797e-15
3.259151627547124917e+03 1.296037575606344303e-13 2.082830802285402044e-15
3.264645054481976331e+03 1.313588911281101393e-13 2.097520662149127776e-15
3.270138481416827744e+03 1.273469879589898803e-13 2.086786639910055211e-15
3.275631908351679158e+03 1.247277966614896136e-13 2.048202828653352426e-15
3.281125335286530571e+03 1.306272898686672462e-13 2.035150759233732671e-15
3.286618762221381985e+03 1.277676818096567954e-13 2.027400159969779666e-15
3.292112189156233399e+03 1.284304084954461148e-13 2.014841114687990144e-15
3.297605616091084812e+03 1.222732589257192347e-13 1.962416009124078014e-15
3.303099043025936226e+03 1.271168932766389189e-13 1.969055081474766972e-15
3.308592469960787639e+03 1.296297259575012588e-13 1.997570732342143511e-15
3.314085896895639053e+03 1.274934676458144052e-13 1.942874732230338835e-15
3.319579323830490466e+03 1.271851141054269004e-13 1.974344555284449062e-15
