# obs_wvl flux error
2.967000000000000000e+03 7.099985340321482430e-14 6.687851973065893352e-15
2.969746711543608399e+03 6.760709863874451867e-14 5.033683642561576033e-15
2.972493423087216797e+03 7.324874350037405190e-14 4.914590668165282226e-15
2.975240134630825196e+03 7.826224433803762552e-14 4.814817566551827506e-15
2.977986846174433595e+03 8.034031243125496772e-14 4.704035740262239247e-15
2.980733557718041993e+03 7.288548844605676406e-14 4.779258896176719833e-15
2.983480269261650392e+03 6.437727537240071434e-14 4.489515348444025979e-15
2.986226980805258790e+03 7.268249865354714369e-14 4.425128124408687738e-15
2.988973692348867189e+03 6.485662269021988537e-14 4.257673275896816344e-15
2.991720403892475588e+03 6.147788117466818378e-14 4.207637701127061641e-15
2.994467115436083986e+03 6.342191731203968489e-14 4.159377998867850217e-15
2.997213826979692385e+03 6.884724150457839666e-14 4.191410453761274519e-15
2.999960538523300784e+03 7.026773366550217954e-14 4.188447013920468499e-15
3.002707250066909182e+03 6.058022013540430511e-14 4.286273440151815002e-15
3.005453961610517581e+03 6.540576681429763137e-14 4.071701437065726169e-15
3.008200673154125980e+03 6.579362832906722372e-14 3.999424684739902066e-15
3.010947384697734378e+03 6.093533683445842612e-14 3.905416158125904100e-15
3.013694096241342777e+03 6.735151387256483790e-14 4.081757536155498937e-15
3.016440807784951176e+03 5.421204513256124786e-14 3.925961462515419600e-15
3.019187519328559574e+03 6.349886806840713628e-14 4.196478708267294770e-15
3.021934230872167973e+03 7.231499911625320655e-14 3.836949871195624589e-15
3.024680942415776371e+03 6.924003705391292820e-14 3.762207352552528013e-15
3.027427653959384770e+03 6.662289234605432850e-14 3.628580973546058461e-15
3.030174365502993169e+03 6.412772135693252426e-14 3.539136670461248909e-15
3.032921077046601567e+03 6.277414489459072593e-14 3.492627831270859368e-15
3.035667788590209966e+03 6.254823062091485364e-14 3.463073959727439645e-15
3.038414500133818365e+03 5.677088247949403051e-14 3.541549012767566148e-15
3.041161211677426763e+03 6.086009700944533492e-14 3.365002283834000507e-15
3.043907923221035162e+03 5.864754949554572284e-14 3.254594097949533915e-15
3.046654634764643561e+03 5.406916376262651800e-14 3.223870085500355587e-15
3.049401346308251959e+03 6.193116305188119165e-14 3.237749812424030958e-15
3.052148057851860358e+03 6.175257487824685351e-14 3.182586953763944169e-15
3.054894769395468757e+03 6.230583612577081438e-14 3.182851795870024153e-15
3.057641480939077155e+03 5.411960857789661767e-14 2.990997181691268085e-15
3.060388192482685554e+03 6.057558709688508017e-14 3.043098816173479410e-15
3.063134904026293952e+03 5.648576064168859200e-14 3.125621478277084617e-15
3.065881615569902351e+03 5.521379399534191901e-14 2.940534675370106740e-15
3.068628327113510750e+03 5.842816019829065199e-14 2.907794365154007605e-15
3.071375038657119148e+03 6.248038131343521627e-14 2.919378325428499014e-15
3.074121750200727547e+03 6.154016987182286654e-14 2.948045469630726201e-15
3.076868461744335946e+03 5.824142303286751955e-14 2.856706247374928188e-15
3.079615173287944344e+03 6.734495691083015840e-14 3.499415318560938666e-15
3.082361884831552743e+03 7.094695934224842865e-14 3.056948557291864146e-15
3.085108596375161142e+03 6.283058073626141948e-14 2.828754867999593081e-15
3.087855307918769540e+03 6.740798971145143847e-14 2.850036656040835968e-15
3.090602019462377939e+03 7.338051852782979172e-14 2.878668232586813963e-15
3.093348731005986338e+03 6.726881543639638124e-14 2.811839877298443647e-15
3.096095442549594736e+03 6.080350280034418707e-14 2.739065644433543981e-15
3.098842154093203135e+03 6.330024610055453350e-14 2.922938383385525966e-15
3.101588865636811533e+03 6.095526051317205023e-14 2.731463163529107545e-15
3.104335577180419932e+03 5.309264110864221600e-14 3.099564499817380080e-15
3.107082288724028331e+03 5.230896193545678669e-14 2.907906788400449756e-15
3.109829000267636729e+03 6.182810011129427755e-14 2.835113868829785714e-15
3.112575711811245128e+03 6.155118090092017692e-14 2.712082049037280965e-15
3.115322423354853527e+03 6.013305052738943512e-14 2.666265814266471967e-15
3.118069134898461925e+03 5.817075750910917159e-14 2.642032288434833346e-15
3.120815846442070324e+03 6.448085328660362836e-14 2.965018992470160145e-15
3.123562557985678723e+03 5.595567817463328543e-14 2.696521357846409763e-15
3.126309269529287121e+03 5.724779644127096984e-14 2.652336599481090298e-15
3.129055981072895520e+03 6.137968974583388052e-14 2.627425154973874764e-15
3.131802692616503919e+03 6.002607835109147904e-14 2.597416849336547158e-15
3.134549404160112317e+03 5.853545934724033827e-14 2.618341651178279292e-15
3.137296115703720716e+03 5.787976715334583787e-14 2.592014596636395754e-15
3.140042827247329114e+03 5.787789186378374244e-14 2.579172252004499158e-15
3.142789538790937513e+03 5.843666949914251285e-14 2.718758054992871045e-15
3.145536250334545912e+03 5.858827706255827954e-14 2.567587060878660604e-15
3.148282961878154310e+03 5.523920321491634186e-14 2.493387232649181268e-15
3.151029673421762709e+03 6.005258057664776357e-14 2.541341300596041367e-15
3.153776384965371108e+03 6.115850383251449830e-14 2.518341941182100830e-15
3.156523096508979506e+03 6.270647259139710208e-14 2.547312425169896508e-15
3.159269808052587905e+03 5.454655201717357218e-14 2.665559533877548705e-15
3.162016519596196304e+03 6.275007963437711534e-14 2.530473512814861244e-15
3.164763231139804702e+03 5.430282610803187132e-14 2.420852861378290438e-15
3.167509942683413101e+03 5.756024910341148168e-14 2.424764996394527274e-15
3.170256654227021500e+03 6.067755058604264530e-14 2.431510719494035867e-15
3.173003365770629898e+03 6.248472366608552618e-14 2.433236791650684994e-15
3.175750077314238297e+03 6.749049253907469872e-14 2.468846142113622415e-15
3.178496788857846695e+03 6.560220989829939488e-14 2.442478050583582887e-15
3.181243500401455094e+03 6.388426380922435623e-14 2.414459902917646046e-15
3.183990211945063493e+03 6.761723172178670658e-14 2.444567900633762751e-15
3.186736923488671891e+03 6.566890702966363180e-14 2.703240398164663088e-15
3.189483635032280290e+03 6.513926042271945407e-14 2.415183924704504158e-15
3.192230346575888689e+03 6.984330780023981345e-14 2.428847038602655727e-15
3.194977058119497087e+03 6.585573597745447586e-14 2.411688518699477816e-15
3.197723769663105486e+03 6.719435913669422760e-14 2.380037652060860801e-15
3.200470481206713885e+03 6.702388910369554032e-14 2.336264475900762211e-15
3.203217192750322283e+03 7.575196394754248419e-14 2.408161908752691514e-15
3.205963904293930682e+03 7.481886755150029404e-14 2.385929303367518844e-15
3.208710615837539081e+03 7.576320591603728098e-14 2.439050889478293842e-15
3.211457327381147479e+03 7.701273688332988061e-14 2.374001932765228810e-15
3.214204038924755878e+03 7.784160364761761434e-14 2.374217444429904639e-15
3.216950750468364276e+03 7.704100705078015746e-14 2.339838252913411326e-15
3.219697462011972675e+03 7.264358604181860667e-14 2.284703183799202682e-15
3.222444173555581074e+03 8.031824913686085272e-14 2.366288804704296138e-15
3.225190885099189472e+03 7.852679025507615873e-14 2.312835197998954134e-15
3.227937596642797871e+03 7.904191320235125314e-14 2.313179059418647006e-15
3.230684308186406270e+03 7.515083359576994026e-14 2.308909226285328567e-15
3.233431019730014668e+03 7.792166929977142917e-14 2.332054259522555862e-15
3.236177731273623067e+03 7.756484526149640113e-14 2.286162554090666615e-15
3.238924442817231466e+03 8.221089966638514396e-14 2.306142634227567081e-15
3.241671154360839864e+03 7.728250262462958538e-14 2.233670655465399285e-15
3.244417865904448263e+03 7.315657138565326400e-14 2.217435229389021379e-15
3.247164577448056662e+03 7.072927331196477979e-14 2.190206217188119539e-15
3.249911288991665060e+03 7.308451151438440662e-14 2.213785631671724472e-15
3.252658000535273459e+03 7.223740242879818530e-14 2.195222014907664062e-15
3.255404712078881857e+03 7.511154616498502724e-14 2.207289443783410943e-15
3.258151423622490256e+03 7.280485401512481100e-14 2.161156538870452187e-15
3.260898135166098655e+03 6.763790051712224366e-14 2.158568776009358289e-15
3.263644846709707053e+03 6.683859047101834251e-14 2.142220035085240683e-15
3.266391558253315452e+03 6.891448360214467350e-14 2.171410973229451927e-15
3.269138269796923851e+03 6.888412825739629566e-14 2.124829133676593549e-15
3.271884981340532249e+03 6.867847350682714708e-14 2.113136279424599075e-15
3.274631692884140648e+03 6.685326143616654633e-14 2.083820000707424040e-15
3.277378404427749047e+03 6.806790203559834505e-14 2.089487333792863393e-15
3.280125115971357445e+03 6.757985479443812845e-14 2.073231737805944762e-15
3.282871827514965844e+03 6.637081107638749472e-14 2.063825654446433667e-15
3.285618539058574243e+03 6.478523512340524791e-14 2.045550554367132174e-15
3.288365250602182641e+03 6.440364786074350298e-14 2.057697304088212064e-15
3.291111962145791040e+03 6.784618557842180304e-14 2.052706508325283025e-15
3.293858673689399438e+03 6.625841781617438824e-14 2.272253103753260981e-15
3.296605385233007837e+03 6.676632082039196176e-14 2.078648363618545464e-15
3.299352096776616236e+03 6.844845600843296240e-14 2.066489743566352024e-15
3.302098808320224634e+03 6.898290043149651010e-14 2.035264830100685257e-15
3.304845519863833033e+03 6.899022581642505123e-14 2.027145381648572030e-15
3.307592231407441432e+03 7.269344094526130424e-14 2.049421035725552738e-15
3.310338942951049830e+03 7.096217554834454947e-14 2.024266235159176297e-15
3.313085654494658229e+03 7.130379305355894912e-14 2.021767262508614178e-15
3.315832366038266628e+03 7.138786298265655754e-14 2.005193183819236121e-15
3.318579077581875026e+03 6.700372966873872886e-14 1.976847424488203844e-15
3.321325789125483425e+03 7.265288156141119353e-14 2.034474603495062109e-15
3.324072500669091824e+03 7.415930187071088115e-14 2.122498773417301956e-15
3.326819212212700222e+03 7.362699848143054735e-14 2.054904433842010086e-15
3.329565923756308621e+03 7.915729827650537237e-14 2.053376564710027823e-15
3.332312635299917019e+03 7.706809770570340612e-14 2.003412842933522286e-15
3.335059346843525418e+03 7.777620966180906807e-14 2.026087858316464080e-15
3.337806058387133817e+03 8.202311227795971711e-14 2.042394632390781021e-15
3.340552769930742215e+03 8.113018107941309011e-14 2.024335619233420544e-15
3.343299481474350614e+03 8.330211010516857032e-14 2.074274198067052263e-15
3.346046193017959013e+03 9.355454786507924308e-14 2.337314319021351114e-15
