# obs_wvl flux error
1.663000000000000000e+03 3.379290882630234596e-16 1.607837940478112904e-14
1.665745607760742132e+03 6.820354393687748500e-15 1.008265880943700797e-14
1.668491215521484264e+03 -6.584416096540178859e-15 8.929388507208607013e-15
1.671236823282226396e+03 8.273464149725574404e-15 8.599911168374638423e-15
1.673982431042968528e+03 -5.822154099154478414e-14 1.168662682103554414e-14
1.676728038803710660e+03 1.113177998366936186e-16 7.601601912849232229e-15
1.679473646564452793e+03 -1.513967298401625534e-15 7.805001388088185502e-15
1.682219254325194925e+03 1.453043684673991642e-14 7.054488603492713440e-15
1.684964862085937057e+03 4.816505936353207905e-13 2.861553156410247300e-14
1.687710469846679189e+03 7.741121201473646872e-14 1.425633506277082437e-14
1.690456077607421321e+03 -3.639732563915812461e-15 5.550718132635906868e-15
1.693201685368163453e+03 -4.368100560107867281e-15 5.660717746909839964e-15
1.695947293128905585e+03 3.611934184474549078e-14 5.593659149705748193e-15
1.698692900889647717e+03 -2.904006312891540758e-15 5.773758099965109191e-15
1.701438508650389849e+03 -4.930284494633313880e-15 4.514026434472966327e-15
1.704184116411131981e+03 5.675412623239126754e-15 4.406719489914145150e-15
1.706929724171874113e+03 1.117657433965992138e-14 4.305970186516636368e-15
1.709675331932616245e+03 1.402597588284735551e-14 4.704178705986859557e-15
1.712420939693358378e+03 -8.442194509393417240e-15 4.868973667745658034e-15
1.715166547454100510e+03 -5.600479067813678323e-15 4.254322692281292241e-15
1.717912155214842642e+03 4.947535369365938030e-15 4.048098326018310520e-15
1.720657762975584774e+03 2.238892561905654516e-14 6.609369075158646753e-15
1.723403370736326906e+03 -1.197774279663222416e-15 3.701942352006716924e-15
1.726148978497069038e+03 -1.582144229605206805e-14 5.756466355369140463e-15
1.728894586257811170e+03 2.201354679911365592e-14 6.804963373420786676e-15
1.731640194018553302e+03 -1.683559615600957943e-15 4.252303179584094695e-15
1.734385801779295434e+03 -3.118694398692959435e-15 3.191971729980747615e-15
1.737131409540037566e+03 -1.318101540988335803e-15 4.015897944288119310e-15
1.739877017300779698e+03 -6.221078130550246307e-15 4.678077058665418746e-15
1.742622625061521831e+03 -1.088960884016692067e-15 3.431503214323795985e-15
1.745368232822263963e+03 -3.729671843663776302e-15 3.472353420614140329e-15
1.748113840583006095e+03 -5.790175427673155937e-15 3.928538519107018925e-15
1.750859448343748227e+03 2.971249638405274271e-15 2.902417545369300879e-15
1.753605056104490359e+03 -3.307183474499199144e-15 2.702371620843879490e-15
1.756350663865232491e+03 1.490354008134226929e-15 2.986524106945196405e-15
1.759096271625974623e+03 -8.532207619801217592e-15 3.171866328479074870e-15
1.761841879386716755e+03 6.798671793102319524e-15 2.886960472221590665e-15
1.764587487147458887e+03 4.000884443838016199e-15 2.868695381905648820e-15
1.767333094908201019e+03 -3.468408122808419994e-15 2.811929983457707039e-15
1.770078702668943151e+03 3.415926660096646980e-15 3.058716986925113949e-15
1.772824310429685283e+03 -1.606842117197010426e-14 5.649630525250290740e-15
1.775569918190427416e+03 -1.830946861259497368e-15 2.573281017125585405e-15
1.778315525951169548e+03 7.054748638030809074e-15 2.402436581165101675e-15
1.781061133711911680e+03 1.963349611549160848e-18 3.009534813503186265e-15
1.783806741472653812e+03 -1.084689064782749729e-15 2.605527974894863703e-15
