# obs_wvl flux error
1.138000000000000000e+03 1.792433852218476964e-13 5.639041164713984918e-14
1.138583096742940143e+03 1.297343470388620899e-13 4.086673459363677785e-14
1.139166193485880285e+03 -1.498330414952154913e-14 6.321720630317704645e-15
1.139749290228820428e+03 -7.766503181290841204e-15 4.440135028846147069e-15
1.140332386971760570e+03 -1.291897364205402055e-14 1.953181042688858160e-15
1.140915483714700713e+03 -9.496262970644270263e-15 1.375062117078173904e-15
1.141498580457640855e+03 -4.983732873605032514e-15 1.778472951358870246e-15
1.142081677200580998e+03 -4.831129375937895059e-15 1.174598868033814486e-15
1.142664773943521141e+03 -3.623264826258110427e-15 1.074857553615069408e-15
1.143247870686461283e+03 -4.249517603494434618e-15 6.092971276678988723e-16
1.143830967429401426e+03 -3.319524734590833512e-15 5.397781148813242694e-16
1.144414064172341568e+03 -2.557192724144239694e-15 4.487801174496214157e-16
1.144997160915281711e+03 -1.500664158311327125e-15 5.336974280190444870e-16
1.145580257658221853e+03 -1.300972708495976160e-15 4.499832542819337136e-16
1.146163354401161996e+03 -1.278421441947391213e-15 3.919463757555037254e-16
1.146746451144102139e+03 -1.856031636299543037e-15 2.226041451841277787e-16
1.147329547887042281e+03 -1.413988035804911548e-15 2.491180027464545020e-16
1.147912644629982424e+03 -1.090982805821756718e-15 2.451088088770872378e-16
1.148495741372922566e+03 -7.032537564385182842e-16 2.758184953791240740e-16
1.149078838115862709e+03 -7.620122222592365212e-16 2.414127611887914028e-16
1.149661934858802852e+03 -8.065137471069295240e-16 2.017090932009609386e-16
1.150245031601742994e+03 -4.300685042748473812e-16 2.264847821683072222e-16
1.150828128344683137e+03 -1.358179764879503031e-16 2.422792506278416755e-16
1.151411225087623279e+03 2.346049620647618219e-16 2.665642370071182893e-16
1.151994321830563422e+03 -6.855466590301543630e-17 2.309152866247356269e-16
1.152577418573503564e+03 -5.010161898024295889e-16 1.580845570234182283e-16
1.153160515316443707e+03 -6.477744420432990974e-16 1.092798420350847038e-16
1.153743612059383850e+03 -4.546356783005786620e-16 1.423998051356039000e-16
1.154326708802323992e+03 -7.200821201364405647e-16 4.843846152323348468e-17
1.154909805545264135e+03 -1.851911316609557092e-16 1.534880873918857053e-16
1.155492902288204277e+03 -2.049301638061321167e-16 1.362547084619042853e-16
1.156075999031144420e+03 -3.100610928103704122e-17 1.447760499795060386e-16
1.156659095774084562e+03 1.758495678964057029e-16 1.732168828698741017e-16
1.157242192517024705e+03 -1.216271546902355091e-16 1.379257366705425457e-16
1.157825289259964848e+03 -3.859684121222083773e-16 1.070634308849353573e-16
1.158408386002904990e+03 -4.468867957357626140e-16 8.361655078629534060e-17
1.158991482745845133e+03 -4.108434828710952078e-16 8.525488834877834218e-17
1.159574579488785275e+03 -3.450777365208951226e-16 8.047718245060200357e-17
1.160157676231725418e+03 1.461098081058386985e-16 1.431530098936951696e-16
1.160740772974665560e+03 1.715107254878423743e-16 1.458737889935432277e-16
1.161323869717605703e+03 -1.996496241196739204e-16 1.115090665671764236e-16
1.161906966460545846e+03 -3.965437878475425217e-16 6.721411142196796564e-17
1.162490063203485988e+03 -2.772030784667479902e-16 8.394758211827229577e-17
1.163073159946426131e+03 -1.308370207865245617e-16 1.030000798371689848e-16
1.163656256689366273e+03 -3.988037189843722823e-18 1.100027191533874542e-16
1.164239353432306416e+03 1.310572560105480006e-17 1.210489999245690437e-16
1.164822450175246559e+03 -3.564770729204648947e-16 5.835422895511024923e-17
1.165405546918186701e+03 -1.775285329591133150e-16 9.254482605765024811e-17
1.165988643661126844e+03 -2.774053715147725352e-16 7.141562272191322537e-17
1.166571740404066986e+03 -9.328878594054516824e-17 9.735974145480662276e-17
1.167154837147007129e+03 -1.436005637417568507e-16 8.823836888381718995e-17
1.167737933889947271e+03 -8.823392672983147571e-17 9.123735590619276054e-17
1.168321030632887414e+03 -4.582092897483097589e-17 9.729970831774321247e-17
1.168904127375827557e+03 -1.065042577571543843e-16 8.812413738508943947e-17
1.169487224118767699e+03 -8.375922565782640850e-17 9.133312557446835738e-17
1.170070320861707842e+03 -1.131686226659311469e-16 8.287669789208840420e-17
1.170653417604647984e+03 7.288677819088780175e-18 9.579606812406872906e-17
1.171236514347588127e+03 1.668173707353302374e-17 9.582305628941220719e-17
1.171819611090528269e+03 2.506915416378615765e-17 9.789507667506643017e-17
1.172402707833468412e+03 1.918952855250570305e-18 7.941204617009667972e-17
1.172985804576408555e+03 5.239046579946696696e-16 1.370046489692031304e-16
1.173568901319348697e+03 4.490756194452008105e-17 9.262359078787975581e-17
1.174151998062288840e+03 -3.194119534672706771e-17 8.467964047615125874e-17
1.174735094805228982e+03 -7.685805728001080086e-17 7.850779177540191865e-17
1.175318191548169125e+03 -1.002377891948991297e-16 6.941144229885076323e-17
1.175901288291109267e+03 1.115918374331207613e-16 9.379355986199093334e-17
1.176484385034049410e+03 7.062586752176339582e-17 8.888914801273106018e-17
1.177067481776989553e+03 8.476179804033325256e-17 8.710499192364222480e-17
1.177650578519929695e+03 1.992545458777961504e-16 9.347294705325643871e-17
1.178233675262869838e+03 1.937501134945882831e-16 9.412695134263936991e-17
1.178816772005809980e+03 1.809261036693946610e-16 9.087679416989066223e-17
1.179399868748750123e+03 3.779998203021645040e-16 1.044917662070277270e-16
1.179982965491690265e+03 5.026942440373877617e-16 1.123547439396225143e-16
1.180566062234630408e+03 5.426154504952916052e-16 1.167846366190142170e-16
1.181149158977570551e+03 4.807697226527699856e-16 1.098253820611931213e-16
1.181732255720510693e+03 6.802008739670653622e-16 1.185935210626627197e-16
1.182315352463450836e+03 8.803777985426538487e-16 1.323251486102706539e-16
1.182898449206390978e+03 9.158225435547568226e-16 1.327476745329744866e-16
1.183481545949331121e+03 9.388515772510023396e-16 1.296522447153441883e-16
1.184064642692271264e+03 1.309234214100820848e-15 1.471525627214611048e-16
1.184647739435211406e+03 1.821345654607848071e-15 1.679858325543360540e-16
1.185230836178151549e+03 1.976512803323909337e-15 1.694516867114847778e-16
1.185813932921091691e+03 2.424929054449546976e-15 1.887439089305989536e-16
1.186397029664031834e+03 3.264992380623287871e-15 2.113995663589594875e-16
1.186980126406971976e+03 3.767870349092264229e-15 2.266489868477853143e-16
1.187563223149912119e+03 4.478217241869826874e-15 2.421160356041444422e-16
1.188146319892852262e+03 4.826154555531917576e-15 2.521013762337349632e-16
1.188729416635792404e+03 5.348152719961763364e-15 2.570625525497730447e-16
1.189312513378732547e+03 5.741669199761842321e-15 2.704103525168702595e-16
1.189895610121672689e+03 5.729701195321742226e-15 2.668384052150350562e-16
1.190478706864612832e+03 5.611790017422823389e-15 2.654970313319059163e-16
1.191061803607552974e+03 5.816241539911516371e-15 2.639925755122427919e-16
1.191644900350493117e+03 5.752236777693062618e-15 2.583707128399443875e-16
1.192227997093433260e+03 7.438785340175662343e-15 2.932628359608291697e-16
1.192811093836373402e+03 7.231131433848411542e-15 2.929414565935093011e-16
1.193394190579313545e+03 6.525563999903734857e-15 2.702767882798288546e-16
1.193977287322253687e+03 7.662513031158653052e-15 2.944557064526483976e-16
1.194560384065193830e+03 9.042302742122023732e-15 3.103524818174797151e-16
1.195143480808133972e+03 1.083910436725250136e-14 3.451043582645621466e-16
1.195726577551074115e+03 1.216909778773471341e-14 3.557013434763614045e-16
1.196309674294014258e+03 1.336489120678531204e-14 3.793044485872843808e-16
1.196892771036954400e+03 1.381796615957041937e-14 3.772741269238947935e-16
1.197475867779894543e+03 1.294285297856820200e-14 3.683689328688113104e-16
1.198058964522834685e+03 1.267340712005536216e-14 3.674348088929316453e-16
1.198642061265774828e+03 1.121933776317677383e-14 3.352718885277450743e-16
1.199225158008714970e+03 9.501580186726893073e-15 3.128001382584569235e-16
1.199808254751655113e+03 7.664184750519915899e-15 2.807922969282794227e-16
1.200391351494595256e+03 6.516984893957308456e-15 2.567752539387603335e-16
1.200974448237535398e+03 6.359799955065737880e-15 2.518999365957729427e-16
1.201557544980475541e+03 6.567646577462893129e-15 2.595096743374178380e-16
1.202140641723415683e+03 7.738486990934626423e-15 2.663912724219962932e-16
1.202723738466355826e+03 9.330219347083416852e-15 3.075851855031299770e-16
1.203306835209295969e+03 9.584428853352077883e-15 2.974833597293267765e-16
1.203889931952236111e+03 9.481452636261706293e-15 3.015080187286488922e-16
1.204473028695176254e+03 9.584825330432197209e-15 3.041238051984834729e-16
1.205056125438116396e+03 8.483355076543409476e-15 2.807520596052757463e-16
1.205639222181056539e+03 6.919539684262671117e-15 2.649980339950119396e-16
1.206222318923996681e+03 4.807256440875296978e-15 2.136839440775999150e-16
1.206805415666936824e+03 4.105113694151638755e-15 1.974429303109408406e-16
1.207388512409876967e+03 3.738449300046712362e-15 1.879318581532947048e-16
1.207971609152817109e+03 4.397860278963550351e-15 1.974457261220058529e-16
