# SN2023IXF ofg003010 G230L MAMA z=0.00087 a2center=524.5 extrsize=11 exptime=2025.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1560.3867 1561.7442 0.000000e+00 0.000000e+00 2.351024e-04 2564 0
1561.9288 1563.2877 0.000000e+00 0.000000e+00 -3.748453e-03 2564 0
1563.4710 1564.8312 0.000000e+00 0.000000e+00 1.920650e-05 2564 0
1565.0132 1566.3747 0.000000e+00 0.000000e+00 -1.364266e-03 2564 0
1566.5554 1567.9183 0.000000e+00 0.000000e+00 -4.920977e-03 2560 0
1568.0976 1569.4618 0.000000e+00 0.000000e+00 -1.360514e-03 512 0
1569.6398 1571.0053 0.000000e+00 0.000000e+00 9.493669e-06 512 0
1571.1820 1572.5489 0.000000e+00 0.000000e+00 -2.674689e-03 512 0
1572.7242 1574.0924 0.000000e+00 0.000000e+00 1.120622e-03 512 0
1574.2664 1575.6360 0.000000e+00 0.000000e+00 -1.737316e-03 512 0
1575.8086 1577.1796 0.000000e+00 0.000000e+00 -5.286366e-04 512 0
1577.3509 1578.7232 0.000000e+00 0.000000e+00 -1.041195e-03 512 0
1578.8931 1580.2668 -6.043174e-14 4.584117e-14 -2.326598e-03 0 0
1580.4354 1581.8104 -2.193074e-14 1.577035e-14 -2.465417e-03 0 0
1581.9777 1583.3540 -5.254802e-15 1.047688e-14 -9.801759e-04 0 0
1583.5199 1584.8976 1.064515e-14 9.109058e-15 2.776612e-03 0 0
1585.0622 1586.4412 3.525769e-16 6.118029e-15 1.182297e-04 0 0
1586.6045 1587.9849 -2.021532e-15 4.833137e-15 -8.288679e-04 0 0
1588.1468 1589.5285 6.598205e-15 5.026191e-15 3.199486e-03 0 0
1589.6892 1591.0722 -4.750154e-15 2.986045e-15 -2.660157e-03 0 0
1591.2315 1592.6159 1.292739e-15 3.462684e-15 8.213352e-04 0 0
1592.7738 1594.1595 -1.706396e-15 2.619471e-15 -1.234347e-03 0 0
1594.3162 1595.7032 -1.437698e-15 2.341613e-15 -1.174182e-03 0 0
1595.8585 1597.2469 2.350907e-15 2.467925e-15 2.168980e-03 0 0
1597.4009 1598.7906 -3.655017e-15 1.470469e-15 -3.780954e-03 0 0
1598.9432 1600.3343 5.836911e-15 2.369441e-15 6.755851e-03 0 0
1600.4856 1601.8780 -1.032131e-15 1.490436e-15 -1.327655e-03 0 0
1602.0280 1603.4218 6.906529e-16 1.520586e-15 9.844224e-04 0 0
1603.5704 1604.9655 1.252291e-15 1.468120e-15 1.966565e-03 0 0
1605.1128 1606.5093 1.640747e-15 1.368349e-15 2.830544e-03 0 0
1606.6552 1608.0530 -4.646388e-16 1.028549e-15 -8.764660e-04 0 0
1608.1977 1609.5968 2.281936e-16 1.032535e-15 4.694172e-04 0 0
1609.7401 1611.1406 -8.087049e-17 9.227831e-16 -1.807299e-04 0 0
1611.2825 1612.6843 6.158209e-16 8.989364e-16 1.491198e-03 0 0
1612.8250 1614.2281 -9.155878e-16 6.876169e-16 -2.394556e-03 0 0
1614.3674 1615.7719 -4.194954e-16 6.741071e-16 -1.181687e-03 0 0
1615.9099 1617.3158 6.393880e-16 7.495945e-16 1.934380e-03 0 0
1617.4524 1618.8596 6.091860e-16 6.876948e-16 1.973879e-03 0 0
1618.9949 1620.4034 -4.931119e-16 5.422136e-16 -1.706756e-03 0 0
1620.5374 1621.9472 -5.574810e-16 4.664376e-16 -2.055515e-03 0 0
1622.0799 1623.4911 4.660890e-16 5.740346e-16 1.826289e-03 0 0
1623.6224 1625.0349 -2.929418e-16 4.550467e-16 -1.216592e-03 0 0
1625.1649 1626.5788 1.206863e-16 4.705578e-16 5.300205e-04 0 0
