# obs_wvl flux error
1.582000000000000000e+03 2.529587875924211982e-14 1.347396287073318903e-14
1.583548176798230315e+03 3.695476861341719499e-15 6.489569446926771816e-15
1.585096353596460631e+03 -1.207191017283153510e-14 3.906128335085300057e-15
1.586644530394690946e+03 -5.207832212908572418e-15 3.361643892907562641e-15
1.588192707192921262e+03 -1.043831807003496383e-15 2.975852744417639537e-15
1.589740883991151577e+03 1.893939199662335891e-15 2.683063583649304867e-15
1.591289060789381892e+03 -2.716176711079431205e-15 1.914132028676256922e-15
1.592837237587612208e+03 -3.825296929108828388e-15 1.548644131078260151e-15
1.594385414385842523e+03 -2.943797383524662383e-15 1.403439017423605095e-15
1.595933591184072839e+03 6.728501085477979480e-16 1.564990878046990684e-15
1.597481767982303154e+03 -1.730352793139573805e-15 1.101252225464495787e-15
1.599029944780533469e+03 -1.009042585171066116e-15 1.110536632153601425e-15
1.600578121578763785e+03 4.095661188750730346e-16 1.075270555350954470e-15
1.602126298376994100e+03 -8.355421037446177801e-16 8.183024400004340304e-16
1.603674475175224416e+03 -1.076351826830421834e-16 8.648314401094290399e-16
1.605222651973454731e+03 -2.439607446702254630e-16 7.264229628950948092e-16
1.606770828771685046e+03 -1.532568930034889857e-16 6.854132059620048728e-16
1.608319005569915362e+03 -9.946352562228732355e-16 5.144172841912703320e-16
1.609867182368145677e+03 -9.246778615823720078e-16 4.990009048110819710e-16
1.611415359166375993e+03 -6.163804199473797162e-16 4.756908436289336064e-16
1.612963535964606308e+03 -2.515841887427878125e-16 4.736926739433317860e-16
1.614511712762836623e+03 9.747149535499228717e-17 4.653476178250535808e-16
1.616059889561066939e+03 2.239123870077284609e-17 4.287051971865372402e-16
1.617608066359297254e+03 3.418951555995851978e-16 4.350050656126187230e-16
1.619156243157527570e+03 2.679403154723028705e-16 3.965787287478375442e-16
1.620704419955757885e+03 3.349902989556945361e-16 3.788876719183196603e-16
1.622252596753988200e+03 -3.540411472632427467e-17 3.184169585907994980e-16
1.623800773552218516e+03 -4.905973592620650030e-16 2.612772811193789558e-16
1.625348950350448831e+03 -3.263157895666443539e-16 2.699548088486337939e-16
1.626897127148679147e+03 1.497211736570315402e-16 2.864094931020128360e-16
1.628445303946909462e+03 -1.493107956955153486e-16 2.395254994652175261e-16
1.629993480745139777e+03 -3.218699341439661011e-17 2.502788395385817553e-16
1.631541657543370093e+03 1.717196210302078969e-16 2.583651816591233079e-16
1.633089834341600408e+03 2.260545917914469163e-16 2.450892388620644401e-16
1.634638011139830724e+03 -1.354716487983068189e-16 2.008935794910781142e-16
1.636186187938061039e+03 9.857183384858454637e-17 2.262250692597976922e-16
1.637734364736291354e+03 3.364200880410075741e-17 1.999731195787692589e-16
1.639282541534521670e+03 -6.504277832493715195e-17 1.928156014085756345e-16
1.640830718332751985e+03 -1.206805265369066647e-16 1.746890536939762152e-16
1.642378895130982301e+03 4.134627414676219405e-16 2.234020594205061467e-16
1.643927071929212616e+03 6.457318806816432200e-17 1.699093458313707986e-16
1.645475248727442931e+03 -2.289871608232008764e-16 1.432673719475037756e-16
1.647023425525673247e+03 1.347598492070137684e-16 1.864912088000315341e-16
1.648571602323903562e+03 2.735290400620694049e-16 1.850209118087727904e-16
1.650119779122133878e+03 -2.103523450315628949e-16 1.248269389339315807e-16
1.651667955920364193e+03 -1.227392890167796468e-16 1.469511876094451418e-16
1.653216132718594508e+03 2.440668066864622170e-16 1.754275370701046512e-16
1.654764309516824824e+03 -5.286683477764501502e-17 1.340011088654280315e-16
1.656312486315055139e+03 1.236583783643563168e-17 1.449380612168075665e-16
1.657860663113285455e+03 7.396240474816437363e-17 1.497762911742607913e-16
1.659408839911515770e+03 -1.743388521639249150e-16 1.123918064108123605e-16
1.660957016709746085e+03 -6.083360915900667733e-17 1.252690333274484199e-16
