# obs_wvl flux error
1.138000000000000000e+03 -6.341909148440544319e-14 4.686238318415549705e-18
1.139166025436784594e+03 -1.232644951131168936e-14 1.025211910134437438e-14
1.140332050873569187e+03 -6.361095058734250654e-15 3.068374675095372640e-15
1.141498076310353781e+03 -5.714369478462778209e-15 2.486456642059849901e-19
1.142664101747138375e+03 -3.670108983635325241e-15 1.659355098584134112e-19
1.143830127183922968e+03 -2.068897633976787635e-15 4.402767109587630829e-16
1.144996152620707562e+03 -5.921530233903064613e-16 7.308407821288738953e-16
1.146162178057492156e+03 -1.129737497560732577e-15 1.994634912512396243e-16
1.147328203494276750e+03 -1.062783037126084004e-15 4.641714203854848576e-20
1.148494228931061343e+03 -8.840568690907065440e-16 3.761680799383013470e-20
1.149660254367845937e+03 -6.199042878046947561e-16 1.339128984268392218e-16
1.150826279804630531e+03 -5.614081922265131806e-16 8.934050592217428973e-17
1.151992305241415124e+03 -2.194121632321546791e-16 2.454967971838191063e-16
1.153158330678199718e+03 -1.684670506757611952e-16 1.977359755093829870e-16
1.154324356114984312e+03 -1.847672205508866908e-16 1.637571792435067356e-16
1.155490381551768905e+03 -4.062324816420363516e-16 1.670547778340156109e-20
1.156656406988553499e+03 -2.586993770093263542e-16 1.185902629600941470e-16
1.157822432425338093e+03 -7.313484607593157450e-17 1.396380304011600493e-16
1.158988457862122686e+03 -1.836735790152249772e-16 8.818060931886481708e-17
1.160154483298907280e+03 -2.204763249861146244e-16 1.017866709310733412e-16
1.161320508735691874e+03 -2.576530501742842713e-16 4.991424121741003059e-17
1.162486534172476468e+03 -2.569439460365307577e-16 3.672259126411970793e-17
1.163652559609261061e+03 -1.948113477883055208e-16 8.628183978529096501e-17
1.164818585046045655e+03 -5.782516627491859007e-17 1.255757526669364886e-16
1.165984610482830249e+03 -2.244241581770853764e-16 3.690861439562255731e-17
1.167150635919614842e+03 -2.105134165685139000e-16 4.319905991892116682e-17
1.168316661356399436e+03 4.934690856071427300e-17 1.405901770222492208e-16
1.169482686793184030e+03 2.618953117379990201e-17 1.383108402260057846e-16
1.170648712229968623e+03 -2.322963384613081343e-16 9.074272568822199254e-21
1.171814737666753217e+03 6.507978437159937385e-18 1.226154812080544007e-16
1.172980763103537811e+03 -9.571177591795476996e-17 7.847978160268529942e-17
1.174146788540322405e+03 2.145419057632912200e-16 1.507784222265896058e-16
1.175312813977106998e+03 1.304626867871353542e-16 1.257458869453482225e-16
1.176478839413891592e+03 1.835266047681315106e-16 1.405405053777692860e-16
1.177644864850676186e+03 -4.760222587321756063e-17 7.508126186572195922e-17
1.178810890287460779e+03 3.761666211145507848e-18 8.986250019856133197e-17
1.179976915724245373e+03 2.876724853009191222e-16 1.449073647204324314e-16
1.181142941161029967e+03 2.370843196553313962e-16 1.249489491431205796e-16
1.182308966597814560e+03 3.695454563024256638e-16 1.475473121382696484e-16
1.183474992034599154e+03 6.294086804771239280e-16 1.793023902019304089e-16
1.184641017471383748e+03 4.724413109780076642e-16 1.452434602833162265e-16
1.185807042908168341e+03 8.132778927378899385e-16 1.827151043914273705e-16
1.186973068344952935e+03 1.025246742544841062e-15 1.954386987277127952e-16
1.188139093781737529e+03 1.336761952769193751e-15 2.163242291794687062e-16
1.189305119218522123e+03 1.881392093666035821e-15 2.559327236906332393e-16
1.190471144655306716e+03 2.752754633750976379e-15 3.032695359606535411e-16
1.191637170092091310e+03 2.945373484292237682e-15 3.010480635098003686e-16
1.192803195528875904e+03 3.548803003707420100e-15 3.246004190991792341e-16
1.193969220965660497e+03 5.291743160742630205e-15 3.920487114770691898e-16
1.195135246402445091e+03 6.321920036624872006e-15 4.210260884608801848e-16
1.196301271839229685e+03 6.688249888792019450e-15 4.254954866051989560e-16
1.197467297276014278e+03 6.283932341920119694e-15 4.127477912398165501e-16
1.198633322712798872e+03 5.315110700999839755e-15 3.692645359804246639e-16
1.199799348149583466e+03 5.479950783740985972e-15 3.690128863452128270e-16
1.200965373586368059e+03 7.110003492996628691e-15 4.306793283066054950e-16
1.202131399023152653e+03 7.725560769247988278e-15 4.428043048738613688e-16
1.203297424459937247e+03 6.597675160769282598e-15 3.980647510249574450e-16
1.204463449896721841e+03 4.664207201570135163e-15 3.368243814360450234e-16
1.205629475333506434e+03 3.073661560622681882e-15 2.939408034191734330e-16
1.206795500770291028e+03 3.388718800323754618e-15 3.155187929265530342e-16
1.207961526207075622e+03 3.526865125969354397e-15 3.369737702716776733e-16
1.209127551643860215e+03 3.450481204593776266e-15 4.419864085015514776e-16
1.210293577080644809e+03 1.202800289704024405e-15 6.184566763112969598e-16
1.211459602517429403e+03 1.278769227644206546e-15 6.478035369858550230e-16
1.212625627954213996e+03 9.742297639597631430e-16 6.287509503662494199e-16
1.213791653390998590e+03 6.397730265290349802e-16 6.184314406123943084e-16
1.214957678827783184e+03 -5.867533761596425925e-16 5.803508887390500103e-16
1.216123704264567777e+03 -1.055101597621283100e-18 5.834969117611398394e-16
1.217289729701352371e+03 -5.622783507540527520e-16 5.636173402728355919e-16
1.218455755138136965e+03 9.842920591953732065e-16 5.737040753485336277e-16
1.219621780574921559e+03 4.961074232624334368e-18 5.478030234820209873e-16
1.220787806011706152e+03 8.319555424155259418e-16 5.346243239694900042e-16
1.221953831448490746e+03 1.948026882477382956e-15 3.416162260961870690e-16
1.223119856885275340e+03 1.362653278238362138e-15 2.030771232402497815e-16
1.224285882322059933e+03 1.488432254990646474e-15 1.867565651805810624e-16
1.225451907758844527e+03 1.307040935894727088e-15 1.721273973582227121e-16
1.226617933195629121e+03 1.099811133068019108e-15 1.580361146202197393e-16
1.227783958632413714e+03 1.080534161775308855e-15 1.433318475861790766e-16
1.228949984069198308e+03 9.271486576407759100e-16 1.248831415783413833e-16
1.230116009505982902e+03 1.103976569089280073e-15 1.390965145393854669e-16
1.231282034942767496e+03 9.370313521634647554e-16 1.299424599805928859e-16
1.232448060379552089e+03 5.642035386153907781e-16 9.816818646057792053e-17
1.233614085816336683e+03 5.932421950227331481e-16 9.868602956012083715e-17
1.234780111253121277e+03 6.793446859669744123e-16 1.058248318969879492e-16
1.235946136689905870e+03 5.901595879109791613e-16 9.833675085399496100e-17
1.237112162126690464e+03 5.258577790045473049e-16 9.412564344205479273e-17
1.238278187563475058e+03 2.730454474968652154e-16 6.935769629934005976e-17
1.239444213000259651e+03 3.899980463558930231e-16 8.350465844635752788e-17
1.240610238437044245e+03 2.591471940907558565e-16 6.791213772997424109e-17
1.241776263873828839e+03 2.386833209494300015e-16 6.798344805356982108e-17
1.242942289310613432e+03 1.673715639829888708e-16 5.592777168248243839e-17
1.244108314747398026e+03 1.251416340040347818e-16 4.995599237854780973e-17
1.245274340184182620e+03 8.112282423167619749e-17 4.289480375250284309e-17
1.246440365620967214e+03 1.280819327547320114e-16 5.014751839637516073e-17
1.247606391057751807e+03 1.108369539502550142e-16 4.604450506541802324e-17
1.248772416494536401e+03 1.109413178989799058e-16 4.601682138624885622e-17
1.249938441931320995e+03 1.039514065876313568e-16 4.821690944625144479e-17
1.251104467368105588e+03 8.880842769767318246e-18 2.723583004750031525e-17
1.252270492804890182e+03 4.633596600022580396e-17 3.740977529754693594e-17
1.253436518241674776e+03 2.032765930987903739e-17 3.408045103449294678e-17
1.254602543678459369e+03 -6.210948951374826208e-18 2.478968871871757483e-17
1.255768569115243963e+03 -3.954096460935176362e-18 2.208478863400896807e-17
1.256934594552028557e+03 -1.152260419933640414e-17 2.069255575340097503e-17
1.258100619988813150e+03 -1.557581199795275215e-17 1.863027824430397937e-17
1.259266645425597744e+03 -2.880468196182721421e-18 2.471944365654004881e-17
1.260432670862382338e+03 -3.877665061910980744e-17 1.271474720788250622e-17
1.261598696299166932e+03 -2.264880901009318200e-17 2.074168599222300114e-17
1.262764721735951525e+03 -1.370553866158355988e-17 2.444168842082786279e-17
1.263930747172736119e+03 -8.826681903259044872e-18 2.453270970383690282e-17
1.265096772609520713e+03 3.764198787648949961e-17 3.600133403118934613e-17
1.266262798046305306e+03 -2.649709305217959527e-17 1.945813022584808890e-17
1.267428823483089900e+03 1.835115686435023286e-17 3.298961659084050190e-17
1.268594848919874494e+03 2.176410195421653932e-17 3.425665480190225336e-17
1.269760874356659087e+03 -2.185529485899297950e-17 2.179517027356517696e-17
1.270926899793443681e+03 1.370278588367370645e-17 3.334941903415407866e-17
1.272092925230228275e+03 2.806898370498759415e-17 3.241523582979288822e-17
1.273258950667012869e+03 -4.400606445916177255e-18 2.001184342313943893e-17
1.274424976103797462e+03 3.923887554921242241e-17 3.457060618333050723e-17
1.275591001540582056e+03 -1.825154246803233738e-18 2.340778292746060071e-17
1.276757026977366650e+03 2.427148314403542222e-17 3.104420133440116790e-17
1.277923052414151243e+03 3.732490463177489644e-17 3.265331055650864933e-17
1.279089077850935837e+03 2.096840099462489705e-17 2.892157535641734420e-17
1.280255103287720431e+03 2.338095762187082907e-17 2.924231471982132385e-17
1.281421128724505024e+03 5.893597740386011554e-17 3.448740392889616858e-17
1.282587154161289618e+03 6.610308727037199817e-17 3.509717707815153045e-17
1.283753179598074212e+03 7.831019996186113700e-18 2.437243226740279838e-17
1.284919205034858805e+03 -9.842392202682960066e-18 2.295191501871778259e-17
1.286085230471643399e+03 2.880990319369950935e-18 2.217907047753237462e-17
1.287251255908427993e+03 4.835380670951284970e-17 3.391506126390967614e-17
1.288417281345212587e+03 1.518927952149037347e-17 2.794425582903211424e-17
1.289583306781997180e+03 3.620596696324378003e-17 3.120394260265486334e-17
1.290749332218781774e+03 2.718336790284406343e-17 1.938917590555340105e-17
1.291915357655566368e+03 5.794160525458473404e-17 3.706506464335008547e-17
1.293081383092350961e+03 4.403167010183185299e-17 3.117419676291045728e-17
1.294247408529135555e+03 1.137287441911170460e-16 4.382161381764385056e-17
1.295413433965920149e+03 9.281174005434845443e-17 4.921246037960844968e-17
1.296579459402704742e+03 -2.766292796125451382e-17 7.499852769506436477e-17
1.297745484839489336e+03 8.584265212203303379e-17 8.978359459540275249e-17
1.298911510276273930e+03 3.554494548527235634e-17 1.102320415406667541e-16
1.300077535713058523e+03 -5.964033771592698940e-17 1.260217402542613398e-16
1.301243561149843117e+03 1.449137957649789588e-16 1.382721979998967186e-16
1.302409586586627711e+03 -9.312957814664661621e-18 1.317183049104191083e-16
1.303575612023412305e+03 2.153295489074105354e-16 1.499330591360435736e-16
1.304741637460196898e+03 2.274236569567553629e-16 1.566498768675119734e-16
1.305907662896981492e+03 2.721466575960307485e-17 1.401654752828825565e-16
1.307073688333766086e+03 1.534796233884602152e-16 1.419062130958639292e-16
1.308239713770550679e+03 3.560766778363116839e-17 1.258783710561517639e-16
1.309405739207335273e+03 -1.939485477728277820e-16 1.076537021972561342e-16
1.310571764644119867e+03 1.193747542171847393e-16 1.133362387194189397e-16
1.311737790080904460e+03 1.481693388413101029e-16 6.766022993017431664e-17
1.312903815517689054e+03 -3.375657880550463492e-18 2.398018697714446231e-17
1.314069840954473648e+03 5.697827703811870365e-17 3.561238465710742935e-17
1.315235866391258241e+03 5.863086140657166629e-17 3.580351835610109663e-17
1.316401891828042835e+03 5.237853481165604350e-17 3.258067981093681764e-17
1.317567917264827429e+03 8.695097382097778217e-17 3.834659811979260525e-17
1.318733942701612023e+03 7.896655115219503706e-17 3.856076303587115098e-17
1.319899968138396616e+03 3.583294873105482772e-17 3.092976846021906117e-17
1.321065993575181210e+03 -9.815335435024811408e-18 1.535438934113577070e-17
1.322232019011965804e+03 1.729611448539534796e-17 2.666055160908264394e-17
1.323398044448750397e+03 -6.577160260575394277e-18 1.915011799018568746e-17
1.324564069885534991e+03 4.028755768308805834e-17 3.493509782567884767e-17
1.325730095322319585e+03 1.531140695652779653e-17 2.838753305674002413e-17
1.326896120759104178e+03 4.238521436059842176e-17 3.326304690159365066e-17
1.328062146195888772e+03 2.252854292932436045e-18 2.563390797918241326e-17
1.329228171632673366e+03 -2.961852274614461570e-17 8.185654247501559540e-18
1.330394197069457960e+03 3.582456986201588212e-17 3.292823958392535108e-17
1.331560222506242553e+03 -1.048459050341968089e-17 2.021245951015437458e-17
1.332726247943027147e+03 4.804290806731086126e-17 3.794146097002296212e-17
1.333892273379811741e+03 -2.455447820537502608e-17 1.599550351791957785e-17
1.335058298816596334e+03 2.741869541865705941e-17 3.062278743913726344e-17
1.336224324253380928e+03 1.769084781706983322e-17 2.301956165814541693e-17
1.337390349690165522e+03 1.582671624453674310e-17 2.423283942143932787e-17
1.338556375126950115e+03 -7.422478187002157263e-18 2.209119038040033670e-17
1.339722400563734709e+03 6.772752025259922359e-17 3.835640128296200141e-17
