# SN2023IXF ofoz01010 G140L MAMA z=0.00087 a2center=411.1 extrsize=11 exptime=1919.2 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1117.8520 1118.8245 0.000000e+00 0.000000e+00 -7.007956e-05 2564 0
1118.4353 1119.4084 0.000000e+00 0.000000e+00 -7.007956e-05 2564 0
1119.0187 1119.9923 0.000000e+00 0.000000e+00 4.552678e-04 2564 0
1119.6021 1120.5761 0.000000e+00 0.000000e+00 -7.007956e-05 2564 0
1120.1854 1121.1600 0.000000e+00 0.000000e+00 5.559759e-04 2560 0
1120.7688 1121.7439 0.000000e+00 0.000000e+00 -2.705321e-05 512 0
1121.3522 1122.3277 0.000000e+00 0.000000e+00 1.647277e-08 512 0
1121.9355 1122.9116 0.000000e+00 0.000000e+00 -1.836637e-05 512 0
1122.5189 1123.4955 0.000000e+00 0.000000e+00 -5.316412e-04 512 0
1123.1022 1124.0793 0.000000e+00 0.000000e+00 -3.354532e-05 512 0
1123.6856 1124.6632 0.000000e+00 0.000000e+00 -7.287097e-04 512 0
1124.2689 1125.2471 0.000000e+00 0.000000e+00 -1.897178e-04 512 0
1124.8523 1125.8309 0.000000e+00 0.000000e+00 -7.340444e-04 512 0
1125.4356 1126.4148 0.000000e+00 0.000000e+00 -2.110626e-04 512 0
1126.0190 1126.9986 0.000000e+00 0.000000e+00 -7.355541e-04 512 0
1126.6023 1127.5825 0.000000e+00 0.000000e+00 -7.413745e-04 512 0
1127.1857 1128.1663 0.000000e+00 0.000000e+00 -7.398698e-04 512 0
1127.7690 1128.7502 0.000000e+00 0.000000e+00 -7.414946e-04 512 0
1128.3524 1129.3340 0.000000e+00 0.000000e+00 -7.445145e-04 512 0
1128.9357 1129.9179 0.000000e+00 0.000000e+00 -7.452177e-04 512 0
1129.5191 1130.5017 0.000000e+00 0.000000e+00 -7.471779e-04 512 0
1130.1024 1131.0856 0.000000e+00 0.000000e+00 -7.484452e-04 512 0
1130.6857 1131.6694 0.000000e+00 0.000000e+00 -8.730597e-04 528 0
1131.2691 1132.2533 0.000000e+00 0.000000e+00 -7.516420e-04 512 0
1131.8524 1132.8371 0.000000e+00 0.000000e+00 8.167669e-04 512 0
1132.4357 1133.4210 0.000000e+00 0.000000e+00 8.165615e-04 512 0
1133.0191 1134.0048 0.000000e+00 0.000000e+00 -7.333194e-04 512 0
1133.6024 1134.5886 0.000000e+00 0.000000e+00 -7.563484e-04 512 0
1134.1857 1135.1725 0.000000e+00 0.000000e+00 -7.586515e-04 512 0
1134.7691 1135.7563 0.000000e+00 0.000000e+00 -2.282018e-04 512 0
1135.3524 1136.3401 0.000000e+00 0.000000e+00 -7.626611e-04 512 0
1135.9357 1136.9240 0.000000e+00 0.000000e+00 -7.622075e-04 512 0
1136.5190 1137.5078 0.000000e+00 0.000000e+00 -7.629164e-04 512 0
1137.1024 1138.0916 0.000000e+00 0.000000e+00 -2.395413e-04 512 0
1137.6857 1138.6755 -1.610767e-14 2.885388e-18 -7.683302e-04 0 0
1138.2690 1139.2593 -2.531206e-15 5.406603e-15 -2.445652e-04 0 0
1138.8523 1139.8431 -5.293269e-15 9.419321e-19 -7.707807e-04 0 0
1139.4356 1140.4269 -3.937931e-15 6.475468e-19 -7.675067e-04 0 0
1140.0190 1141.0108 -3.168451e-15 5.725181e-19 -7.744732e-04 0 0
1140.6023 1141.5946 -8.296991e-16 1.627406e-15 -2.606135e-04 0 0
1141.1856 1142.1784 -6.735407e-16 1.317994e-15 -2.619132e-04 0 0
1141.7689 1142.7622 -1.593477e-15 2.807600e-19 -7.769023e-04 0 0
1142.3522 1143.3460 -4.151763e-16 8.961545e-16 -2.460453e-04 0 0
1142.9355 1143.9299 -1.077359e-15 1.803128e-19 -7.764004e-04 0 0
1143.5188 1144.5137 -9.138817e-16 1.632347e-19 -7.815435e-04 0 0
1144.1021 1145.0975 -2.474926e-16 5.276277e-16 -2.484515e-04 0 0
1144.6854 1145.6813 -6.757288e-16 1.163300e-19 -7.817975e-04 0 0
1145.2687 1146.2651 -5.961274e-16 1.043085e-19 -7.839750e-04 0 0
1145.8520 1146.8489 -5.326438e-16 9.421809e-20 -7.857666e-04 0 0
1146.4353 1147.4327 1.645960e-16 4.555271e-16 2.693656e-04 0 0
1147.0186 1148.0165 -1.504491e-16 2.864233e-16 -2.706106e-04 0 0
1147.6019 1148.6003 -4.007411e-16 6.801907e-20 -7.868037e-04 0 0
1148.1852 1149.1841 -3.709019e-16 6.494097e-20 -7.897816e-04 0 0
1148.7685 1149.7679 -3.409769e-16 5.492534e-20 -7.859774e-04 0 0
1149.3518 1150.3517 -3.189858e-16 5.634699e-20 -7.925408e-04 0 0
1149.9351 1150.9355 -1.011888e-16 1.932868e-16 -2.710012e-04 0 0
1150.5184 1151.5193 -2.751682e-16 4.630002e-20 -7.917316e-04 0 0
1151.1017 1152.1031 -2.563936e-16 4.198255e-20 -7.911719e-04 0 0
1151.6850 1152.6869 -7.898178e-17 1.623887e-16 -2.605043e-04 0 0
1152.2682 1153.2707 -2.256151e-16 3.642316e-20 -7.923938e-04 0 0
1152.8515 1153.8545 -2.138448e-16 3.671904e-20 -7.970235e-04 0 0
1153.4348 1154.4383 -2.023917e-16 3.356596e-20 -7.958888e-04 0 0
1154.0181 1155.0221 -6.836567e-17 1.246691e-16 -2.826558e-04 0 0
1154.6014 1155.6059 -1.847880e-16 3.070918e-20 -7.979230e-04 0 0
1155.1846 1156.1897 -1.781402e-16 3.050895e-20 -8.006550e-04 0 0
1155.7679 1156.7734 -1.714923e-16 2.774546e-20 -7.981565e-04 0 0
1156.3512 1157.3572 -1.671941e-16 2.925345e-20 -8.037149e-04 0 0
1156.9345 1157.9410 -5.375799e-17 1.092232e-16 -2.660418e-04 0 0
1157.5177 1158.5248 -1.576510e-16 2.598168e-20 -8.018301e-04 0 0
1158.1010 1159.1086 -1.537903e-16 2.538551e-20 -8.028240e-04 0 0
1158.6843 1159.6923 -5.271247e-17 9.746331e-17 -2.821853e-04 0 0
1159.2675 1160.2761 -1.464387e-16 2.404493e-20 -8.041102e-04 0 0
1159.8508 1160.8599 -1.432120e-16 2.414491e-20 -8.065000e-04 0 0
1160.4341 1161.4437 -4.817703e-17 9.232088e-17 -2.782680e-04 0 0
1161.0173 1162.0274 -1.359455e-16 2.182362e-20 -8.051643e-04 0 0
1161.6006 1162.6112 -1.336738e-16 2.347527e-20 -8.113246e-04 0 0
1162.1839 1163.1950 2.639456e-17 1.101050e-16 1.640810e-04 0 0
1162.7671 1163.7787 -1.277077e-16 2.218464e-20 -8.120632e-04 0 0
1163.3504 1164.3625 -4.610276e-17 7.812524e-17 -2.996136e-04 0 0
1163.9336 1164.9463 -4.746435e-17 7.466940e-17 -3.146588e-04 0 0
1164.5169 1165.5300 -1.201895e-16 2.013685e-20 -8.118702e-04 0 0
1165.1002 1166.1138 -3.593971e-17 8.237004e-17 -2.469826e-04 0 0
1165.6834 1166.6975 -1.161191e-16 1.877065e-20 -8.110679e-04 0 0
1166.2667 1167.2813 -4.149473e-17 7.313030e-17 -2.943919e-04 0 0
1166.8499 1167.8651 3.146040e-17 1.020338e-16 2.266130e-04 0 0
1167.4332 1168.4488 -1.111059e-16 1.791690e-20 -8.127480e-04 0 0
1168.0164 1169.0326 -1.096473e-16 1.807148e-20 -8.146114e-04 0 0
1168.5996 1169.6163 -1.079564e-16 1.788915e-20 -8.154996e-04 0 0
1169.1829 1170.2001 -3.864911e-17 6.721661e-17 -2.970299e-04 0 0
1169.7661 1170.7838 -3.807487e-17 6.607189e-17 -2.980800e-04 0 0
1170.3494 1171.3676 -1.023245e-16 1.680781e-20 -8.165999e-04 0 0
1170.9326 1171.9513 -1.003422e-16 1.637996e-20 -8.166961e-04 0 0
1171.5159 1172.5351 -3.509668e-17 6.322114e-17 -2.913955e-04 0 0
1172.0991 1173.1188 -9.671391e-17 1.611083e-20 -8.188440e-04 0 0
1172.6823 1173.7026 -9.484956e-17 1.565240e-20 -8.186660e-04 0 0
1173.2656 1174.2863 -9.293031e-17 1.471611e-20 -8.167584e-04 0 0
1173.8488 1174.8700 -3.520735e-17 5.631748e-17 -3.148197e-04 0 0
1174.4320 1175.4538 7.895484e-17 9.755318e-17 7.189526e-04 0 0
1175.0153 1176.0375 -3.350955e-17 5.511490e-17 -3.104810e-04 0 0
1175.5985 1176.6213 2.691146e-17 8.060051e-17 2.534142e-04 0 0
1176.1817 1177.2050 -3.056914e-17 5.526128e-17 -2.922825e-04 0 0
1176.7649 1177.7887 -3.277254e-17 5.158088e-17 -3.179576e-04 0 0
1177.3482 1178.3724 -2.870589e-17 5.480660e-17 -2.824475e-04 0 0
1177.9314 1178.9562 1.188878e-16 1.007183e-16 1.186178e-03 0 0
1178.5146 1179.5399 -8.106595e-17 1.284245e-20 -8.200502e-04 0 0
1179.0978 1180.1236 1.705106e-16 1.120524e-16 1.749308e-03 0 0
1179.6810 1180.7074 -2.660861e-17 5.263715e-17 -2.769154e-04 0 0
1180.2643 1181.2911 2.527685e-16 1.248943e-16 2.669114e-03 0 0
1180.8475 1181.8748 1.516121e-16 1.115502e-16 1.624747e-03 16 0
1181.4307 1182.4585 6.594876e-17 8.144327e-17 7.172861e-04 0 0
1182.0139 1183.0422 5.361882e-17 7.892165e-17 5.919110e-04 16 0
1182.5971 1183.6260 6.574646e-17 8.039049e-17 7.365658e-04 0 0
1183.1803 1184.2097 3.061080e-16 1.338956e-16 3.479862e-03 0 0
1183.7635 1184.7934 4.489274e-16 1.504154e-16 5.177088e-03 0 0
1184.3467 1185.3771 4.889666e-16 1.614114e-16 5.718598e-03 0 0
1184.9299 1185.9608 2.306568e-16 1.132276e-16 2.735006e-03 0 0
1185.5131 1186.5445 5.135711e-16 1.616701e-16 6.172439e-03 0 0
1186.0963 1187.1283 4.824088e-16 1.524102e-16 5.875947e-03 0 0
1186.6795 1187.7120 5.782849e-16 1.665976e-16 7.137612e-03 0 0
1187.2627 1188.2957 7.455811e-16 1.814778e-16 9.325186e-03 0 0
1187.8459 1188.8794 9.000497e-16 2.012941e-16 1.140738e-02 0 0
1188.4291 1189.4631 5.730934e-16 1.591787e-16 7.361424e-03 0 0
1189.0123 1190.0468 1.231356e-15 2.328042e-16 1.603270e-02 0 0
1189.5955 1190.6305 1.740603e-15 2.632565e-16 2.297579e-02 0 0
1190.1787 1191.2142 2.127110e-15 2.954212e-16 2.846971e-02 0 0
1190.7619 1191.7979 2.276171e-15 2.969724e-16 3.088904e-02 0 0
1191.3451 1192.3816 2.461913e-15 3.130851e-16 3.387409e-02 0 0
1191.9283 1192.9653 2.600278e-15 3.135369e-16 3.626714e-02 0 0
1192.5115 1193.5490 2.321614e-15 2.977916e-16 3.281512e-02 0 0
1193.0947 1194.1327 3.515783e-15 3.615094e-16 5.034111e-02 16 0
1193.6779 1194.7164 4.590387e-15 4.083170e-16 6.655161e-02 16 0
1194.2610 1195.3000 4.801008e-15 4.095728e-16 7.044241e-02 0 0
1194.8442 1195.8837 7.232597e-15 5.122274e-16 1.073289e-01 0 0
1195.4274 1196.4674 7.184209e-15 4.931966e-16 1.077862e-01 0 0
1196.0106 1197.0511 7.701047e-15 5.216827e-16 1.167586e-01 0 0
1196.5938 1197.6348 7.049070e-15 4.995994e-16 1.079788e-01 0 0
1197.1769 1198.2185 7.197437e-15 4.817717e-16 1.113619e-01 0 0
1197.7601 1198.8022 5.966077e-15 4.468893e-16 9.323562e-02 0 0
1198.3433 1199.3858 5.165359e-15 4.079741e-16 8.152840e-02 0 0
1198.9264 1199.9695 4.429576e-15 3.795313e-16 7.061984e-02 0 0
1199.5096 1200.5532 4.028890e-15 3.599703e-16 6.488754e-02 0 0
1200.0928 1201.1369 3.778615e-15 3.542473e-16 6.148341e-02 0 0
1200.6760 1201.7205 4.476071e-15 3.711753e-16 7.359373e-02 0 0
1201.2591 1202.3042 6.995918e-15 4.779530e-16 1.162304e-01 0 0
1201.8423 1202.8879 6.591557e-15 4.443242e-16 1.106691e-01 0 0
1202.4254 1203.4716 6.328930e-15 4.423577e-16 1.073792e-01 0 0
1203.0086 1204.0552 6.292014e-15 4.364485e-16 1.078759e-01 0 0
1203.5918 1204.6389 6.185876e-15 4.235312e-16 1.071638e-01 0 0
1204.1749 1205.2226 5.305678e-15 4.040761e-16 9.286606e-02 0 0
1204.7581 1205.8062 4.017495e-15 3.454738e-16 7.103971e-02 0 0
1205.3412 1206.3899 2.837429e-15 2.859730e-16 5.068093e-02 0 0
1205.9244 1206.9735 2.476660e-15 2.712413e-16 4.468135e-02 0 0
1206.5075 1207.5572 3.344793e-15 3.075235e-16 6.094285e-02 0 0
1207.0907 1208.1409 2.983189e-15 2.902302e-16 5.489101e-02 0 0
1207.6738 1208.7245 3.528638e-15 3.237509e-16 6.556307e-02 0 0
1208.2570 1209.3082 3.326328e-15 3.119301e-16 6.240617e-02 0 0
1208.8401 1209.8918 3.025315e-15 2.920389e-16 5.730830e-02 0 0
1209.4233 1210.4755 2.644752e-15 2.738389e-16 5.058232e-02 0 0
1210.0064 1211.0591 2.339757e-15 2.613570e-16 4.517857e-02 0 0
1210.5896 1211.6428 1.775246e-15 2.294191e-16 3.460583e-02 0 0
