ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,5.2819,3.9903,1.9978,4.4625,no,46.64,yes
Al III,1862.790,0.2780,0.0000,3.1579,0.0000,3.1579,no,23.30,yes
Zn II,2026.137,0.5010,1.4119,3.2135,2.4476,4.0395,no,45.67,yes
Cr II,2056.254,0.1050,0.2591,2.5366,0.5645,2.5987,no,9.71,yes
Cr II,2062.234,0.0780,0.0000,2.1228,0.0000,2.1228,no,7.24,yes
Zn II,2062.664,0.2460,1.7453,2.0939,0.5147,2.1562,no,22.83,yes
Cr II,2066.161,0.0510,3.8245,3.9474,0.3276,3.9610,no,4.74,no
Fe II,2249.877,0.0018,2.8015,2.4124,2.5512,3.5112,no,0.18,no
Fe II,2260.780,0.0024,2.8184,1.7295,1.1758,2.0913,no,0.25,no
Fe II,2344.214,0.1140,1.5553,0.6976,0.3967,0.8025,yes,12.02,yes
Fe II,2374.461,0.0313,1.6573,0.5362,0.1808,0.5658,yes,3.34,no
Fe II,2382.765,0.3200,1.8615,0.5737,0.2217,0.6150,yes,34.30,yes
Mn II,2576.877,0.3610,0.0000,0.4431,0.3063,0.5387,no,41.85,yes
Fe II,2586.650,0.0691,0.0000,0.0000,0.0000,0.0000,no,8.04,yes
Mn II,2594.499,0.2800,0.0000,0.3075,0.0000,0.3075,no,32.68,yes
Fe II,2600.173,0.2390,3.8340,0.9446,0.5178,1.0772,yes,27.96,yes
Mn II,2606.462,0.1980,0.8119,0.9668,0.6093,1.1428,no,23.22,yes
Mg II,2796.352,0.6150,3.2198,0.2034,0.1230,0.2377,yes,95.96,yes
Mg II,2803.531,0.3060,3.4336,0.2732,0.1466,0.3100,yes,47.87,yes
Mg I,2852.964,1.8300,2.5842,0.9977,0.3867,1.0700,yes,9.63,yes
