# obs_wvl flux error
2.968000000000000000e+03 5.360408302029437150e-16 2.605161002354927820e-16
2.970746937125999466e+03 1.461502592951732629e-15 1.737749199412717592e-16
2.973493874251998932e+03 1.315252081627148525e-15 1.584280197617636410e-16
2.976240811377998398e+03 1.423900061344210614e-15 2.042717035075368985e-16
2.978987748503997864e+03 1.486629981134806057e-15 1.846760415822298284e-16
2.981734685629997330e+03 1.584835114826140997e-15 1.773918724399384157e-16
2.984481622755996796e+03 1.342620755735174163e-15 1.874873323129603671e-16
2.987228559881996262e+03 1.388502212328454482e-15 1.550472137705848409e-16
2.989975497007995727e+03 1.694709580780821976e-15 1.545514184721664016e-16
2.992722434133995193e+03 1.282237774264735796e-15 1.596850696684886619e-16
2.995469371259994659e+03 1.305640253254387689e-15 1.382421486321351204e-16
2.998216308385994125e+03 1.394689580515698949e-15 1.440380391835484405e-16
3.000963245511993591e+03 1.447082176263873145e-15 2.041856439655973777e-16
3.003710182637993057e+03 1.907733018300494817e-15 3.698533244833262096e-16
3.006457119763992523e+03 1.522943408160740260e-15 1.513940652838141958e-16
3.009204056889991989e+03 1.200543483892744325e-15 1.361325020206678485e-16
3.011950994015991455e+03 1.422439512039170124e-15 1.366497723758968248e-16
3.014697931141990921e+03 1.171096382247979154e-15 3.115628891046712720e-16
3.017444868267990387e+03 1.413172505353626413e-15 1.400719501725447553e-16
3.020191805393989853e+03 1.561817125763645292e-15 2.202038984025509689e-16
3.022938742519989319e+03 1.542210125287199648e-15 1.327696035472904642e-16
3.025685679645988785e+03 1.417474691903656733e-15 1.866766272537888684e-16
3.028432616771988251e+03 1.380946936155371841e-15 1.241206607433997267e-16
3.031179553897987716e+03 1.481605113434734028e-15 1.238471610796892439e-16
3.033926491023987182e+03 1.482953315956578218e-15 1.215692012219886262e-16
3.036673428149986648e+03 1.648248763596865667e-15 1.718671061932457459e-16
3.039420365275986114e+03 1.256723769138939931e-15 2.087283260672275322e-16
3.042167302401985580e+03 1.563755459238549863e-15 1.266070304669945553e-16
3.044914239527985046e+03 1.439498636779431838e-15 1.622414268255922255e-16
3.047661176653984512e+03 1.288858376255682657e-15 1.111555996506606584e-16
3.050408113779983978e+03 1.376276912042725649e-15 1.499203379029499205e-16
3.053155050905983444e+03 1.492992577598808929e-15 1.155680902071300701e-16
3.055901988031982910e+03 1.460456951656516420e-15 1.493411089624111767e-16
3.058648925157982376e+03 1.411856747968993214e-15 1.032680312606679847e-16
3.061395862283981842e+03 1.412001799249611781e-15 1.041252554917467811e-16
