# SN2024GGI ofbx04040 G140L MAMA z=0.002196 a2center=511.8 extrsize=11 exptime=2625.0 mode=fixed flags=low_detect,center_mismatch(512vs379)
# rest_wvl obs_wvl flux error net dq mask
1116.2119 1118.6631 0.000000e+00 0.000000e+00 2.213940e-03 2564 0
1116.7949 1119.2474 0.000000e+00 0.000000e+00 1.072373e-03 2564 0
1117.3779 1119.8317 0.000000e+00 0.000000e+00 1.073098e-03 2564 0
1117.9609 1120.4159 0.000000e+00 0.000000e+00 -6.948857e-05 2564 0
1118.5439 1121.0002 0.000000e+00 0.000000e+00 4.035577e-04 2560 0
1119.1269 1121.5845 0.000000e+00 0.000000e+00 -7.664685e-04 512 0
1119.7099 1122.1687 0.000000e+00 0.000000e+00 -2.929977e-04 512 0
1120.2928 1122.7530 0.000000e+00 0.000000e+00 -1.221745e-03 512 0
1120.8758 1123.3373 0.000000e+00 0.000000e+00 -4.975072e-04 512 0
1121.4588 1123.9215 0.000000e+00 0.000000e+00 1.431119e-03 512 0
1122.0418 1124.5058 0.000000e+00 0.000000e+00 1.238725e-03 512 0
1122.6248 1125.0901 0.000000e+00 0.000000e+00 1.228574e-03 512 0
1123.2077 1125.6743 0.000000e+00 0.000000e+00 9.500177e-05 512 0
1123.7907 1126.2586 0.000000e+00 0.000000e+00 9.385278e-04 512 0
1124.3737 1126.8428 0.000000e+00 0.000000e+00 8.307158e-04 512 0
1124.9567 1127.4271 0.000000e+00 0.000000e+00 -1.431709e-03 512 0
1125.5397 1128.0113 0.000000e+00 0.000000e+00 -3.512687e-04 512 0
1126.1226 1128.5956 0.000000e+00 0.000000e+00 -1.061041e-03 512 0
1126.7056 1129.1798 0.000000e+00 0.000000e+00 -3.122983e-04 512 0
1127.2886 1129.7641 0.000000e+00 0.000000e+00 -7.164084e-04 512 0
1127.8715 1130.3483 0.000000e+00 0.000000e+00 -1.463865e-03 512 0
1128.4545 1130.9326 0.000000e+00 0.000000e+00 -7.984008e-04 512 0
1129.0375 1131.5168 0.000000e+00 0.000000e+00 -7.588901e-04 512 0
1129.6204 1132.1011 0.000000e+00 0.000000e+00 1.085127e-03 512 0
1130.2034 1132.6853 0.000000e+00 0.000000e+00 -4.056804e-04 512 0
1130.7864 1133.2696 0.000000e+00 0.000000e+00 -1.206055e-03 512 0
1131.3693 1133.8538 0.000000e+00 0.000000e+00 -1.174356e-03 512 0
1131.9523 1134.4381 0.000000e+00 0.000000e+00 -8.293269e-04 512 0
1132.5353 1135.0223 0.000000e+00 0.000000e+00 -8.710948e-04 512 0
1133.1182 1135.6065 0.000000e+00 0.000000e+00 -2.212280e-04 512 0
1133.7012 1136.1908 0.000000e+00 0.000000e+00 5.283950e-03 512 0
1134.2841 1136.7750 0.000000e+00 0.000000e+00 -1.313527e-03 512 0
1134.8671 1137.3593 0.000000e+00 0.000000e+00 -1.668244e-03 512 0
