# obs_wvl flux error
1.586000000000000000e+03 -2.466366275599401918e-15 4.943195375683552296e-15
1.589096391432316750e+03 -8.133274082749161302e-16 2.342098920899467223e-15
1.592192782864633500e+03 9.756717258238356657e-16 1.748423310354732719e-15
1.595289174296950250e+03 -2.683701753275540086e-16 1.331991696779647588e-15
1.598385565729267000e+03 -1.034701833086019618e-15 1.001226194359887295e-15
1.601481957161583750e+03 -5.975282843400415125e-16 8.370639933023467869e-16
1.604578348593900500e+03 -6.766801661767922807e-16 6.578099844137271903e-16
1.607674740026217250e+03 3.809553340405783405e-17 5.706327602458861311e-16
1.610771131458534001e+03 -8.742266794669243733e-17 4.638692202712436341e-16
1.613867522890850751e+03 1.336416614357998271e-16 4.088227821567678003e-16
1.616963914323167501e+03 7.791529778772932440e-17 3.534080062082977279e-16
1.620060305755484251e+03 -1.125914705980103595e-16 2.970458777079326587e-16
1.623156697187801001e+03 4.748425727805104538e-17 2.690106762161637180e-16
1.626253088620117751e+03 1.663719441228960534e-16 2.440479341316921919e-16
1.629349480052434501e+03 3.289028888855249747e-17 2.163496441149063178e-16
1.632445871484751251e+03 -2.474236766864913466e-16 1.762163611595400591e-16
1.635542262917068001e+03 -2.047694052027898411e-16 1.618236689181737704e-16
1.638638654349384751e+03 1.347391817997190982e-16 1.672170654727927833e-16
1.641735045781701501e+03 -4.122627115029526595e-17 1.440303355392277298e-16
1.644831437214018251e+03 4.653317315153208240e-17 1.356737530064364822e-16
1.647927828646335001e+03 1.936855314557231478e-17 1.262659308756312630e-16
1.651024220078651751e+03 1.457267915002755348e-17 1.229018743799317789e-16
1.654120611510968502e+03 -1.757253787330244939e-16 1.073395573596093367e-16
1.657217002943285252e+03 -1.407513731610108038e-16 1.043875003467169282e-16
1.660313394375602002e+03 -1.868740400801832969e-18 1.048873238337280602e-16
1.663409785807918752e+03 1.843521820903952699e-16 1.081582942719222723e-16
1.666506177240235502e+03 1.016835382811038379e-16 9.998582472104263544e-17
1.669602568672552252e+03 -1.104360157560014747e-16 8.697688008989134602e-17
1.672698960104869002e+03 6.766268339122759755e-17 9.255555849388518189e-17
1.675795351537185752e+03 3.687100472811201350e-17 8.679022829890879633e-17
1.678891742969502502e+03 -9.068688083500482602e-17 7.887609777958750210e-17
1.681988134401819252e+03 3.760133774823296548e-17 8.375515277516468190e-17
1.685084525834136002e+03 -6.549379026020198622e-17 7.500929652362292646e-17
1.688180917266452752e+03 4.948626254450929384e-17 7.781517245404386697e-17
1.691277308698769502e+03 4.718232446545753900e-18 7.231629060155441247e-17
1.694373700131086252e+03 2.458778820567783098e-17 7.270421101408384598e-17
1.697470091563403003e+03 8.336926001850250766e-17 7.239759208799506269e-17
1.700566482995719753e+03 7.784997013809189203e-17 7.019176295832701827e-17
1.703662874428036503e+03 6.115830264899392353e-17 6.672850953907887627e-17
1.706759265860353253e+03 5.189094519553701697e-17 6.719754657881063385e-17
1.709855657292670003e+03 -3.427418378001280981e-17 6.174179921171245097e-17
1.712952048724986753e+03 -3.853740741004500590e-17 6.133749263702182073e-17
1.716048440157303503e+03 -2.263750167597716630e-17 5.937186643106826722e-17
1.719144831589620253e+03 2.691418796256606264e-18 5.969246203765146089e-17
1.722241223021937003e+03 1.454158383749476336e-16 6.408829610153622549e-17
1.725337614454253753e+03 6.494986106096918156e-17 5.781176031276556286e-17
1.728434005886570503e+03 1.154524860117295467e-16 6.045975284609864149e-17
1.731530397318887253e+03 5.486600557775893182e-17 5.593774852782251662e-17
1.734626788751204003e+03 1.403825581195131354e-16 5.856390944988336859e-17
1.737723180183520753e+03 7.062084116988915178e-17 5.437254470224467371e-17
1.740819571615837503e+03 5.248981343798238848e-17 5.188552296092972826e-17
1.743915963048154254e+03 1.157109478391695262e-16 5.645501434027178624e-17
1.747012354480471004e+03 -4.608973156613240201e-17 4.649031053640603718e-17
1.750108745912787754e+03 3.512668847384485745e-17 4.953377092944364060e-17
1.753205137345104504e+03 3.069959755153669895e-17 4.970558391514416459e-17
1.756301528777421254e+03 3.633368998283856958e-17 4.905355877600302827e-17
1.759397920209738004e+03 1.856563627195486995e-17 4.660579624948196452e-17
1.762494311642054754e+03 7.302575874565373370e-17 4.731122655862014138e-17
1.765590703074371504e+03 -3.325270396120249240e-17 4.208532856198966495e-17
1.768687094506688254e+03 -1.129937848641211496e-17 4.351877490220394113e-17
1.771783485939005004e+03 -3.982368906996653211e-17 4.150356921558563332e-17
1.774879877371321754e+03 -6.651467232239965651e-17 3.984882801648893893e-17
1.777976268803638504e+03 -5.640585886324578483e-17 3.964767875925717150e-17
1.781072660235955254e+03 -5.434332162425307351e-18 4.123802450557692615e-17
1.784169051668272004e+03 3.836063027642018905e-17 4.267678265132031354e-17
1.787265443100588755e+03 -2.288941072252024746e-17 3.896232733285663438e-17
1.790361834532905505e+03 2.788285441150278837e-17 4.126973872951210593e-17
1.793458225965222255e+03 2.496233249535500709e-17 4.011175332216864518e-17
1.796554617397539005e+03 7.666475957821327180e-17 4.201412204372252684e-17
1.799651008829855755e+03 7.178444845337737153e-17 4.110537458146164839e-17
1.802747400262172505e+03 1.943202577616217176e-17 3.807240459634131692e-17
1.805843791694489255e+03 4.504590359944313920e-17 3.942266062126922095e-17
1.808940183126806005e+03 -2.020124184413930397e-17 3.511936619980123191e-17
1.812036574559122755e+03 3.033574881131958026e-17 3.762439527559858980e-17
1.815132965991439505e+03 2.782128796666697336e-17 3.655569890758644799e-17
1.818229357423756255e+03 -1.818094134796681193e-17 3.483632221079958530e-17
1.821325748856073005e+03 4.924124297801875002e-17 3.754382301965643702e-17
1.824422140288389755e+03 3.446736854036629256e-17 3.502863562410700784e-17
1.827518531720706505e+03 -6.975365525719493020e-19 3.341422952139059436e-17
1.830614923153023256e+03 -3.386450503111301251e-18 3.405970350134704597e-17
1.833711314585340006e+03 8.001569973431193234e-17 3.706349842140805445e-17
1.836807706017656756e+03 2.989104411384879947e-17 3.387596155306197091e-17
1.839904097449973506e+03 2.644442652028297071e-17 3.246171639648703329e-17
1.843000488882290256e+03 -9.772052972632506614e-18 3.170683322897789939e-17
1.846096880314607006e+03 3.002255107436719871e-18 3.118250512505672123e-17
1.849193271746923756e+03 1.341873041076307510e-17 3.191531878597933696e-17
1.852289663179240506e+03 -2.320122412579430841e-17 3.107803580823014026e-17
1.855386054611557256e+03 -1.430011331026519831e-17 3.107012665585678920e-17
1.858482446043874006e+03 4.408898177466766297e-17 3.374891407612668288e-17
1.861578837476190756e+03 6.756751228086422089e-18 3.089337940430251863e-17
1.864675228908507506e+03 7.343929876508313809e-17 3.318539412625054312e-17
1.867771620340824256e+03 4.195958659368825283e-17 3.131905134659229032e-17
1.870868011773141006e+03 3.411237122691947006e-17 3.131628971357564222e-17
1.873964403205457756e+03 1.633524302630074405e-17 3.032710409278649816e-17
1.877060794637774507e+03 7.992996637209836773e-17 3.292812753743388214e-17
1.880157186070091257e+03 -3.009011290078228348e-18 2.830235222633602358e-17
1.883253577502408007e+03 -3.633933314779297633e-18 2.876249743953650304e-17
1.886349968934724757e+03 7.042407784297351079e-18 2.866949495421611928e-17
1.889446360367041507e+03 -6.511544272853497588e-18 2.794808340184058730e-17
1.892542751799358257e+03 4.339438892097611609e-17 2.947429701645891134e-17
1.895639143231675007e+03 -2.331647771874010281e-18 2.740010666729637628e-17
1.898735534663991757e+03 3.065961307761751704e-17 2.923982906317201241e-17
1.901831926096308507e+03 1.365979069466461668e-17 2.789750379905310957e-17
1.904928317528625257e+03 1.330980118684900173e-17 2.774523488279015842e-17
1.908024708960942007e+03 3.930956737125814260e-17 2.876254295412360904e-17
1.911121100393258757e+03 2.189411203549364549e-17 2.708157630329299650e-17
1.914217491825575507e+03 5.303673937251660707e-17 2.871036272734598273e-17
1.917313883257892257e+03 1.966454533325154997e-17 2.677204654703150677e-17
1.920410274690209008e+03 2.151163856079997754e-17 2.655248637308334513e-17
1.923506666122525758e+03 -9.170402810457219665e-18 2.517667025462496874e-17
1.926603057554842508e+03 8.574499825075177278e-18 2.580697985608761088e-17
1.929699448987159258e+03 4.950720771027288931e-17 2.736932875560126281e-17
1.932795840419476008e+03 5.317502692281380466e-18 2.538429074775568080e-17
1.935892231851792758e+03 -1.060106933036873741e-17 2.484864831930497922e-17
1.938988623284109508e+03 2.082852995831723124e-17 2.585746166753704572e-17
1.942085014716426258e+03 2.481333722771990971e-17 2.548512348436673068e-17
1.945181406148743008e+03 1.638724702758476363e-17 2.500293727780608232e-17
1.948277797581059758e+03 5.146683612243257338e-17 2.718943495026905393e-17
1.951374189013376508e+03 -4.399131359961851975e-18 2.363772100708598232e-17
1.954470580445693258e+03 3.274543230095789375e-17 2.590316648978391037e-17
1.957566971878010008e+03 5.870047330398011020e-18 2.434425183691750883e-17
1.960663363310326758e+03 -8.828228215697575518e-18 2.255306077901244682e-17
1.963759754742643509e+03 2.010888676810811339e-17 2.442567592089810395e-17
1.966856146174960259e+03 -3.434418589760226157e-17 2.222127877178735649e-17
1.969952537607277009e+03 -3.004617479676968338e-18 2.328568113694287053e-17
1.973048929039593759e+03 1.573540164690378388e-18 2.374126222998405093e-17
1.976145320471910509e+03 1.487912288250394677e-17 2.359121639544586410e-17
1.979241711904227259e+03 4.006101419177934506e-17 2.439770137324653775e-17
1.982338103336544009e+03 -2.341104773097341055e-17 2.122058441396134927e-17
1.985434494768860759e+03 -1.422457190692927710e-17 2.178626267712263396e-17
1.988530886201177509e+03 4.483058383577858929e-17 2.411933707457595757e-17
1.991627277633494259e+03 1.532993101010313793e-17 2.240553894973741094e-17
1.994723669065811009e+03 2.050451361637877208e-17 2.244165979064837134e-17
1.997820060498127759e+03 4.523310535067464849e-18 2.144959232122964673e-17
2.000916451930444509e+03 4.205270507366798547e-17 2.292337071696225963e-17
2.004012843362761259e+03 2.613637814224257647e-17 2.218794310478482951e-17
2.007109234795078009e+03 -1.650853899504641097e-18 2.039599275974913905e-17
2.010205626227394760e+03 1.281477562731761358e-17 2.112680977428405085e-17
2.013302017659711510e+03 1.727333423743603367e-17 2.134245020034186573e-17
2.016398409092028260e+03 1.565821262815376633e-17 2.101852438465478363e-17
2.019494800524345010e+03 9.968087933983701971e-18 2.044782304376553104e-17
2.022591191956661760e+03 6.272454064344408073e-17 2.223944403997812925e-17
2.025687583388978510e+03 4.093305583533662258e-18 1.956894112924684200e-17
2.028783974821295260e+03 -3.300455566423982124e-19 1.905126259472478151e-17
2.031880366253612010e+03 1.546638960487824780e-17 1.974551910281298613e-17
2.034976757685928760e+03 3.875853787336863841e-18 1.928366597177859946e-17
2.038073149118245510e+03 2.009768217948961429e-17 1.965616081891356877e-17
2.041169540550562260e+03 5.571122039704866892e-17 2.115167228527015419e-17
2.044265931982879010e+03 2.420239810280805189e-17 1.943958167297484797e-17
2.047362323415195760e+03 4.997169548853344021e-19 1.806707882006053882e-17
2.050458714847512510e+03 2.676869949384332369e-17 1.950806148448750149e-17
2.053555106279829488e+03 2.357457183762810575e-17 1.929278236141929753e-17
2.056651497712146011e+03 1.465210415741933565e-17 1.801227323070342266e-17
2.059747889144462533e+03 1.167560046604541467e-17 1.841690942605606161e-17
2.062844280576779511e+03 -1.148723296225363208e-17 1.666256256683477345e-17
2.065940672009096488e+03 -1.058025064009167360e-17 1.602255350387538102e-17
2.069037063441413011e+03 -5.811660986821085016e-18 1.678835066748234337e-17
2.072133454873729534e+03 1.062445230830893709e-17 1.749168630124809611e-17
2.075229846306046511e+03 6.191940243628350589e-18 1.728034582107946988e-17
2.078326237738363488e+03 -3.623234503002403273e-18 1.653549164568047473e-17
2.081422629170680011e+03 1.575366105933384497e-17 1.714644238345953387e-17
2.084519020602996534e+03 9.549261468539170172e-18 1.667562482837597247e-17
