# SN2024ISS of8b02030 G430L CCD z=0.003334 a2center=893.1 extrsize=17 exptime=1065.0 mode=adaptive_es17@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2876.5064 2886.0967 7.490363e-15 8.237246e-15 3.940332e-02 512 0
2879.2419 2888.8413 2.039858e-14 6.679912e-15 1.391345e-01 512 0
2881.9774 2891.5859 1.034105e-14 5.575862e-15 8.607425e-02 512 0
2884.7129 2894.3306 1.296137e-14 4.284156e-15 1.295904e-01 512 0
2887.4485 2897.0752 1.247810e-14 3.971285e-15 1.454583e-01 528 0
2890.1840 2899.8199 8.736082e-15 3.199702e-15 1.154688e-01 512 0
2892.9196 2902.5646 1.222265e-14 2.702238e-15 1.826882e-01 512 0
2895.6552 2905.3093 1.895075e-14 2.721458e-15 3.168254e-01 512 0
2898.3909 2908.0541 1.255647e-14 4.070286e-15 2.338477e-01 528 0
2901.1265 2910.7989 1.615257e-14 2.285481e-15 3.350991e-01 512 0
2903.8622 2913.5437 1.088184e-14 2.047019e-15 2.520029e-01 512 0
2906.5979 2916.2885 1.444805e-14 1.908146e-15 3.735342e-01 528 0
2909.3336 2919.0333 1.701167e-14 1.760028e-15 4.956812e-01 528 0
2912.0693 2921.7782 1.404887e-14 1.486202e-15 4.554398e-01 512 0
2914.8051 2924.5231 1.773507e-14 1.457240e-15 6.524141e-01 528 0
2917.5409 2927.2680 1.831039e-14 1.693566e-15 7.573561e-01 528 0
2920.2767 2930.0129 1.905004e-14 2.078237e-15 8.999370e-01 528 0
2923.0125 2932.7579 5.119864e-14 2.714117e-15 2.783260e+00 528 0
2925.7484 2935.5028 1.538204e-14 2.008341e-15 9.417368e-01 528 0
2928.4843 2938.2478 1.718684e-14 8.072273e-16 1.199456e+00 528 0
2931.2201 2940.9928 1.560639e-14 7.395799e-16 1.231408e+00 512 0
2933.9561 2943.7379 1.706105e-14 7.136430e-16 1.514723e+00 528 0
2936.6920 2946.4829 1.588313e-14 6.461793e-16 1.573342e+00 528 0
2939.4280 2949.2280 1.665086e-14 5.990134e-16 1.832446e+00 528 0
2942.1639 2951.9731 1.882475e-14 5.468394e-16 2.290848e+00 528 0
2944.8999 2954.7182 1.812805e-14 5.480467e-16 2.424603e+00 528 0
