# obs_wvl flux error
5.290000000000000000e+03 1.229187108001128514e-14 1.100284085605862390e-16
5.294878893315187270e+03 1.222124831743148136e-14 9.181134450289831336e-17
5.299757786630374540e+03 1.242418402874312047e-14 8.820771157124523846e-17
5.304636679945561809e+03 1.214326591945545223e-14 1.018279369626455741e-16
5.309515573260749079e+03 1.178018708981822038e-14 9.294383306386685454e-17
5.314394466575936349e+03 1.192089754016466737e-14 9.451200775181052929e-17
5.319273359891123619e+03 1.216474231122262408e-14 8.726541491949202206e-17
5.324152253206310888e+03 1.244991182373434610e-14 1.065770664794225154e-16
5.329031146521498158e+03 1.169846679504958853e-14 1.033962521924582602e-16
5.333910039836685428e+03 1.179932490172577455e-14 9.452478780812730101e-17
5.338788933151872698e+03 1.167107447597283325e-14 9.496482468049167385e-17
5.343667826467059967e+03 1.140677811204883890e-14 9.602815252640433736e-17
5.348546719782247237e+03 1.139096218604841548e-14 9.812474663763516860e-17
5.353425613097434507e+03 1.167321477260692590e-14 1.005835194635384391e-16
5.358304506412621777e+03 1.943465733449756880e-14 1.455442563244896378e-16
5.363183399727809046e+03 1.180487777716132490e-14 8.897001381155541213e-17
5.368062293042996316e+03 1.156977357124701673e-14 1.031885365479657912e-16
5.372941186358183586e+03 1.135742704464731466e-14 1.000223990475656139e-16
5.377820079673370856e+03 1.126442157042806891e-14 1.026978876776055080e-16
5.382698972988558126e+03 1.130985737958647597e-14 1.066257944698591552e-16
5.387577866303745395e+03 1.153114640087987444e-14 9.682272302683711091e-17
5.392456759618932665e+03 1.137190091301255556e-14 8.792926804001993641e-17
5.397335652934119935e+03 1.118098431187906403e-14 9.754602352185399712e-17
5.402214546249307205e+03 1.117069626744600498e-14 9.623439744032091962e-17
5.407093439564494474e+03 1.131642291453382152e-14 8.242297460162542578e-17
5.411972332879681744e+03 1.085252554959241812e-14 1.062690894259547228e-16
5.416851226194869014e+03 1.093822600332190686e-14 9.309183402161821064e-17
5.421730119510056284e+03 1.080700693360507483e-14 9.029844314706303909e-17
5.426609012825243553e+03 1.084955938931580007e-14 8.987447011096538084e-17
5.431487906140430823e+03 1.106210037414119431e-14 9.020528925521770910e-17
5.436366799455618093e+03 1.100701555067393289e-14 8.919862915441846732e-17
5.441245692770805363e+03 1.094966094468782915e-14 8.942972168899252140e-17
5.446124586085992632e+03 1.079172509768351393e-14 8.766546190556129118e-17
5.451003479401179902e+03 1.073046042367413185e-14 9.676366275502193017e-17
5.455882372716367172e+03 1.082198228122800357e-14 8.507941329015709124e-17
5.460761266031554442e+03 1.086256069859922464e-14 8.346999766001262386e-17
5.465640159346741711e+03 1.058506026841402515e-14 8.218827662128115690e-17
5.470519052661928981e+03 1.081224927045816948e-14 8.675322296040219114e-17
