# SN2024XRX of8b06010 G230LB CCD z=0.037376 a2center=909.5 extrsize=7 exptime=1953.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(909vs249)
# rest_wvl obs_wvl flux error net dq mask
1602.9141 1662.8246 -4.823846e-15 8.043102e-15 -1.100124e-02 16896 0
1604.2351 1664.1950 5.990159e-15 7.628948e-15 1.268261e-02 0 0
1605.5561 1665.5653 8.229327e-15 7.263682e-15 1.842637e-02 0 0
1606.8771 1666.9357 3.328526e-14 8.959679e-15 7.838982e-02 16 0
1608.1981 1668.3061 -1.107245e-15 7.055091e-15 -3.477899e-03 0 0
1609.5191 1669.6765 -5.014103e-15 9.593871e-15 -1.369066e-02 16400 0
1610.8402 1671.0469 -1.001194e-15 7.026463e-15 -2.836473e-03 16384 0
1612.1612 1672.4174 4.342131e-15 7.664544e-15 1.161799e-02 16 0
1613.4823 1673.7878 -1.443632e-14 9.569246e-15 -4.398783e-02 16400 0
1614.8034 1675.1583 2.028223e-15 6.629799e-15 5.721007e-03 0 0
1616.1245 1676.5288 4.304384e-15 5.416638e-15 1.234929e-02 0 0
1617.4456 1677.8993 4.998705e-16 7.024965e-15 8.533206e-04 16 0
1618.7667 1679.2698 1.943771e-15 5.036472e-15 5.605075e-03 0 0
1620.0879 1680.6403 -1.242655e-15 4.894153e-15 -4.882591e-03 0 0
1621.4090 1682.0108 -3.499319e-15 4.754959e-15 -1.311738e-02 16384 0
1622.7302 1683.3814 -3.524990e-15 5.478368e-15 -1.363989e-02 16400 0
1624.0514 1684.7519 -9.576496e-15 5.196520e-15 -3.820958e-02 16384 0
1625.3726 1686.1225 -1.730572e-15 4.812067e-15 -7.278588e-03 0 0
1626.6938 1687.4931 -1.040263e-15 4.348062e-15 -4.768947e-03 0 0
1628.0150 1688.8637 5.234296e-15 5.088409e-15 2.040998e-02 16 0
1629.3363 1690.2344 1.126556e-14 6.150316e-15 4.609648e-02 0 0
1630.6575 1691.6050 1.522836e-14 5.282862e-15 6.429153e-02 0 0
1631.9788 1692.9757 5.651487e-15 4.344807e-15 2.390306e-02 0 0
1633.3001 1694.3463 -1.790160e-15 3.898169e-15 -8.626305e-03 0 0
1634.6214 1695.7170 8.530169e-15 8.355429e-15 3.825060e-02 16 0
1635.9427 1697.0877 1.950825e-14 1.824430e-14 9.084217e-02 16 0
1637.2640 1698.4584 -1.918525e-15 3.661996e-15 -9.824746e-03 16384 0
1638.5854 1699.8291 1.658024e-15 3.925025e-15 7.349819e-03 0 0
1639.9067 1701.1999 -1.600691e-14 1.242370e-14 -8.536197e-02 16400 0
1641.2281 1702.5706 6.073871e-15 3.498543e-15 3.001951e-02 0 0
1642.5495 1703.9414 -2.326326e-16 3.340740e-15 -1.868326e-03 0 0
1643.8709 1705.3122 7.708036e-16 3.930149e-15 3.355497e-03 16 0
1645.1923 1706.6830 6.917833e-15 8.420539e-15 3.630877e-02 16 0
1646.5137 1708.0538 2.377354e-15 3.538918e-15 1.222313e-02 0 0
1647.8351 1709.4246 -1.783556e-15 3.061828e-15 -1.061180e-02 16384 0
1649.1566 1710.7954 3.351755e-15 3.130159e-15 1.815333e-02 0 0
1650.4780 1712.1663 -1.723487e-15 3.772126e-15 -1.059977e-02 16400 0
1651.7995 1713.5372 -6.816525e-15 7.058315e-15 -4.260117e-02 16400 0
1653.1210 1714.9080 1.885884e-14 3.412292e-15 1.115830e-01 0 0
1654.4425 1716.2789 -1.942599e-15 3.797150e-15 -1.252453e-02 16400 0
1655.7640 1717.6498 -3.567108e-15 2.785771e-15 -2.334741e-02 16384 0
1657.0855 1719.0208 2.503652e-15 2.774637e-15 1.477195e-02 0 0
1658.4071 1720.3917 -1.341873e-17 2.699547e-15 -7.355846e-04 0 0
1659.7286 1721.7627 -1.391061e-15 2.479459e-15 -9.512646e-03 16384 0
1661.0502 1723.1336 -1.664385e-15 2.550720e-15 -1.154350e-02 16384 0
1662.3718 1724.5046 -3.146844e-15 2.442333e-15 -2.213178e-02 16384 0
1663.6934 1725.8756 -2.739111e-16 2.486388e-15 -2.451039e-03 0 0
1665.0150 1727.2466 -3.319397e-16 2.432193e-15 -2.861680e-03 0 0
1666.3366 1728.6176 1.604251e-15 2.429401e-15 1.025025e-02 0 0
1667.6582 1729.9886 1.293181e-15 2.326598e-15 8.254755e-03 0 0
1668.9799 1731.3597 -2.199416e-16 2.648966e-15 -2.167118e-03 16 0
1670.3015 1732.7307 -8.739355e-16 2.825885e-15 -6.790264e-03 16 0
1671.6232 1734.1018 4.582781e-15 2.640890e-15 3.224194e-02 0 0
1672.9449 1735.4729 -4.978639e-15 2.662127e-15 -3.891724e-02 16384 0
1674.2666 1736.8440 -1.323123e-15 2.549555e-15 -1.047330e-02 16400 0
1675.5883 1738.2151 1.784872e-15 2.585637e-15 1.263289e-02 0 0
1676.9100 1739.5862 7.237165e-16 2.746775e-15 4.811362e-03 16 0
1678.2318 1740.9574 1.802540e-15 3.285671e-15 1.310129e-02 16 0
1679.5535 1742.3285 -4.983852e-15 4.380219e-15 -4.143417e-02 16400 0
1680.8753 1743.6997 -5.678027e-15 2.597478e-15 -4.777332e-02 16400 0
1682.1970 1745.0708 -2.768230e-15 2.485665e-15 -2.356889e-02 16384 0
1683.5188 1746.4420 -1.613454e-14 2.485552e-15 -1.389959e-01 16384 0
1684.8406 1747.8132 -8.877560e-16 2.288438e-15 -7.765809e-03 16 0
1686.1624 1749.1845 3.479494e-15 2.170689e-15 2.788243e-02 0 0
1687.4843 1750.5557 -9.208761e-16 6.798926e-15 -8.211663e-03 16400 0
1688.8061 1751.9269 3.619045e-15 2.072449e-15 2.969607e-02 0 0
1690.1280 1753.2982 2.006926e-16 1.967518e-15 1.083006e-03 0 0
1691.4498 1754.6694 1.299564e-15 3.785329e-15 1.048031e-02 16 0
1692.7717 1756.0407 -1.238972e-15 1.989395e-15 -1.152884e-02 16384 0
1694.0936 1757.4120 -1.178516e-15 2.552605e-15 -1.108125e-02 16400 0
1695.4155 1758.7833 -1.519146e-15 1.922358e-15 -1.443187e-02 16384 0
1696.7374 1760.1547 2.904177e-15 2.181419e-15 2.527670e-02 0 0
1698.0593 1761.5260 -4.075703e-15 2.168718e-15 -3.951464e-02 16400 0
1699.3813 1762.8973 1.541980e-15 3.171346e-15 1.339881e-02 16 0
1700.7032 1764.2687 -2.038882e-15 6.104489e-15 -2.016512e-02 16400 0
1702.0252 1765.6401 -5.858144e-16 1.871289e-15 -6.001340e-03 0 0
1703.3471 1767.0114 -8.353078e-16 1.845003e-15 -8.423725e-03 16384 0
1704.6691 1768.3828 7.090594e-16 2.025342e-15 6.093010e-03 0 0
1705.9911 1769.7542 5.171840e-15 3.050892e-15 4.890473e-02 16 0
1707.3131 1771.1257 -3.452264e-15 2.282259e-15 -3.581764e-02 16384 0
1708.6352 1772.4971 2.004461e-15 1.719733e-15 1.888128e-02 0 0
1709.9572 1773.8685 -1.801935e-15 1.756400e-15 -1.904168e-02 16384 0
1711.2792 1775.2400 -9.742671e-16 1.547545e-15 -1.038876e-02 16384 0
1712.6013 1776.6115 -4.012292e-15 1.643344e-15 -4.316707e-02 16384 0
1713.9234 1777.9830 -1.696696e-15 1.811778e-15 -1.841524e-02 16384 0
1715.2454 1779.3545 1.510900e-15 1.829210e-15 1.475425e-02 0 0
1716.5675 1780.7260 -1.327368e-15 1.614831e-15 -1.465821e-02 16384 0
1717.8896 1782.0975 4.151045e-15 3.254371e-15 4.243234e-02 16 0
1719.2118 1783.4690 1.165605e-15 1.733830e-15 1.155469e-02 0 0
1720.5339 1784.8406 2.028408e-15 2.940153e-15 2.073813e-02 16 0
1721.8560 1786.2121 -2.783439e-16 1.722970e-15 -3.509479e-03 0 0
1723.1782 1787.5837 -1.968420e-15 1.865702e-15 -2.266521e-02 16384 0
1724.5004 1788.9553 -6.522218e-16 1.601275e-15 -7.571470e-03 16384 0
1725.8225 1790.3269 1.242360e-15 1.828368e-15 1.290600e-02 16 0
1727.1447 1791.6985 -1.386257e-15 1.646950e-15 -1.635808e-02 16384 0
1728.4669 1793.0701 -1.429154e-16 1.530736e-15 -2.135838e-03 0 0
1729.7891 1794.4417 5.385992e-16 1.465295e-15 5.415843e-03 0 0
1731.1114 1795.8134 1.899517e-15 1.499342e-15 2.074019e-02 0 0
1732.4336 1797.1850 4.815366e-16 1.871016e-15 4.871618e-03 0 0
1733.7558 1798.5567 2.291378e-15 1.889800e-15 2.557179e-02 0 0
1735.0781 1799.9284 1.058139e-14 3.971714e-15 1.223573e-01 16 0
1736.4004 1801.3001 -3.992499e-15 2.630934e-15 -4.985558e-02 16400 0
1737.7226 1802.6718 -9.441698e-16 1.417733e-15 -1.188613e-02 16384 0
1739.0449 1804.0435 3.236483e-15 2.557830e-15 3.762828e-02 16 0
1740.3672 1805.4152 -1.940628e-15 1.414957e-15 -2.483024e-02 16384 0
1741.6896 1806.7869 4.290345e-15 1.547107e-15 5.097435e-02 0 0
1743.0119 1808.1587 -9.182859e-16 3.014669e-15 -1.194153e-02 16400 0
1744.3342 1809.5304 3.491709e-16 1.481487e-15 3.687309e-03 0 0
1745.6566 1810.9022 -2.621547e-15 1.589952e-15 -3.464611e-02 16384 0
1746.9789 1812.2740 -1.028440e-15 1.289113e-15 -1.370150e-02 16384 0
1748.3013 1813.6458 -2.685726e-16 1.312203e-15 -3.876821e-03 0 0
1749.6237 1815.0176 -8.976997e-16 1.254622e-15 -1.215232e-02 16384 0
1750.9461 1816.3894 -1.121910e-15 1.985851e-15 -1.530834e-02 16400 0
1752.2685 1817.7613 -2.277605e-15 1.265328e-15 -3.132291e-02 16384 0
1753.5909 1819.1331 -9.079362e-17 1.611104e-15 -1.702013e-03 16 0
1754.9133 1820.5050 -2.373139e-15 1.221535e-15 -3.314801e-02 16384 0
