# obs_wvl flux error
5.312000000000000000e+03 -4.087193705214340787e-18 1.749632744773585376e-17
5.316879202582488688e+03 -1.604642608310454348e-16 2.135063246377944669e-17
5.321758405164977376e+03 1.563256390531896374e-17 1.368236448659825941e-17
5.326637607747466063e+03 -1.778674316632803400e-17 1.472554369873268066e-17
5.331516810329954751e+03 2.155153468974712690e-17 1.617402284299275204e-17
5.336396012912443439e+03 -1.556302729704426137e-17 1.278972557756983266e-17
5.341275215494932127e+03 8.725904613116352665e-17 1.480489133569336745e-17
5.346154418077420814e+03 -1.555178319335160876e-17 1.609894288585138530e-17
5.351033620659909502e+03 -5.541632966958357523e-18 1.385776268702381301e-17
5.355912823242398190e+03 -1.969727982304909858e-17 1.537006706762650347e-17
5.360792025824886878e+03 6.599622111053557130e-18 1.683334617641583955e-17
5.365671228407375565e+03 3.075415786416072952e-17 1.710066993911875931e-17
5.370550430989864253e+03 1.679793067918465631e-16 2.018643869459042376e-17
5.375429633572352941e+03 1.014833372320664774e-17 1.760782636502181594e-17
5.380308836154841629e+03 5.020031205451558528e-17 1.771540799068984479e-17
5.385188038737330317e+03 -2.653033113542681151e-17 1.672028578095118945e-17
5.390067241319819004e+03 1.517145697828766432e-17 1.542766126273291836e-17
5.394946443902307692e+03 2.566344561133190514e-18 1.569440530711278034e-17
5.399825646484796380e+03 3.218276876803748152e-18 1.594859267415274506e-17
5.404704849067285068e+03 -4.914307055186557828e-17 1.675936459067357985e-17
5.409584051649773755e+03 -1.834690833629490884e-17 1.625975747315623002e-17
5.414463254232262443e+03 6.758734159141373931e-17 1.595584259696836127e-17
5.419342456814751131e+03 -1.993932347016483373e-17 1.432205756172178396e-17
5.424221659397239819e+03 -6.027571371439345446e-18 1.336584003245808629e-17
5.429100861979728506e+03 -1.045251566458354794e-16 2.448690783397134285e-17
5.433980064562217194e+03 3.194687179352936186e-18 1.313345973593002122e-17
5.438859267144705882e+03 -7.198353206587777001e-17 1.246640119906811234e-17
5.443738469727194570e+03 4.949160012169902880e-18 1.244182265160376805e-17
5.448617672309683257e+03 8.477709174172891427e-17 2.100369760891165176e-17
5.453496874892171945e+03 -2.219836653949978995e-17 1.256989960569763833e-17
5.458376077474660633e+03 2.371746222365716015e-17 1.276924258435176248e-17
5.463255280057149321e+03 2.127525278349103802e-17 1.379427360144043932e-17
5.468134482639638009e+03 -9.338759773419754433e-17 1.804402106844727694e-17
5.473013685222126696e+03 -1.468998811261372539e-17 1.079857930948012785e-17
5.477892887804615384e+03 -1.737366604253072069e-17 1.091312703258093071e-17
5.482772090387104072e+03 -6.686888589509282490e-18 1.086129799924524072e-17
5.487651292969592760e+03 -1.372609782153314310e-17 1.091909293804867569e-17
5.492530495552081447e+03 -7.419347189763049125e-17 1.472929417947148632e-17
5.497409698134570135e+03 -2.607284873768271901e-17 1.122032656964314488e-17
5.502288900717058823e+03 -2.442786346180916140e-17 1.066690021008320689e-17
5.507168103299547511e+03 -2.285439623342914910e-17 1.068861089128648037e-17
5.512047305882036198e+03 -3.981731343993809390e-17 1.175541719311540914e-17
5.516926508464524886e+03 5.429815858408172174e-17 1.108455225006244880e-17
5.521805711047013574e+03 -3.135290713942844426e-17 1.295302734887908736e-17
5.526684913629502262e+03 2.064699542898953263e-17 1.344656457922366922e-17
5.531564116211990950e+03 4.687109718832200142e-18 1.059292342839786605e-17
5.536443318794479637e+03 -1.250569414213352615e-17 1.244790585724851482e-17
5.541322521376968325e+03 -2.022176105473908624e-17 1.213444233648414040e-17
5.546201723959457013e+03 3.432986327814823115e-17 1.305839153423979739e-17
5.551080926541945701e+03 -7.754838814576881410e-17 2.078154938169247126e-17
5.555960129124434388e+03 3.841112133126298055e-18 1.177821976825057614e-17
5.560839331706923076e+03 2.589643839495466021e-17 1.087281104745537187e-17
5.565718534289411764e+03 4.878107786915829915e-17 1.191900820816090733e-17
5.570597736871900452e+03 -8.021218224472158113e-17 1.611876319137897029e-17
5.575476939454389139e+03 -1.519874170728506005e-17 1.064580367052260440e-17
5.580356142036877827e+03 5.146929258113955092e-17 1.079750179946751375e-17
5.585235344619366515e+03 -6.356447983670598519e-18 1.684560759582562520e-17
5.590114547201855203e+03 -5.479169124236923391e-17 1.299191341843800522e-17
5.594993749784343890e+03 -2.223706795326005640e-18 1.135253728040837480e-17
5.599872952366832578e+03 2.520557179340391632e-17 1.351814459006817803e-17
5.604752154949321266e+03 2.147999924697943357e-17 1.149374144475106002e-17
5.609631357531809954e+03 2.240288279487025573e-17 1.051572233772544697e-17
5.614510560114298642e+03 -4.490527197137069005e-18 1.208593117262414238e-17
5.619389762696787329e+03 -4.992091995124230872e-18 1.099070790319902964e-17
5.624268965279276017e+03 1.008514999141416763e-16 1.268300891961778515e-17
5.629148167861764705e+03 -1.082076724855894337e-16 1.487491256590434756e-17
5.634027370444253393e+03 -3.695018442806494029e-17 1.166411001024517611e-17
5.638906573026742080e+03 -4.267356355654178955e-17 1.174301373836249326e-17
5.643785775609230768e+03 -7.655759531066503033e-17 1.393812188854394105e-17
5.648664978191719456e+03 -6.319444757560128383e-17 1.282522735350254700e-17
5.653544180774208144e+03 -6.225942301736343528e-17 1.357325133913570744e-17
5.658423383356696831e+03 -2.971593105120112743e-17 1.034691757855073367e-17
5.663302585939185519e+03 -2.783520994756061859e-17 1.091673102341960869e-17
5.668181788521674207e+03 6.019551575436702873e-17 1.208886185344219213e-17
5.673060991104162895e+03 -3.217667900047105340e-17 1.183436620258522938e-17
5.677940193686651583e+03 -2.447165656463331780e-17 1.074545102164930569e-17
5.682819396269140270e+03 -7.790360518464180454e-17 1.646170893333817148e-17
5.687698598851628958e+03 -6.275561521615905327e-18 1.024455125325166124e-17
5.692577801434117646e+03 2.695471486690723756e-17 1.023348053364748119e-17
5.697457004016606334e+03 -4.741231114751433999e-17 1.598865100009117462e-17
5.702336206599095021e+03 -3.094327358280368614e-18 1.019235326115557468e-17
5.707215409181583709e+03 -4.484647838739060330e-17 1.170712639807682301e-17
5.712094611764072397e+03 -7.094919470500108498e-18 9.661314105626486560e-18
5.716973814346561085e+03 -1.038083414541647131e-17 1.139304854086276799e-17
5.721853016929049772e+03 1.634462557892116473e-17 1.046256240974628892e-17
5.726732219511538460e+03 -3.429939778607762307e-17 1.229156152022127647e-17
5.731611422094027148e+03 -1.758940030249084937e-17 1.131229727631271403e-17
5.736490624676515836e+03 -1.068037435853269218e-16 1.659750791960088700e-17
5.741369827259004524e+03 -1.769740695195224868e-17 9.506000206123482868e-18
5.746249029841493211e+03 -3.918830079821566127e-17 1.324371362006444202e-17
5.751128232423981899e+03 4.397242887357511294e-17 1.187823613500804024e-17
5.756007435006470587e+03 -7.616369058526908478e-17 1.679472759341744780e-17
5.760886637588959275e+03 -1.061132943209793492e-17 1.015783049974655814e-17
5.765765840171447962e+03 -3.122119804115779712e-17 1.058669331368957101e-17
5.770645042753936650e+03 -8.052684913673320953e-18 1.114676050097577925e-17
5.775524245336425338e+03 -5.681289419146719799e-17 1.369254419056507979e-17
5.780403447918914026e+03 4.562915702459217330e-17 1.073813340707269815e-17
5.785282650501402713e+03 -1.970553463275676362e-17 9.640785158393244113e-18
5.790161853083891401e+03 -5.480317545407033960e-17 1.083374582300666705e-17
5.795041055666380089e+03 8.645293783160419220e-18 9.602409960588452520e-18
5.799920258248868777e+03 -1.022588392992934433e-17 1.012493377578274391e-17
5.804799460831357464e+03 -2.497982099323409709e-18 1.042248084975418662e-17
5.809678663413846152e+03 -1.748028349285142707e-16 2.556251913059298400e-17
5.814557865996334840e+03 -2.028418947114220468e-17 1.260531598309302383e-17
5.819437068578823528e+03 -2.210556702239240806e-17 1.112667761697923193e-17
5.824316271161312216e+03 -1.637453948129883830e-17 9.676039227659272421e-18
5.829195473743800903e+03 2.995189131459131164e-17 1.048776642558356065e-17
5.834074676326289591e+03 1.722810006563172511e-17 1.031114422246610831e-17
5.838953878908778279e+03 -1.667390619627059742e-18 9.476865143850672856e-18
5.843833081491266967e+03 -7.442121089209178653e-18 1.672876362733967916e-17
5.848712284073755654e+03 -3.136492138362852702e-18 9.354568874508678200e-18
5.853591486656244342e+03 -9.855138306828557635e-18 1.051230561351072437e-17
5.858470689238733030e+03 -3.569204295781534248e-17 1.086134563230155826e-17
5.863349891821221718e+03 1.291127199355757772e-17 1.107311043298705526e-17
5.868229094403710405e+03 -5.925466362619406164e-17 1.248175952073772477e-17
5.873108296986199093e+03 -2.384011806289895573e-17 1.252217268848354974e-17
5.877987499568687781e+03 -1.661413075241637501e-17 1.106341713774050067e-17
5.882866702151176469e+03 -1.016674971970617735e-17 1.019514241686941008e-17
5.887745904733665157e+03 2.064015597168998736e-17 1.066980878107338051e-17
5.892625107316153844e+03 -6.681570703848900965e-17 1.918116242245130438e-17
5.897504309898642532e+03 2.791164937122782643e-17 1.169304394840832058e-17
5.902383512481131220e+03 2.781875906019498222e-17 1.017354907356982725e-17
5.907262715063619908e+03 -9.997654947800992990e-18 1.072487954109978781e-17
5.912141917646108595e+03 -9.724199022467515030e-18 9.704091945198319691e-18
5.917021120228597283e+03 -3.146426778967326145e-17 1.116528970278241333e-17
5.921900322811085971e+03 -2.727345951203553630e-17 9.648548848926340317e-18
5.926779525393574659e+03 -2.046322298806445457e-17 1.044334052248148809e-17
5.931658727976063346e+03 2.803787390693043198e-17 9.639332475520644176e-18
