# SN2025ADJ ofhg02040 G230LB CCD z=0.011389 a2center=510.1 extrsize=15 exptime=2229.9 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
1648.8818 1667.6609 -4.627455e-15 1.035946e-14 -1.940650e-02 512 0
1650.2373 1669.0319 -8.476816e-15 9.448426e-15 -2.860874e-02 0 0
1651.5929 1670.4029 -2.750609e-14 9.692573e-15 -8.161099e-02 16400 0
1652.9485 1671.7739 -1.607381e-14 8.296808e-15 -4.948300e-02 16384 0
1654.3040 1673.1449 4.724138e-15 9.455278e-15 3.801234e-03 0 0
1655.6596 1674.5160 3.397441e-14 1.100320e-14 8.544707e-02 16 0
1657.0153 1675.8870 -2.886432e-14 9.443257e-15 -9.895886e-02 16400 0
1658.3709 1677.2581 3.279689e-16 1.150328e-14 -9.955399e-03 16 0
1659.7266 1678.6292 3.688336e-15 7.569300e-15 1.203820e-03 0 0
1661.0822 1680.0003 -8.340500e-14 7.437457e-15 -3.173038e-01 16400 0
1662.4379 1681.3714 3.761810e-15 7.374996e-15 3.109861e-03 0 0
1663.7936 1682.7425 -2.949834e-14 6.930763e-15 -1.197866e-01 16384 0
1665.1493 1684.1137 -1.738461e-15 6.772521e-15 -1.529070e-02 0 0
1666.5050 1685.4849 1.140360e-14 5.714769e-15 3.209105e-02 0 0
1667.8608 1686.8560 -1.024194e-14 6.841375e-15 -4.693518e-02 16 0
1669.2165 1688.2272 -2.186345e-14 8.583607e-15 -9.987490e-02 16400 0
1670.5723 1689.5984 -3.356834e-16 6.339484e-15 -1.047133e-02 16 0
1671.9281 1690.9697 -7.377448e-15 6.260054e-15 -3.862898e-02 16 0
1673.2839 1692.3409 -4.791583e-15 6.030054e-15 -2.878564e-02 16 0
1674.6397 1693.7122 1.512601e-14 6.083414e-15 5.517520e-02 0 0
1675.9955 1695.0834 2.218044e-14 6.775165e-15 8.773854e-02 16 0
1677.3513 1696.4547 -5.015921e-15 5.224461e-15 -3.111944e-02 16 0
1678.7072 1697.8260 -3.698175e-15 6.004142e-15 -2.567999e-02 16 0
1680.0631 1699.1973 8.492589e-15 4.721223e-15 3.021191e-02 0 0
1681.4189 1700.5686 3.451659e-14 9.827904e-15 1.562165e-01 16 0
1682.7748 1701.9400 -2.151823e-14 9.805036e-15 -1.234908e-01 16400 0
1684.1308 1703.3113 1.523751e-14 5.389395e-15 6.605613e-02 0 0
1685.4867 1704.6827 8.141090e-15 5.438485e-15 3.169003e-02 16 0
1686.8426 1706.0541 3.353097e-14 1.101399e-14 1.642924e-01 16 0
1688.1986 1707.4255 -4.952423e-15 4.966227e-15 -3.437611e-02 16 0
1689.5545 1708.7969 -2.403659e-15 5.102508e-15 -2.152162e-02 16 0
1690.9105 1710.1683 -1.742100e-15 5.597404e-15 -1.820728e-02 16 0
1692.2665 1711.5397 2.571154e-15 4.248186e-15 5.036395e-03 0 0
1693.6225 1712.9112 4.136789e-16 5.000783e-15 -6.628461e-03 16 0
1694.9786 1714.2827 5.769347e-14 1.483229e-14 3.254705e-01 16 0
1696.3346 1715.6541 -2.506896e-15 5.451538e-15 -2.308861e-02 16 0
1697.6906 1717.0256 -1.921774e-15 3.678339e-15 -1.992872e-02 0 0
1699.0467 1718.3972 -3.661658e-14 1.469359e-14 -2.571126e-01 16400 0
1700.4028 1719.7687 -9.464148e-15 3.236868e-15 -6.742936e-02 16384 0
1701.7589 1721.1402 2.636858e-14 6.152296e-15 1.532124e-01 16 0
1703.1150 1722.5118 5.279372e-13 1.865370e-14 3.618989e+00 16 0
1704.4711 1723.8833 -3.765770e-15 3.260332e-15 -3.204113e-02 0 0
1705.8272 1725.2549 -3.661922e-15 3.315267e-15 -3.169829e-02 0 0
1707.1834 1726.6265 5.719038e-15 3.963926e-15 2.781368e-02 16 0
1708.5396 1727.9981 7.304936e-15 4.095129e-15 3.866477e-02 16 0
1709.8957 1729.3697 1.580231e-15 3.253966e-15 1.598258e-03 0 0
1711.2519 1730.7414 1.912417e-15 3.310938e-15 3.952783e-03 0 0
1712.6081 1732.1130 -4.550687e-15 3.047762e-15 -3.909005e-02 0 0
1713.9643 1733.4847 5.116244e-15 3.734240e-15 2.620780e-02 16 0
1715.3206 1734.8564 1.825336e-14 4.259136e-15 1.188748e-01 16 0
1716.6768 1736.2280 2.106274e-14 3.803687e-15 1.407123e-01 0 0
1718.0331 1737.5997 -1.270220e-14 3.593958e-15 -1.074416e-01 16400 0
1719.3893 1738.9715 2.680090e-15 3.027901e-15 1.051721e-02 0 0
1720.7456 1740.3432 2.111618e-15 3.464695e-15 6.637651e-03 16 0
1722.1019 1741.7149 6.445724e-15 4.527044e-15 3.877108e-02 16 0
1723.4582 1743.0867 4.806171e-16 2.907550e-15 -5.060375e-03 0 0
1724.8146 1744.4585 2.256387e-15 4.432031e-15 8.312959e-03 16 0
1726.1709 1745.8302 -1.352758e-14 9.310328e-15 -1.228594e-01 16400 0
1727.5272 1747.2020 -7.445763e-15 3.107708e-15 -6.840476e-02 16384 0
1728.8836 1748.5739 -3.601981e-15 2.754226e-15 -3.633033e-02 0 0
1730.2400 1749.9457 1.370149e-14 3.211250e-15 1.002359e-01 0 0
1731.5964 1751.3175 1.343708e-14 3.663509e-15 9.927342e-02 16 0
1732.9528 1752.6894 -3.592676e-17 2.827370e-15 -8.816827e-03 16 0
1734.3092 1754.0612 -2.541583e-15 3.541376e-15 -2.898642e-02 16 0
1735.6656 1755.4331 1.036187e-14 3.009902e-15 7.703520e-02 0 0
1737.0221 1756.8050 -3.358625e-15 2.456708e-15 -3.607269e-02 0 0
1738.3785 1758.1769 -5.059325e-15 2.633407e-15 -5.060026e-02 16384 0
1739.7350 1759.5488 -7.742387e-16 2.470354e-15 -1.497865e-02 0 0
1741.0915 1760.9207 2.085984e-15 2.623575e-15 9.311587e-03 0 0
1742.4479 1762.2927 3.351902e-15 2.933532e-15 2.043532e-02 16 0
1743.8045 1763.6646 2.161207e-15 2.460880e-15 1.034319e-02 0 0
1745.1610 1765.0366 4.287425e-15 2.935390e-15 2.929097e-02 16 0
1746.5175 1766.4086 3.470662e-15 3.121696e-15 2.238255e-02 16 0
1747.8740 1767.7806 1.036938e-14 2.884860e-15 8.523876e-02 0 0
1749.2306 1769.1526 4.340696e-15 2.850415e-15 3.090542e-02 16 0
1750.5872 1770.5246 8.676693e-15 2.794446e-15 7.132056e-02 0 0
1751.9438 1771.8966 1.635655e-14 2.799335e-15 1.445511e-01 0 0
1753.3004 1773.2687 2.755486e-15 2.294343e-15 1.723870e-02 0 0
1754.6570 1774.6407 1.685291e-15 2.402211e-15 7.427581e-03 0 0
1756.0136 1776.0128 -1.736694e-15 2.261382e-15 -2.466313e-02 0 0
1757.3702 1777.3849 1.289379e-15 2.087384e-15 3.952801e-03 0 0
1758.7269 1778.7570 4.804071e-15 2.865649e-15 3.805441e-02 16 0
1760.0835 1780.1291 7.305231e-15 2.737277e-15 6.304891e-02 16 0
1761.4402 1781.5012 -4.139981e-15 3.933200e-15 -4.852023e-02 16400 0
1762.7969 1782.8734 5.069302e-15 2.430451e-15 4.194516e-02 0 0
1764.1536 1784.2455 2.723774e-15 2.526313e-15 1.885799e-02 16 0
1765.5103 1785.6177 2.669575e-15 2.237452e-15 1.855057e-02 0 0
1766.8670 1786.9898 3.867191e-15 4.167143e-15 3.098092e-02 16 0
1768.2237 1788.3620 -5.041391e-15 2.931280e-15 -6.161661e-02 16400 0
1769.5805 1789.7342 1.848120e-14 8.543877e-15 1.858409e-01 16 0
1770.9372 1791.1064 1.831113e-15 2.387120e-15 1.076438e-02 16 0
1772.2940 1792.4786 4.604445e-15 2.225915e-15 4.011769e-02 0 0
1773.6508 1793.8509 -3.555228e-16 1.992240e-15 -1.193952e-02 0 0
1775.0076 1795.2231 6.770984e-15 2.736262e-15 6.426772e-02 16 0
1776.3644 1796.5954 -3.667207e-15 2.050423e-15 -4.712765e-02 0 0
1777.7212 1797.9677 1.349821e-15 2.519043e-15 6.392445e-03 16 0
1779.0780 1799.3399 -9.822414e-16 2.315416e-15 -1.881340e-02 16 0
1780.4349 1800.7122 -1.707972e-15 2.085349e-15 -2.679884e-02 0 0
1781.7917 1802.0845 4.591901e-15 2.166071e-15 4.288146e-02 0 0
1783.1486 1803.4569 6.724137e-15 2.755831e-15 6.743285e-02 16 0
1784.5054 1804.8292 8.089380e-15 2.105669e-15 8.370540e-02 0 0
1785.8623 1806.2015 4.625358e-16 2.500594e-15 -2.886437e-03 16 0
1787.2192 1807.5739 -1.021380e-15 2.275362e-15 -1.973032e-02 16 0
1788.5761 1808.9462 -9.218878e-15 3.041171e-15 -1.272778e-01 16400 0
1789.9331 1810.3186 1.515909e-15 1.891676e-15 9.507392e-03 0 0
1791.2900 1811.6910 3.092471e-15 1.880755e-15 2.820145e-02 0 0
1792.6470 1813.0634 -1.220089e-15 2.910483e-15 -2.239936e-02 16 0
1794.0039 1814.4358 2.755107e-15 2.144561e-15 2.475927e-02 0 0
1795.3609 1815.8083 -9.798680e-16 4.448985e-15 -1.974793e-02 16 0
1796.7179 1817.1807 -5.171695e-15 1.671608e-15 -7.486726e-02 16384 0
1798.0749 1818.5531 -4.076748e-15 2.217564e-15 -5.947256e-02 16400 0
1799.4319 1819.9256 8.554905e-15 3.111772e-15 9.807077e-02 16 0
1800.7889 1821.2981 6.978745e-15 2.494445e-15 7.898419e-02 16 0
1802.1459 1822.6706 8.211205e-16 2.510248e-15 2.194062e-03 16 0
1803.5030 1824.0430 -4.600685e-15 1.646264e-15 -6.915692e-02 16384 0
1804.8600 1825.4156 -2.919682e-15 1.870850e-15 -4.456961e-02 16 0
1806.2171 1826.7881 4.854593e-15 2.060041e-15 5.412931e-02 16 0
1807.5741 1828.1606 -4.266574e-16 1.665714e-15 -1.342878e-02 0 0
1808.9312 1829.5331 3.456545e-15 2.071657e-15 3.677674e-02 16 0
1810.2883 1830.9057 3.965154e-15 1.858044e-15 4.377172e-02 0 0
1811.6454 1832.2783 -3.373593e-15 3.675869e-15 -5.289224e-02 16400 0
1813.0026 1833.6508 4.047699e-15 1.783826e-15 4.559407e-02 16 0
1814.3597 1835.0234 -2.422782e-15 2.236278e-15 -3.980850e-02 16 0
1815.7168 1836.3960 1.225930e-15 1.567950e-15 8.413956e-03 0 0
1817.0740 1837.7686 4.604195e-15 2.137981e-15 5.425938e-02 16 0
1818.4311 1839.1413 4.301800e-15 1.696937e-15 5.053046e-02 16 0
1819.7883 1840.5139 2.922342e-15 1.650925e-15 3.195075e-02 0 0
1821.1455 1841.8865 2.586982e-15 1.973992e-15 2.758741e-02 16 0
1822.5027 1843.2592 -1.170725e-14 6.363739e-15 -1.933542e-01 16400 0
1823.8599 1844.6318 1.980659e-15 1.509862e-15 1.959737e-02 0 0
1825.2171 1846.0045 -2.436306e-15 1.488998e-15 -4.159648e-02 0 0
1826.5744 1847.3772 1.013952e-15 1.597168e-15 6.345753e-03 16 0
1827.9316 1848.7499 7.459172e-15 1.703481e-15 9.867850e-02 0 0
1829.2889 1850.1226 -6.409503e-15 3.084774e-15 -1.092157e-01 16400 0
1830.6461 1851.4953 -6.115636e-15 2.421234e-15 -1.048565e-01 16400 0
1832.0034 1852.8681 4.238615e-15 1.585138e-15 5.348576e-02 0 0
1833.3607 1854.2408 2.726769e-15 1.464364e-15 3.174583e-02 0 0
1834.7180 1855.6136 2.131002e-15 1.623585e-15 2.325868e-02 16 0
