# obs_wvl flux error
1.130000000000000000e+03 -1.926302972619396090e-17 8.851514415839932875e-16
1.130079957084087027e+03 -1.925013649972325198e-17 6.634564565372186192e-16
1.130159914168174055e+03 -1.921040212696417948e-17 6.621350806474894832e-16
1.130239871252261082e+03 -1.917097297713041699e-17 6.608244392880321744e-16
1.130319828336348110e+03 2.783948855573677686e-17 6.235108793234049352e-16
1.130399785420435137e+03 1.073546338389917073e-16 4.140736194609452918e-16
1.130479742504522164e+03 3.832059938665454723e-17 3.314418821168812941e-16
1.130559699588609192e+03 4.474752125941199438e-17 3.310973060987177658e-16
1.130639656672696219e+03 1.682349072318669950e-16 3.269951246627620406e-16
1.130719613756783247e+03 7.638838047589660206e-17 2.921782635066152730e-16
1.130799570840870274e+03 -2.441016410005705452e-17 2.750025368743587729e-16
1.130879527924957301e+03 4.124145712085105464e-17 2.813510536832804461e-16
1.130959485009044329e+03 1.911466675459033165e-16 3.112124038341721917e-16
1.131039442093131356e+03 1.943040308212226775e-16 3.162280648447273902e-16
1.131119399177218384e+03 1.132999069235313678e-16 2.956252305296841106e-16
1.131199356261305411e+03 1.909063397098920123e-16 2.983418451053673577e-16
1.131279313345392438e+03 5.055964531329949271e-16 3.907525355769059867e-16
1.131359270429479466e+03 4.171393958337556897e-16 3.802095459452614568e-16
1.131439227513566493e+03 2.178032560466587901e-16 3.157442512175423701e-16
1.131519184597653521e+03 1.842740826483554638e-16 2.912295165835837270e-16
1.131599141681740548e+03 8.222148972497593273e-17 2.459567471469546213e-16
1.131679098765827575e+03 2.119427382104711055e-16 2.644777751713494303e-16
1.131759055849914603e+03 5.086450678129470302e-16 3.496942151546432618e-16
1.131839012934001630e+03 3.934151607213952771e-16 3.359598069496984968e-16
1.131918970018088658e+03 1.118458781018796808e-16 2.553336577564048225e-16
1.131998927102175685e+03 1.851027015727464127e-16 2.575116407433830425e-16
1.132078884186262712e+03 3.669895606097665080e-16 3.207026334300203009e-16
1.132158841270349740e+03 3.156114450744995319e-16 3.001017615606316457e-16
1.132238798354436767e+03 3.993465743517102093e-16 3.273936040866392156e-16
1.132318755438523795e+03 3.302675541903558017e-16 3.130048681948133214e-16
1.132398712522610822e+03 2.033953180246072110e-16 2.866393188932636819e-16
1.132478669606697849e+03 1.695884565010014071e-16 2.556347536775839065e-16
1.132558626690784877e+03 3.399967530684188486e-16 3.161314648793533427e-16
1.132638583774871904e+03 2.751872510697185040e-16 2.940499529990558658e-16
1.132718540858958931e+03 3.199452904523277770e-16 3.049437847474591382e-16
1.132798497943045959e+03 2.262660789580503715e-16 2.877795345103121271e-16
1.132878455027132986e+03 1.337513455823965643e-16 2.446297615930085415e-16
1.132958412111220014e+03 2.937475034839058733e-16 2.985950580525492029e-16
1.133038369195307041e+03 2.215069931529540733e-16 2.878856367332939344e-16
1.133118326279394068e+03 9.780485532014909868e-17 2.369715023882957266e-16
1.133198283363481096e+03 1.790352878370125527e-16 2.686767133670980687e-16
1.133278240447568123e+03 1.793060768217688890e-16 2.655512755422423409e-16
1.133358197531655151e+03 2.380313946104220672e-16 2.808448597765539718e-16
1.133438154615742178e+03 2.959001825902293707e-16 2.900194469246071514e-16
1.133518111699829205e+03 3.088575676959946591e-16 3.010824370841379305e-16
1.133598068783916233e+03 2.692919451156512769e-16 2.796923704059566297e-16
1.133678025868003260e+03 4.053962393533172973e-16 3.222595128646255851e-16
1.133757982952090288e+03 3.008557339141097424e-16 2.960760346215583725e-16
1.133837940036177315e+03 2.588918127230512801e-16 2.868636922266358993e-16
1.133917897120264342e+03 2.214422258312752925e-16 2.792213737968198595e-16
1.133997854204351370e+03 1.008071632544578783e-16 2.468253544136741600e-16
1.134077811288438397e+03 3.416509281888863767e-17 2.245430098610675396e-16
1.134157768372525425e+03 1.369267144893120966e-16 2.459736077217569579e-16
1.134237725456612452e+03 2.758004476839107254e-16 2.823830548107521283e-16
1.134317682540699479e+03 4.513708559044493607e-16 3.185392887433085120e-16
1.134397639624786507e+03 5.637355341751783586e-16 3.522973387244863267e-16
1.134477596708873534e+03 3.511081411329276569e-16 3.118046147026017220e-16
1.134557553792960562e+03 1.117899844263979276e-16 2.493466131571860844e-16
1.134637510877047589e+03 1.098202131716355105e-16 2.358372257733890838e-16
1.134717467961134616e+03 3.135030057444103853e-16 2.957836958880958319e-16
1.134797425045221644e+03 2.319564512873300067e-16 2.769732060795203118e-16
1.134877382129308671e+03 1.319669233948334861e-16 2.449937937765107263e-16
1.134957339213395699e+03 1.185438411405841524e-16 2.421477201152218784e-16
1.135037296297482726e+03 1.181299502619244932e-16 2.390859612603744511e-16
1.135117253381569753e+03 1.175609319924959371e-16 2.387364565392450285e-16
1.135197210465656781e+03 1.552876718174725454e-16 2.445569083138483098e-16
1.135277167549743808e+03 2.407297177277125105e-16 2.735756220917166071e-16
1.135357124633830836e+03 2.508125657181011753e-16 2.775729267621562160e-16
1.135437081717917863e+03 2.112632707258444363e-16 2.657244537556209727e-16
1.135517038802004890e+03 3.229163437148391352e-16 2.697788858211265698e-16
1.135596995886091918e+03 6.673799523375238594e-16 3.653777390171783592e-16
1.135676952970178945e+03 4.952396791682767274e-16 3.331977193144089617e-16
1.135756910054265973e+03 2.717711118698912613e-16 2.946192991275385948e-16
1.135836867138353000e+03 1.636769845290983620e-16 2.375597911283181529e-16
1.135916824222440027e+03 3.298488502110995091e-16 3.068823433446674316e-16
1.135996781306527055e+03 1.689604454078472825e-16 2.369946126319907168e-16
1.136076738390614082e+03 3.311242653028713272e-16 3.069736164040821128e-16
1.136156695474701110e+03 1.664691413694488036e-16 2.366640956255120063e-16
1.136236652558788137e+03 3.740020012825636335e-16 3.110183006561633915e-16
1.136316609642875164e+03 8.734412621599935728e-17 2.342133206953337607e-16
1.136396566726962192e+03 1.115893096789027532e-16 2.280614771081136064e-16
1.136476523811049219e+03 4.556009223132011685e-16 3.074443985293293447e-16
1.136556480895136247e+03 6.821224783530829355e-16 3.553272542116756667e-16
1.136636437979223274e+03 6.486072710932250383e-16 3.602891814363099467e-16
1.136716395063310301e+03 3.431920837431513373e-16 2.924870214776835882e-16
1.136796352147397329e+03 2.490869377339773572e-16 2.710620654220388426e-16
1.136876309231484356e+03 2.047934903992008508e-16 2.625462366518473561e-16
1.136956266315571384e+03 1.583623998748219348e-16 2.404057549046582914e-16
1.137036223399658411e+03 2.459477072292500212e-16 2.690945859375568108e-16
1.137116180483745438e+03 2.045305728226487821e-16 2.602161796511659676e-16
1.137196137567832466e+03 2.021128084127473510e-16 2.455156355840457346e-16
1.137276094651919493e+03 3.306744374402714427e-16 2.889778096992271707e-16
1.137356051736006521e+03 1.582904468359475867e-16 2.550003256708580549e-16
1.137436008820093548e+03 3.013236545596674481e-17 2.101365714871415720e-16
1.137515965904180575e+03 1.601001533744694469e-16 2.373611570192430333e-16
1.137595922988267603e+03 2.898970278077017337e-16 2.714255775799636374e-16
1.137675880072354630e+03 4.107205875019831361e-16 2.987519529807156803e-16
1.137755837156441657e+03 3.659645861899696545e-16 3.020463145779442994e-16
1.137835794240528685e+03 2.009953763260812526e-16 2.398457260115511352e-16
1.137915751324615712e+03 2.734616941466123936e-16 2.760938733212134799e-16
1.137995708408702740e+03 6.811639084364184175e-17 2.216101735918841065e-16
1.138075665492789767e+03 2.861495385724358137e-17 2.071420377727626380e-16
1.138155622576876794e+03 7.060853729529607482e-17 2.200231302933322598e-16
1.138235579660963822e+03 7.314067378136007394e-17 2.109308915684496827e-16
1.138315536745050849e+03 1.524891837166675087e-16 2.423460155841385938e-16
1.138395493829137877e+03 1.192945679520699333e-16 2.175275061860351760e-16
