# obs_wvl flux error
2.968000000000000000e+03 1.885132598728410901e-15 3.654553561779628730e-16
2.970747102140147035e+03 1.105069210648436340e-15 2.646365344186003715e-16
2.973494204280294070e+03 3.216959462663912195e-16 2.661386059085466119e-16
2.976241306420441106e+03 1.003774443935670176e-15 2.492158103166262354e-16
2.978988408560588141e+03 1.192927349323727220e-15 2.529402140449705099e-16
2.981735510700735176e+03 1.164687635240258268e-15 2.493572182617137177e-16
2.984482612840882211e+03 5.121261857035878003e-16 2.565523610316639267e-16
2.987229714981029247e+03 7.299822624316339298e-16 2.363417450276249642e-16
2.989976817121176282e+03 1.128541160759857627e-15 2.570815996867540692e-16
2.992723919261323317e+03 1.373726777434098489e-15 2.464645552445831521e-16
2.995471021401470352e+03 1.177396332681254827e-15 2.177523144275081504e-16
2.998218123541617388e+03 1.000307401608059382e-15 2.090973616734064403e-16
3.000965225681764423e+03 9.013816734738089109e-16 2.189080318358813005e-16
3.003712327821911458e+03 5.877896782588031264e-16 2.667697559340085890e-16
3.006459429962058493e+03 5.693911442962432431e-16 2.289119340457982892e-16
3.009206532102205529e+03 6.510289384590805661e-16 2.032787676165268074e-16
3.011953634242352564e+03 1.012417921240729081e-15 2.016866399770106389e-16
3.014700736382499599e+03 4.078207124361325597e-17 3.731834129009519248e-16
3.017447838522646634e+03 9.394549013021009753e-17 2.556292563000623558e-16
3.020194940662793670e+03 3.479323852922152602e-16 2.345475512392876951e-16
3.022942042802940705e+03 7.778479483876963836e-16 2.044817215479379060e-16
3.025689144943087740e+03 1.107872080611292866e-15 2.055447783427403622e-16
3.028436247083234775e+03 8.352668909649684127e-16 1.819793275668957485e-16
3.031183349223381811e+03 7.879576181309263408e-16 1.746086356473617567e-16
3.033930451363528846e+03 1.114344918009489544e-15 1.801078736850931116e-16
3.036677553503675881e+03 1.644517788932170467e-16 2.146071584059274884e-16
3.039424655643822916e+03 -1.163128253695518946e-16 2.626805868905618625e-16
3.042171757783969952e+03 8.376765822765721682e-16 2.006488179448099769e-16
3.044918859924116987e+03 1.169072206381249967e-15 2.201739720361937034e-16
3.047665962064264022e+03 7.752498146194788010e-16 1.773948795969673576e-16
3.050413064204411057e+03 2.563235870921091515e-16 1.883795921820886762e-16
3.053160166344558093e+03 9.278313862713860965e-16 1.673157724247695127e-16
3.055907268484705128e+03 1.019176119261867816e-15 1.871579169116038594e-16
3.058654370624852163e+03 8.728065223408400270e-16 1.607619475821086046e-16
3.061401472764999198e+03 8.910670248945723342e-16 1.494893485605499342e-16
3.064148574905146234e+03 1.220196788602193473e-15 1.505966269206841061e-16
3.066895677045293269e+03 1.241014332962710341e-15 1.595188991808248490e-16
3.069642779185440304e+03 1.093947900909656553e-15 1.514253015858104801e-16
3.072389881325587339e+03 1.055247668608378134e-15 1.450738313447028592e-16
3.075136983465734374e+03 1.355785726386462157e-15 1.541757409129927544e-16
3.077884085605881410e+03 1.440214204122033527e-15 1.529222258438839747e-16
3.080631187746028445e+03 9.636967875583276330e-16 2.155504153368131331e-16
3.083378289886175480e+03 1.305571030859770669e-15 1.654056273021505375e-16
3.086125392026322515e+03 1.403259231794359373e-15 1.421793828258248839e-16
3.088872494166469551e+03 1.386847458210336219e-15 1.399885190975985943e-16
3.091619596306616586e+03 1.611666687997438353e-15 1.641838133263677076e-16
3.094366698446763621e+03 1.145990994810789275e-15 1.646798803382746669e-16
3.097113800586910656e+03 1.437788757996457251e-15 1.459914131574056159e-16
3.099860902727057692e+03 1.450181036374238532e-15 1.694642834482609891e-16
3.102608004867204727e+03 1.682309769926773354e-15 1.580438369772005046e-16
3.105355107007351762e+03 1.770721431235124101e-15 2.394824480501335023e-16
3.108102209147498797e+03 1.355986620712851582e-15 2.731978865103877183e-16
3.110849311287645833e+03 1.688127894927912968e-15 1.810295896676105536e-16
3.113596413427792868e+03 1.450009106198870800e-15 1.522643086639425193e-16
3.116343515567939903e+03 1.458745618193947615e-15 1.401052398985696374e-16
3.119090617708086938e+03 1.727482541704829740e-15 1.368305812455126541e-16
3.121837719848233974e+03 1.187585835290920854e-15 1.626188794318313859e-16
3.124584821988381009e+03 1.428048549403621814e-15 1.501288131340716319e-16
3.127331924128528044e+03 1.424578478177259417e-15 1.498482306590411796e-16
3.130079026268675079e+03 1.398370079300703667e-15 1.347438199075306111e-16
3.132826128408822115e+03 1.660921303630531690e-15 1.346682674735125836e-16
3.135573230548969150e+03 1.642019729246051964e-15 1.374177617512522587e-16
3.138320332689116185e+03 1.494714096679997861e-15 1.449649081736478408e-16
3.141067434829263220e+03 1.507847989171331206e-15 1.564162334685365474e-16
3.143814536969410256e+03 1.696116617114543092e-15 1.830276180208898829e-16
3.146561639109557291e+03 1.645852901174053385e-15 1.473805383520500368e-16
3.149308741249704326e+03 1.519384598982511634e-15 1.273811275508712290e-16
3.152055843389851361e+03 1.585124530694185943e-15 1.360336456445297042e-16
3.154802945529998397e+03 1.451759549736036126e-15 1.347634395538139775e-16
3.157550047670145432e+03 1.314845318189135192e-15 1.607778836779683050e-16
3.160297149810292467e+03 -1.878168997880654664e-15 3.060770353068714549e-16
3.163044251950439502e+03 -8.230631836508379909e-17 1.967602631232552550e-16
3.165791354090586537e+03 1.214260765634488709e-15 2.002179299836764517e-16
3.168538456230733573e+03 1.256471279140555420e-15 1.499697796002420882e-16
3.171285558370880608e+03 1.425666095736390280e-15 1.287529392558037680e-16
3.174032660511027643e+03 1.511410704053776837e-15 1.246084973686279531e-16
3.176779762651174678e+03 1.765148853547143932e-15 1.333454959583742800e-16
3.179526864791321714e+03 1.761723168142967175e-15 2.053101481434696252e-16
3.182273966931468749e+03 1.566911110046622125e-15 1.460651615222875032e-16
3.185021069071615784e+03 1.585772444221703799e-15 1.448382314653149502e-16
3.187768171211762819e+03 1.466669445896986449e-15 1.605147185130162567e-16
3.190515273351909855e+03 1.652480317974716303e-15 1.299907348150879557e-16
3.193262375492056890e+03 1.387559675329424240e-15 1.243610057893763813e-16
3.196009477632203925e+03 1.354648369424141332e-15 1.165229970033850622e-16
3.198756579772350960e+03 1.536326857740187865e-15 1.264990031953755796e-16
3.201503681912497996e+03 1.683529744294786761e-15 1.184639762830172359e-16
3.204250784052645031e+03 1.734307610056974108e-15 1.157160614364251909e-16
3.206997886192792066e+03 1.857033295887065728e-15 1.234701857726840589e-16
3.209744988332939101e+03 1.455578532023536638e-15 1.912105248190016674e-16
3.212492090473086137e+03 1.644410871004363183e-15 1.401532686939380444e-16
3.215239192613233172e+03 1.720171047637232327e-15 1.310013948877758874e-16
3.217986294753380207e+03 1.673615957662140405e-15 1.171064398964179225e-16
3.220733396893527242e+03 1.584998383727048106e-15 1.094408395135245727e-16
3.223480499033674278e+03 1.619702033124989350e-15 1.237185396170691508e-16
3.226227601173821313e+03 1.790045700003098205e-15 1.160348286052667306e-16
3.228974703313968348e+03 1.775055525653957321e-15 1.108437560386725764e-16
3.231721805454115383e+03 1.640534157321618923e-15 1.492346831662310291e-16
3.234468907594262419e+03 1.441475156302007815e-15 1.217205594794821436e-16
3.237216009734409454e+03 1.350236444428310013e-15 1.309671144894577398e-16
3.239963111874556489e+03 1.494504130001123312e-15 1.148161374128343364e-16
3.242710214014703524e+03 1.684251052784748132e-15 1.070969906027127485e-16
3.245457316154850560e+03 1.452200285770584732e-15 1.344415426857449075e-16
3.248204418294997595e+03 1.366799253525727022e-15 1.145199454118542652e-16
3.250951520435144630e+03 1.572384698862463427e-15 1.058853450128478259e-16
3.253698622575291665e+03 1.489108535823319454e-15 1.069393616877945654e-16
3.256445724715438701e+03 1.367439218524193232e-15 1.074032432791921825e-16
3.259192826855585736e+03 1.443955366746513732e-15 1.035676672572330490e-16
3.261939928995732771e+03 1.477141534209187943e-15 1.063604194285847970e-16
3.264687031135879806e+03 1.618004155419948036e-15 1.081164435134035372e-16
3.267434133276026841e+03 1.624812464367878478e-15 1.095238997195413268e-16
3.270181235416173877e+03 1.611379724599851308e-15 1.149486255845170637e-16
3.272928337556320912e+03 1.470714688671515571e-15 1.080742811746018749e-16
3.275675439696467947e+03 1.551333384407601243e-15 1.048009507642241491e-16
3.278422541836614982e+03 1.687380639100972600e-15 1.027011066927017466e-16
3.281169643976762018e+03 1.613799511939260513e-15 1.019923137454655750e-16
3.283916746116909053e+03 1.474715042204068036e-15 9.914790756684288480e-17
3.286663848257056088e+03 1.702842289144570533e-15 1.031356640905068447e-16
3.289410950397203123e+03 1.870065362305573083e-15 1.023862699677675051e-16
3.292158052537350159e+03 1.850021607406315018e-15 1.062245068004463513e-16
3.294905154677497194e+03 1.816714146664987511e-15 1.020306921783471570e-16
3.297652256817644229e+03 1.450550156433555947e-15 1.336931298459678209e-16
3.300399358957791264e+03 1.443779912854672237e-15 1.090902940981694773e-16
3.303146461097938300e+03 1.510538187692480107e-15 1.011529232761581056e-16
3.305893563238085335e+03 1.511608221313882595e-15 9.918273023448911896e-17
3.308640665378232370e+03 1.605890860530538730e-15 9.750146625816181522e-17
3.311387767518379405e+03 1.752784570175380169e-15 9.928365568743520055e-17
3.314134869658526441e+03 1.779600583801246435e-15 1.002552074183950522e-16
3.316881971798673476e+03 1.744372232304193655e-15 9.653678329977922020e-17
3.319629073938820511e+03 1.432261111506776318e-15 1.009244223849738629e-16
3.322376176078967546e+03 1.537228955357592152e-15 1.052162624777049240e-16
3.325123278219114582e+03 1.778375194846633996e-15 1.016516434381975478e-16
3.327870380359261617e+03 1.609549184014692261e-15 9.540218971109012834e-17
3.330617482499408652e+03 1.766540680776375586e-15 9.641239636511869150e-17
3.333364584639555687e+03 1.690557620835626588e-15 9.495032650152777957e-17
3.336111686779702723e+03 1.537789622063219703e-15 9.238075141541060744e-17
3.338858788919849758e+03 1.583096132854024340e-15 9.203453203879627899e-17
3.341605891059996793e+03 1.605495449679073622e-15 9.257432574759544707e-17
3.344352993200143828e+03 1.882753130480520721e-15 1.017913042314930966e-16
3.347100095340290864e+03 2.337184221421617553e-15 2.541313173271955411e-16
3.349847197480437899e+03 1.874647575108561701e-15 1.584628763051927914e-16
3.352594299620584934e+03 1.528716014894896755e-15 9.372838445971062435e-17
3.355341401760731969e+03 1.737609024379102398e-15 9.860523735948233543e-17
3.358088503900879005e+03 1.582330582147221512e-15 9.809093812269007832e-17
3.360835606041026040e+03 1.462903561681155593e-15 1.020239939528782615e-16
3.363582708181173075e+03 1.544324422856347215e-15 9.360214883916718167e-17
3.366329810321320110e+03 1.455300336424119884e-15 9.343360196626906347e-17
3.369076912461467145e+03 1.592060883167855478e-15 1.124418165962769554e-16
3.371824014601614181e+03 1.536314734210477089e-15 9.452561033434197456e-17
3.374571116741761216e+03 1.386843678698307915e-15 9.556324251407374860e-17
3.377318218881908251e+03 1.363563526274567071e-15 9.382965340942564979e-17
3.380065321022055286e+03 1.572239297342225268e-15 8.964433979415683754e-17
3.382812423162202322e+03 1.450356733233235918e-15 8.682719266660681720e-17
3.385559525302349357e+03 1.467929823770693995e-15 8.731788219699282535e-17
3.388306627442496392e+03 1.373563076334493922e-15 1.260656955812379229e-16
3.391053729582643427e+03 1.325124843185107198e-15 1.337593357876786489e-16
3.393800831722790463e+03 1.370600761616214759e-15 9.834499371901952148e-17
3.396547933862937498e+03 1.387265876523202166e-15 1.005944619827661615e-16
3.399295036003084533e+03 1.418786856858491310e-15 9.304892300415410208e-17
