# obs_wvl flux error
1.582000000000000000e+03 -3.653142231323939211e-14 1.399189346335689072e-14
1.585096688107172213e+03 -2.964367854572192131e-15 6.962995488570867009e-15
1.588193376214344426e+03 7.113458814933848779e-17 3.978734358054056724e-15
1.591290064321516638e+03 -4.572297250115159757e-15 2.704836368458914321e-15
1.594386752428688851e+03 3.032764192151471031e-15 2.452041982444448751e-15
1.597483440535861064e+03 4.881888768753096830e-15 2.153240635914622040e-15
1.600580128643033277e+03 2.404484446422327713e-16 1.455949045728652572e-15
1.603676816750205489e+03 -1.247324540316983928e-15 1.024139089321896032e-15
1.606773504857377702e+03 4.489561189222800342e-16 1.053229671179818218e-15
1.609870192964549915e+03 -1.654585793194208936e-15 6.295250322416018094e-16
1.612966881071722128e+03 -2.752717746321428299e-16 6.668888273136036950e-16
1.616063569178894340e+03 3.404124504667822566e-16 6.161790542412064872e-16
1.619160257286066553e+03 6.366719897541798843e-16 5.637991845868995365e-16
1.622256945393238766e+03 1.831358923303768640e-16 4.572347967216235105e-16
1.625353633500410979e+03 2.365659705677510904e-17 3.876014415163809866e-16
1.628450321607583192e+03 4.354940372869452752e-17 3.633758825014671845e-16
1.631547009714755404e+03 -1.425003379956753871e-16 2.958571553156348926e-16
1.634643697821927617e+03 -5.210463278011699623e-16 2.368012029353308224e-16
1.637740385929099830e+03 -3.253587134598011081e-16 2.328264637938120276e-16
1.640837074036272043e+03 9.139350897166779564e-17 2.487048290349225534e-16
1.643933762143444255e+03 5.103704569802402224e-16 2.704208447092736062e-16
1.647030450250616468e+03 4.861751930470738756e-16 2.545421030857290315e-16
1.650127138357788681e+03 -2.877282613203920045e-17 1.915535084467753633e-16
1.653223826464960894e+03 4.175457290210585043e-17 1.911723250592003464e-16
1.656320514572133106e+03 3.167631223177778381e-16 2.042242632894736185e-16
1.659417202679305319e+03 1.880816267790989137e-16 1.795484915452212879e-16
1.662513890786477532e+03 1.464190275339010986e-16 1.730615805456469109e-16
1.665610578893649745e+03 2.016857581197162137e-16 1.712380902593095463e-16
1.668707267000821957e+03 2.851507437770456506e-17 1.469340913698358170e-16
1.671803955107994170e+03 8.136949351872921337e-17 1.477286895261797698e-16
1.674900643215166383e+03 2.810781881667806913e-16 1.619035869043649755e-16
1.677997331322338596e+03 4.618232196968114581e-16 1.774220640952110836e-16
1.681094019429510809e+03 5.967782797199993637e-16 1.777472037406718575e-16
1.684190707536683021e+03 4.001822899363243886e-16 1.543356530253756960e-16
1.687287395643855234e+03 4.084245942781330572e-16 1.594334737626789915e-16
1.690384083751027447e+03 2.734059247934722051e-16 1.456062823823795002e-16
1.693480771858199660e+03 2.506269820252875606e-16 1.312471385165114803e-16
1.696577459965371872e+03 5.150196562584868591e-16 1.493468186322487856e-16
1.699674148072544085e+03 6.219306095341801197e-16 1.504208205949789979e-16
1.702770836179716298e+03 8.046568897604367597e-16 1.613186253579186936e-16
1.705867524286888511e+03 7.309918392199631310e-16 1.516821420835246966e-16
1.708964212394060723e+03 5.641402628697950014e-16 1.428554383215941473e-16
1.712060900501232936e+03 5.592400438782479608e-16 1.441275967615606440e-16
1.715157588608405149e+03 8.482885426016564530e-16 1.606748040801846872e-16
1.718254276715577362e+03 7.612842746004742321e-16 1.492703551832163896e-16
1.721350964822749575e+03 8.731080375776074063e-16 1.554684445634973016e-16
1.724447652929921787e+03 7.658772271555342606e-16 1.452785387078597238e-16
1.727544341037094000e+03 5.877257637783335768e-16 1.301314849143866124e-16
1.730641029144266213e+03 6.905526441256193413e-16 1.382343203206195886e-16
1.733737717251438426e+03 7.736688868518231782e-16 1.422864883050234642e-16
1.736834405358610638e+03 7.610948027509507854e-16 1.377924955356221935e-16
1.739931093465782851e+03 1.002323101075277090e-15 1.496918288040551541e-16
1.743027781572955064e+03 7.682004618123820502e-16 1.315224127230144536e-16
1.746124469680127277e+03 8.431729643014183198e-16 1.382752285573233092e-16
1.749221157787299489e+03 7.896787541580247669e-16 1.374493612340693599e-16
1.752317845894471702e+03 6.757378628480920744e-16 1.262791752412024344e-16
1.755414534001643915e+03 5.814340508074742004e-16 1.183010793678932728e-16
1.758511222108816128e+03 5.112432644609583317e-16 1.132774665801241153e-16
1.761607910215988340e+03 5.978840167018953517e-16 1.177982342630899818e-16
1.764704598323160553e+03 8.606185997780626870e-16 1.318748866540095599e-16
1.767801286430332766e+03 9.315914416469748784e-16 1.311166971951359781e-16
1.770897974537504979e+03 9.421994781503064622e-16 1.311163454435994044e-16
1.773994662644677192e+03 7.595135118302070466e-16 1.218864934735291361e-16
1.777091350751849404e+03 6.726660307298851390e-16 1.173550601746129068e-16
1.780188038859021617e+03 7.421325684781456366e-16 1.208596143386543935e-16
1.783284726966193830e+03 5.912749283511012829e-16 1.074167858789422288e-16
1.786381415073366043e+03 6.717557460200813325e-16 1.131551893374357523e-16
1.789478103180538255e+03 7.799402611509746463e-16 1.191039637993776182e-16
1.792574791287710468e+03 8.091495736351099247e-16 1.201467584507201322e-16
1.795671479394882681e+03 5.577953723313879400e-16 1.045186167691238944e-16
1.798768167502054894e+03 8.377583071661620899e-16 1.215223711820759872e-16
1.801864855609227106e+03 6.031972500207654046e-16 1.048730821947059889e-16
1.804961543716399319e+03 7.205215027790751715e-16 1.117886192652675403e-16
1.808058231823571532e+03 6.482391248513249806e-16 1.063984125418824282e-16
1.811154919930743745e+03 7.222099029630866669e-16 1.101249497197133805e-16
1.814251608037915958e+03 6.947608873225982092e-16 1.083557383535720803e-16
1.817348296145088170e+03 6.164501489796320464e-16 1.044364275919433082e-16
1.820444984252260383e+03 5.953351807913748142e-16 1.003515068577389035e-16
1.823541672359432596e+03 5.914079630753969702e-16 9.971024836324178835e-17
1.826638360466604809e+03 5.026542165293774791e-16 9.326936019521245818e-17
1.829735048573777021e+03 5.281472160128164669e-16 9.426801820971638971e-17
1.832831736680949234e+03 6.900205199882746908e-16 1.051002496883985262e-16
1.835928424788121447e+03 7.189859301853446616e-16 1.052064561506683701e-16
1.839025112895293660e+03 5.504287372785666285e-16 9.451308707203548218e-17
1.842121801002465872e+03 5.628713418790645747e-16 9.549708206515438530e-17
1.845218489109638085e+03 6.671335410177313537e-16 1.010802407844023387e-16
1.848315177216810298e+03 5.783555424332234258e-16 9.503538150147034838e-17
1.851411865323982511e+03 7.585889995183262144e-16 1.046406797520316681e-16
1.854508553431154724e+03 5.060178325125996690e-16 8.847190569689531655e-17
1.857605241538326936e+03 5.216354844062777003e-16 9.166312024255679389e-17
1.860701929645499149e+03 4.967517118268722108e-16 8.791652637960165349e-17
1.863798617752671362e+03 5.725409480574129197e-16 9.150113245049641542e-17
1.866895305859843575e+03 5.237438710131507253e-16 8.723071933421009366e-17
1.869991993967015787e+03 5.329665668824888415e-16 8.709891599616017588e-17
1.873088682074188000e+03 5.945898378288528339e-16 9.276510342119305763e-17
1.876185370181360213e+03 5.558052552077949549e-16 9.118558092144319534e-17
1.879282058288532426e+03 6.970916802988093155e-16 9.685980566786121223e-17
1.882378746395704638e+03 4.025544886361016336e-16 7.758522303443747807e-17
