# obs_wvl flux error
2.967000000000000000e+03 7.676707881843717468e-15 1.272315696334712538e-15
2.969747009450739824e+03 1.157350761069163797e-14 9.678631625200247763e-16
2.972494018901479649e+03 1.375336960867715969e-14 9.362816981897454538e-16
2.975241028352219473e+03 1.157429027668394166e-14 9.193073147444542619e-16
2.977988037802959298e+03 1.146966053863932399e-14 8.788395716445245997e-16
2.980735047253699122e+03 1.210698230433074751e-14 1.137174301656391666e-15
2.983482056704438946e+03 9.558408247728861728e-15 8.672148892487896033e-16
2.986229066155178771e+03 1.199528585168571142e-14 8.439905524268454110e-16
2.988976075605918595e+03 1.245607998848574388e-14 8.320979600129828011e-16
2.991723085056658419e+03 1.132359416662394108e-14 1.037504108282585168e-15
2.994470094507398244e+03 1.184902467255930790e-14 8.174806978767802773e-16
2.997217103958138068e+03 1.149159133597394344e-14 7.879929251784123096e-16
2.999964113408877893e+03 1.107679856545919427e-14 8.178431945309336517e-16
3.002711122859617717e+03 1.139734065712720032e-14 8.730218142220422401e-16
3.005458132310357541e+03 1.187201663001353902e-14 7.826671049141004273e-16
3.008205141761097366e+03 1.085075740185556977e-14 7.550133089216793171e-16
3.010952151211837190e+03 1.128533460735091108e-14 7.563428870646064188e-16
3.013699160662577015e+03 1.225368640777156457e-14 9.582409238174233479e-16
3.016446170113316839e+03 1.208075897684064016e-14 7.494457993487756475e-16
3.019193179564056663e+03 1.116507892614809059e-14 8.042755301039485384e-16
3.021940189014796488e+03 1.312590592432067665e-14 7.544315352098308219e-16
3.024687198465536312e+03 1.292401492630997201e-14 7.572963801992754947e-16
3.027434207916276137e+03 1.189427975852984699e-14 6.929040670024143833e-16
3.030181217367015961e+03 1.122170774588845724e-14 6.803762160216298114e-16
3.032928226817755785e+03 1.271939617159454176e-14 6.976268964169444885e-16
3.035675236268495610e+03 1.133524512956349943e-14 7.241403889444603248e-16
3.038422245719235434e+03 1.069526814412202018e-14 7.444919096578188083e-16
3.041169255169975258e+03 1.164141428320347183e-14 6.623856438487702139e-16
3.043916264620715083e+03 1.178551127512923184e-14 6.960888075951643876e-16
3.046663274071454907e+03 1.193637960022007423e-14 6.324209660297325355e-16
3.049410283522194732e+03 1.109262127151801268e-14 7.097660371790308561e-16
3.052157292972934556e+03 1.243245491335559203e-14 6.590436918344730422e-16
3.054904302423674380e+03 1.298531889237702285e-14 6.613234964705308262e-16
3.057651311874414205e+03 9.970540761259871963e-15 5.896227908692972995e-16
3.060398321325154029e+03 1.106435222047631699e-14 5.860601205743990887e-16
3.063145330775893854e+03 1.133673359985901484e-14 5.753499182070351109e-16
3.065892340226633678e+03 1.099514100526980348e-14 5.789672118469773215e-16
3.068639349677373502e+03 1.106570968266144607e-14 5.773330905046564008e-16
3.071386359128113327e+03 1.039974952923485019e-14 5.497699221578958466e-16
3.074133368578853151e+03 1.126108133796189277e-14 5.660283301993397810e-16
3.076880378029592976e+03 1.079446558669060826e-14 5.640387732352957853e-16
3.079627387480332800e+03 1.161743020298919975e-14 6.571637209172885788e-16
3.082374396931072624e+03 1.090079974940336004e-14 6.463844218443049846e-16
3.085121406381812449e+03 1.303607505527248470e-14 5.648189030532604724e-16
3.087868415832552273e+03 1.222439987670598391e-14 5.442000789939508305e-16
3.090615425283292097e+03 9.605066827107226034e-15 8.699913699815092111e-16
3.093362434734031922e+03 1.125758589072772411e-14 5.912636658635652422e-16
3.096109444184771746e+03 1.275308391828231162e-14 5.556000624546934347e-16
3.098856453635511571e+03 1.259796124449586569e-14 5.606258078046921663e-16
3.101603463086251395e+03 1.143743357452989284e-14 5.297145173653166517e-16
3.104350472536991219e+03 1.115408414445324134e-14 6.098563325834528885e-16
3.107097481987731044e+03 1.124166421787189759e-14 6.523116878170335690e-16
3.109844491438470868e+03 1.265797692508966233e-14 5.424717623084999679e-16
3.112591500889210693e+03 1.258150644401258384e-14 6.363746934082617754e-16
3.115338510339950517e+03 1.083357710568156334e-14 6.175036212853916671e-16
3.118085519790690341e+03 1.060312043258682019e-14 6.148789692934912750e-16
3.120832529241430166e+03 1.261154603424201463e-14 5.928428860500265790e-16
3.123579538692169990e+03 1.317982213309834357e-14 5.784152758692525391e-16
3.126326548142909814e+03 1.228893081315218774e-14 5.563010619477367159e-16
3.129073557593649639e+03 1.225712545777074502e-14 5.350007864489026714e-16
3.131820567044389463e+03 1.084035232575527742e-14 5.154369880260492321e-16
3.134567576495129288e+03 1.039714516236695489e-14 4.967342570152842296e-16
3.137314585945869112e+03 1.129035132145628920e-14 5.190182799513226623e-16
3.140061595396608936e+03 1.250631453705037596e-14 5.352377226069665923e-16
3.142808604847348761e+03 1.194016624898516910e-14 5.860494017186249277e-16
3.145555614298088585e+03 1.141511855241596882e-14 5.328128289550699711e-16
3.148302623748828410e+03 1.066442721544210539e-14 4.894620478780141545e-16
3.151049633199568234e+03 1.155385652720596846e-14 4.977221364407659332e-16
3.153796642650308058e+03 1.150213051987087107e-14 4.920649165987219338e-16
3.156543652101047883e+03 1.124384494369649176e-14 5.133557413003549649e-16
3.159290661551787707e+03 1.047116499530647978e-14 7.212744605775086696e-16
