# obs_wvl flux error
2.967000000000000000e+03 8.111818259921126984e-15 1.117425598426103080e-15
2.972494020944446675e+03 1.114656043100674680e-14 7.131298800984792610e-16
2.977988041888893349e+03 1.311797364994189308e-14 7.158670271790602015e-16
2.983482062833340024e+03 1.061141965196751695e-14 7.335963283744488616e-16
2.988976083777786698e+03 1.029575262969105094e-14 6.611036127134714551e-16
2.994470104722233373e+03 9.833392764352486919e-15 6.614359216254330061e-16
2.999964125666680047e+03 1.032957797618998216e-14 6.191590945576692745e-16
3.005458146611126722e+03 1.114061554015432485e-14 6.134152638337429900e-16
3.010952167555573396e+03 1.134477231878379058e-14 5.908505847810161764e-16
3.016446188500020071e+03 9.706315338268631324e-15 6.107221366413294423e-16
3.021940209444466745e+03 1.090928289287720677e-14 5.647386705417130763e-16
3.027434230388913420e+03 1.044384532897899266e-14 5.289988777930354214e-16
3.032928251333360095e+03 1.036304953432706726e-14 5.126277897353296850e-16
3.038422272277806769e+03 9.417667588072171751e-15 5.678983093686413147e-16
3.043916293222253444e+03 1.007998930886142134e-14 5.115950110632967214e-16
3.049410314166700118e+03 9.443110363617432574e-15 4.777936063479736263e-16
3.054904335111146793e+03 9.967915781169824356e-15 4.693017100980195581e-16
3.060398356055593467e+03 1.170406206599790740e-14 4.469462477195423371e-16
3.065892377000040142e+03 1.031132370733407199e-14 4.318052030576398926e-16
3.071386397944486816e+03 9.016716079514232302e-15 4.134633545329864109e-16
3.076880418888933491e+03 8.832835901959146431e-15 4.345819839143561534e-16
3.082374439833380166e+03 1.017813734269355121e-14 4.804254274112521954e-16
3.087868460777826840e+03 9.832495918648385715e-15 4.287582883705577092e-16
3.093362481722273515e+03 9.484532893600002031e-15 5.050690426224889135e-16
3.098856502666720189e+03 1.021945441975588071e-14 4.229933877117891139e-16
3.104350523611166864e+03 1.040415926678536574e-14 4.505542233057744021e-16
3.109844544555613538e+03 9.806215469058127936e-15 4.429012683101615568e-16
3.115338565500060213e+03 1.082124069115902971e-14 4.023446623758300343e-16
3.120832586444506887e+03 1.032043984382302994e-14 4.099288039307474646e-16
3.126326607388953562e+03 9.961726883904261186e-15 3.854380245527681467e-16
3.131820628333400236e+03 1.043801987925454930e-14 3.845725128763980257e-16
3.137314649277846911e+03 9.785778161651724621e-15 3.794602296424342156e-16
3.142808670222293586e+03 9.922390664148804661e-15 4.191138657338127267e-16
3.148302691166740260e+03 1.042396349510614601e-14 3.769492936397278168e-16
3.153796712111186935e+03 9.926125515264076958e-15 3.600602334430567705e-16
3.159290733055633609e+03 8.896773518501903209e-15 4.816573919983040845e-16
3.164784754000080284e+03 8.745896358309401115e-15 4.137006928887612750e-16
3.170278774944526958e+03 9.580737667034146457e-15 3.761516687616594665e-16
3.175772795888973633e+03 9.657605786266310615e-15 3.512352499715680047e-16
3.181266816833420307e+03 9.648701935484133035e-15 3.655205723576765424e-16
3.186760837777866982e+03 1.010051861545185928e-14 3.688200507012064646e-16
3.192254858722313656e+03 9.584758489553186269e-15 3.498668589314706739e-16
3.197748879666760331e+03 9.246912403088924280e-15 3.488219536650054729e-16
3.203242900611207006e+03 9.713178044616847251e-15 3.346914657478486222e-16
3.208736921555653680e+03 9.697218644555258044e-15 4.021187698717457999e-16
3.214230942500100355e+03 9.614927637212079433e-15 3.380451214190899008e-16
3.219724963444547029e+03 9.364596736494510153e-15 3.063927256997285838e-16
3.225218984388993704e+03 9.825608454862353446e-15 3.110723792116337693e-16
3.230713005333440378e+03 9.726451698697817640e-15 3.338710451895062793e-16
3.236207026277887053e+03 9.769881213568437437e-15 3.125477536501895520e-16
3.241701047222333727e+03 9.548617042694744788e-15 2.984432496365888702e-16
3.247195068166780402e+03 9.789518647538099235e-15 3.085507030804198197e-16
3.252689089111227077e+03 9.483754816698954991e-15 2.986124359547247187e-16
3.258183110055673751e+03 9.651527511009508182e-15 2.923999998451700023e-16
3.263677131000120426e+03 7.791748452857620163e-15 3.270306208413773950e-16
3.269171151944567100e+03 9.126490660077398692e-15 2.990144883587000746e-16
3.274665172889013775e+03 9.466558247415627837e-15 2.941160635149888734e-16
3.280159193833460449e+03 9.428423301677210260e-15 2.870961745951690272e-16
3.285653214777907124e+03 8.959751762488432710e-15 2.868383548877377401e-16
3.291147235722353798e+03 9.331219019544930968e-15 2.790212425762477147e-16
3.296641256666800473e+03 9.336468401369537793e-15 2.970417772437051231e-16
3.302135277611247147e+03 9.470345209316329579e-15 2.963192778834644803e-16
3.307629298555693822e+03 9.420540362305444190e-15 2.747558880484011155e-16
3.313123319500140497e+03 8.996881494402202879e-15 2.707188615171026297e-16
3.318617340444587171e+03 9.095718863759278406e-15 2.703861596570308815e-16
3.324111361389033846e+03 9.889829509136864788e-15 3.275121907069519698e-16
3.329605382333480520e+03 1.014057283462298454e-14 2.918729986551342994e-16
3.335099403277927195e+03 8.435911234271797787e-15 2.573417689808503657e-16
3.340593424222373869e+03 8.955922754438077109e-15 2.593656920377165627e-16
3.346087445166820544e+03 2.659003422041634533e-14 4.946837539128951408e-16
3.351581466111267218e+03 9.003327787556246088e-15 2.738995699881946000e-16
