# obs_wvl flux error
1.138000000000000000e+03 2.213628026565580611e-14 1.268294147822996010e-14
1.139165600008861929e+03 1.173032633893801860e-14 3.986653209669960732e-15
1.140331200017723859e+03 2.901498351340517070e-15 1.086620798446242747e-15
1.141496800026585788e+03 5.210987162939148625e-15 1.341797431746977144e-15
1.142662400035447718e+03 5.038240261730625490e-15 1.072680469093943180e-15
1.143828000044309647e+03 3.960711516149084914e-15 8.180260321381016057e-16
1.144993600053171576e+03 3.964727463287037946e-15 6.731506048611503164e-16
1.146159200062033506e+03 4.375356559740955427e-15 6.101786523781161910e-16
1.147324800070895435e+03 4.819918830904723912e-15 5.711830854519481561e-16
1.148490400079757364e+03 5.477813989202845636e-15 5.502675147971818097e-16
1.149656000088619294e+03 4.571223197279056599e-15 4.579036610342443111e-16
1.150821600097481223e+03 5.513532267224910264e-15 4.733690723202336945e-16
1.151987200106343153e+03 5.626787991152052896e-15 4.352876651678134391e-16
1.153152800115205082e+03 7.040690740067649056e-15 4.623044177614243936e-16
1.154318400124067011e+03 6.214280562519575557e-15 4.021519647873025187e-16
1.155484000132928941e+03 5.965756842736939411e-15 3.811988172331555001e-16
1.156649600141790870e+03 6.002540238094403011e-15 3.667378460001047536e-16
1.157815200150652799e+03 6.399106815225127240e-15 3.703103369237756985e-16
1.158980800159514729e+03 6.116650072013652354e-15 3.482306137958782061e-16
1.160146400168376658e+03 7.215151636589372703e-15 3.704158481601727638e-16
1.161312000177238588e+03 7.012765294563061599e-15 3.519248615662774304e-16
1.162477600186100517e+03 7.389040639041170869e-15 3.503414763330528239e-16
1.163643200194962446e+03 7.203612590019014553e-15 3.390977329222212748e-16
1.164808800203824376e+03 7.245773753038316231e-15 3.350489447854734024e-16
1.165974400212686305e+03 7.709496619675964497e-15 3.416710316326830812e-16
1.167140000221548235e+03 7.974835553559992047e-15 3.395237594941465993e-16
1.168305600230410164e+03 9.169679403971215379e-15 3.630565080325853042e-16
1.169471200239272093e+03 9.396230864075515646e-15 3.577462115984730305e-16
1.170636800248134023e+03 9.987464371439114993e-15 3.627755053362891072e-16
1.171802400256995952e+03 1.005552580964947704e-14 3.549320823268012501e-16
1.172968000265857881e+03 1.099404032238027321e-14 3.653662374635031489e-16
1.174133600274719811e+03 1.107818450315339777e-14 3.611609895628984880e-16
1.175299200283581740e+03 1.156273513545951848e-14 3.568316544876887015e-16
1.176464800292443670e+03 1.208869632783526003e-14 3.624899596198981277e-16
1.177630400301305599e+03 1.229053005299753235e-14 3.577487529782738171e-16
1.178796000310167528e+03 1.292409620683404343e-14 3.636808018498706669e-16
1.179961600319029458e+03 1.344755829308360980e-14 3.637945643951534806e-16
1.181127200327891387e+03 1.355411548576246509e-14 3.627163707243878142e-16
1.182292800336753317e+03 1.370267301293347957e-14 3.598207547178811630e-16
1.183458400345615246e+03 1.363109071088306535e-14 3.514053816064398661e-16
1.184624000354477175e+03 1.327190268061858654e-14 3.458330115020369089e-16
1.185789600363339105e+03 1.229889500023241148e-14 3.220034457970532525e-16
1.186955200372201034e+03 1.305594465035700497e-14 3.323890307447376867e-16
1.188120800381062963e+03 1.209034532409968624e-14 3.128038380147025271e-16
1.189286400389924893e+03 1.109243270892357778e-14 2.915552373882423892e-16
1.190452000398786822e+03 9.937683217773800215e-15 2.771244869380923412e-16
1.191617600407648752e+03 9.766607620467741654e-15 2.705597075802621163e-16
1.192783200416510681e+03 1.022693485701395067e-14 2.732425092463622473e-16
1.193948800425372610e+03 8.948057636006077827e-15 2.514228894952948032e-16
1.195114400434234540e+03 9.315030191744894243e-15 2.543054375509945009e-16
1.196280000443096469e+03 8.574776749098999231e-15 2.389854273848504165e-16
1.197445600451958398e+03 8.560677571287087847e-15 2.376821192072901553e-16
1.198611200460820328e+03 8.766699490931420237e-15 2.420511332094924281e-16
1.199776800469682257e+03 7.535021916509653731e-15 2.189893647208352657e-16
1.200942400478544187e+03 8.205459281277125526e-15 2.280244994254278190e-16
1.202108000487406116e+03 9.863616879363208303e-15 2.475686929393983211e-16
1.203273600496268045e+03 1.047222181597622332e-14 2.529776006216508998e-16
1.204439200505129975e+03 1.021216679165942515e-14 2.432824759216694144e-16
1.205604800513991904e+03 8.651366851470587969e-15 2.238119001575893479e-16
1.206770400522853834e+03 6.621983664902624297e-15 1.928915006569169085e-16
1.207936000531715763e+03 8.401215664802785229e-15 2.153171333428131632e-16
1.209101600540577692e+03 1.026882989943183169e-14 2.373080374199794416e-16
1.210267200549439622e+03 1.024483844746042849e-14 2.360169126340770685e-16
1.211432800558301551e+03 8.555188873883275379e-15 2.175779754374714404e-16
1.212598400567163480e+03 5.571234496546474624e-15 1.854932684470941617e-16
1.213764000576025410e+03 2.972223411259552695e-15 2.254144857871462466e-16
1.214929600584887339e+03 1.634898137214009071e-15 2.447910815222562435e-16
1.216095200593749269e+03 7.516729636558901793e-16 2.330062578936949355e-16
1.217260800602611198e+03 5.672546946309585824e-16 2.276739581291597987e-16
1.218426400611473127e+03 2.360630809180955220e-16 1.514456938382881410e-16
1.219592000620335057e+03 1.348125940008958471e-16 6.330672900094317147e-17
1.220757600629196986e+03 1.676185614512385036e-16 4.501830664541608415e-17
1.221923200638058916e+03 9.126023412572631174e-17 3.696435738730834646e-17
1.223088800646920845e+03 1.337092098492071442e-16 3.534046056180916790e-17
1.224254400655782774e+03 3.888087090387810597e-16 4.719043676677720544e-17
1.225420000664644704e+03 1.039031365809923683e-15 7.090403755013396303e-17
1.226585600673506633e+03 2.844361923604244325e-15 1.107376818686765887e-16
1.227751200682368562e+03 5.371747606291337896e-15 1.509505445308917763e-16
1.228916800691230492e+03 7.889526588412938130e-15 1.790892538402728820e-16
1.230082400700092421e+03 1.012490510925030838e-14 2.007296171993885822e-16
1.231248000708954351e+03 1.204690921331798614e-14 2.180179625954146372e-16
1.232413600717816280e+03 1.310865074877832936e-14 2.277327279731868807e-16
1.233579200726678209e+03 1.397548680041479017e-14 2.315451990158391853e-16
1.234744800735540139e+03 1.496661175046970763e-14 2.373696710305370321e-16
1.235910400744402068e+03 1.447992867172379088e-14 2.317902106183292711e-16
1.237076000753263997e+03 1.448163106144689555e-14 2.305919612265065466e-16
1.238241600762125927e+03 1.404821830178137063e-14 2.272302687978056586e-16
1.239407200770987856e+03 1.300227441142179769e-14 2.175297240491159216e-16
1.240572800779849786e+03 1.141751697354911435e-14 2.031696694583246572e-16
1.241738400788711715e+03 9.996401295897048694e-15 1.899787102297335452e-16
1.242904000797573644e+03 7.729890718357310498e-15 1.653533413002223165e-16
1.244069600806435574e+03 7.311119214535547601e-15 1.588473243831704752e-16
1.245235200815297503e+03 1.007609394514566167e-14 1.846651065906274712e-16
1.246400800824159433e+03 1.260585508850778222e-14 2.079744135610894568e-16
1.247566400833021362e+03 1.155620879881777627e-14 1.950717310480562837e-16
1.248732000841883291e+03 1.420658413739770549e-14 2.167160233570960182e-16
1.249897600850745221e+03 2.103323259786671967e-14 2.623740591326208799e-16
1.251063200859607150e+03 2.143912424307677329e-14 2.666741414233322615e-16
1.252228800868469079e+03 1.737626255160552442e-14 2.379777002761024445e-16
1.253394400877331009e+03 1.398042283306085325e-14 2.124169315515938192e-16
1.254560000886192938e+03 1.262572606223165602e-14 2.006286499290204302e-16
1.255725600895054868e+03 1.224432445647219917e-14 1.996584504099147885e-16
1.256891200903916797e+03 1.122552169209871545e-14 1.896517673381229196e-16
1.258056800912778726e+03 1.168524215263984270e-14 1.919508396673315776e-16
1.259222400921640656e+03 1.127137074884991164e-14 1.926684954486996039e-16
1.260388000930502585e+03 9.544975422998592808e-15 1.733995421470395470e-16
1.261553600939364514e+03 1.139190055323756984e-14 1.908454871342281826e-16
1.262719200948226444e+03 1.354780836801327259e-14 2.070038471799055460e-16
1.263884800957088373e+03 1.414893033356423931e-14 2.101763480985386345e-16
1.265050400965950303e+03 1.354305866061022953e-14 2.057657214818127872e-16
1.266216000974812232e+03 1.093703495003734551e-14 1.842915464682058788e-16
1.267381600983674161e+03 1.072393827772854285e-14 1.809255613409113372e-16
1.268547200992536091e+03 1.375328492528318924e-14 2.052300953542516384e-16
1.269712801001398020e+03 1.593496866951981535e-14 2.218678469209454899e-16
1.270878401010259950e+03 1.586340068384955725e-14 2.199443445424748370e-16
1.272044001019121879e+03 1.565418964866367883e-14 2.181360198025028125e-16
1.273209601027983808e+03 1.696343374396959672e-14 2.276109628674024894e-16
1.274375201036845738e+03 1.694306826857582497e-14 2.265054812078986726e-16
1.275540801045707667e+03 1.696473744112507037e-14 2.289389436888057635e-16
1.276706401054569596e+03 1.674576720151458105e-14 2.275048872833532625e-16
1.277872001063431526e+03 1.687337382735250864e-14 2.272944107464017354e-16
1.279037601072293455e+03 1.704218056356964082e-14 2.259978346884973367e-16
1.280203201081155385e+03 1.655307910723433150e-14 2.221496137312876684e-16
1.281368801090017314e+03 1.684645200072016401e-14 2.244765747100882694e-16
1.282534401098879243e+03 1.613646008196298678e-14 2.194166484469247537e-16
1.283700001107741173e+03 1.586981714267422674e-14 2.177580531409978456e-16
1.284865601116603102e+03 1.604127636904802403e-14 2.173446327419909976e-16
1.286031201125465032e+03 1.606453610698217674e-14 2.198493797417377629e-16
1.287196801134326961e+03 1.692784633429104815e-14 2.242644483456093968e-16
1.288362401143188890e+03 1.685557458764445211e-14 2.249695273469886157e-16
1.289528001152050820e+03 1.725573634346901396e-14 2.282794083143511132e-16
1.290693601160912749e+03 1.790238199016118012e-14 2.314552294439307539e-16
1.291859201169774678e+03 1.777911633704309919e-14 2.305127850766933669e-16
1.293024801178636608e+03 1.779817335668658662e-14 2.327673238385990118e-16
1.294190401187498537e+03 1.824933363986406783e-14 2.352018531506397223e-16
1.295356001196360467e+03 1.881452821984478963e-14 2.368702632981880449e-16
1.296521601205222396e+03 1.936691472469986654e-14 2.450979434917188581e-16
1.297687201214084325e+03 1.983249819912855230e-14 2.449108467131934021e-16
1.298852801222946255e+03 2.003413208222608819e-14 2.466103364056403993e-16
1.300018401231808184e+03 1.992109265384561089e-14 2.460521255162268654e-16
1.301184001240670113e+03 1.883577905621337727e-14 2.401767608473507815e-16
1.302349601249532043e+03 1.752898791415150640e-14 2.342848162154555377e-16
1.303515201258393972e+03 1.792117828479774175e-14 2.360360412754227273e-16
1.304680801267255902e+03 1.844014091823279197e-14 2.383874983979906126e-16
1.305846401276117831e+03 2.013279845828199620e-14 2.495425346322039521e-16
1.307012001284979760e+03 2.020366840879230038e-14 2.509893258935794148e-16
1.308177601293841690e+03 1.840277908334545240e-14 2.408361574595530172e-16
1.309343201302703619e+03 1.707751180585709793e-14 2.250411449495813804e-16
1.310508801311565549e+03 1.763396146757027491e-14 2.332184741397868721e-16
1.311674401320427478e+03 1.765127617847260105e-14 2.306522528271019628e-16
1.312840001329289407e+03 2.040005455348253198e-14 2.494090987010924072e-16
1.314005601338151337e+03 2.130671511852736800e-14 2.566490488719063370e-16
1.315171201347013266e+03 2.186415413792636645e-14 2.607399839658505128e-16
1.316336801355875195e+03 2.157055829021667042e-14 2.590242399282913527e-16
1.317502401364737125e+03 2.097744576902045572e-14 2.561991341194577886e-16
1.318668001373599054e+03 2.124779761104612885e-14 2.546347499062736518e-16
1.319833601382460984e+03 2.159124476273715417e-14 2.579812969487286327e-16
1.320999201391322913e+03 2.156221775056859670e-14 2.607771026965092435e-16
1.322164801400184842e+03 2.086828097663861692e-14 2.548553562604429029e-16
1.323330401409046772e+03 2.019207209716530049e-14 2.511540093465017752e-16
1.324496001417908701e+03 1.990398072518600819e-14 2.477689141845798038e-16
1.325661601426770630e+03 1.984662841735427718e-14 2.512001357659891601e-16
