# SN2025TIS ofgw01010 G140L MAMA z=0.0050934863682419 a2center=351.8 extrsize=11 exptime=2000.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1113.7361 1119.4089 0.000000e+00 0.000000e+00 -7.004815e-05 2564 0
1114.3168 1119.9925 0.000000e+00 0.000000e+00 -7.004815e-05 2564 0
1114.8974 1120.5762 0.000000e+00 0.000000e+00 4.338977e-04 2564 0
1115.4781 1121.1598 0.000000e+00 0.000000e+00 -7.004815e-05 2564 0
1116.0588 1121.7434 0.000000e+00 0.000000e+00 5.381771e-04 2560 0
1116.6395 1122.3271 0.000000e+00 0.000000e+00 9.914729e-07 512 0
1117.2202 1122.9107 0.000000e+00 0.000000e+00 7.815834e-07 512 0
1117.8008 1123.4943 0.000000e+00 0.000000e+00 3.258643e-04 512 0
1118.3815 1124.0780 0.000000e+00 0.000000e+00 4.517494e-04 512 0
1118.9622 1124.6616 0.000000e+00 0.000000e+00 4.978338e-04 512 0
1119.5429 1125.2452 0.000000e+00 0.000000e+00 1.086998e-03 512 0
1120.1235 1125.8289 0.000000e+00 0.000000e+00 1.041709e-03 512 0
1120.7042 1126.4125 0.000000e+00 0.000000e+00 9.971190e-04 512 0
1121.2849 1126.9961 0.000000e+00 0.000000e+00 9.512365e-04 512 0
1121.8655 1127.5797 0.000000e+00 0.000000e+00 1.393697e-03 512 0
1122.4462 1128.1634 0.000000e+00 0.000000e+00 1.379424e-03 512 0
1123.0269 1128.7470 0.000000e+00 0.000000e+00 1.321103e-03 512 0
1123.6075 1129.3306 0.000000e+00 0.000000e+00 1.797906e-03 512 0
1124.1882 1129.9142 0.000000e+00 0.000000e+00 7.350477e-04 512 0
1124.7688 1130.4978 0.000000e+00 0.000000e+00 1.210049e-03 512 0
1125.3495 1131.0814 0.000000e+00 0.000000e+00 6.506738e-04 512 0
1125.9301 1131.6651 0.000000e+00 0.000000e+00 1.111885e-03 528 0
1126.5108 1132.2487 0.000000e+00 0.000000e+00 5.665161e-04 512 0
1127.0914 1132.8323 0.000000e+00 0.000000e+00 5.235262e-04 512 0
1127.6721 1133.4159 0.000000e+00 0.000000e+00 4.828543e-04 512 0
1128.2527 1133.9995 0.000000e+00 0.000000e+00 4.408178e-04 512 0
1128.8334 1134.5831 0.000000e+00 0.000000e+00 8.913000e-04 512 0
1129.4140 1135.1667 0.000000e+00 0.000000e+00 3.577334e-04 512 0
1129.9947 1135.7503 0.000000e+00 0.000000e+00 2.333650e-03 512 0
1130.5753 1136.3339 0.000000e+00 0.000000e+00 1.825777e-03 512 0
1131.1560 1136.9175 0.000000e+00 0.000000e+00 2.336627e-04 512 0
1131.7366 1137.5011 0.000000e+00 0.000000e+00 1.927365e-04 512 0
1132.3172 1138.0847 0.000000e+00 0.000000e+00 8.376419e-04 512 0
1132.8979 1138.6683 1.736609e-14 1.433922e-14 6.380504e-04 0 0
1133.4785 1139.2519 6.697675e-15 5.866645e-15 5.741017e-04 0 0
1134.0591 1139.8355 3.963090e-15 3.722991e-15 5.340933e-04 0 0
1134.6398 1140.4190 5.574129e-15 3.979486e-15 1.025857e-03 0 0
1135.2204 1141.0026 1.890601e-15 2.081095e-15 4.416362e-04 0 0
1135.8010 1141.5862 8.452703e-15 3.914276e-15 2.516165e-03 0 0
1136.3817 1142.1698 5.655020e-15 2.871167e-15 2.106308e-03 0 0
1136.9623 1142.7534 4.618646e-15 2.310442e-15 2.145084e-03 0 0
1137.5429 1143.3370 5.113193e-15 2.235196e-15 2.912310e-03 0 0
1138.1235 1143.9205 5.419512e-15 2.040926e-15 3.745493e-03 0 0
1138.7041 1144.5041 3.339654e-15 1.502884e-15 2.757605e-03 0 0
1139.2848 1145.0877 3.381959e-15 1.404140e-15 3.282085e-03 0 0
1139.8654 1145.6713 5.881050e-15 1.659596e-15 6.608148e-03 0 0
1140.4460 1146.2548 5.389277e-15 1.506229e-15 6.901172e-03 0 0
1141.0266 1146.8384 5.877016e-15 1.499509e-15 8.467117e-03 0 0
1141.6072 1147.4220 4.092476e-15 1.189274e-15 6.555911e-03 0 0
1142.1878 1148.0055 6.242668e-15 1.373896e-15 1.101316e-02 0 0
1142.7684 1148.5891 5.260108e-15 1.210380e-15 1.014345e-02 0 0
1143.3490 1149.1727 4.868799e-15 1.106940e-15 1.019735e-02 0 0
1143.9297 1149.7562 4.295578e-15 1.022572e-15 9.739803e-03 0 0
1144.5103 1150.3398 6.092851e-15 1.131270e-15 1.490901e-02 0 0
1145.0909 1150.9234 6.447868e-15 1.145278e-15 1.699929e-02 0 0
1145.6715 1151.5069 5.676278e-15 1.017882e-15 1.609562e-02 0 0
1146.2521 1152.0905 5.228136e-15 9.451887e-16 1.590101e-02 0 0
1146.8327 1152.6740 6.854664e-15 1.036102e-15 2.230529e-02 0 0
1147.4133 1153.2576 7.339153e-15 1.055296e-15 2.545105e-02 0 0
1147.9938 1153.8411 7.612649e-15 1.019099e-15 2.803659e-02 0 0
1148.5744 1154.4247 5.976917e-15 8.968085e-16 2.326105e-02 0 0
1149.1550 1155.0082 5.925160e-15 8.653339e-16 2.425728e-02 0 0
1149.7356 1155.5918 6.933371e-15 9.196939e-16 2.970355e-02 0 0
1150.3162 1156.1753 7.068663e-15 8.985220e-16 3.153109e-02 0 0
1150.8968 1156.7589 5.591096e-15 8.064673e-16 2.586695e-02 0 0
1151.4774 1157.3424 7.975178e-15 9.205929e-16 3.811663e-02 0 0
1152.0580 1157.9260 6.512519e-15 8.430490e-16 3.207657e-02 0 0
1152.6386 1158.5095 5.819873e-15 7.769998e-16 2.946400e-02 0 0
1153.2191 1159.0930 5.496779e-15 7.378350e-16 2.857311e-02 0 0
1153.7997 1159.6766 6.559683e-15 7.902850e-16 3.497128e-02 0 0
1154.3803 1160.2601 7.726148e-15 8.535062e-16 4.224347e-02 0 0
1154.9609 1160.8436 6.305863e-15 7.583682e-16 3.536364e-02 0 0
1155.5414 1161.4272 6.648423e-15 7.823524e-16 3.823704e-02 0 0
1156.1220 1162.0107 9.079086e-15 8.894916e-16 5.354938e-02 0 0
1156.7026 1162.5942 6.937856e-15 7.617372e-16 4.194028e-02 0 0
1157.2832 1163.1778 7.954722e-15 8.275185e-16 4.925742e-02 0 0
1157.8637 1163.7613 7.347187e-15 7.515178e-16 4.655625e-02 0 0
1158.4443 1164.3448 7.297261e-15 7.740775e-16 4.726229e-02 0 0
1159.0249 1164.9283 8.066014e-15 7.764581e-16 5.332611e-02 0 0
1159.6054 1165.5118 7.180043e-15 7.411483e-16 4.837054e-02 0 0
1160.1860 1166.0954 8.478668e-15 8.047022e-16 5.814278e-02 0 0
1160.7665 1166.6789 8.733867e-15 8.092518e-16 6.087712e-02 0 0
1161.3471 1167.2624 7.927736e-15 7.539525e-16 5.613995e-02 0 0
1161.9277 1167.8459 1.040990e-14 8.657394e-16 7.484655e-02 16 0
1162.5082 1168.4294 1.060117e-14 8.622966e-16 7.739592e-02 0 0
1163.0888 1169.0129 9.179555e-15 8.001010e-16 6.806675e-02 0 0
1163.6693 1169.5964 9.800524e-15 8.185158e-16 7.385307e-02 0 0
1164.2499 1170.1800 1.025562e-14 8.349819e-16 7.862981e-02 0 0
1164.8304 1170.7635 1.039508e-14 8.308407e-16 8.114050e-02 0 0
1165.4110 1171.3470 1.121955e-14 8.534149e-16 8.927866e-02 0 0
1165.9915 1171.9305 1.023187e-14 8.042616e-16 8.301533e-02 0 0
1166.5721 1172.5140 1.182175e-14 8.600064e-16 9.784874e-02 0 0
1167.1526 1173.0975 1.158401e-14 8.347547e-16 9.778267e-02 0 0
1167.7331 1173.6810 1.184944e-14 8.588531e-16 1.019736e-01 0 0
1168.3137 1174.2645 1.191432e-14 8.333428e-16 1.044515e-01 0 0
1168.8942 1174.8480 1.164586e-14 8.084620e-16 1.038797e-01 0 0
1169.4747 1175.4315 1.204909e-14 8.155467e-16 1.094323e-01 0 0
1170.0553 1176.0149 1.235379e-14 8.314075e-16 1.141599e-01 0 0
1170.6358 1176.5984 1.295049e-14 8.444200e-16 1.216776e-01 0 0
1171.2163 1177.1819 1.327805e-14 8.451012e-16 1.266652e-01 0 0
1171.7969 1177.7654 1.212654e-14 7.952837e-16 1.174043e-01 0 0
1172.3774 1178.3489 1.366780e-14 8.315312e-16 1.341912e-01 0 0
1172.9579 1178.9324 1.341815e-14 8.389351e-16 1.335815e-01 0 0
1173.5385 1179.5159 1.474638e-14 8.609362e-16 1.488330e-01 0 0
1174.1190 1180.0993 1.458407e-14 8.486612e-16 1.492446e-01 0 0
1174.6995 1180.6828 1.427741e-14 8.284569e-16 1.482012e-01 0 0
1175.2800 1181.2663 1.365559e-14 8.278138e-16 1.437905e-01 0 0
1175.8605 1181.8498 1.477643e-14 8.246183e-16 1.578957e-01 0 0
1176.4411 1182.4333 1.507467e-14 8.542144e-16 1.634634e-01 0 0
1177.0216 1183.0167 1.424689e-14 8.067391e-16 1.567909e-01 0 0
1177.6021 1183.6002 1.451946e-14 8.050061e-16 1.621547e-01 0 0
1178.1826 1184.1837 1.281315e-14 7.596450e-16 1.451970e-01 0 0
1178.7631 1184.7671 1.417832e-14 8.018444e-16 1.629920e-01 0 0
1179.3436 1185.3506 1.251625e-14 7.262614e-16 1.459118e-01 0 0
1179.9241 1185.9341 1.197799e-14 7.260229e-16 1.415790e-01 0 0
1180.5046 1186.5175 1.451542e-14 7.758200e-16 1.738928e-01 0 0
1181.0852 1187.1010 1.448186e-14 7.861374e-16 1.758201e-01 0 0
1181.6657 1187.6845 1.137322e-14 6.816444e-16 1.399102e-01 0 0
1182.2462 1188.2679 1.270931e-14 7.220650e-16 1.584135e-01 0 0
1182.8267 1188.8514 1.309184e-14 7.160477e-16 1.653489e-01 0 0
1183.4072 1189.4348 1.202179e-14 6.907336e-16 1.538531e-01 0 0
1183.9877 1190.0183 1.144183e-14 6.650391e-16 1.484205e-01 0 0
1184.5681 1190.6017 9.761368e-15 6.186595e-16 1.283435e-01 0 0
1185.1486 1191.1852 8.323430e-15 5.595895e-16 1.109593e-01 0 0
1185.7291 1191.7686 1.075612e-14 6.319117e-16 1.453736e-01 0 0
