# obs_wvl flux error
1.138000000000000000e+03 3.928071247178560599e-14 2.718435692479134747e-14
1.138582800004430965e+03 2.219625005602229126e-14 1.178162199079509879e-14
1.139165600008861929e+03 9.139763517445801897e-15 4.053925958290059504e-15
1.139748400013292894e+03 5.444320402218725738e-15 2.731596357094181471e-15
1.140331200017723859e+03 1.082906306829824947e-15 5.682620074671837036e-16
1.140914000022154823e+03 2.410166153785648996e-15 1.328026944353966468e-15
1.141496800026585788e+03 4.436407035891716911e-15 1.500480317901900591e-15
1.142079600031016753e+03 7.100806271796152058e-15 1.924686948481292361e-15
1.142662400035447718e+03 4.677130288952338565e-15 1.385079152897922120e-15
1.143245200039878682e+03 4.084049910241464591e-15 1.189203645378639243e-15
1.143828000044309647e+03 4.096362964455297487e-15 1.086564464911610141e-15
1.144410800048740612e+03 3.563865004398903943e-15 8.896544134331847480e-16
1.144993600053171576e+03 3.924059332790478139e-15 8.964844893260350143e-16
1.145576400057602541e+03 4.314420611717169831e-15 8.699326153152452260e-16
1.146159200062033506e+03 4.284179206745752610e-15 7.950484663629551703e-16
1.146742000066464470e+03 4.468507984830315307e-15 7.702758227901764966e-16
1.147324800070895435e+03 4.531046068420631101e-15 7.254281562325922782e-16
1.147907600075326400e+03 5.414052763700784726e-15 7.720534129793540599e-16
1.148490400079757364e+03 5.307721750895212641e-15 7.060295816354871691e-16
1.149073200084188329e+03 5.371517882902028910e-15 6.942109102900498840e-16
1.149656000088619294e+03 4.291140834947575062e-15 5.981235107672336952e-16
1.150238800093050259e+03 4.643699928335696086e-15 5.918961635014976862e-16
1.150821600097481223e+03 5.614268265275950577e-15 6.222103148470895192e-16
1.151404400101912188e+03 5.682558225321120139e-15 6.043140901862639689e-16
1.151987200106343153e+03 5.518486612086866131e-15 5.708969716766780222e-16
1.152570000110774117e+03 6.089908738769394164e-15 5.773167838976734488e-16
1.153152800115205082e+03 7.190493151047362776e-15 6.147791248350357372e-16
1.153735600119636047e+03 7.105805100319768203e-15 5.955538393031407698e-16
1.154318400124067011e+03 5.809423589334526194e-15 5.101349641173321556e-16
1.154901200128497976e+03 6.194253975557298772e-15 5.259422740118252100e-16
1.155484000132928941e+03 6.106152037395124946e-15 5.154836452605564981e-16
1.156066800137359905e+03 5.528301887669224445e-15 4.655851198343666518e-16
1.156649600141790870e+03 5.880626748035790049e-15 4.786874903705437962e-16
1.157232400146221835e+03 6.508860850283817626e-15 4.971693767917566013e-16
1.157815200150652799e+03 6.556990442855054063e-15 4.917455283510217345e-16
1.158398000155083764e+03 5.689750834156146475e-15 4.469511164395261906e-16
1.158980800159514729e+03 6.075916206197303327e-15 4.572957036690718840e-16
1.159563600163945694e+03 6.727809147183526868e-15 4.686867481432260624e-16
1.160146400168376658e+03 7.599803830841089272e-15 5.008735938249909277e-16
1.160729200172807623e+03 6.643333386153869211e-15 4.544032127832355396e-16
1.161312000177238588e+03 6.905475217535048320e-15 4.632634004000828749e-16
1.161894800181669552e+03 7.782114802226057083e-15 4.939913077553185077e-16
1.162477600186100517e+03 7.067021654842034451e-15 4.482138276607970101e-16
1.163060400190531482e+03 7.501773683125006750e-15 4.712896047507635231e-16
1.163643200194962446e+03 7.120004562355618828e-15 4.425208694617323786e-16
1.164226000199393411e+03 7.052519883985795146e-15 4.393760475739981842e-16
1.164808800203824376e+03 7.322411691181556150e-15 4.426807398628474023e-16
1.165391600208255340e+03 7.304695469873580090e-15 4.336976032949362826e-16
1.165974400212686305e+03 7.896610078358509362e-15 4.569677053879952481e-16
1.166557200217117270e+03 7.902519899591561439e-15 4.531733086861227983e-16
1.167140000221548235e+03 7.980848832139270590e-15 4.483197045813479772e-16
1.167722800225979199e+03 8.187511604838810573e-15 4.496425547290663917e-16
1.168305600230410164e+03 9.637516249773994060e-15 4.871538817075250555e-16
1.168888400234841129e+03 8.781397777322835520e-15 4.529041873332617824e-16
1.169471200239272093e+03 9.492991621971843191e-15 4.730727961171732801e-16
1.170054000243703058e+03 9.912617751060689107e-15 4.804523311505701193e-16
1.170636800248134023e+03 1.002690280120771920e-14 4.809436663719086039e-16
1.171219600252564987e+03 1.010005820620190908e-14 4.744096167979230847e-16
1.171802400256995952e+03 1.001120923417374765e-14 4.670769295386005315e-16
1.172385200261426917e+03 1.034194154875560258e-14 4.693218599276053100e-16
1.172968000265857881e+03 1.113445288471743908e-14 4.827810397067450386e-16
1.173550800270288846e+03 1.116682719088066989e-14 4.816631703947355864e-16
1.174133600274719811e+03 1.118812133719645284e-14 4.777958122013607872e-16
1.174716400279150776e+03 1.099277057183732059e-14 4.611880031223246477e-16
1.175299200283581740e+03 1.157973113260550888e-14 4.690678742465684510e-16
1.175882000288012705e+03 1.211277733773249196e-14 4.808991594639752647e-16
1.176464800292443670e+03 1.208567667988942635e-14 4.781926945657603661e-16
1.177047600296874634e+03 1.236261867491469884e-14 4.804915632478662284e-16
1.177630400301305599e+03 1.220265502245691151e-14 4.672525283055734049e-16
1.178213200305736564e+03 1.269233085276440600e-14 4.752348122367457312e-16
1.178796000310167528e+03 1.313467006510292198e-14 4.834709561505054808e-16
1.179378800314598493e+03 1.282253729387751955e-14 4.759587705917855753e-16
1.179961600319029458e+03 1.339756659819573895e-14 4.750721176489176709e-16
1.180544400323460422e+03 1.415325166080760727e-14 4.863413801416598729e-16
1.181127200327891387e+03 1.343231188703011500e-14 4.773093682124020164e-16
1.181710000332322352e+03 1.366531771643680736e-14 4.758605385488782430e-16
1.182292800336753317e+03 1.400832821877534995e-14 4.785968750711613647e-16
1.182875600341184281e+03 1.339531321513790289e-14 4.622367621583180968e-16
1.183458400345615246e+03 1.385114832258258443e-14 4.638686317854531760e-16
1.184041200350046211e+03 1.341649604734547606e-14 4.503442654684979424e-16
1.184624000354477175e+03 1.356703769912709630e-14 4.618478631025491083e-16
1.185206800358908140e+03 1.263307280497202412e-14 4.317210154425364300e-16
1.185789600363339105e+03 1.213059757462737995e-14 4.219948907477850037e-16
1.186372400367770069e+03 1.298479701285216727e-14 4.372862820564027864e-16
1.186955200372201034e+03 1.360620416797804392e-14 4.434996058194873259e-16
1.187538000376631999e+03 1.179485386822604080e-14 4.058335502848400038e-16
1.188120800381062963e+03 1.220578697034058166e-14 4.134217052762213315e-16
1.188703600385493928e+03 1.246156490392046239e-14 4.167685192654737002e-16
1.189286400389924893e+03 1.074044953520890980e-14 3.772971031034126896e-16
1.189869200394355857e+03 1.107758685496383702e-14 3.848793957933246400e-16
1.190452000398786822e+03 1.000907822307682422e-14 3.630088314756347977e-16
1.191034800403217787e+03 8.793583170249530727e-15 3.369836349790712651e-16
1.191617600407648752e+03 1.005029140271152162e-14 3.613291312235186838e-16
1.192200400412079716e+03 1.023053236011717087e-14 3.565628810183550318e-16
1.192783200416510681e+03 1.046536939842719201e-14 3.622569786616106947e-16
1.193366000420941646e+03 9.452126325844262501e-15 3.395169563447827704e-16
1.193948800425372610e+03 8.832073688973393069e-15 3.302555489767955667e-16
1.194531600429803575e+03 9.169659284395809184e-15 3.312732229813772408e-16
1.195114400434234540e+03 9.444454291478849022e-15 3.347733713559774466e-16
1.195697200438665504e+03 9.038985812688243652e-15 3.249467085184129560e-16
1.196280000443096469e+03 8.287865959724811642e-15 3.086822125636888476e-16
1.196862800447527434e+03 8.866488928898259929e-15 3.221711645866941809e-16
1.197445600451958398e+03 8.604763385756764524e-15 3.134460251629419524e-16
1.198028400456389363e+03 8.577385656586479275e-15 3.160459438601212044e-16
1.198611200460820328e+03 9.112171722173386343e-15 3.181689167950017130e-16
1.199194000465251293e+03 7.902318747806097770e-15 2.930085139409374454e-16
1.199776800469682257e+03 7.598742051037549029e-15 2.888382969560607204e-16
1.200359600474113222e+03 7.461469409954166631e-15 2.875441694506525231e-16
1.200942400478544187e+03 8.463593518954493546e-15 3.049226483549895858e-16
1.201525200482975151e+03 9.165952911425850351e-15 3.140309148122493097e-16
1.202108000487406116e+03 1.002477974697347717e-14 3.251980193004751768e-16
1.202690800491837081e+03 1.045032409524835060e-14 3.316268816347248467e-16
1.203273600496268045e+03 1.039709275662813061e-14 3.302730963954295895e-16
1.203856400500699010e+03 1.073318630529702373e-14 3.298711216122799030e-16
1.204439200505129975e+03 1.000915681916907082e-14 3.156049365109075989e-16
1.205022000509560939e+03 1.011170799440819492e-14 3.153472017124922845e-16
1.205604800513991904e+03 8.503977085311635871e-15 2.890155076085463543e-16
1.206187600518422869e+03 6.920026619913157037e-15 2.609921218452012619e-16
1.206770400522853834e+03 6.420257133299570526e-15 2.522117035004884716e-16
1.207353200527284798e+03 7.122048620387173805e-15 2.651139342790524893e-16
1.207936000531715763e+03 8.449098627414708183e-15 2.836939211788951989e-16
1.208518800536146728e+03 1.000975921566719145e-14 3.055154728373867957e-16
1.209101600540577692e+03 1.037258726055365620e-14 3.125898516727561741e-16
1.209684400545008657e+03 1.039617963336556157e-14 3.113546661257395361e-16
1.210267200549439622e+03 1.041976065370797305e-14 3.115968323206103708e-16
1.210850000553870586e+03 9.687088983667365029e-15 2.956290671773920333e-16
1.211432800558301551e+03 8.645729093059236057e-15 2.858975091815159142e-16
1.212015600562732516e+03 7.089272261983116353e-15 2.589756218066896934e-16
1.212598400567163480e+03 5.508635948557963302e-15 2.394350555167463973e-16
1.213181200571594445e+03 4.075104262873029361e-15 2.471737960506054842e-16
1.213764000576025410e+03 2.649875966987217451e-15 3.013413630286230713e-16
1.214346800580456375e+03 2.586683677130765948e-15 3.315354567134912697e-16
1.214929600584887339e+03 1.491195965963411162e-15 3.248547135398382178e-16
1.215512400589318304e+03 1.035343241806285960e-15 3.175184482838512084e-16
1.216095200593749269e+03 6.746445646028003693e-16 3.071073855840655660e-16
1.216678000598180233e+03 7.847832183492731718e-16 3.128693326660305347e-16
1.217260800602611198e+03 5.204866839788327798e-16 3.023240653393237928e-16
1.217843600607042163e+03 4.740125908327378539e-16 2.770715209176919059e-16
1.218426400611473127e+03 1.984186558972980194e-16 1.869520732926153726e-16
1.219009200615904092e+03 5.804006323204180916e-17 1.109299907675020518e-16
1.219592000620335057e+03 1.034300911828693986e-16 7.850148555420896327e-17
1.220174800624766021e+03 1.918827583623722108e-16 6.919819862154773192e-17
1.220757600629196986e+03 1.549779784339509148e-16 5.769013049875279152e-17
1.221340400633627951e+03 1.366318537471691480e-16 5.283735314301768909e-17
1.221923200638058916e+03 6.609025920563574977e-17 4.818773521939986349e-17
1.222506000642489880e+03 1.154411388157512117e-16 4.832324862816941495e-17
1.223088800646920845e+03 1.146415996837539540e-16 4.517382112911680836e-17
1.223671600651351810e+03 2.101529815627118867e-16 4.924655850733163375e-17
1.224254400655782774e+03 4.247458770179196087e-16 6.309866599434797765e-17
1.224837200660213739e+03 5.607969664755854405e-16 7.268815952584907849e-17
1.225420000664644704e+03 1.058015005608576108e-15 9.508158744219194643e-17
1.226002800669075668e+03 1.784996018727108579e-15 1.183237774692616927e-16
1.226585600673506633e+03 2.959990409389094803e-15 1.488379482752546505e-16
1.227168400677937598e+03 4.163792796237029401e-15 1.748098315261608566e-16
1.227751200682368562e+03 5.611050169978166995e-15 2.019886926024651610e-16
1.228334000686799527e+03 6.671911768422399335e-15 2.152924889450473520e-16
1.228916800691230492e+03 7.974978042944194192e-15 2.352948665190794537e-16
1.229499600695661456e+03 9.321979975753512908e-15 2.538108269228570115e-16
1.230082400700092421e+03 1.015544071404788342e-14 2.632884797631110973e-16
1.230665200704523386e+03 1.145257747484260339e-14 2.796289309022399046e-16
1.231248000708954351e+03 1.212845298254927378e-14 2.853944395268034902e-16
1.231830800713385315e+03 1.297516415092115134e-14 2.961960149778869357e-16
1.232413600717816280e+03 1.332431894696836862e-14 3.001184632327849391e-16
