# SN2025XAZ ofhg12010 G230LB CCD z=0.0324396419794725 a2center=410.0 extrsize=7 exptime=1995.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
1614.8441 1667.2291 -6.842685e-15 6.917604e-15 -1.760204e-02 16896 0
1616.1720 1668.6000 7.701010e-15 6.563656e-15 1.692833e-02 0 0
1617.4998 1669.9709 1.717707e-15 6.708555e-15 4.754456e-03 16384 0
1618.8277 1671.3418 -1.578386e-14 6.459662e-15 -4.533951e-02 16400 0
1620.1555 1672.7128 -7.532584e-15 6.490879e-15 -2.243574e-02 16384 0
1621.4834 1674.0837 3.840075e-14 7.459553e-15 8.377269e-02 0 0
1622.8113 1675.4547 3.266436e-14 6.781381e-15 7.660034e-02 0 0
1624.1392 1676.8257 -1.140875e-13 1.468895e-14 -3.785228e-01 16400 0
1625.4671 1678.1967 -3.775142e-14 6.282620e-15 -1.297030e-01 16400 0
1626.7951 1679.5677 4.300177e-15 5.259200e-15 1.528970e-02 16384 0
1628.1230 1680.9388 -1.420606e-13 1.132323e-14 -5.223449e-01 16400 0
1629.4510 1682.3098 -6.628442e-14 7.224332e-15 -2.517865e-01 16400 0
1630.7790 1683.6809 -1.015134e-15 4.976663e-15 -3.979966e-03 16384 0
1632.1070 1685.0520 -7.738941e-15 5.166829e-15 -3.127987e-02 16400 0
1633.4350 1686.4231 6.899103e-15 5.115152e-15 2.871341e-02 16384 0
1634.7630 1687.7942 1.943500e-15 4.265012e-15 8.320373e-03 16384 0
1636.0911 1689.1653 1.282727e-14 4.647205e-15 5.159819e-02 0 0
1637.4191 1690.5364 2.534700e-15 3.910453e-15 1.144327e-02 16384 0
1638.7472 1691.9076 8.162425e-15 3.935559e-15 3.778043e-02 16384 0
1640.0753 1693.2787 7.809939e-15 3.893778e-15 3.703759e-02 16400 0
1641.4034 1694.6499 1.827635e-14 4.062900e-15 7.233849e-02 0 0
1642.7315 1696.0211 5.714620e-15 3.652041e-15 2.837109e-02 16384 0
1644.0596 1697.3923 1.267751e-14 5.002476e-15 5.643172e-02 0 0
1645.3878 1698.7636 -1.904945e-13 1.420303e-14 -9.870945e-01 16400 0
1646.7159 1700.1348 2.005122e-14 3.433277e-15 8.372059e-02 0 0
1648.0441 1701.5061 -3.947707e-16 3.702888e-15 -2.129879e-03 16384 0
1649.3723 1702.8773 9.497525e-16 3.534494e-15 5.223960e-03 16384 0
1650.7005 1704.2486 1.302632e-14 3.088292e-15 6.187635e-02 0 0
1652.0287 1705.6199 5.169938e-15 2.967416e-15 2.951478e-02 16384 0
1653.3569 1706.9912 2.139407e-15 3.060990e-15 1.243541e-02 16384 0
1654.6852 1708.3626 6.640115e-15 3.961707e-15 3.927698e-02 16400 0
1656.0134 1709.7339 -4.170021e-13 1.886451e-14 -2.509206e+00 16400 0
1657.3417 1711.1053 6.793801e-15 3.611706e-15 4.156816e-02 16384 0
1658.6700 1712.4767 -1.102384e-13 7.673504e-15 -6.856033e-01 16400 0
1659.9983 1713.8480 -2.271927e-15 2.989959e-15 -1.435751e-02 16384 0
1661.3266 1715.2194 1.393329e-14 3.007555e-15 7.237300e-02 0 0
1662.6549 1716.5909 -8.965711e-14 7.273679e-15 -5.844582e-01 16400 0
1663.9833 1717.9623 -4.551209e-14 5.509483e-15 -3.011825e-01 16400 0
1665.3116 1719.3337 3.540691e-15 2.759379e-15 2.378088e-02 16384 0
1666.6400 1720.7052 -6.482349e-15 3.042471e-15 -4.417662e-02 16400 0
1667.9684 1722.0767 -8.333030e-15 3.099872e-15 -5.760971e-02 16400 0
1669.2968 1723.4482 8.654400e-15 2.797866e-15 5.347933e-02 0 0
1670.6252 1724.8197 -4.347869e-15 2.732047e-15 -3.091256e-02 16384 0
1671.9536 1726.1912 -1.619801e-13 9.847264e-15 -1.167548e+00 16400 0
1673.2820 1727.5627 2.270508e-15 2.303923e-15 1.658912e-02 16384 0
1674.6105 1728.9343 2.352207e-15 2.489628e-15 1.741734e-02 16384 0
1675.9390 1730.3058 -4.200136e-15 2.583395e-15 -3.151522e-02 16384 0
1677.2674 1731.6774 -2.118070e-14 3.717689e-15 -1.610229e-01 16400 0
