epoch,detector,grating,scale,slope,intercept,factor
2026-01-26_day6,MAMA,G140L,none,None,None,None
2026-01-26_day6,MAMA,G230L,none,None,None,None
2026-01-26_day6,CCD,G430L,none,None,None,None
2026-01-27_day7,MAMA,G140L,none,None,None,None
2026-01-27_day7,MAMA,G230L,none,None,None,None
2026-01-27_day7,CCD,G430L,none,None,None,None
2026-01-28_day8,MAMA,G140L,none,None,None,None
2026-01-28_day8,MAMA,G230L,none,None,None,None
2026-01-28_day8,CCD,G430L,none,None,None,None
2026-02-03_day14,MAMA,G140L,none,None,None,None
