# obs_wvl flux error
2.967000000000000000e+03 9.539157997035842274e-15 3.841156772944323214e-16
2.969746944380054174e+03 9.641395732433000089e-15 2.779889301646975439e-16
2.972493888760108348e+03 9.653645016021823660e-15 2.570667661053882322e-16
2.975240833140162522e+03 9.787432631111049140e-15 2.480357703053300488e-16
2.977987777520216696e+03 1.026126880686697325e-14 2.544954629846489958e-16
2.980734721900270870e+03 9.826453547560422713e-15 3.135342443712933040e-16
2.983481666280325044e+03 9.487812864157652076e-15 3.011214574681044643e-16
2.986228610660379218e+03 9.701023358070044889e-15 2.737792962073537969e-16
2.988975555040433392e+03 9.543682882564003810e-15 2.847914769457052769e-16
2.991722499420487566e+03 9.806699563404904181e-15 3.898211620522673791e-16
2.994469443800541740e+03 9.777213986350761246e-15 2.905230998012238836e-16
2.997216388180595914e+03 9.644863343166756369e-15 2.444649837576519729e-16
2.999963332560650088e+03 1.021999007010191592e-14 2.578716198980759580e-16
3.002710276940704262e+03 1.079846059704469339e-14 2.992495364073030218e-16
3.005457221320758435e+03 9.941111850920411344e-15 2.441657114072201408e-16
3.008204165700812609e+03 9.613900932310684935e-15 2.220431454517927008e-16
3.010951110080866783e+03 9.657171266905028548e-15 2.260364467158278074e-16
3.013698054460920957e+03 8.968046219091510057e-15 3.621049918102778040e-16
3.016444998840975131e+03 9.191664143237631879e-15 2.587005528095180980e-16
3.019191943221029305e+03 1.011031417992223018e-14 2.674419979098663882e-16
3.021938887601083479e+03 1.008708031360254766e-14 2.333669520485215821e-16
3.024685831981137653e+03 9.749343466992583899e-15 2.372756797571413023e-16
3.027432776361191827e+03 9.288986677091130734e-15 2.084232486170816946e-16
3.030179720741246001e+03 8.648401930025553101e-15 2.053411316515403753e-16
3.032926665121300175e+03 9.357451993524928976e-15 2.016910758211567556e-16
3.035673609501354349e+03 1.004782030506592115e-14 2.428678875418151263e-16
3.038420553881408523e+03 9.481238634829228638e-15 2.608640043093633032e-16
3.041167498261462697e+03 9.509483981773728630e-15 2.099810357221896092e-16
3.043914442641516871e+03 9.611494739058562595e-15 2.044836507049412709e-16
3.046661387021571045e+03 9.403744567290025347e-15 2.011938484699409124e-16
3.049408331401625219e+03 9.328182794556240043e-15 2.235822715726109896e-16
3.052155275781679393e+03 9.297727026414494124e-15 1.965790202023818317e-16
3.054902220161733567e+03 9.489721267244017078e-15 2.182740214864328404e-16
3.057649164541787741e+03 9.253591167429482877e-15 1.842331623432172334e-16
3.060396108921841915e+03 9.526701110061498577e-15 1.757907141726797465e-16
3.063143053301896089e+03 9.034419380484562443e-15 1.998729833088590834e-16
3.065889997681950263e+03 8.498343765371491236e-15 1.882867870241134815e-16
3.068636942062004437e+03 8.709068938258694003e-15 1.840176811818114587e-16
3.071383886442058611e+03 8.774424340830558818e-15 1.691268311122929424e-16
3.074130830822112785e+03 8.873309516415669964e-15 1.773797168297018434e-16
3.076877775202166958e+03 8.800226623470626326e-15 1.785990402746212495e-16
3.079624719582221132e+03 8.710734169535528444e-15 2.305350925947906515e-16
3.082371663962275306e+03 8.641748043481070428e-15 2.470589422940946409e-16
3.085118608342329480e+03 9.008084682991824580e-15 1.832527789877595336e-16
3.087865552722383654e+03 9.037924179093926965e-15 1.593362482896616995e-16
3.090612497102437828e+03 8.474525296051393155e-15 1.797621152685355985e-16
3.093359441482492002e+03 8.865251576029791599e-15 1.782869260918456111e-16
3.096106385862546176e+03 9.303621701914128378e-15 1.635915840898184233e-16
3.098853330242600350e+03 9.452917794825506515e-15 1.738357403798473071e-16
3.101600274622654524e+03 9.089415506045983127e-15 1.707737364057453064e-16
3.104347219002708698e+03 9.246718784216399145e-15 2.114342926961863124e-16
3.107094163382762872e+03 8.952830587499322631e-15 2.431935174063339311e-16
3.109841107762817046e+03 8.948680131587746726e-15 1.787081894359036162e-16
3.112588052142871220e+03 9.139438412770748849e-15 1.668859374401776482e-16
3.115334996522925394e+03 9.335835292207194868e-15 1.658392584776525855e-16
3.118081940902979568e+03 9.403322311904410708e-15 1.740909508580591048e-16
3.120828885283033742e+03 9.317567092086596448e-15 1.909280693563808422e-16
3.123575829663087916e+03 9.267044219916278227e-15 1.672711724415321840e-16
3.126322774043142090e+03 9.076338426102530708e-15 1.618398787792577466e-16
3.129069718423196264e+03 8.935402115504692321e-15 1.670623401881642255e-16
3.131816662803250438e+03 9.266021034903325542e-15 1.728376842312995070e-16
3.134563607183304612e+03 9.001744390744958639e-15 1.571108315868715630e-16
3.137310551563358786e+03 9.067494421941166734e-15 1.775162297338303549e-16
3.140057495943412960e+03 9.285167118307713392e-15 1.800557742424929706e-16
3.142804440323467134e+03 9.132607433763283409e-15 2.343109447766182896e-16
3.145551384703521308e+03 8.667006902147426272e-15 2.004461164098850881e-16
3.148298329083575481e+03 8.689745425119308587e-15 1.728286940852411623e-16
3.151045273463629655e+03 8.904215460653251168e-15 1.685406961568880073e-16
3.153792217843683829e+03 9.138828201171312276e-15 1.547911168544455071e-16
3.156539162223738003e+03 8.866155992861708521e-15 1.898030881905926836e-16
3.159286106603792177e+03 8.012107504917211020e-15 3.911961634090140621e-16
3.162033050983846351e+03 8.599643277634657816e-15 2.310348486499581330e-16
3.164779995363900525e+03 9.096355334614443654e-15 2.043639801995491501e-16
3.167526939743954699e+03 8.867305505233322314e-15 1.718030598016584207e-16
3.170273884124008873e+03 8.982535228685283911e-15 1.641691349811999618e-16
3.173020828504063047e+03 8.691416469711115366e-15 1.590401200093800442e-16
3.175767772884117221e+03 8.702346882362774553e-15 1.656174254681757707e-16
3.178514717264171395e+03 9.093506981779007831e-15 2.100792828132635531e-16
3.181261661644225569e+03 8.979139712074466196e-15 1.693244927162852365e-16
3.184008606024279743e+03 9.333505232189940735e-15 1.753747383981136174e-16
3.186755550404333917e+03 9.213203802558815505e-15 1.966556048759180982e-16
3.189502494784388091e+03 8.758381364981402496e-15 1.642561050769019495e-16
3.192249439164442265e+03 9.010837364859368963e-15 1.442526349291022068e-16
3.194996383544496439e+03 8.856715900257324085e-15 1.541734588428741149e-16
3.197743327924550613e+03 8.642852782150902530e-15 1.714766444508030648e-16
3.200490272304604787e+03 8.671238899698892057e-15 1.560318291798918795e-16
3.203237216684658961e+03 9.181871083071994016e-15 1.403676976919045866e-16
3.205984161064713135e+03 9.079223886540215550e-15 1.547546567873522284e-16
3.208731105444767309e+03 9.164506924467251520e-15 1.993693436409135463e-16
3.211478049824821483e+03 9.083299818610238435e-15 1.629003595985993486e-16
3.214224994204875657e+03 8.941242515586701550e-15 1.583471967829503465e-16
3.216971938584929831e+03 9.008058557343730352e-15 1.375330283199203663e-16
3.219718882964984005e+03 8.964003120014676704e-15 1.458967608335723884e-16
3.222465827345038178e+03 8.715139671054417431e-15 1.616373397573208070e-16
3.225212771725092352e+03 8.869321619241148969e-15 1.413227356013727504e-16
3.227959716105146526e+03 8.886916730519589793e-15 1.439593903991660218e-16
3.230706660485200700e+03 8.987917423031479641e-15 1.749478172067079116e-16
3.233453604865254874e+03 8.801402031919351659e-15 1.520988763639125517e-16
3.236200549245309048e+03 9.306248523953880091e-15 1.475763572955946901e-16
3.238947493625363222e+03 9.051720983844459299e-15 1.485596195032310032e-16
3.241694438005417396e+03 8.756172022411814502e-15 1.326785035605446915e-16
3.244441382385471570e+03 8.419668146122247075e-15 1.695744215321867181e-16
3.247188326765525744e+03 8.478162815874625054e-15 1.500696387891320190e-16
3.249935271145579918e+03 8.478439459627751398e-15 1.414311789049945253e-16
3.252682215525634092e+03 9.011067421571423132e-15 1.323887908585274685e-16
3.255429159905688266e+03 8.893759214394299705e-15 1.435026529520203855e-16
3.258176104285742440e+03 8.817184094123831402e-15 1.412720152090215484e-16
3.260923048665796614e+03 8.596310388822349964e-15 1.401311632074137373e-16
3.263669993045850788e+03 8.811764586390740668e-15 1.605290354189910389e-16
3.266416937425904962e+03 8.784604701461938271e-15 1.438974337177680554e-16
3.269163881805959136e+03 8.818787018757646245e-15 1.325416699439140852e-16
3.271910826186013310e+03 8.966488291902257407e-15 1.264160069785760271e-16
3.274657770566067484e+03 9.024214718075842725e-15 1.230471316466381504e-16
3.277404714946121658e+03 8.853371701487383255e-15 1.249770671664712579e-16
3.280151659326175832e+03 8.474916890001889157e-15 1.388143931342857599e-16
3.282898603706230006e+03 8.562738769400390972e-15 1.505529192119850423e-16
3.285645548086284180e+03 8.630143179732812486e-15 1.387142223185456415e-16
3.288392492466338354e+03 8.138724510309963783e-15 1.479543039680569632e-16
3.291139436846392528e+03 8.290564047403527068e-15 1.518397897734445778e-16
3.293886381226446701e+03 8.736257614467471678e-15 1.263361665360118976e-16
3.296633325606500875e+03 8.931961700887443059e-15 1.357631204566750209e-16
3.299380269986555049e+03 8.512208157323006692e-15 1.331802287030423495e-16
3.302127214366609223e+03 8.436365292208858970e-15 1.322022721049777475e-16
3.304874158746663397e+03 8.222744378942457781e-15 1.322878189974675388e-16
3.307621103126717571e+03 8.364999649515031300e-15 1.330118674305927141e-16
3.310368047506771745e+03 8.605276831757735782e-15 1.335650327681221131e-16
3.313114991886825919e+03 8.718622924955833972e-15 1.261541912399149789e-16
3.315861936266880093e+03 8.490962530126811523e-15 1.280117269862605902e-16
3.318608880646934267e+03 8.439400391299256041e-15 1.312265996936227541e-16
3.321355825026988441e+03 8.490993816127219569e-15 1.337234954976638657e-16
3.324102769407042615e+03 8.654055669095862893e-15 1.810858081004491355e-16
3.326849713787096789e+03 8.428416179130465145e-15 1.594104621915207269e-16
3.329596658167150963e+03 8.567322850643195399e-15 1.546637920735284976e-16
3.332343602547205137e+03 8.803099533895505482e-15 1.314866426087385897e-16
3.335090546927259311e+03 8.656382589465724216e-15 1.249673609877671972e-16
3.337837491307313485e+03 8.372013731215655415e-15 1.235916341641630975e-16
3.340584435687367659e+03 8.284450506830707783e-15 1.239315112140330440e-16
3.343331380067421833e+03 8.349986433541232571e-15 1.329947828634007266e-16
3.346078324447476007e+03 2.274762262682020401e-14 2.837081965695141158e-16
3.348825268827530181e+03 1.590308860053302985e-14 1.746453999890444752e-16
3.351572213207584355e+03 8.662034931357033990e-15 1.137673614923460618e-16
3.354319157587638529e+03 8.770021862239105286e-15 1.240759879778443772e-16
3.357066101967692703e+03 8.744196538666288059e-15 1.179643354539949792e-16
3.359813046347746877e+03 8.795585132281645171e-15 1.244727493856217184e-16
3.362559990727801051e+03 8.682535464648339320e-15 1.238412329722607827e-16
3.365306935107855224e+03 8.797719746292613823e-15 1.129509635666184508e-16
3.368053879487909398e+03 8.697656108163875087e-15 1.325915637578878354e-16
3.370800823867963572e+03 8.408121271000505592e-15 1.140874300594720415e-16
3.373547768248017746e+03 8.346787477819206404e-15 1.230153506118462612e-16
3.376294712628071920e+03 8.380077227191314381e-15 1.218482233318017080e-16
3.379041657008126094e+03 8.326683862538731040e-15 1.184188195009998466e-16
3.381788601388180268e+03 8.380303457041050868e-15 1.094346218502320147e-16
3.384535545768234442e+03 8.332057583844382265e-15 1.154995881226916732e-16
3.387282490148288616e+03 7.998134509585756949e-15 1.598183984981497159e-16
3.390029434528342790e+03 8.577349318314644981e-15 1.455318622692576972e-16
3.392776378908396964e+03 8.694696309957395725e-15 1.137502377961761566e-16
3.395523323288451138e+03 8.615677583751884834e-15 1.135415364164240983e-16
3.398270267668505312e+03 8.544955920033007380e-15 1.205137697655478731e-16
3.401017212048559486e+03 8.565466829763940183e-15 1.244655667262430087e-16
3.403764156428613660e+03 8.543915244119913908e-15 1.249357228271897939e-16
3.406511100808667834e+03 8.326651369801943328e-15 1.120795883483264376e-16
3.409258045188722008e+03 8.570558980753755375e-15 1.137080680625276452e-16
3.412004989568776182e+03 8.512726068626359365e-15 1.142339398766698953e-16
3.414751933948830356e+03 8.377602915222038865e-15 1.181748032472798777e-16
3.417498878328884530e+03 8.409058004391986029e-15 1.384185451896156161e-16
3.420245822708938704e+03 8.406731644590547796e-15 1.205943818354832240e-16
3.422992767088992878e+03 8.456623361952601065e-15 1.070108011066745774e-16
3.425739711469047052e+03 8.323605724779216329e-15 1.109837228605345551e-16
3.428486655849101226e+03 8.266691724579037706e-15 1.160165548407177803e-16
3.431233600229155400e+03 8.207274577021772904e-15 1.201342028266988546e-16
3.433980544609209574e+03 8.393741260846695024e-15 1.215150918650131162e-16
3.436727488989263747e+03 8.502227537016939603e-15 1.182668149958627238e-16
3.439474433369317921e+03 8.125754728000546729e-15 1.189775974656840342e-16
3.442221377749372095e+03 8.093114706654615455e-15 1.165415619049437117e-16
3.444968322129426269e+03 8.366703354984528308e-15 1.176262132599324311e-16
3.447715266509480443e+03 8.595149389610714655e-15 1.111019432943800878e-16
3.450462210889534617e+03 8.465635846235111629e-15 1.007873295229505369e-16
3.453209155269588791e+03 8.355897862467789178e-15 1.333607715082082957e-16
3.455956099649642965e+03 8.119519622662018143e-15 1.073736401895074688e-16
