# SN2026AYT ofqu08010 G140L MAMA z=0.0036 a2center=381.3 extrsize=11 exptime=2000.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1115.8363 1119.8533 0.000000e+00 0.000000e+00 -7.002208e-05 2564 0
1116.4180 1120.4371 0.000000e+00 0.000000e+00 -7.002208e-05 2564 0
1116.9996 1121.0208 0.000000e+00 0.000000e+00 -7.002208e-05 2564 0
1117.5813 1121.6046 0.000000e+00 0.000000e+00 -7.002208e-05 2564 0
1118.1630 1122.1884 0.000000e+00 0.000000e+00 2.635861e-07 2560 0
1118.7447 1122.7721 0.000000e+00 0.000000e+00 -9.531432e-07 512 0
1119.3263 1123.3559 0.000000e+00 0.000000e+00 1.722322e-04 528 0
1119.9080 1123.9397 0.000000e+00 0.000000e+00 -1.556131e-06 512 0
1120.4897 1124.5234 0.000000e+00 0.000000e+00 -3.509340e-07 512 0
1121.0713 1125.1072 0.000000e+00 0.000000e+00 -1.885906e-06 512 0
1121.6530 1125.6910 0.000000e+00 0.000000e+00 1.350174e-03 512 0
1122.2347 1126.2747 0.000000e+00 0.000000e+00 1.321357e-03 512 0
1122.8163 1126.8585 0.000000e+00 0.000000e+00 1.804157e-03 512 0
1123.3980 1127.4422 0.000000e+00 0.000000e+00 1.261798e-03 512 0
1123.9797 1128.0260 0.000000e+00 0.000000e+00 1.239237e-03 512 0
1124.5613 1128.6097 0.000000e+00 0.000000e+00 1.206826e-03 512 0
1125.1430 1129.1935 0.000000e+00 0.000000e+00 1.182220e-03 512 0
1125.7246 1129.7772 0.000000e+00 0.000000e+00 1.153318e-03 512 0
1126.3063 1130.3610 0.000000e+00 0.000000e+00 1.125418e-03 512 0
1126.8879 1130.9447 0.000000e+00 0.000000e+00 1.097881e-03 512 0
1127.4696 1131.5285 0.000000e+00 0.000000e+00 1.072194e-03 512 0
1128.0512 1132.1122 0.000000e+00 0.000000e+00 2.053940e-03 512 0
1128.6329 1132.6960 0.000000e+00 0.000000e+00 1.017540e-03 512 0
1129.2145 1133.2797 0.000000e+00 0.000000e+00 1.513310e-03 512 0
1129.7962 1133.8635 0.000000e+00 0.000000e+00 9.650266e-04 512 0
1130.3778 1134.4472 0.000000e+00 0.000000e+00 9.371607e-04 512 0
1130.9595 1135.0309 0.000000e+00 0.000000e+00 1.427572e-03 512 0
1131.5411 1135.6147 0.000000e+00 0.000000e+00 8.840635e-04 512 0
1132.1228 1136.1984 0.000000e+00 0.000000e+00 1.389928e-03 512 0
1132.7044 1136.7821 0.000000e+00 0.000000e+00 8.298371e-04 512 0
1133.2860 1137.3659 0.000000e+00 0.000000e+00 8.036556e-04 512 0
1133.8677 1137.9496 0.000000e+00 0.000000e+00 1.269889e-03 512 0
1134.4493 1138.5333 2.669715e-14 4.699486e-18 7.521208e-04 0 0
1135.0309 1139.1170 9.393532e-15 1.782788e-18 7.238868e-04 0 0
1135.6126 1139.7008 5.536162e-15 1.092627e-18 6.977061e-04 0 0
1136.1942 1140.2845 3.848167e-15 7.532581e-19 6.740650e-04 0 0
1136.7758 1140.8682 2.872892e-15 6.181242e-19 6.452870e-04 0 0
1137.3574 1141.4519 2.195557e-15 4.483347e-19 6.241703e-04 0 0
1137.9391 1142.0357 3.097413e-15 1.443973e-15 1.111703e-03 0 0
1138.5207 1142.6194 2.389903e-15 1.106840e-15 1.064933e-03 0 0
1139.1023 1143.2031 2.059180e-15 9.849888e-16 1.133561e-03 0 0
1139.6839 1143.7868 7.738024e-16 2.118093e-19 5.160400e-04 0 0
1140.2656 1144.3705 6.158873e-16 1.677199e-19 4.934450e-04 0 0
1140.8472 1144.9542 4.967497e-16 1.422388e-19 4.682681e-04 0 0
1141.4288 1145.5379 4.026016e-16 1.268451e-19 4.410463e-04 0 0
1142.0104 1146.1216 3.338683e-16 1.077307e-19 4.176967e-04 0 0
1142.5920 1146.7053 2.784493e-16 9.501918e-20 3.928662e-04 0 0
1143.1736 1147.2891 2.326388e-16 8.879602e-20 3.656301e-04 0 0
1143.7552 1147.8728 1.964452e-16 8.090746e-20 3.405453e-04 0 0
1144.3368 1148.4565 1.675731e-16 7.120022e-20 3.178807e-04 0 0
1144.9185 1149.0402 1.417862e-16 6.647293e-20 2.924559e-04 0 0
1145.5001 1149.6239 5.569189e-16 3.087251e-16 1.243722e-03 0 0
1146.0817 1150.2076 1.000572e-16 5.847715e-20 2.413768e-04 0 0
1146.6633 1150.7912 8.574069e-17 4.885391e-20 2.227885e-04 0 0
1147.2449 1151.3749 8.177351e-16 3.744646e-16 2.287314e-03 0 0
1147.8265 1151.9586 3.886543e-16 2.337992e-16 1.166182e-03 0 0
1148.4081 1152.5423 6.497246e-16 3.091259e-16 2.087367e-03 0 0
1148.9897 1153.1260 3.206219e-16 2.010367e-16 1.098432e-03 0 0
1149.5713 1153.7097 4.503479e-16 2.446226e-16 1.639499e-03 0 0
1150.1528 1154.2934 2.690095e-16 1.759972e-16 1.036073e-03 0 0
1150.7344 1154.8771 3.636501e-16 2.090762e-16 1.473918e-03 0 0
1151.3160 1155.4608 6.629221e-18 3.090709e-20 2.815718e-05 0 0
1151.8976 1156.0444 4.476982e-16 2.234415e-16 1.980433e-03 0 0
