# obs_wvl flux error
2.968000000000000000e+03 2.975892339367663592e-15 6.532330387975163578e-16
2.973493239074394296e+03 3.228026541731609983e-15 4.626007688675869387e-16
2.978986478148788592e+03 3.145376216530912910e-15 4.700883049466918586e-16
2.984479717223182888e+03 3.205610620700541542e-15 4.682902323963099734e-16
2.989972956297577184e+03 3.172242090316975818e-15 4.048512226531882466e-16
2.995466195371971480e+03 3.135988502070047315e-15 3.958195726308865379e-16
3.000959434446365776e+03 1.926319077798883107e-15 4.482735531755053760e-16
3.006452673520760072e+03 1.974117534617167251e-15 4.784112799407075222e-16
3.011945912595154368e+03 2.545895555490793189e-15 3.852845219395075675e-16
3.017439151669548664e+03 2.896310868589576027e-15 3.998560971420478224e-16
3.022932390743942960e+03 3.291412884216965469e-15 3.837432206255154334e-16
3.028425629818337256e+03 3.096501998207419459e-15 3.397727490032192182e-16
3.033918868892731552e+03 3.107855739212870995e-15 3.374684377439998789e-16
3.039412107967125849e+03 2.836004823615048434e-15 3.199116659673344745e-16
3.044905347041520145e+03 2.879379681593164077e-15 3.005934769074215270e-16
3.050398586115914441e+03 2.739668202405116336e-15 2.931879621736027454e-16
3.055891825190308737e+03 3.073789219213424761e-15 3.091180716253593794e-16
3.061385064264703033e+03 2.757292272601416617e-15 2.786684154279115727e-16
3.066878303339097329e+03 2.116283066432533130e-15 2.642290752618033856e-16
3.072371542413491625e+03 2.765738532643644984e-15 2.622954189752725227e-16
3.077864781487885921e+03 2.086018596900596051e-15 2.790196664094295353e-16
3.083358020562280217e+03 3.099234597165308440e-15 3.302391859753392088e-16
3.088851259636674513e+03 3.023376532593148367e-15 2.610303575048649626e-16
3.094344498711068809e+03 2.648263869778889248e-15 2.535735776612405987e-16
3.099837737785463105e+03 2.902482747623152704e-15 2.442524709634021234e-16
3.105330976859857401e+03 2.892838552240055492e-15 2.469304714342061360e-16
3.110824215934251697e+03 3.201146865328063322e-15 2.647816669465071161e-16
3.116317455008645993e+03 2.810996297218881526e-15 2.754429562018714533e-16
3.121810694083040289e+03 2.754347532911738385e-15 2.359083788670116074e-16
3.127303933157434585e+03 2.617322476468224018e-15 2.359770734360436395e-16
3.132797172231828881e+03 2.871237264906025160e-15 2.454641578733317660e-16
