# obs_wvl flux error
2.968000000000000000e+03 3.156822972989812952e-15 1.571424946987715996e-15
2.970746603450083057e+03 3.523748297954284118e-15 1.498355664185621956e-15
2.973493206900166115e+03 1.275279847226592362e-15 1.407895377770425368e-15
2.976239810350249172e+03 -1.285553350365808550e-15 1.495105000245606187e-15
2.978986413800332230e+03 3.405256427650583578e-15 1.384616736094326781e-15
2.981733017250415287e+03 3.426933273367194947e-16 1.564096104776837389e-15
2.984479620700498344e+03 9.549452771054347791e-16 1.353332748268252843e-15
2.987226224150581402e+03 2.892298139206848896e-15 1.280872484626502752e-15
2.989972827600664459e+03 1.886813224998810593e-15 1.258785178521155563e-15
2.992719431050747517e+03 7.450141449365537358e-17 1.226589109333935196e-15
2.995466034500830574e+03 3.910667402642378522e-15 1.251218025080215525e-15
2.998212637950913631e+03 5.755467006111271481e-16 1.197887355758416701e-15
3.000959241400996689e+03 1.960666281437053955e-15 1.246057932885281791e-15
3.003705844851079746e+03 1.283665045626417204e-15 1.874719620364887504e-15
3.006452448301162804e+03 9.182583300659203340e-16 1.165916872333435562e-15
3.009199051751245861e+03 1.022467708537282913e-15 1.152061322979607696e-15
3.011945655201328918e+03 1.668526981741503404e-15 1.175124916958819878e-15
3.014692258651411976e+03 1.173520904760324553e-15 1.412334243973213558e-15
3.017438862101495033e+03 1.493978621613056984e-15 1.096957631143393153e-15
3.020185465551578091e+03 1.645692124081974695e-15 1.081330823270912753e-15
3.022932069001661148e+03 1.650041722574676899e-15 1.104972919963974057e-15
3.025678672451744205e+03 2.432191427733440039e-15 1.105494158661759186e-15
3.028425275901827263e+03 7.782494709183054574e-17 1.018505316138384576e-15
3.031171879351910320e+03 1.694537000270239555e-15 1.011552854571242579e-15
3.033918482801993378e+03 1.848525969008227523e-15 1.027862016806125771e-15
3.036665086252076435e+03 6.115188910715233042e-16 9.964734008278665053e-16
3.039411689702159492e+03 1.563049034736550438e-15 9.923701075445721907e-16
3.042158293152242550e+03 2.031216119336475099e-15 9.508964080543986110e-16
3.044904896602325607e+03 1.603329702634596845e-15 9.243408702031760458e-16
3.047651500052408664e+03 2.740135349600817882e-15 9.259194609251423110e-16
3.050398103502491722e+03 1.895510781995251459e-15 8.959463939753881635e-16
