# obs_wvl flux error
5.290000000000000000e+03 5.248673933768929143e-15 2.690602223527634874e-16
5.299757704218915933e+03 5.197170439378456415e-15 1.769389059543301961e-16
5.309515408437831866e+03 5.165750256872335256e-15 1.664404428966275958e-16
5.319273112656747799e+03 6.582793492627056683e-15 1.771681154660726767e-16
5.329030816875663731e+03 7.500568452040786121e-15 2.091234175921943072e-16
5.338788521094579664e+03 5.713881249466041591e-15 1.750374102678446582e-16
5.348546225313495597e+03 5.300613315588123569e-15 1.811135622289798329e-16
5.358303929532411530e+03 5.320521806815865896e-15 1.924486382539731620e-16
5.368061633751327463e+03 5.705707352417792273e-15 1.912446112227313815e-16
5.377819337970243396e+03 5.568280353083130878e-15 1.949843589647648366e-16
5.387577042189159329e+03 5.622268349391910562e-15 1.875201168762506076e-16
5.397334746408075262e+03 5.340737559537728033e-15 1.825649349185450099e-16
5.407092450626991194e+03 5.468830174009138766e-15 1.821920360415747018e-16
5.416850154845907127e+03 5.639094569190391123e-15 1.833560781406232686e-16
5.426607859064823060e+03 5.479359274458389490e-15 1.675788724072379294e-16
5.436365563283738993e+03 5.263409354706788474e-15 1.617942263993450171e-16
5.446123267502654926e+03 5.289775134532475106e-15 1.652459210544001319e-16
5.455880971721570859e+03 5.409392449183133427e-15 1.616596417661678506e-16
5.465638675940486792e+03 5.771716287680627174e-15 1.542475588427737280e-16
5.475396380159402725e+03 5.599766833126496029e-15 1.484676862918072831e-16
5.485154084378318657e+03 5.578904949531945839e-15 1.471157514012799180e-16
5.494911788597234590e+03 5.496972480246836361e-15 1.424743941680745600e-16
5.504669492816150523e+03 5.699409518179908704e-15 1.414324376890470573e-16
5.514427197035066456e+03 5.573842766199474210e-15 1.437051530378510423e-16
5.524184901253982389e+03 5.416419179725391912e-15 1.377307495471375450e-16
5.533942605472898322e+03 5.391662988767761387e-15 1.374770942428631340e-16
5.543700309691814255e+03 5.544968476245097950e-15 1.420809846152577488e-16
5.553458013910730187e+03 5.469814906292215235e-15 1.371895862856415416e-16
5.563215718129646120e+03 5.547035950024612701e-15 1.377176469424576181e-16
5.572973422348562053e+03 5.324016248305625350e-15 1.352461646901222516e-16
5.582731126567477986e+03 5.318527397922304202e-15 1.369941419599052493e-16
5.592488830786393919e+03 5.476098714644003851e-15 1.422681180986505282e-16
