# SNNGC4414 oc3202020 G230L MAMA z=0.002388 a2center=578.8 extrsize=11 exptime=1023.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1560.3871 1564.1133 0.000000e+00 0.000000e+00 3.217199e-03 2564 0
1561.9272 1565.6571 0.000000e+00 0.000000e+00 -7.116441e-03 2564 0
1563.4673 1567.2009 0.000000e+00 0.000000e+00 6.029675e-03 2564 0
1565.0074 1568.7447 0.000000e+00 0.000000e+00 6.339407e-03 2564 0
1566.5476 1570.2885 0.000000e+00 0.000000e+00 -8.964158e-04 2560 0
1568.0877 1571.8323 0.000000e+00 0.000000e+00 -1.773468e-03 512 0
1569.6279 1573.3761 0.000000e+00 0.000000e+00 5.680121e-03 512 0
1571.1680 1574.9200 0.000000e+00 0.000000e+00 -2.551523e-03 512 0
1572.7082 1576.4638 0.000000e+00 0.000000e+00 8.055105e-03 512 0
1574.2484 1578.0077 0.000000e+00 0.000000e+00 1.732625e-03 512 0
1575.7886 1579.5516 -2.536987e-13 6.451625e-13 -1.841981e-03 0 0
1577.3288 1581.0954 -1.155148e-13 4.659830e-14 -9.054525e-03 0 0
1578.8690 1582.6393 -7.899851e-14 2.216972e-14 -1.182553e-02 0 0
1580.4092 1584.1832 -2.072124e-14 1.921088e-14 -4.583283e-03 0 0
1581.9494 1585.7271 -2.713158e-14 1.315674e-14 -7.945974e-03 0 0
1583.4897 1587.2710 -1.545254e-14 1.125851e-14 -5.636071e-03 0 0
1585.0299 1588.8150 -1.239174e-14 9.288553e-15 -5.412543e-03 0 0
1586.5702 1590.3589 -1.087417e-14 8.035889e-15 -5.535381e-03 0 0
1588.1104 1591.9028 1.553860e-15 8.357221e-15 9.035966e-04 0 0
1589.6507 1593.4468 -8.705357e-15 6.046745e-15 -5.738145e-03 0 0
1591.1910 1594.9908 -3.251584e-15 5.953879e-15 -2.435313e-03 0 0
1592.7313 1596.5347 4.730831e-15 6.109075e-15 3.991201e-03 0 0
1594.2716 1598.0787 -8.847563e-15 3.869138e-15 -8.416381e-03 0 0
1595.8119 1599.6227 -7.821559e-15 3.492900e-15 -8.314457e-03 0 0
1597.3522 1601.1667 -1.939871e-15 3.772854e-15 -2.302680e-03 0 0
1598.8926 1602.7107 -2.332716e-16 3.530407e-15 -3.066650e-04 0 0
1600.4329 1604.2547 1.955451e-15 3.454695e-15 2.843541e-03 0 0
1601.9732 1605.7988 -2.870928e-15 2.609305e-15 -4.584733e-03 0 0
1603.5136 1607.3428 2.968994e-16 2.772492e-15 5.201781e-04 0 0
1605.0540 1608.8868 -8.213809e-16 2.326539e-15 -1.568917e-03 0 0
1606.5944 1610.4309 8.949388e-17 2.249923e-15 1.862438e-04 0 0
1608.1347 1611.9750 3.216475e-16 2.106754e-15 7.252016e-04 0 0
1609.6751 1613.5190 1.543915e-15 2.078089e-15 3.768933e-03 0 0
1611.2155 1615.0631 -1.049013e-15 1.650237e-15 -2.758634e-03 0 0
1612.7560 1616.6072 1.270182e-16 1.682326e-15 3.594987e-04 0 0
1614.2964 1618.1513 -3.374553e-15 1.162874e-15 -1.023316e-02 0 0
1615.8368 1619.6954 1.264569e-15 1.564778e-15 4.103643e-03 0 0
1617.3772 1621.2395 -1.095998e-15 1.198543e-15 -3.790982e-03 0 0
1618.9177 1622.7837 9.555788e-16 1.373876e-15 3.517837e-03 0 0
1620.4582 1624.3278 4.750105e-16 1.230864e-15 1.854768e-03 0 0
1621.9986 1625.8720 1.776123e-15 1.288658e-15 7.343144e-03 0 0
1623.5391 1627.4161 -2.130511e-15 8.051104e-16 -9.299137e-03 0 0
1625.0796 1628.9603 3.745537e-16 1.025034e-15 1.722677e-03 0 0
1626.6201 1630.5045 -1.621570e-15 7.525578e-16 -7.839383e-03 0 0
1628.1606 1632.0486 1.155540e-15 1.036312e-15 5.860494e-03 0 0
1629.7011 1633.5928 -1.076241e-15 7.391571e-16 -5.714299e-03 0 0
1631.2416 1635.1370 -1.233868e-16 8.340332e-16 -6.844904e-04 0 0
1632.7822 1636.6813 -6.226197e-16 7.229232e-16 -3.602579e-03 0 0
1634.3227 1638.2255 -2.136858e-16 7.461522e-16 -1.287132e-03 0 0
1635.8633 1639.7697 1.117062e-15 8.406374e-16 6.994287e-03 0 0
1637.4038 1641.3140 -6.960817e-16 6.206030e-16 -4.522366e-03 0 0
1638.9444 1642.8582 -3.933018e-16 6.404559e-16 -2.648039e-03 0 0
1640.4850 1644.4025 -2.795992e-16 6.226061e-16 -1.947688e-03 0 0
1642.0256 1645.9467 1.521239e-15 7.899098e-16 1.095200e-02 0 0
1643.5662 1647.4910 2.778963e-16 6.319527e-16 2.064777e-03 0 0
1645.1068 1649.0353 1.603058e-15 7.521650e-16 1.228068e-02 0 0
1646.6474 1650.5796 -5.109729e-16 5.292850e-16 -4.030790e-03 0 0
1648.1880 1652.1239 8.519860e-16 6.410319e-16 6.914187e-03 0 0
1649.7287 1653.6682 4.515370e-16 5.962830e-16 3.765656e-03 0 0
1651.2693 1655.2125 8.007263e-16 6.250031e-16 6.857226e-03 0 0
1652.8100 1656.7569 4.325448e-17 5.368745e-16 3.799843e-04 0 0
1654.3506 1658.3012 -2.923966e-16 4.753941e-16 -2.633204e-03 0 0
1655.8913 1659.8456 1.767881e-16 5.129331e-16 1.630547e-03 0 0
1657.4320 1661.3899 4.273875e-17 4.968988e-16 4.034631e-04 0 0
1658.9727 1662.9343 -2.850635e-16 4.402848e-16 -2.752034e-03 0 0
1660.5134 1664.4787 1.832641e-16 4.734469e-16 1.808323e-03 0 0
1662.0541 1666.0231 4.889294e-17 4.576683e-16 4.927218e-04 0 0
1663.5948 1667.5675 6.389500e-17 4.496684e-16 6.572909e-04 0 0
1665.1355 1669.1119 7.767215e-17 4.385240e-16 8.150868e-04 0 0
1666.6763 1670.6563 5.712491e-16 4.850665e-16 6.112381e-03 0 0
1668.2170 1672.2007 1.549817e-15 5.715563e-16 1.689925e-02 0 0
1669.7578 1673.7452 -2.149243e-17 3.998239e-16 -2.387230e-04 0 0
1671.2985 1675.2896 7.436899e-17 4.076298e-16 8.410409e-04 0 0
1672.8393 1676.8341 4.937605e-16 4.346243e-16 5.683260e-03 0 0
1674.3801 1678.3785 3.312085e-16 4.264839e-16 3.878410e-03 0 0
1675.9209 1679.9230 6.073924e-16 4.351499e-16 7.233418e-03 0 0
1677.4617 1681.4675 4.641058e-16 4.175447e-16 5.618751e-03 0 0
1679.0025 1683.0120 2.567564e-16 3.889936e-16 3.159002e-03 0 0
1680.5433 1684.5565 8.011244e-16 4.482029e-16 1.001322e-02 0 0
1682.0842 1686.1010 9.990274e-17 3.677286e-16 1.268120e-03 0 0
1683.6250 1687.6455 9.150121e-17 3.585861e-16 1.179154e-03 0 0
1685.1659 1689.1900 1.033720e-15 4.468835e-16 1.352001e-02 0 0
1686.7067 1690.7346 1.129566e-15 4.481478e-16 1.498924e-02 0 0
1688.2476 1692.2791 2.180497e-16 3.603389e-16 2.934902e-03 0 0
1689.7885 1693.8237 7.069498e-16 3.985044e-16 9.648786e-03 0 0
1691.3293 1695.3682 -1.363218e-16 3.122169e-16 -1.886158e-03 0 0
1692.8702 1696.9128 -2.737813e-16 2.946812e-16 -3.839129e-03 0 0
1694.4111 1698.4574 -1.957496e-16 2.997445e-16 -2.781221e-03 0 0
1695.9521 1700.0020 1.093221e-16 3.294753e-16 1.573448e-03 0 0
1697.4930 1701.5466 4.407640e-16 3.547821e-16 6.424093e-03 0 0
1699.0339 1703.0912 -1.529574e-17 3.043758e-16 -2.257096e-04 0 0
1700.5749 1704.6358 1.830652e-16 3.227468e-16 2.734432e-03 0 0
1702.1158 1706.1805 6.257115e-16 3.615259e-16 9.458864e-03 0 0
1703.6568 1707.7251 6.929876e-16 3.531950e-16 1.060007e-02 0 0
1705.1977 1709.2697 9.169040e-16 3.781308e-16 1.418918e-02 0 0
1706.7387 1710.8144 7.220752e-16 3.606103e-16 1.130291e-02 0 0
1708.2797 1712.3591 6.766122e-16 3.525582e-16 1.071183e-02 0 0
1709.8207 1713.9038 4.980330e-16 3.293350e-16 7.973222e-03 0 0
1711.3617 1715.4484 1.285915e-16 2.914497e-16 2.081563e-03 0 0
1712.9027 1716.9931 -1.814890e-17 2.647685e-16 -2.970133e-04 0 0
1714.4437 1718.5378 4.804416e-17 2.774867e-16 7.948267e-04 0 0
1715.9848 1720.0826 6.513188e-16 3.263396e-16 1.089160e-02 0 0
1717.5258 1721.6273 9.498221e-17 2.803807e-16 1.605354e-03 0 0
1719.0669 1723.1720 9.026189e-17 2.722951e-16 1.541829e-03 0 0
1720.6079 1724.7168 2.864465e-16 2.863433e-16 4.944797e-03 0 0
1722.1490 1726.2615 1.108871e-16 2.691364e-16 1.934397e-03 0 0
1723.6901 1727.8063 8.662841e-16 3.360063e-16 1.527050e-02 0 0
1725.2312 1729.3510 2.636578e-16 2.813364e-16 4.696206e-03 0 0
1726.7723 1730.8958 9.000951e-16 3.280798e-16 1.619853e-02 0 0
1728.3134 1732.4406 3.524933e-16 2.846502e-16 6.409132e-03 0 0
1729.8545 1733.9854 2.921847e-16 2.722678e-16 5.367004e-03 0 0
1731.3956 1735.5302 6.894937e-16 3.057722e-16 1.279393e-02 0 0
1732.9368 1737.0750 8.049880e-16 3.158057e-16 1.508783e-02 0 0
1734.4779 1738.6198 7.684727e-16 3.082907e-16 1.454776e-02 0 0
1736.0191 1740.1647 8.078191e-16 3.089371e-16 1.544456e-02 0 0
1737.5602 1741.7095 2.178757e-16 2.554450e-16 4.206499e-03 0 0
1739.1014 1743.2544 2.759480e-16 2.591485e-16 5.379646e-03 0 0
1740.6426 1744.7992 5.782330e-16 2.860635e-16 1.138139e-02 0 0
1742.1838 1746.3441 1.077916e-16 2.411278e-16 2.141941e-03 0 0
1743.7250 1747.8890 2.754187e-16 2.515841e-16 5.524410e-03 0 0
1745.2662 1749.4339 7.030556e-16 2.940343e-16 1.423370e-02 0 0
1746.8074 1750.9788 5.972403e-16 2.752030e-16 1.220539e-02 0 0
1748.3486 1752.5237 5.471585e-16 2.661497e-16 1.128750e-02 0 0
1749.8899 1754.0686 6.858357e-16 2.796981e-16 1.427971e-02 0 0
1751.4311 1755.6135 5.177029e-16 2.641780e-16 1.087840e-02 0 0
1752.9724 1757.1585 8.040109e-16 2.870732e-16 1.704767e-02 0 0
1754.5137 1758.7034 3.183166e-16 2.403029e-16 6.810111e-03 0 0
1756.0549 1760.2484 3.538034e-16 2.420873e-16 7.636312e-03 0 0
1757.5962 1761.7934 8.329839e-16 2.820973e-16 1.813679e-02 0 0
1759.1375 1763.3383 2.278627e-16 2.247231e-16 5.004230e-03 0 0
1760.6788 1764.8833 3.151016e-16 2.319527e-16 6.979616e-03 0 0
1762.2201 1766.4283 5.354200e-16 2.516362e-16 1.196011e-02 0 0
1763.7614 1767.9733 7.988412e-16 2.717590e-16 1.799441e-02 0 0
1765.3028 1769.5183 7.751223e-16 2.641838e-16 1.760479e-02 0 0
1766.8441 1771.0633 5.155362e-16 2.492760e-16 1.180539e-02 0 0
1768.3855 1772.6084 3.460822e-16 2.230331e-16 7.989372e-03 0 0
1769.9268 1774.1534 1.451116e-16 2.063496e-16 3.376957e-03 0 0
1771.4682 1775.6985 5.719247e-16 2.413686e-16 1.341554e-02 0 0
1773.0096 1777.2435 2.663921e-16 2.124190e-16 6.298175e-03 0 0
1774.5510 1778.7886 3.343261e-16 2.199585e-16 7.966214e-03 0 0
1776.0924 1780.3337 2.741515e-16 2.130561e-16 6.583239e-03 0 0
1777.6338 1781.8787 4.254533e-16 2.260033e-16 1.029542e-02 0 0
1779.1752 1783.4238 2.910476e-16 2.152450e-16 7.097080e-03 0 0
1780.7166 1784.9689 1.991941e-16 2.048136e-16 4.894404e-03 0 0
1782.2580 1786.5141 6.914344e-16 2.478786e-16 1.711845e-02 0 0
1783.7995 1788.0592 3.220957e-16 2.125120e-16 8.034941e-03 0 0
1785.3409 1789.6043 6.031460e-16 2.338333e-16 1.515967e-02 0 0
1786.8824 1791.1495 4.701803e-16 2.182404e-16 1.190703e-02 0 0
1788.4239 1792.6946 5.054038e-16 2.194903e-16 1.289546e-02 0 0
1789.9653 1794.2398 4.257539e-16 2.166066e-16 1.094530e-02 0 0
1791.5068 1795.7849 5.961467e-16 2.246516e-16 1.544131e-02 0 0
1793.0483 1797.3301 3.318125e-16 2.030578e-16 8.659744e-03 0 0
1794.5898 1798.8753 8.306627e-16 2.446355e-16 2.184308e-02 0 0
1796.1313 1800.4205 5.698195e-16 2.211714e-16 1.509826e-02 0 0
1797.6729 1801.9657 4.193619e-16 2.072813e-16 1.119638e-02 0 0
1799.2144 1803.5109 4.193367e-16 2.031718e-16 1.128148e-02 0 0
1800.7559 1805.0562 7.281710e-16 2.339655e-16 1.974002e-02 0 0
1802.2975 1806.6014 6.735341e-16 2.215908e-16 1.839871e-02 0 0
1803.8391 1808.1466 1.068680e-15 2.500270e-16 2.941585e-02 0 0
1805.3806 1809.6919 5.303335e-16 2.096063e-16 1.470884e-02 0 0
1806.9222 1811.2371 4.451968e-16 2.008364e-16 1.244124e-02 0 0
1808.4638 1812.7824 6.153561e-16 2.125519e-16 1.732601e-02 0 0
1810.0054 1814.3277 5.785403e-16 2.118898e-16 1.641142e-02 0 0
1811.5470 1815.8730 1.114447e-16 1.655630e-16 3.184786e-03 0 0
1813.0886 1817.4183 7.283657e-16 2.188900e-16 2.096773e-02 0 0
1814.6303 1818.9636 9.375222e-16 2.329401e-16 2.718448e-02 0 0
1816.1719 1820.5089 7.406125e-16 2.190107e-16 2.162881e-02 0 0
1817.7135 1822.0542 4.038668e-16 1.886028e-16 1.187762e-02 0 0
1819.2552 1823.5996 5.307961e-16 2.005495e-16 1.571900e-02 0 0
1820.7969 1825.1449 4.214431e-16 1.878268e-16 1.256559e-02 0 0
1822.3385 1826.6903 6.472462e-16 2.080740e-16 1.942712e-02 0 0
1823.8802 1828.2356 6.240722e-16 2.055975e-16 1.885450e-02 0 0
1825.4219 1829.7810 1.151211e-15 2.399117e-16 3.500460e-02 0 0
1826.9636 1831.3264 7.485851e-16 2.100208e-16 2.290647e-02 0 0
1828.5053 1832.8718 4.426800e-16 1.850258e-16 1.363043e-02 0 0
1830.0470 1834.4172 7.717952e-16 2.143604e-16 2.391060e-02 0 0
1831.5888 1835.9626 7.504099e-16 2.107787e-16 2.338937e-02 0 0
1833.1305 1837.5080 7.027365e-16 2.049592e-16 2.203529e-02 0 0
1834.6723 1839.0535 3.882049e-16 1.728188e-16 1.224518e-02 0 0
1836.2140 1840.5989 6.782389e-16 2.000042e-16 2.152022e-02 0 0
1837.7558 1842.1444 7.112744e-16 2.049155e-16 2.270076e-02 0 0
1839.2976 1843.6898 6.259430e-16 1.931242e-16 2.009400e-02 0 0
1840.8394 1845.2353 6.088812e-16 1.943833e-16 1.965988e-02 0 0
1842.3811 1846.7808 7.410477e-16 2.011004e-16 2.406618e-02 0 0
1843.9230 1848.3262 8.173395e-16 2.083230e-16 2.669779e-02 0 0
1845.4648 1849.8717 5.889030e-16 1.871622e-16 1.934752e-02 0 0
1847.0066 1851.4172 4.901146e-16 1.766852e-16 1.618743e-02 0 0
1848.5484 1852.9628 6.640606e-16 1.942794e-16 2.204887e-02 0 0
1850.0903 1854.5083 5.608149e-16 1.849075e-16 1.872000e-02 0 0
1851.6321 1856.0538 6.853866e-16 1.929291e-16 2.299993e-02 0 0
1853.1740 1857.5993 6.018443e-16 1.834082e-16 2.030417e-02 0 0
1854.7158 1859.1449 9.120438e-16 2.052985e-16 3.093302e-02 0 0
1856.2577 1860.6905 2.517602e-16 1.518303e-16 8.584254e-03 0 0
1857.7996 1862.2360 5.229570e-16 1.741535e-16 1.792601e-02 0 0
1859.3415 1863.7816 5.666425e-16 1.791296e-16 1.952663e-02 0 0
1860.8834 1865.3272 8.518555e-16 2.018982e-16 2.951046e-02 0 0
1862.4253 1866.8728 3.828137e-16 1.631019e-16 1.333162e-02 0 0
1863.9672 1868.4184 4.358506e-16 1.666265e-16 1.525841e-02 0 0
1865.5092 1869.9640 9.048113e-16 2.029974e-16 3.184166e-02 0 0
1867.0511 1871.5096 6.065733e-16 1.764813e-16 2.145738e-02 0 0
1868.5931 1873.0553 5.117453e-16 1.706697e-16 1.819651e-02 0 0
1870.1350 1874.6009 4.070614e-16 1.586404e-16 1.454868e-02 0 0
1871.6770 1876.1466 8.409061e-16 1.938718e-16 3.020793e-02 0 0
1873.2190 1877.6922 6.671251e-16 1.808262e-16 2.408687e-02 0 0
1874.7610 1879.2379 5.641648e-16 1.705734e-16 2.047208e-02 0 0
1876.3030 1880.7836 6.080826e-16 1.765094e-16 2.217647e-02 0 0
1877.8450 1882.3293 8.157112e-16 1.881964e-16 2.989700e-02 0 0
1879.3870 1883.8750 7.698275e-16 1.869635e-16 2.835552e-02 0 0
1880.9290 1885.4207 6.009342e-16 1.716867e-16 2.224415e-02 0 0
1882.4711 1886.9664 5.862408e-16 1.695237e-16 2.180731e-02 0 0
1884.0131 1888.5121 6.036341e-16 1.731982e-16 2.256502e-02 0 0
1885.5552 1890.0579 6.841332e-16 1.744726e-16 2.569989e-02 0 0
1887.0972 1891.6036 6.597977e-16 1.772984e-16 2.490768e-02 0 0
1888.6393 1893.1494 4.958238e-16 1.586200e-16 1.880937e-02 0 0
1890.1814 1894.6951 5.254467e-16 1.627388e-16 2.003135e-02 0 0
