# SNNGC4414 oc3202050 G230L MAMA z=0.002388 a2center=711.8 extrsize=11 exptime=818.0 mode=fixed flags=low_detect,center_mismatch(712vs581)
# rest_wvl obs_wvl flux error net dq mask
1559.5230 1563.2471 0.000000e+00 0.000000e+00 1.308129e-02 2564 0
1561.0639 1564.7917 0.000000e+00 0.000000e+00 -7.448141e-03 2564 0
1562.6048 1566.3363 0.000000e+00 0.000000e+00 -5.482678e-03 2564 0
1564.1458 1567.8810 0.000000e+00 0.000000e+00 -2.704664e-04 2564 0
1565.6867 1569.4256 0.000000e+00 0.000000e+00 -1.710378e-03 2560 0
1567.2277 1570.9702 0.000000e+00 0.000000e+00 2.962817e-05 512 0
1568.7687 1572.5149 0.000000e+00 0.000000e+00 8.672713e-04 512 0
1570.3096 1574.0595 0.000000e+00 0.000000e+00 -1.935542e-04 512 0
1571.8506 1575.6042 0.000000e+00 0.000000e+00 1.975847e-03 512 0
1573.3916 1577.1489 0.000000e+00 0.000000e+00 4.382982e-03 512 0
1574.9326 1578.6936 0.000000e+00 0.000000e+00 -6.628701e-03 512 0
1576.4736 1580.2383 -1.658175e-13 1.210248e-13 -6.449032e-03 0 0
1578.0147 1581.7830 -5.405563e-14 4.252377e-14 -5.955528e-03 0 0
1579.5557 1583.3277 -1.750725e-14 2.734812e-14 -3.180044e-03 0 0
1581.0967 1584.8724 5.298938e-14 2.712653e-14 1.342194e-02 0 0
1582.6378 1586.4171 2.627756e-15 1.705760e-14 8.543741e-04 0 0
1584.1788 1587.9619 -5.628695e-15 1.291062e-14 -2.235494e-03 0 0
1585.7199 1589.5066 8.419609e-15 1.254104e-14 3.951932e-03 0 0
1587.2610 1591.0514 -3.450212e-16 1.014094e-14 -1.869352e-04 0 0
1588.8021 1592.5961 1.147557e-14 9.951007e-15 7.051188e-03 0 0
1590.3432 1594.1409 -2.122475e-16 7.724198e-15 -1.485449e-04 0 0
1591.8843 1595.6857 1.895712e-14 8.762616e-15 1.497392e-02 0 0
1593.4254 1597.2305 3.675786e-15 6.409818e-15 3.280947e-03 0 0
1594.9665 1598.7753 -3.409534e-15 4.990250e-15 -3.411031e-03 0 0
1596.5076 1600.3201 3.661498e-15 5.221573e-15 4.099344e-03 0 0
1598.0488 1601.8649 1.468375e-15 4.442521e-15 1.826476e-03 0 0
1599.5899 1603.4098 2.973567e-15 4.256886e-15 4.099010e-03 0 0
1601.1311 1604.9546 3.028131e-15 3.862150e-15 4.597726e-03 0 0
1602.6723 1606.4995 5.823387e-15 3.847782e-15 9.714339e-03 0 0
1604.2135 1608.0443 3.937967e-15 3.277169e-15 7.181273e-03 0 0
1605.7546 1609.5892 -4.061748e-16 2.628439e-15 -8.078270e-04 0 0
1607.2958 1611.1341 1.801990e-15 2.695326e-15 3.892732e-03 0 0
1608.8370 1612.6789 -1.440976e-15 2.121446e-15 -3.373119e-03 0 0
1610.3783 1614.2238 -3.759136e-15 1.620804e-15 -9.502317e-03 0 0
1611.9195 1615.7688 3.575743e-15 2.370704e-15 9.735910e-03 0 0
1613.4607 1617.3137 1.229815e-16 1.817755e-15 3.595706e-04 0 0
1615.0020 1618.8586 -8.826483e-16 1.612141e-15 -2.763957e-03 0 0
1616.5432 1620.4035 1.176365e-16 1.597396e-15 3.934433e-04 0 0
1618.0845 1621.9485 -2.358997e-15 1.232938e-15 -8.404793e-03 0 0
1619.6258 1623.4934 -1.810081e-15 1.163403e-15 -6.852626e-03 0 0
1621.1670 1625.0384 1.746848e-15 1.517847e-15 7.009102e-03 0 0
1622.7083 1626.5834 1.673898e-15 1.460608e-15 7.101731e-03 0 0
1624.2496 1628.1283 -6.597356e-16 1.083272e-15 -2.952456e-03 0 0
1625.7909 1629.6733 1.623558e-15 1.301660e-15 7.647415e-03 0 0
1627.3323 1631.2183 1.833897e-17 1.082246e-15 9.071629e-05 0 0
1628.8736 1632.7633 8.290860e-16 1.121331e-15 4.298313e-03 0 0
1630.4149 1634.3083 -1.019008e-16 9.701553e-16 -5.525657e-04 0 0
1631.9563 1635.8534 -3.878128e-16 8.849384e-16 -2.195463e-03 0 0
1633.4976 1637.3984 6.763658e-16 9.733717e-16 3.990203e-03 0 0
1635.0390 1638.9435 3.878898e-16 8.989796e-16 2.380571e-03 0 0
1636.5804 1640.4885 2.928113e-16 8.518893e-16 1.866495e-03 0 0
1638.1217 1642.0336 3.766561e-16 8.462474e-16 2.489797e-03 0 0
1639.6631 1643.5786 2.313473e-16 7.946989e-16 1.583657e-03 0 0
1641.2045 1645.1237 -4.767757e-16 7.011306e-16 -3.374944e-03 0 0
1642.7459 1646.6688 -4.021910e-17 7.024199e-16 -2.940533e-04 0 0
1644.2874 1648.2139 5.462951e-16 7.556498e-16 4.120140e-03 0 0
1645.8288 1649.7590 -4.729612e-16 6.148547e-16 -3.675911e-03 0 0
1647.3702 1651.3042 2.500974e-16 6.920583e-16 2.000554e-03 0 0
1648.9117 1652.8493 9.919587e-17 6.509468e-16 8.159211e-04 0 0
1650.4531 1654.3944 8.506216e-16 7.170648e-16 7.187276e-03 0 0
1651.9946 1655.9396 4.401604e-16 6.580394e-16 3.817434e-03 0 0
1653.5361 1657.4847 -5.320673e-16 5.259631e-16 -4.731959e-03 0 0
1655.0776 1659.0299 1.292709e-15 7.132524e-16 1.178118e-02 0 0
1656.6191 1660.5751 6.726211e-16 6.411638e-16 6.275943e-03 0 0
1658.1606 1662.1202 3.859820e-16 5.856789e-16 3.684961e-03 0 0
1659.7021 1663.6654 8.103771e-16 6.179834e-16 7.909400e-03 0 0
1661.2436 1665.2106 4.792741e-16 5.752191e-16 4.779720e-03 0 0
